"","species","lon","lat"
"20621","Carpobrotus_edulis",9.656137,44.146296
"27220","Carpobrotus_edulis",-122.229377,37.041058
"27227","Carpobrotus_edulis",-122.064889,36.948525
"27287","Carpobrotus_edulis",-122.027936,36.954565
"35250","Carpobrotus_edulis",-117.35,33.16666
"37177","Carpobrotus_edulis",9.34632,42.9638
"53945","Carpobrotus_edulis",-117.714167,33.462778
"53949","Carpobrotus_edulis",-117.291667,33.45
"54071","Carpobrotus_edulis",-117.104,32.6133
"54196","Carpobrotus_edulis",-117.55,33.4675
"54272","Carpobrotus_edulis",-117.439111,33.269389
"54380","Carpobrotus_edulis",-118.084722,33.743333
"54383","Carpobrotus_edulis",-118.345833,33.739444
"57863","Carpobrotus_edulis",1.46,41.16
"58768","Carpobrotus_edulis",2.18,41.68
"62116","Carpobrotus_edulis",-117.174807,32.759507
"63136","Carpobrotus_edulis",12.824231,37.581896
"63158","Carpobrotus_edulis",13.831757,37.142372
"63676","Carpobrotus_edulis",116.9028,-31.64
"69716","Carpobrotus_edulis",-48.585,-27.023333
"69745","Carpobrotus_edulis",-119.2518,34.2096
"69809","Carpobrotus_edulis",-119.31196,34.27802
"69923","Carpobrotus_edulis",-117.31102,33.35001
"70309","Carpobrotus_edulis",-117.26121,33.36711
"70318","Carpobrotus_edulis",-119.07111,34.09238
"71440","Carpobrotus_edulis",172.936384,-40.82592
"72757","Carpobrotus_edulis",-117.700278,33.757222
"72796","Carpobrotus_edulis",-117.3941,33.2146
"76938","Carpobrotus_edulis",-117.37139,33.29611
"77292","Carpobrotus_edulis",-112.703504,33.3743217
"77644","Carpobrotus_edulis",-111.7854816,33.3366283
"87630","Carpobrotus_edulis",-0.53,39.54
"88016","Carpobrotus_edulis",-0.68,39.42
"89114","Carpobrotus_edulis",-117.35833,33.16861
"89115","Carpobrotus_edulis",-117.31771,33.09813
"89116","Carpobrotus_edulis",-117.0495,32.6522
"89287","Carpobrotus_edulis",-117.2567,32.9647
"89288","Carpobrotus_edulis",-116.90722,33.08972
"89442","Carpobrotus_edulis",-117.156,32.784
"89617","Carpobrotus_edulis",-117.39379,33.23834
"89618","Carpobrotus_edulis",-117.43906,33.26936
"89769","Carpobrotus_edulis",-117.1175,32.7225
"89770","Carpobrotus_edulis",-117.41952,33.23652
"89771","Carpobrotus_edulis",-117.56921,33.43966
"89927","Carpobrotus_edulis",-117.31139,33.08972
"90031","Carpobrotus_edulis",-117.1795,32.9612
"90082","Carpobrotus_edulis",-117.2411,32.9301
"90083","Carpobrotus_edulis",-116.939,32.7343
"90244","Carpobrotus_edulis",-116.80722,32.7725
"90245","Carpobrotus_edulis",-117.11257,32.64499
"90350","Carpobrotus_edulis",-117.43864,33.31783
"90402","Carpobrotus_edulis",-117.21573,32.88437
"90403","Carpobrotus_edulis",-117.10403,32.6133
"90566","Carpobrotus_edulis",-117.1235,32.5347
"90567","Carpobrotus_edulis",-117.15216,32.65279
"90835","Carpobrotus_edulis",-117.26121,33.36711
"90890","Carpobrotus_edulis",-117.31028,33.14583
"90891","Carpobrotus_edulis",-117.2125,33.015
"90991","Carpobrotus_edulis",-117.31102,33.35001
"91055","Carpobrotus_edulis",-117.29167,33.31972
"91208","Carpobrotus_edulis",-117.1905,32.832
"91370","Carpobrotus_edulis",-117.3354,33.25541
"91371","Carpobrotus_edulis",-117.29185,33.29097
"91524","Carpobrotus_edulis",-117.19366,32.80653
"91525","Carpobrotus_edulis",-117.30914,33.08344
"91676","Carpobrotus_edulis",-117.32342,33.33069
"91828","Carpobrotus_edulis",-117.57874,33.38182
"91975","Carpobrotus_edulis",-117.31972,33.29219
"92134","Carpobrotus_edulis",-117.37137,33.29613
"92231","Carpobrotus_edulis",-117.3941,33.2146
"92782","Carpobrotus_edulis",-121.80962,36.68306
