"","species","lon","lat"
"44168","Cherax_destructor",148.28006,-25.39631
"44541","Cherax_destructor",149.1575,-34.5386
"44566","Cherax_destructor",149.10972,-34.37249
"44567","Cherax_destructor",150.06943,-35.13974
"61476","Cherax_destructor",144.009,-37.5582
"61483","Cherax_destructor",144.4805,-37.3329
"61485","Cherax_destructor",144.6035,-36.5546
"61486","Cherax_destructor",143.3416,-36.2768
"61489","Cherax_destructor",146.0589,-36.6112
"61491","Cherax_destructor",144.4801,-37.3321
"61498","Cherax_destructor",142.3771,-37.0538
"61499","Cherax_destructor",147.6356,-36.8816
"61502","Cherax_destructor",143.7064,-37.2307
"61505","Cherax_destructor",142.2216,-34.1869
"61506","Cherax_destructor",141.927,-37.7284
"61509","Cherax_destructor",142.497,-34.7341
"61510","Cherax_destructor",147.1101,-36.3428
"61512","Cherax_destructor",145.1279,-37.2471
"61514","Cherax_destructor",146.1651,-37.2921
"61518","Cherax_destructor",145.8711,-36.3422
"61519","Cherax_destructor",146.1372,-36.7635
"61520","Cherax_destructor",144.1348,-37.147
"61526","Cherax_destructor",143.8365,-36.9696
"61532","Cherax_destructor",143.4708,-36.6226
"61534","Cherax_destructor",141.9274,-37.0186
"61547","Cherax_destructor",146.467,-36.8692
"61550","Cherax_destructor",146.1587,-36.95
"61559","Cherax_destructor",146.1387,-36.7645
"61565","Cherax_destructor",143.4997,-36.8289
"61567","Cherax_destructor",141.5707,-37.2839
"61570","Cherax_destructor",143.2562,-37.4308
"61573","Cherax_destructor",144.0511,-37.3169
"61585","Cherax_destructor",142.3402,-37.0339
"61587","Cherax_destructor",142.4253,-37.9332
"61589","Cherax_destructor",146.6003,-36.4866
"61591","Cherax_destructor",144.8689,-37.7329
"61599","Cherax_destructor",145.8808,-36.6535
"61602","Cherax_destructor",144.5273,-37.2133
"61604","Cherax_destructor",145.955,-36.736
"61606","Cherax_destructor",142.3642,-34.71
"61608","Cherax_destructor",141.9692,-37.3136
"61611","Cherax_destructor",145.4873,-36.642
"61613","Cherax_destructor",143.8612,-37.2949
"61622","Cherax_destructor",147.1001,-36.2964
"61629","Cherax_destructor",146.9366,-36.16
"61631","Cherax_destructor",143.8228,-37.2373
"61633","Cherax_destructor",144.7193,-37.4274
"61636","Cherax_destructor",146.395,-36.9088
"61639","Cherax_destructor",143.3569,-36.5217
"61645","Cherax_destructor",142.0733,-34.2684
"61646","Cherax_destructor",141.9676,-36.1369
"61649","Cherax_destructor",143.8116,-37.287
"61652","Cherax_destructor",143.4045,-37.183
"61654","Cherax_destructor",143.0461,-36.9312
"61656","Cherax_destructor",144.3753,-37.174
"61662","Cherax_destructor",142.1149,-34.2942
"61663","Cherax_destructor",146.9549,-36.1319
"61665","Cherax_destructor",146.178,-36.9957
"61674","Cherax_destructor",142.1035,-34.3086
"61683","Cherax_destructor",143.5668,-37.2359
"61684","Cherax_destructor",143.3176,-36.3166
"61686","Cherax_destructor",144.1456,-37.5363
"61687","Cherax_destructor",142.0724,-34.2708
"61690","Cherax_destructor",144.2257,-37.1396
"61699","Cherax_destructor",145.1316,-37.2505
"61701","Cherax_destructor",143.4419,-37.8023
"61703","Cherax_destructor",142.0332,-34.1338
"61708","Cherax_destructor",146.1882,-37.1331
"61713","Cherax_destructor",147.6,-37.0133
"61716","Cherax_destructor",147.4037,-36.3102
"61721","Cherax_destructor",146.2344,-36.1607
"61725","Cherax_destructor",146.922,-36.2565
"61729","Cherax_destructor",145.8272,-36.1984
"61732","Cherax_destructor",141.0045,-37.1012
"63555","Cherax_destructor",151.018967,-29.90835
"66054","Cherax_destructor",141.317,-35.5169
"66058","Cherax_destructor",142.918,-38.5821
"66060","Cherax_destructor",142.423,-37.105
"66063","Cherax_destructor",143.36,-37.2801
"66088","Cherax_destructor",143.81,-37.6123
"66125","Cherax_destructor",143.584,-38.4764
"68160","Cherax_destructor",147.1065,-36.3216
"68161","Cherax_destructor",141.2733,-37.4414
"68165","Cherax_destructor",144.9017,-37.2451
"68167","Cherax_destructor",146.5356,-36.9185
"68176","Cherax_destructor",146.929,-36.2516
"68177","Cherax_destructor",145.0548,-37.1023
"68183","Cherax_destructor",143.3143,-36.4753
"68186","Cherax_destructor",142.5028,-37.3714
"68201","Cherax_destructor",143.7294,-37.2129
"68203","Cherax_destructor",146.1758,-36.9951
"68207","Cherax_destructor",142.3582,-34.713
"68208","Cherax_destructor",147.2031,-36.4392
"68209","Cherax_destructor",143.9549,-37.2124
"68210","Cherax_destructor",144.4671,-37.001
"68215","Cherax_destructor",144.2686,-37.5644
"68222","Cherax_destructor",144.3227,-37.3749
"68224","Cherax_destructor",146.7798,-36.2195
"68226","Cherax_destructor",144.3609,-37.1264
"68227","Cherax_destructor",144.4085,-36.7909
"68230","Cherax_destructor",145.2567,-36.7711
"68250","Cherax_destructor",146.0014,-36.7025
"68251","Cherax_destructor",143.8705,-35.653
"68265","Cherax_destructor",143.4088,-37.1795
"68267","Cherax_destructor",143.4704,-36.6224
"68268","Cherax_destructor",143.3996,-37.2011
"68270","Cherax_destructor",142.3213,-36.7155
"68273","Cherax_destructor",146.1122,-36.6405
"68274","Cherax_destructor",143.9586,-36.9539
"68281","Cherax_destructor",142.0369,-34.1386
"68286","Cherax_destructor",143.9327,-36.4268
"68288","Cherax_destructor",146.4881,-36.4206
"68292","Cherax_destructor",143.4198,-37.1692
"68296","Cherax_destructor",143.2797,-36.3918
"68298","Cherax_destructor",144.451,-37.3868
"68305","Cherax_destructor",143.8551,-36.9229
"68306","Cherax_destructor",146.1347,-37.3039
"68311","Cherax_destructor",144.0963,-37.2302
"68315","Cherax_destructor",146.1767,-36.9976
"68317","Cherax_destructor",141.7465,-37.5734
"68332","Cherax_destructor",147.7048,-36.8297
"68334","Cherax_destructor",141.9605,-37.3384
"68335","Cherax_destructor",143.8362,-37.2308
"68337","Cherax_destructor",148.9686,-37.1111
"68346","Cherax_destructor",146.971,-36.2213
"68349","Cherax_destructor",141.2954,-37.7155
"68350","Cherax_destructor",141.409,-34.1548
"68351","Cherax_destructor",145.3549,-37.4288
"68353","Cherax_destructor",146.9544,-36.1285
"68357","Cherax_destructor",144.4166,-37.3299
"68358","Cherax_destructor",147.0206,-36.254
"68359","Cherax_destructor",143.3584,-36.5243
"69292","Cherax_destructor",147.0548,-36.3725
"69294","Cherax_destructor",141.2738,-37.4409
"69296","Cherax_destructor",142.5238,-37.127
"69298","Cherax_destructor",147.336,-36.2145
"69299","Cherax_destructor",146.1881,-36.7299
"69300","Cherax_destructor",142.3591,-34.7621
"69303","Cherax_destructor",142.0913,-34.3098
"69305","Cherax_destructor",143.3874,-37.4262
"69311","Cherax_destructor",146.3969,-37.959
"69317","Cherax_destructor",144.2344,-37.1711
"69319","Cherax_destructor",144.4636,-36.615
"69321","Cherax_destructor",144.0461,-37.2813
