"","species","lon","lat"
"94288","Cherax_quadricarinatus",31.71,-25.992
"95095","Cherax_quadricarinatus",-80.40745,-4.46743
"107224","Cherax_quadricarinatus",-67.05,18.01129
"110622","Cherax_quadricarinatus",-66.10611,18.07624
"110649","Cherax_quadricarinatus",-66.098,18.065
"111385","Cherax_quadricarinatus",-66.578,18.071
"114259","Cherax_quadricarinatus",-66.14056,18.19698
"114277","Cherax_quadricarinatus",-66.016,18.328
"114697","Cherax_quadricarinatus",-66.0122,18.2229
"117581","Cherax_quadricarinatus",-67.06389,18.03744
"117603","Cherax_quadricarinatus",-66.924,18.398
"119435","Cherax_quadricarinatus",-65.8892,18.3179
"134529","Cherax_quadricarinatus",-66.0483,18.2986
"134565","Cherax_quadricarinatus",-65.8884,18.3178
"162401","Cherax_quadricarinatus",131.0518,-12.454467
"165099","Cherax_quadricarinatus",130.7859,-14.0737
"165102","Cherax_quadricarinatus",130.77708,-14.00291
"173926","Cherax_quadricarinatus",134.50722,-14.71555
"179852","Cherax_quadricarinatus",141.17432,-17.47082
"309879","Cherax_quadricarinatus",143.81407,-17.58538
"314201","Cherax_quadricarinatus",142.766667,-11.983333
"314207","Cherax_quadricarinatus",142.316667,-12.166667
"314209","Cherax_quadricarinatus",138.500833,-18.767778
"314213","Cherax_quadricarinatus",142.466667,-10.866667
"314219","Cherax_quadricarinatus",142.5,-11.833333
"317336","Cherax_quadricarinatus",-65.96639,18.25606
"320205","Cherax_quadricarinatus",-66.01556,18.32643
"321659","Cherax_quadricarinatus",-66.0483,18.2972
"321720","Cherax_quadricarinatus",-65.895867,18.418992
"324428","Cherax_quadricarinatus",-65.8885,18.3166
"325841","Cherax_quadricarinatus",-66.020279,18.310855
"344965","Cherax_quadricarinatus",152.92,-27.53
"392491","Cherax_quadricarinatus",142.266667,-12.133333
"392494","Cherax_quadricarinatus",138.533333,-18.666667
"402200","Cherax_quadricarinatus",145.629043,-17.284969
"431426","Cherax_quadricarinatus",149.5634,-35.88279
"453141","Cherax_quadricarinatus",143.814722,-17.585278
"453144","Cherax_quadricarinatus",138.869931,-22.911731
"453150","Cherax_quadricarinatus",142.166667,-12.383333
"453151","Cherax_quadricarinatus",145.084722,-16.335
"453156","Cherax_quadricarinatus",139.25,-17.916667
"471826","Cherax_quadricarinatus",142.74456,-25.37004
"484404","Cherax_quadricarinatus",31.73,-25.97
