"","species","lon","lat"
"26505","Cichorium_endivia",-4.93,37.75
"42752","Cichorium_endivia",-4.93,37.75
"51307","Cichorium_endivia",35.52,33.1
"51308","Cichorium_endivia",35.24,32.78
"51360","Cichorium_endivia",34.9,32.38
"51370","Cichorium_endivia",34.91,32.36
"51405","Cichorium_endivia",34.78,30.9
"51505","Cichorium_endivia",35,32.34
"51515","Cichorium_endivia",35.1,32.5
"51516","Cichorium_endivia",35.22,32.6
"51518","Cichorium_endivia",35.38,33.02
"51519","Cichorium_endivia",35.26,31.95
"51520","Cichorium_endivia",35.29,32.03
"51530","Cichorium_endivia",34.95,31.85
"51531","Cichorium_endivia",34.95,31.94
"51554","Cichorium_endivia",34.98,32.37
"51573","Cichorium_endivia",34.99,32.48
"51577","Cichorium_endivia",34.88,32.28
"51608","Cichorium_endivia",35.4,32.77
"51618","Cichorium_endivia",34.93,32.35
"51636","Cichorium_endivia",35.16,32.9
"51642","Cichorium_endivia",35.41,32.95
"51649","Cichorium_endivia",35.03,32.73
"51650","Cichorium_endivia",35.75,32.85
"51652","Cichorium_endivia",34.95,32.54
"51657","Cichorium_endivia",34.97,32.37
"51667","Cichorium_endivia",35.17,32.58
"51670","Cichorium_endivia",35.12,32.62
"51673","Cichorium_endivia",35.15,32.68
"58587","Cichorium_endivia",-4.93,37.75
"61026","Cichorium_endivia",10.71,48.02
"61773","Cichorium_endivia",13.0924,55.78026
"69230","Cichorium_endivia",10.84,49.93
"88130","Cichorium_endivia",0.43,40.43
"88664","Cichorium_endivia",-4.93,37.75
"93925","Cichorium_endivia",3.156111,50.933333
"140518","Cichorium_endivia",9.71,47.52
"156209","Cichorium_endivia",-2.58,38.51
"164814","Cichorium_endivia",-4.939196,37.759508
"165025","Cichorium_endivia",-48.006389,-21.349781
"168946","Cichorium_endivia",-118.32792,34.04633
"198156","Cichorium_endivia",10.54,48.02
"200861","Cichorium_endivia",13.065,47.83833
"203203","Cichorium_endivia",14.52361,46.06917
"210012","Cichorium_endivia",139.378056,35.424098
"226483","Cichorium_endivia",12.77388,56.74778
"229543","Cichorium_endivia",10.925134,42.773994
"230638","Cichorium_endivia",10.884708,43.694348
"231037","Cichorium_endivia",10.593615,44.010372
"231690","Cichorium_endivia",11.64839,43.732898
"246621","Cichorium_endivia",-48.330081,-1.066983
"252345","Cichorium_endivia",138.1691,36.5094
"255805","Cichorium_endivia",-123.0025,49.232222
"258071","Cichorium_endivia",13.09316,55.78074
"258258","Cichorium_endivia",12.91589,55.56912
"259261","Cichorium_endivia",14.246117,51.14305
"264424","Cichorium_endivia",-80.501392,41.094719
"291157","Cichorium_endivia",10.1292,59.7266
"296636","Cichorium_endivia",-4.40833,36.73211
"300396","Cichorium_endivia",5.0576,44.00465
"300550","Cichorium_endivia",-4.939196,37.759508
"304495","Cichorium_endivia",37.483981,55.663778
"311476","Cichorium_endivia",10.2158,59.6629
"312016","Cichorium_endivia",10.1984,59.6721
"347002","Cichorium_endivia",-4.93,37.75
"360233","Cichorium_endivia",-80.024594,40.337317
"365997","Cichorium_endivia",-120.1224,48.3666
"366584","Cichorium_endivia",-122.315619,47.685689
"373302","Cichorium_endivia",-121.71667,38.5625
"384861","Cichorium_endivia",13.044444,48.253613
"385202","Cichorium_endivia",25.411667,35.003334
"403412","Cichorium_endivia",-4.96,37.75
"403524","Cichorium_endivia",-5,37.8
"403551","Cichorium_endivia",-4.74,36.93
"403593","Cichorium_endivia",-4.34,37.42
"403624","Cichorium_endivia",-6.26,37.25
"403666","Cichorium_endivia",-4.93,37.75
"403683","Cichorium_endivia",-3.59,36.75
"403915","Cichorium_endivia",-4.56,37
"415394","Cichorium_endivia",-4.93,37.75
"421921","Cichorium_endivia",10.223,59.8604
"439620","Cichorium_endivia",12.73,48.17
"441714","Cichorium_endivia",-6.27,38.79
"441908","Cichorium_endivia",-4.93,37.75
"441966","Cichorium_endivia",-6.53,38.45
"442115","Cichorium_endivia",-6.95,38.91
"442633","Cichorium_endivia",-6.16,38.32
"443045","Cichorium_endivia",-6.62,38.92
"444617","Cichorium_endivia",5.835381,51.809376
"445499","Cichorium_endivia",13.07,47.84
"470881","Cichorium_endivia",-4.44917,36.92472
"480628","Cichorium_endivia",22.73139,37.52028
"482059","Cichorium_endivia",22.34111,37.095
"485358","Cichorium_endivia",12.91513,55.56865
