"","species","lon","lat"
"71819","Corbicula_fluminalis",8.3458,49.9017
"71823","Corbicula_fluminalis",7.6181,50.2875
"71824","Corbicula_fluminalis",6.7103,49.8047
"71825","Corbicula_fluminalis",8.2958,49.9919
"71859","Corbicula_fluminalis",8.3214,49.9775
"148652","Corbicula_fluminalis",8.316133,50.003217
"166147","Corbicula_fluminalis",4.4408,51.8326
"166167","Corbicula_fluminalis",4.75,51.782
"166172","Corbicula_fluminalis",5.6104,51.9433
"166190","Corbicula_fluminalis",6.1505,52.251
"203332","Corbicula_fluminalis",4.983667,51.8185
"264160","Corbicula_fluminalis",6.3534,52.5393
"264169","Corbicula_fluminalis",4.755,51.785
"287227","Corbicula_fluminalis",32.6303,25.6879
"381348","Corbicula_fluminalis",74.209999,16.129999
"388962","Corbicula_fluminalis",4.82691,50.21574
"393944","Corbicula_fluminalis",0.499071,40.903828
"420443","Corbicula_fluminalis",7.73731,47.51286
"452042","Corbicula_fluminalis",0.51,40.9
"484402","Corbicula_fluminalis",21.401111,-28.437222
"484403","Corbicula_fluminalis",21.389167,-28.433333
"484405","Corbicula_fluminalis",30.603333,-29.575
"484406","Corbicula_fluminalis",30.026389,-28.895556
"484407","Corbicula_fluminalis",30.161111,-28.763889
"484408","Corbicula_fluminalis",13.984722,-17.431944
"484409","Corbicula_fluminalis",21.360833,-28.427222
"484410","Corbicula_fluminalis",32.17,-27.52
