"","species","lon","lat"
"12278","Crotalaria_retusa",2.2,7.716667
"13166","Crotalaria_retusa",-66.2448,18.0442
"13185","Crotalaria_retusa",-66.269,18.0389
"13556","Crotalaria_retusa",-92.64667,18.40583
"13855","Crotalaria_retusa",-52.5519,5.07808
"19499","Crotalaria_retusa",-83.205556,8.702778
"19692","Crotalaria_retusa",-54.58333,-25.66666
"19849","Crotalaria_retusa",-84.82806,10.000833
"27383","Crotalaria_retusa",-89.23333,13.46666
"27533","Crotalaria_retusa",-85.35,9.85
"27737","Crotalaria_retusa",-85.95,11.75
"27843","Crotalaria_retusa",-35.8361,-9.2361
"34575","Crotalaria_retusa",2.2,7.716667
"34660","Crotalaria_retusa",9.518611,0.483056
"34668","Crotalaria_retusa",37.185,14.058333
"34758","Crotalaria_retusa",10.416667,1.541667
"34820","Crotalaria_retusa",115.933333,-1.816667
"34919","Crotalaria_retusa",0.098889,5.707222
"34968","Crotalaria_retusa",1.95,7.166667
"35302","Crotalaria_retusa",-88.91666,17.35
"35355","Crotalaria_retusa",-79.58333,-0.4
"35767","Crotalaria_retusa",9.82,1.15
"35832","Crotalaria_retusa",9.78,1.75
"36986","Crotalaria_retusa",-73.793317,8.296567
"37441","Crotalaria_retusa",-1.855556,9.262222
"37603","Crotalaria_retusa",116.816667,-1.016667
"37763","Crotalaria_retusa",120.331667,23.453889
"39045","Crotalaria_retusa",-84.2025,9.645
"39059","Crotalaria_retusa",-66.16666,10.6
"39239","Crotalaria_retusa",-87.99416,15.3125
"39346","Crotalaria_retusa",-84.659722,9.825
"39500","Crotalaria_retusa",-83.005556,9.927778
"39540","Crotalaria_retusa",-35.585278,-6.892222
"39770","Crotalaria_retusa",-81.7183,28.5417
"40300","Crotalaria_retusa",9.27,3.98
"40330","Crotalaria_retusa",-46.37,-13.02
"40333","Crotalaria_retusa",9.68,4.77
"42437","Crotalaria_retusa",46.53333,-24.81667
"43766","Crotalaria_retusa",49.220833,-12.166667
"44960","Crotalaria_retusa",-38.416667,-6.618611
"49881","Crotalaria_retusa",44.593889,-19.703333
"49975","Crotalaria_retusa",-83.205556,8.702778
"50045","Crotalaria_retusa",9.98627,-1.13256
"50266","Crotalaria_retusa",-76.444167,8.843333
"50311","Crotalaria_retusa",-84.2025,9.645
"51749","Crotalaria_retusa",136.2667,-16.165
"51752","Crotalaria_retusa",132.473564,-14.57611
"51826","Crotalaria_retusa",136.947778,-16.721389
"51858","Crotalaria_retusa",130.481372,-15.084733
"51895","Crotalaria_retusa",125.294532,-18.371736
"51965","Crotalaria_retusa",133.285281,-12.456965
"52129","Crotalaria_retusa",132.1928,-14.1587
"52151","Crotalaria_retusa",123.6417,-17.7333
"52160","Crotalaria_retusa",130.4361,-16.1292
"52342","Crotalaria_retusa",129.831667,-16.607778
"52353","Crotalaria_retusa",132.589917,-11.39752
"52440","Crotalaria_retusa",129.541374,-14.545295
"52506","Crotalaria_retusa",135.70436,-16.30344
"52598","Crotalaria_retusa",124.500292,-18.536702
"52619","Crotalaria_retusa",130.801914,-14.750568
"52854","Crotalaria_retusa",129.022222,-17.265833
"52975","Crotalaria_retusa",130.812752,-14.370012
"52992","Crotalaria_retusa",128.305833,-16.186778
"53091","Crotalaria_retusa",135.793762,-13.576654
"53093","Crotalaria_retusa",135.23463,-15.41508
"53216","Crotalaria_retusa",130.034446,-15.76558
"55658","Crotalaria_retusa",2.239209,8.561087
"55671","Crotalaria_retusa",2.285265,7.188391
"55681","Crotalaria_retusa",2.196589,7.168379
"55683","Crotalaria_retusa",1.037904,11.017895
"55690","Crotalaria_retusa",2.148395,7.226411
"55701","Crotalaria_retusa",1.236302,10.806376
"55717","Crotalaria_retusa",1.832346,6.583152
"55718","Crotalaria_retusa",1.271707,10.707192
"55725","Crotalaria_retusa",1.549412,11.0164
"55761","Crotalaria_retusa",1.229435,10.847179
"55770","Crotalaria_retusa",1.904999,6.453564
"55783","Crotalaria_retusa",1.446415,10.930116
"55806","Crotalaria_retusa",1.866543,6.31553
"55810","Crotalaria_retusa",1.970979,6.407559
"55817","Crotalaria_retusa",0.97948,10.707709
"55865","Crotalaria_retusa",1.968732,6.641011
"55868","Crotalaria_retusa",1.690039,6.695312
"55875","Crotalaria_retusa",0.982972,10.706349
"55883","Crotalaria_retusa",1.93495,7.129059
"55905","Crotalaria_retusa",2.072107,6.342146
"55920","Crotalaria_retusa",1.809934,6.408435
"55933","Crotalaria_retusa",1.91693,6.474586
"55982","Crotalaria_retusa",1.929078,6.658988
"55987","Crotalaria_retusa",2.199995,6.355496
"55996","Crotalaria_retusa",2.530347,8.258816
"56063","Crotalaria_retusa",2.512495,8.630338
"56073","Crotalaria_retusa",1.422425,11.147946
"56085","Crotalaria_retusa",1.83506,6.434712
"56104","Crotalaria_retusa",2.335339,8.310456
"56289","Crotalaria_retusa",-4.116,11.683
"56290","Crotalaria_retusa",-13.366,13.35
"56291","Crotalaria_retusa",-16.65,12.433
"56292","Crotalaria_retusa",-16.75,12.916
"56293","Crotalaria_retusa",-12.233,12.616
"56295","Crotalaria_retusa",-12.666,13.05
"56296","Crotalaria_retusa",-0.283,11.716
"56297","Crotalaria_retusa",-0.35,11.683
"56590","Crotalaria_retusa",-17.5,14.716
"57069","Crotalaria_retusa",9.6231,1.5839
"57480","Crotalaria_retusa",9.7833,1.75
"61113","Crotalaria_retusa",-85.305556,10.55
"61145","Crotalaria_retusa",-85.347222,9.913889
"61165","Crotalaria_retusa",-85.136111,10.330556
"61190","Crotalaria_retusa",-83.205556,8.702778
"61317","Crotalaria_retusa",-84.2025,9.645
"61444","Crotalaria_retusa",-83.557437,9.007331
"61450","Crotalaria_retusa",-84.828056,10.000833
"61786","Crotalaria_retusa",-65.734167,18.381667
"61923","Crotalaria_retusa",-88.25,17.55
"64941","Crotalaria_retusa",-38.255,-6.254167
"64954","Crotalaria_retusa",-37.916667,-4.916667
"64956","Crotalaria_retusa",-38.6,-12.6
"64957","Crotalaria_retusa",-40.9,-9.9
"64972","Crotalaria_retusa",-42.265833,-13.265278
"65045","Crotalaria_retusa",-39.345,-8.336389
"65075","Crotalaria_retusa",-37.6,-11.6
"65119","Crotalaria_retusa",-38.6175,-10.617222
"65146","Crotalaria_retusa",-38.782778,-7.778611
"65184","Crotalaria_retusa",-41.834167,-13.837222
"65219","Crotalaria_retusa",-63.145,-9.149722
"65252","Crotalaria_retusa",-41.75,-13.75
"65318","Crotalaria_retusa",-39.373611,-7.367778
"65326","Crotalaria_retusa",-39.523056,-15.520556
"65327","Crotalaria_retusa",-38.416389,-12.412222
"65348","Crotalaria_retusa",-38.010278,-12.000833
"65465","Crotalaria_retusa",-37.259167,-6.25
"65492","Crotalaria_retusa",-38.35,-12.35
"65504","Crotalaria_retusa",-35.553611,-6.563333
"65505","Crotalaria_retusa",-49.446667,-11.435556
"65513","Crotalaria_retusa",-38.7,-12.696944
"65528","Crotalaria_retusa",-38.7,-12.7
"65529","Crotalaria_retusa",-39.933333,-10.933333
"65611","Crotalaria_retusa",-40.308611,-3.306111
"65614","Crotalaria_retusa",-39.115833,-12.115556
"65645","Crotalaria_retusa",-37.410833,-9.409444
"67326","Crotalaria_retusa",-37.256944,-6.566389
"67333","Crotalaria_retusa",-35.182778,-5.830278
"67380","Crotalaria_retusa",-35.191389,-5.873333
"67399","Crotalaria_retusa",-35.352778,-6.329167
"67408","Crotalaria_retusa",-35.202222,-5.834444
"67416","Crotalaria_retusa",-37.256667,-6.573611
"67436","Crotalaria_retusa",-36.986667,-6.383056
"67463","Crotalaria_retusa",-35.553611,-6.78
"67476","Crotalaria_retusa",-35.351944,-5.891111
"67494","Crotalaria_retusa",-35.183333,-5.9225
"67519","Crotalaria_retusa",-37.667778,-7.108611
"67527","Crotalaria_retusa",-37.044167,-6.217222
"67532","Crotalaria_retusa",1.918333,7.903333
"67582","Crotalaria_retusa",10.391667,-1.735
"67591","Crotalaria_retusa",9.685,4.773333
"67696","Crotalaria_retusa",121.4,14.1
"67943","Crotalaria_retusa",9.586944,1.005278
"68116","Crotalaria_retusa",-14.639056,13.406861
"68890","Crotalaria_retusa",44.65,-18.53333
"68934","Crotalaria_retusa",9.454444,0.411944
"74171","Crotalaria_retusa",3.184181,9.827998
"74176","Crotalaria_retusa",1.65663,6.84156
"74179","Crotalaria_retusa",3.315442,10.225947
"74182","Crotalaria_retusa",2.28778,7.24258
"74192","Crotalaria_retusa",1.83641,6.33466
"74195","Crotalaria_retusa",2.43653,6.55327
"74202","Crotalaria_retusa",2.5224,6.64917
"74207","Crotalaria_retusa",2.08511,6.83952
"74215","Crotalaria_retusa",2.481514,6.897062
"74216","Crotalaria_retusa",2.498319,6.901312
"74217","Crotalaria_retusa",2.497442,6.900098
"81891","Crotalaria_retusa",46.65,-25.01667
"81904","Crotalaria_retusa",49.66667,-13.3
"81928","Crotalaria_retusa",9.75833,4.81667
"85292","Crotalaria_retusa",145.4581,-17.6428
"85328","Crotalaria_retusa",130.4792,-15.0875
"85340","Crotalaria_retusa",130.3139,-14.5867
"95634","Crotalaria_retusa",-93.870833,15.963889
"95674","Crotalaria_retusa",-92.849444,18.35
"95949","Crotalaria_retusa",3.361124,6.525258
"134243","Crotalaria_retusa",-75.138629,19.913567
"134286","Crotalaria_retusa",-81.48471,27.80944
"134325","Crotalaria_retusa",-81.718333,28.541667
"134349","Crotalaria_retusa",-75.138053,19.913795
"134835","Crotalaria_retusa",-52.133333,4.533333
"134919","Crotalaria_retusa",-1.308667,5.182667
"134932","Crotalaria_retusa",-71.037135,6.974788
"136311","Crotalaria_retusa",-86.5,11.866667
"136353","Crotalaria_retusa",44.339444,-23.3475
"137343","Crotalaria_retusa",-38.316667,-12.683333
"137344","Crotalaria_retusa",-40.923056,-9.191944
"137345","Crotalaria_retusa",-38.5,-12.966667
"137346","Crotalaria_retusa",-38.666667,-12.883333
"137347","Crotalaria_retusa",-38.35,-12.933333
"137348","Crotalaria_retusa",-38.416389,-12.945556
"137349","Crotalaria_retusa",-37.89,-12.329167
"137350","Crotalaria_retusa",-35.921667,-9.601667
"137351","Crotalaria_retusa",-35.9,-9.633333
"137381","Crotalaria_retusa",-37.456944,-9.905833
"137659","Crotalaria_retusa",-37.038611,-10.908889
"137680","Crotalaria_retusa",-36.6395,-10.255417
"137691","Crotalaria_retusa",-37.315,-10.758056
"137694","Crotalaria_retusa",-37.453472,-11.154472
"137701","Crotalaria_retusa",-37.681389,-9.687222
"137719","Crotalaria_retusa",-37.456811,-10.788539
"137721","Crotalaria_retusa",-37.042958,-10.983708
"137728","Crotalaria_retusa",-37.123333,-11.073486
"137729","Crotalaria_retusa",-37.433889,-11.400278
"137783","Crotalaria_retusa",-37.425861,-11.385528
"137811","Crotalaria_retusa",-37.431192,-11.276475
"137817","Crotalaria_retusa",-37.165278,-10.731667
"137819","Crotalaria_retusa",-37.417333,-11.386917
"137827","Crotalaria_retusa",-37.071667,-10.911111
"137868","Crotalaria_retusa",-37.177778,-10.737083
"137889","Crotalaria_retusa",-37.292472,-11.317583
"137909","Crotalaria_retusa",-37.344167,-5.1875
"137926","Crotalaria_retusa",-37.868611,-9.981389
"137938","Crotalaria_retusa",-37.026083,-10.933861
"137942","Crotalaria_retusa",-37.169722,-10.806389
"138011","Crotalaria_retusa",-37.163333,-10.818056
"138012","Crotalaria_retusa",-37.158333,-10.820556
"138017","Crotalaria_retusa",-37.160833,-10.823056
"138020","Crotalaria_retusa",-37.042778,-10.983611
"138028","Crotalaria_retusa",-36.855833,-10.737778
"138074","Crotalaria_retusa",-36.757222,-10.652222
"138569","Crotalaria_retusa",-46.673056,-0.913611
"138570","Crotalaria_retusa",-46.681667,-0.915
"138610","Crotalaria_retusa",-45.860556,-2.242778
"138618","Crotalaria_retusa",-46.682361,-0.914833
"138623","Crotalaria_retusa",-46.682222,-0.914722
"139877","Crotalaria_retusa",54.326389,17.993333
"141836","Crotalaria_retusa",-90.527222,19.8
"141925","Crotalaria_retusa",-90.494167,19.873611
"141928","Crotalaria_retusa",-90.556111,19.744167
"141932","Crotalaria_retusa",-90.894444,18.626389
"141934","Crotalaria_retusa",-90.494722,19.7875
"141946","Crotalaria_retusa",-89.777778,18.144444
"141988","Crotalaria_retusa",-90.516667,19.813889
"142008","Crotalaria_retusa",-91.871667,17.762222
"142025","Crotalaria_retusa",-91.810833,17.751389
"142026","Crotalaria_retusa",-91.791667,18.641667
"143245","Crotalaria_retusa",44.572222,-23.688889
"143523","Crotalaria_retusa",-85.850472,12.184194
"148358","Crotalaria_retusa",128.305833,-16.186778
"148449","Crotalaria_retusa",127.818056,-18.426389
"148503","Crotalaria_retusa",128.039319,-17.471349
"149369","Crotalaria_retusa",-74.9261,4.0838
"150465","Crotalaria_retusa",2.366667,7.416667
"150498","Crotalaria_retusa",9.518611,0.483055
"150499","Crotalaria_retusa",46.866667,-24.8
"151058","Crotalaria_retusa",-65.8222,18.0636
"152086","Crotalaria_retusa",46.63333,-24.51667
"153829","Crotalaria_retusa",77.230003,28.67
"154014","Crotalaria_retusa",-72.625361,5.244233
"154910","Crotalaria_retusa",-1.512,9.1544
"154922","Crotalaria_retusa",-1.49414,9.06285
"154923","Crotalaria_retusa",0.50043,9.46034
"155714","Crotalaria_retusa",11.633333,4.45
"158304","Crotalaria_retusa",77.209999,28.67
"158309","Crotalaria_retusa",77.32,28.67
"158314","Crotalaria_retusa",46.30361,-25.01444
"158330","Crotalaria_retusa",49.09639,-12.88583
"158802","Crotalaria_retusa",-49.413333,-2.5325
"158808","Crotalaria_retusa",-65.294722,-4.865278
"158809","Crotalaria_retusa",-65.273889,-4.851389
"158813","Crotalaria_retusa",-65.042778,-4.771389
"159069","Crotalaria_retusa",-92.6468963,18.4065204
"159082","Crotalaria_retusa",-92.5791181,18.5498467
"159110","Crotalaria_retusa",-92.809676,18.3437499
"159116","Crotalaria_retusa",-92.5132825,18.5534577
"161222","Crotalaria_retusa",-84.828056,10.000833
"161306","Crotalaria_retusa",46.66666,-25
"161532","Crotalaria_retusa",-85.850472,12.184194
"161568","Crotalaria_retusa",38.7,-6.2
"161750","Crotalaria_retusa",9.370417,0.526028
"161862","Crotalaria_retusa",-82.82,9.73
"162168","Crotalaria_retusa",-39.08,-16.373611
"162204","Crotalaria_retusa",-46.371944,-13.017222
"162278","Crotalaria_retusa",-39.08,-16.368611
"162297","Crotalaria_retusa",-37.916667,-4.916667
"162377","Crotalaria_retusa",-38.7,-12.983333
"164909","Crotalaria_retusa",-48.594917,-27.343028
"164916","Crotalaria_retusa",-48.905417,-25.247639
"164967","Crotalaria_retusa",-38.321111,-7.983333
"165020","Crotalaria_retusa",-40.574722,-15.264722
"165024","Crotalaria_retusa",-35.191389,-5.873333
"165071","Crotalaria_retusa",-35.502553,-8.179167
"165072","Crotalaria_retusa",-41.709444,-4.941667
"165310","Crotalaria_retusa",125.298333,-18.379444
"166104","Crotalaria_retusa",-51.419167,-20.367778
"166252","Crotalaria_retusa",-44.46,-4.32
"166304","Crotalaria_retusa",-46.371944,-13.017222
"166327","Crotalaria_retusa",-54.913056,-3.418056
"166405","Crotalaria_retusa",-43.75,-21.216667
"166428","Crotalaria_retusa",-44.28,-4.5
"170276","Crotalaria_retusa",-47.277222,-20.157778
"170302","Crotalaria_retusa",-47.012222,-23.292222
"172060","Crotalaria_retusa",2.3,7.2333
"172061","Crotalaria_retusa",1.95,7.1666
"172062","Crotalaria_retusa",3.3833,10.05
"172063","Crotalaria_retusa",2.1833,7.75
"172064","Crotalaria_retusa",2.7166,9.85
"172065","Crotalaria_retusa",2.0833,6.85
"172066","Crotalaria_retusa",1.6666,7.9666
"173510","Crotalaria_retusa",-48.427222,-22.843333
"173523","Crotalaria_retusa",-60.151111,-3.153333
"173524","Crotalaria_retusa",-48.396667,-22.841111
"176623","Crotalaria_retusa",-86.5,11.866667
"176678","Crotalaria_retusa",-84.416667,13.783333
"176768","Crotalaria_retusa",-84.275472,13.542056
"176885","Crotalaria_retusa",49.22083,-12.16666
"176925","Crotalaria_retusa",-85.426194,11.968139
"177050","Crotalaria_retusa",44.593889,-19.703333
"177293","Crotalaria_retusa",-78.3,8.066667
"177346","Crotalaria_retusa",46.866667,-24.8
"177451","Crotalaria_retusa",48.06,-13.76
"178059","Crotalaria_retusa",-39.13,-16.87
"178306","Crotalaria_retusa",53.05,16.65
"179090","Crotalaria_retusa",-89.53333,14.3
"180158","Crotalaria_retusa",2.231007,11.203418
"180259","Crotalaria_retusa",1.984995,10.222429
"180260","Crotalaria_retusa",1.986145,10.222623
"180261","Crotalaria_retusa",1.986059,10.223644
"180262","Crotalaria_retusa",1.987664,10.224246
"180263","Crotalaria_retusa",1.97542,10.224778
"180264","Crotalaria_retusa",1.985918,10.224883
"180265","Crotalaria_retusa",1.985297,10.225188
"180266","Crotalaria_retusa",1.984246,10.225366
"180267","Crotalaria_retusa",1.975993,10.22553
"180268","Crotalaria_retusa",1.988892,10.225552
"180269","Crotalaria_retusa",1.986902,10.225736
"180270","Crotalaria_retusa",1.976822,10.225813
"180271","Crotalaria_retusa",1.975653,10.226026
"180272","Crotalaria_retusa",1.978994,10.226118
