"","species","lon","lat"
"13267","Cucumis_anguria",16.3244,-20.6606
"13796","Cucumis_anguria",-97.15,18.233
"27402","Cucumis_anguria",-85.37916,12.19722
"27670","Cucumis_anguria",-63.496389,-19.176389
"27999","Cucumis_anguria",-66.384646,18.484241
"37039","Cucumis_anguria",-74.752222,5.091944
"37042","Cucumis_anguria",-75.729417,6.419806
"39152","Cucumis_anguria",-63.508889,-20.09
"39245","Cucumis_anguria",-63.284167,-19.109722
"39576","Cucumis_anguria",-78.534444,-5.667222
"39613","Cucumis_anguria",-64.110833,-18.930833
"39669","Cucumis_anguria",-98.013383,18.221533
"40378","Cucumis_anguria",23.5,-18.57
"40442","Cucumis_anguria",-55.591944,-11.936388
"40658","Cucumis_anguria",151.333333,-24.5
"40659","Cucumis_anguria",145.666667,-19.833333
"40660","Cucumis_anguria",142,-12.666667
"40684","Cucumis_anguria",23.535583,-18.585567
"40916","Cucumis_anguria",122.5,-18
"40940","Cucumis_anguria",23.522017,-18.532417
"41091","Cucumis_anguria",146.333333,-19.5
"41092","Cucumis_anguria",138.5,-18.333333
"41093","Cucumis_anguria",143.166667,-14
"41401","Cucumis_anguria",-37.156389,-8.5225
"41413","Cucumis_anguria",-35.020833,-7.7875
"41601","Cucumis_anguria",-104.991667,19.433333
"41654","Cucumis_anguria",141.666667,-14.833333
"41880","Cucumis_anguria",144.666667,-21.166667
"44970","Cucumis_anguria",-39.285278,-7.833333
"50237","Cucumis_anguria",-62.509444,-16.649444
"50393","Cucumis_anguria",-86.322222,13.193056
"52123","Cucumis_anguria",144.676111,-18.227222
"56263","Cucumis_anguria",-79.4,-4.35
"57603","Cucumis_anguria",-61.055,-17.7553
"61171","Cucumis_anguria",-85.688889,10.966667
"61910","Cucumis_anguria",-66.240556,18.037222
"62131","Cucumis_anguria",-66.25,18.085556
"62452","Cucumis_anguria",-66.3008,18.0072
"63429","Cucumis_anguria",-67.3,-31.021667
"64916","Cucumis_anguria",-38.966667,-12.966667
"65173","Cucumis_anguria",-38.778056,-8.776111
"65229","Cucumis_anguria",-37.156389,-8.155833
"65271","Cucumis_anguria",-38.883333,-12.883333
"65411","Cucumis_anguria",-38.782778,-7.778611
"65460","Cucumis_anguria",-40.216667,-10.216667
"66380","Cucumis_anguria",147.833333,-20.666667
"66405","Cucumis_anguria",-47.29111,-16.21361
"66406","Cucumis_anguria",145.666667,-19.5
"66584","Cucumis_anguria",148.166667,-20
"66698","Cucumis_anguria",150.5,-24.833333
"66699","Cucumis_anguria",151,-24.833333
"66880","Cucumis_anguria",150.166667,-24.166667
"66994","Cucumis_anguria",148.5,-20.166667
"67032","Cucumis_anguria",142.666667,-12.666667
"67430","Cucumis_anguria",-36.517778,-6.25
"67520","Cucumis_anguria",-37.260833,-6.586111
"67602","Cucumis_anguria",14.007222,-17.449722
"70914","Cucumis_anguria",18.379999,-33.810001
"71886","Cucumis_anguria",-59.443417,-10.182264
"73359","Cucumis_anguria",144.883333,-16.469444
"73563","Cucumis_anguria",145.337222,-19.13
"73620","Cucumis_anguria",143.20125,-13.926639
"73642","Cucumis_anguria",143.635833,-18.579444
"73768","Cucumis_anguria",144.391111,-17.101944
"78064","Cucumis_anguria",-109.5,32.3
"83875","Cucumis_anguria",-104.9625,19.441667
"95621","Cucumis_anguria",-99.212222,21.597222
"95623","Cucumis_anguria",-92.111111,15.455556
"95624","Cucumis_anguria",-99.705833,21.560278
"95625","Cucumis_anguria",-100.274722,22.040278
"95627","Cucumis_anguria",-104.299167,19.056944
"95628","Cucumis_anguria",-99.607778,21.440833
"133941","Cucumis_anguria",-81.95953,29.73504
"134452","Cucumis_anguria",-81.48824,27.81658
"136183","Cucumis_anguria",-84.96,9.93
"136293","Cucumis_anguria",-63.433453,-19.033503
"136508","Cucumis_anguria",-75.8816,6.57578
"136587","Cucumis_anguria",-72.9853,10.96205
"136988","Cucumis_anguria",-104.98,19.37
"137715","Cucumis_anguria",-37.419861,-10.1035
"137873","Cucumis_anguria",-37.198333,-10.226944
"140075","Cucumis_anguria",-97.028333,17.948583
"141278","Cucumis_anguria",-99.2208,21.626014
"141284","Cucumis_anguria",-99.714708,21.575181
"141574","Cucumis_anguria",-99.606944,21.4675
"143299","Cucumis_anguria",-64.110833,-18.930833
"151047","Cucumis_anguria",18.2392,-22.4242
"151069","Cucumis_anguria",-67.1058,18.0078
"151086","Cucumis_anguria",-94.956,16.5476
"152212","Cucumis_anguria",-40.735556,-18.989167
"154075","Cucumis_anguria",-56.778611,-20.685278
"157494","Cucumis_anguria",18.379,-33.81
"157715","Cucumis_anguria",146.3283,-19.495
"161523","Cucumis_anguria",-63.291389,-17.317778
"161639","Cucumis_anguria",-85.69,10.971667
"161757","Cucumis_anguria",-60.773611,-17.828333
"161825","Cucumis_anguria",-78.583333,-5.916667
"163037","Cucumis_anguria",-84.96,9.93
"163048","Cucumis_anguria",-86.322222,13.193056
"163122","Cucumis_anguria",-90.06666,13.8
"163432","Cucumis_anguria",-63.216667,-18.55
"168648","Cucumis_anguria",-104.99167,19.43333
"172294","Cucumis_anguria",-47.4567,-22.4819
"172331","Cucumis_anguria",-40.787222,-9.359722
"173662","Cucumis_anguria",-93.560555,16.605278
"176601","Cucumis_anguria",-84.68,9.85
"177235","Cucumis_anguria",-63.433453,-19.033503
"177493","Cucumis_anguria",-63.423611,-17.1875
"178023","Cucumis_anguria",23.52,-18.53
"178062","Cucumis_anguria",23.53,-18.58
"178128","Cucumis_anguria",-88.15194,13.37306
"207119","Cucumis_anguria",27.52,-17.35
"207174","Cucumis_anguria",26.9,-16.44
"212447","Cucumis_anguria",143.2,-13.916667
"212846","Cucumis_anguria",144.383333,-17.1
"212854","Cucumis_anguria",144.768056,-15.954167
"212909","Cucumis_anguria",145.868889,-19.704167
"214163","Cucumis_anguria",144.973611,-21.214167
