"","species","lon","lat"
"12380","Cynosurus_echinatus",-81.1106,34.7332
"13234","Cynosurus_echinatus",-123.07,44.017
"14082","Cynosurus_echinatus",149.631355,-34.026018
"20397","Cynosurus_echinatus",9.728898,44.107159
"20421","Cynosurus_echinatus",9.617214,44.153696
"20429","Cynosurus_echinatus",9.730219,44.102748
"20433","Cynosurus_echinatus",9.666059,44.148219
"20515","Cynosurus_echinatus",9.707824,44.132653
"20518","Cynosurus_echinatus",9.619326,44.144052
"20556","Cynosurus_echinatus",9.783761,44.080426
"20558","Cynosurus_echinatus",9.676441,44.173762
"20568","Cynosurus_echinatus",9.680518,44.158361
"20622","Cynosurus_echinatus",9.751748,44.093984
"20623","Cynosurus_echinatus",9.745816,44.096139
"20649","Cynosurus_echinatus",9.692622,44.131522
"20690","Cynosurus_echinatus",8.018805,44.116437
"20739","Cynosurus_echinatus",9.794284,44.064094
"20776","Cynosurus_echinatus",7.719023,43.969749
"20777","Cynosurus_echinatus",9.95062,44.134972
"20778","Cynosurus_echinatus",9.816775,44.277362
"21138","Cynosurus_echinatus",21.70944,38.52833
"21139","Cynosurus_echinatus",21.67111,38.56694
"21140","Cynosurus_echinatus",21.64278,38.48278
"21141","Cynosurus_echinatus",21.68222,38.45694
"21142","Cynosurus_echinatus",21.72194,38.43833
"21143","Cynosurus_echinatus",21.57056,38.61611
"21144","Cynosurus_echinatus",21.54861,38.6025
"21145","Cynosurus_echinatus",21.61611,38.57111
"21146","Cynosurus_echinatus",21.63,38.58472
"21147","Cynosurus_echinatus",21.63778,38.58528
"21148","Cynosurus_echinatus",21.62861,38.35167
"21149","Cynosurus_echinatus",21.99833,38.50778
"21150","Cynosurus_echinatus",21.72667,38.35306
"21151","Cynosurus_echinatus",21.75444,38.35556
"21152","Cynosurus_echinatus",21.94861,38.52861
"21153","Cynosurus_echinatus",21.51528,38.42972
"21154","Cynosurus_echinatus",21.54194,38.38444
"21155","Cynosurus_echinatus",21.87639,38.46472
"21156","Cynosurus_echinatus",21.87806,38.42028
"21157","Cynosurus_echinatus",21.76917,38.40722
"21158","Cynosurus_echinatus",21.84583,38.41333
"21159","Cynosurus_echinatus",21.84167,38.38944
"21160","Cynosurus_echinatus",21.65722,38.99278
"21161","Cynosurus_echinatus",21.60611,39.09639
"21162","Cynosurus_echinatus",21.60083,39.03
"21163","Cynosurus_echinatus",21.54472,38.84028
"21164","Cynosurus_echinatus",21.51056,38.80556
"21165","Cynosurus_echinatus",21.49278,38.80139
"21166","Cynosurus_echinatus",21.44833,38.77611
"21167","Cynosurus_echinatus",21.42056,38.73361
"21168","Cynosurus_echinatus",21.435,38.68361
"21169","Cynosurus_echinatus",21.51722,38.71889
"21170","Cynosurus_echinatus",21.60694,39.05639
"21171","Cynosurus_echinatus",21.47333,38.67083
"21172","Cynosurus_echinatus",21.19167,38.66306
"21173","Cynosurus_echinatus",21.295,38.66389
"21174","Cynosurus_echinatus",21.32444,38.6725
"21175","Cynosurus_echinatus",21.33306,38.80833
"21176","Cynosurus_echinatus",21.33389,38.78694
"21177","Cynosurus_echinatus",21.3375,38.76333
"21178","Cynosurus_echinatus",21.35,38.74111
"21179","Cynosurus_echinatus",21.33472,38.71667
"21180","Cynosurus_echinatus",21.24028,38.57194
"21181","Cynosurus_echinatus",21.21444,38.62389
"21182","Cynosurus_echinatus",21.35611,38.68083
"21183","Cynosurus_echinatus",21.47056,38.66694
"21184","Cynosurus_echinatus",21.69583,38.485
"21185","Cynosurus_echinatus",21.67444,38.49
"21186","Cynosurus_echinatus",21.67111,38.46389
"21187","Cynosurus_echinatus",21.61889,38.49528
"21188","Cynosurus_echinatus",21.69056,38.51056
"21189","Cynosurus_echinatus",21.48111,38.63333
"21190","Cynosurus_echinatus",21.69306,38.56222
"21191","Cynosurus_echinatus",21.45028,38.635
"21192","Cynosurus_echinatus",21.46556,38.66028
"21193","Cynosurus_echinatus",21.61806,38.62611
"21194","Cynosurus_echinatus",21.57861,38.61833
"21195","Cynosurus_echinatus",21.69306,38.59944
"21196","Cynosurus_echinatus",21.74861,38.50083
"21197","Cynosurus_echinatus",21.70778,38.62667
"21198","Cynosurus_echinatus",21.73361,38.58028
"21199","Cynosurus_echinatus",21.34528,38.71861
"21201","Cynosurus_echinatus",21.76417,38.515
"21202","Cynosurus_echinatus",21.66139,38.57889
"21218","Cynosurus_echinatus",21.80472,38.57472
"21219","Cynosurus_echinatus",21.84417,38.66083
"21220","Cynosurus_echinatus",21.8625,38.68361
"21221","Cynosurus_echinatus",21.85944,38.68639
"21222","Cynosurus_echinatus",21.87111,38.715
"21224","Cynosurus_echinatus",21.84167,38.755
"21225","Cynosurus_echinatus",21.86972,38.77306
"21226","Cynosurus_echinatus",21.84722,38.75833
"21227","Cynosurus_echinatus",21.78778,38.83472
"21228","Cynosurus_echinatus",21.505,38.99194
"21229","Cynosurus_echinatus",21.56583,38.99583
"21230","Cynosurus_echinatus",21.56639,38.97944
"21231","Cynosurus_echinatus",21.57139,38.96583
"21232","Cynosurus_echinatus",21.60778,38.87167
"21233","Cynosurus_echinatus",21.72444,39.02778
"21343","Cynosurus_echinatus",20.5025,39.25389
"21344","Cynosurus_echinatus",21.10528,39.13417
"21346","Cynosurus_echinatus",21.16806,39.3325
"22408","Cynosurus_echinatus",24.55361,41.24111
"22501","Cynosurus_echinatus",21.52972,39.74472
"22502","Cynosurus_echinatus",21.60417,39.38167
"22504","Cynosurus_echinatus",21.58417,39.35556
"22560","Cynosurus_echinatus",21.54667,39.36611
"22562","Cynosurus_echinatus",21.56306,39.36444
"22615","Cynosurus_echinatus",20.68139,38.83528
"22616","Cynosurus_echinatus",21.1775,38.91806
"22617","Cynosurus_echinatus",21.03444,38.87278
"22618","Cynosurus_echinatus",21.07139,39.05056
"22619","Cynosurus_echinatus",21.05472,39.07528
"22626","Cynosurus_echinatus",20.68194,38.83889
"22627","Cynosurus_echinatus",20.74111,38.8225
"22632","Cynosurus_echinatus",21.27111,39.34139
"22633","Cynosurus_echinatus",21.20306,39.295
"22634","Cynosurus_echinatus",21.11556,39.20167
"22635","Cynosurus_echinatus",21.08861,39.34278
"22636","Cynosurus_echinatus",20.71972,38.79889
"22642","Cynosurus_echinatus",21.6275,39.46194
"22649","Cynosurus_echinatus",21.66417,39.41222
"22650","Cynosurus_echinatus",21.65861,39.45056
"22652","Cynosurus_echinatus",20.77278,38.99583
"22653","Cynosurus_echinatus",20.76556,38.9375
"22654","Cynosurus_echinatus",20.69611,39.06278
"22655","Cynosurus_echinatus",20.71667,39.02611
"22657","Cynosurus_echinatus",20.86417,39.05417
"22658","Cynosurus_echinatus",21.08556,39.10611
"22659","Cynosurus_echinatus",20.765,39.32528
"22660","Cynosurus_echinatus",20.78722,39.23056
"22661","Cynosurus_echinatus",20.72667,39.18667
"22662","Cynosurus_echinatus",20.71278,39.21972
"22665","Cynosurus_echinatus",21.23556,38.965
"22670","Cynosurus_echinatus",21.15444,38.99333
"22671","Cynosurus_echinatus",21.13306,39.02333
"23362","Cynosurus_echinatus",23.36167,38.44917
"23408","Cynosurus_echinatus",25.48778,35.04417
"24023","Cynosurus_echinatus",22.26528,37.7225
"24024","Cynosurus_echinatus",22.38667,37.85333
"24025","Cynosurus_echinatus",22.11417,37.50528
"24027","Cynosurus_echinatus",22.16444,37.64889
"24028","Cynosurus_echinatus",22.20083,37.66583
"24029","Cynosurus_echinatus",22.06139,37.565
"24030","Cynosurus_echinatus",22.19889,37.66583
"24034","Cynosurus_echinatus",22.14611,37.54667
"24035","Cynosurus_echinatus",22.18278,37.55889
"24036","Cynosurus_echinatus",22.09278,37.54056
"24037","Cynosurus_echinatus",22.06583,37.58583
"24038","Cynosurus_echinatus",22.25167,37.86139
"24039","Cynosurus_echinatus",22.05556,37.67306
"24040","Cynosurus_echinatus",22.01778,37.76194
"24041","Cynosurus_echinatus",21.98722,37.76778
"24043","Cynosurus_echinatus",22.13361,37.81806
"24045","Cynosurus_echinatus",22.22972,37.86167
"24046","Cynosurus_echinatus",22.1925,37.67333
"24047","Cynosurus_echinatus",22.21944,37.73056
"24048","Cynosurus_echinatus",22.13806,37.94333
"24049","Cynosurus_echinatus",22.15306,37.80389
"24050","Cynosurus_echinatus",22.1325,37.90306
"24051","Cynosurus_echinatus",22.27472,37.88
"24052","Cynosurus_echinatus",22.13194,37.82528
"24053","Cynosurus_echinatus",22.10167,37.895
"24054","Cynosurus_echinatus",22.13056,37.89167
"24055","Cynosurus_echinatus",21.95611,37.69861
"24056","Cynosurus_echinatus",22.07972,37.63167
"24057","Cynosurus_echinatus",22.16778,37.65167
"24058","Cynosurus_echinatus",22.16028,37.60222
"24059","Cynosurus_echinatus",22.04639,38.02833
"24060","Cynosurus_echinatus",22.26694,37.63778
"24061","Cynosurus_echinatus",21.88389,38.03806
"24062","Cynosurus_echinatus",21.91556,38.02306
"24063","Cynosurus_echinatus",22.22306,37.61111
"24064","Cynosurus_echinatus",21.90944,38.01528
"24065","Cynosurus_echinatus",21.91194,38.00556
"24066","Cynosurus_echinatus",21.8925,38.035
"24067","Cynosurus_echinatus",22.07861,38.15833
"24068","Cynosurus_echinatus",21.93139,38.05333
"24069","Cynosurus_echinatus",21.90111,38.0975
"24070","Cynosurus_echinatus",21.95611,38.23472
"24071","Cynosurus_echinatus",22.03278,38.04722
"24072","Cynosurus_echinatus",22.05917,38.24694
"24073","Cynosurus_echinatus",22.39417,38.07361
"24074","Cynosurus_echinatus",22.09278,38.18861
"24075","Cynosurus_echinatus",22.17528,38.12028
"24076","Cynosurus_echinatus",22.28722,38.12972
"24077","Cynosurus_echinatus",23.36944,38.18167
"24078","Cynosurus_echinatus",21.83944,38.09278
"24079","Cynosurus_echinatus",23.32194,38.20833
"24080","Cynosurus_echinatus",22.92,38.36667
"24081","Cynosurus_echinatus",23.03,38.38222
"24082","Cynosurus_echinatus",22.76778,38.37361
"24083","Cynosurus_echinatus",22.68528,38.47861
"24084","Cynosurus_echinatus",22.64556,38.47528
"24085","Cynosurus_echinatus",23.03917,38.61694
"24086","Cynosurus_echinatus",22.925,38.65444
"24087","Cynosurus_echinatus",22.86861,38.42917
"24088","Cynosurus_echinatus",22.80083,38.37694
"24089","Cynosurus_echinatus",22.74944,38.51833
"24090","Cynosurus_echinatus",22.77333,38.45889
"24091","Cynosurus_echinatus",22.68194,38.45306
"24092","Cynosurus_echinatus",22.83139,38.44194
"24093","Cynosurus_echinatus",22.05528,37.96611
"24094","Cynosurus_echinatus",22.06111,37.99806
"24095","Cynosurus_echinatus",22.15611,37.8475
"24096","Cynosurus_echinatus",22.02111,37.90444
"24102","Cynosurus_echinatus",22.22056,37.78028
"24115","Cynosurus_echinatus",22.68,38.42361
"24116","Cynosurus_echinatus",22.24056,38.17722
"24117","Cynosurus_echinatus",22.08222,38.21167
"24118","Cynosurus_echinatus",22.40556,38.09611
"24119","Cynosurus_echinatus",21.98111,38.22306
"24120","Cynosurus_echinatus",22.05222,38.12083
"24121","Cynosurus_echinatus",21.91,38.00278
"24748","Cynosurus_echinatus",21.26111,40.15278
"25761","Cynosurus_echinatus",24.44833,41.24889
"25762","Cynosurus_echinatus",24.57667,41.25222
"25763","Cynosurus_echinatus",24.36389,41.18417
"25764","Cynosurus_echinatus",24.42556,41.21361
"25765","Cynosurus_echinatus",24.49917,41.31056
"25766","Cynosurus_echinatus",24.50306,41.27167
"25767","Cynosurus_echinatus",24.09667,41.38889
"25768","Cynosurus_echinatus",24.03333,41.37389
"25769","Cynosurus_echinatus",21.38111,40.04111
"25770","Cynosurus_echinatus",25.01389,41.12778
"25771","Cynosurus_echinatus",25.23806,41.07
"25772","Cynosurus_echinatus",24.52361,41.33778
"25773","Cynosurus_echinatus",24.64056,41.0225
"25774","Cynosurus_echinatus",24.91111,41.24611
"25775","Cynosurus_echinatus",24.60722,41.05194
"25776","Cynosurus_echinatus",24.63611,41.02694
"25833","Cynosurus_echinatus",21.625,40.15111
"25834","Cynosurus_echinatus",21.27889,40.25333
"25835","Cynosurus_echinatus",21.31111,40.19333
"25836","Cynosurus_echinatus",21.59194,40.23222
"25837","Cynosurus_echinatus",21.50028,40.18417
"25838","Cynosurus_echinatus",21.26972,40.16833
"25839","Cynosurus_echinatus",21.36694,40.1775
"25840","Cynosurus_echinatus",21.47278,40.18333
"25841","Cynosurus_echinatus",21.33278,40.07861
"25848","Cynosurus_echinatus",21.11333,39.76694
