"","species","lon","lat"
"12193","Cyperus_imbricatus",-5.021944,11.005278
"13558","Cyperus_imbricatus",-94.43487,18.03593
"13574","Cyperus_imbricatus",-92.908,17.504
"13677","Cyperus_imbricatus",-92.33633,18.22963
"19430","Cyperus_imbricatus",-85.183333,14.4
"19602","Cyperus_imbricatus",13.98039,0.83228
"27610","Cyperus_imbricatus",-64.966667,7.616667
"35185","Cyperus_imbricatus",48.495556,-17.611111
"35512","Cyperus_imbricatus",-56.25,-26.66666
"37580","Cyperus_imbricatus",1.5,9.866667
"37995","Cyperus_imbricatus",121.693333,25.084722
"38042","Cyperus_imbricatus",120.19564,23.60927
"38284","Cyperus_imbricatus",120.347776,23.597688
"38301","Cyperus_imbricatus",120.733333,22.316667
"38610","Cyperus_imbricatus",120.714167,24.5075
"38900","Cyperus_imbricatus",120.918143,24.297676
"39140","Cyperus_imbricatus",-57.85,-25.08333
"39154","Cyperus_imbricatus",-57.5,-25.11666
"39763","Cyperus_imbricatus",-58.0725,-34.8175
"40312","Cyperus_imbricatus",99.03,14.42
"50148","Cyperus_imbricatus",-85.183333,14.4
"56477","Cyperus_imbricatus",98.016,19.233
"56488","Cyperus_imbricatus",-15.8,16.233
"61245","Cyperus_imbricatus",-83.816667,9.95
"61934","Cyperus_imbricatus",-88.25,17.55
"63374","Cyperus_imbricatus",-99.333889,18.733889
"67941","Cyperus_imbricatus",1.55,10.05
"67949","Cyperus_imbricatus",1.45,9.35
"71958","Cyperus_imbricatus",-57.575556,-17.809444
"72033","Cyperus_imbricatus",-54.689167,-30.974167
"74259","Cyperus_imbricatus",-54.689167,-30.974167
"74260","Cyperus_imbricatus",-57.575556,-17.809444
"92274","Cyperus_imbricatus",-87.6667,14.5833
"92282","Cyperus_imbricatus",-72,-1
"93958","Cyperus_imbricatus",2.45,6.9
"95227","Cyperus_imbricatus",121.621667,23.995833
"95262","Cyperus_imbricatus",120.516667,22.966667
"95265","Cyperus_imbricatus",121.416667,23.666667
"95331","Cyperus_imbricatus",120.85,24.65
"95948","Cyperus_imbricatus",3.361124,6.525258
"135008","Cyperus_imbricatus",-71.166667,6.933333
"135047","Cyperus_imbricatus",-71.860694,4.550306
"136217","Cyperus_imbricatus",-57.5,-25.11666
"137404","Cyperus_imbricatus",-38.316667,-12.683333
"137405","Cyperus_imbricatus",-38.5,-12.966667
"137416","Cyperus_imbricatus",-38.914722,-13.410556
"143601","Cyperus_imbricatus",10.078611,-0.954028
"150436","Cyperus_imbricatus",10.07861,-0.95417
"150471","Cyperus_imbricatus",18.8,-5.033333
"152378","Cyperus_imbricatus",13.98039,0.83228
"152548","Cyperus_imbricatus",113.83,23.3
"154072","Cyperus_imbricatus",-57.450278,-19.021111
"155635","Cyperus_imbricatus",35.609339,33.104215
"159093","Cyperus_imbricatus",-92.2088305,18.2770836
"161341","Cyperus_imbricatus",-92.9,18.3
"161472","Cyperus_imbricatus",43.628889,-21.962222
"161843","Cyperus_imbricatus",-71.16666,6.93333
"161873","Cyperus_imbricatus",-64.5,7.502222
"163165","Cyperus_imbricatus",-55.58333,-27.28333
"163197","Cyperus_imbricatus",9.908667,-0.812028
"163209","Cyperus_imbricatus",-64.865278,-14.872222
"165862","Cyperus_imbricatus",-92.20889,18.27639
"172049","Cyperus_imbricatus",1.95,7.1666
"172050","Cyperus_imbricatus",1.55,10.05
"172051","Cyperus_imbricatus",1.45,9.35
"172052","Cyperus_imbricatus",2.4666,6.7
"172053","Cyperus_imbricatus",2.45,6.9
"172054","Cyperus_imbricatus",2.1833,7.75
"173700","Cyperus_imbricatus",-92.9125,17.506667
"176608","Cyperus_imbricatus",-88.241667,17.534722
"176892","Cyperus_imbricatus",48.490556,-17.630278
"177344","Cyperus_imbricatus",48.495278,-17.626944
"177406","Cyperus_imbricatus",-79.52527,9.17361
"177560","Cyperus_imbricatus",-83.616944,12.363722
"180489","Cyperus_imbricatus",-91.4559,17.73356
"180615","Cyperus_imbricatus",-92.36528,18.21298
"183116","Cyperus_imbricatus",-58.558198,-28.995664
"183474","Cyperus_imbricatus",-58.811626,-27.94629
"183667","Cyperus_imbricatus",-38.914722,-13.410556
"183790","Cyperus_imbricatus",-38.316667,-12.683333
"183927","Cyperus_imbricatus",-38.5,-12.966667
"184132","Cyperus_imbricatus",98.833056,24.948889
"203938","Cyperus_imbricatus",-91.6878,17.66253
"204001","Cyperus_imbricatus",-92.4858,18.39169
"214460","Cyperus_imbricatus",-91.2745,18.856389
"214926","Cyperus_imbricatus",-98.658278,20.369056
"214937","Cyperus_imbricatus",-98.352039,19.904411
"214956","Cyperus_imbricatus",-98.267139,20.166056
"215027","Cyperus_imbricatus",-98.260889,20.173028
"251052","Cyperus_imbricatus",-70.802372,6.990036
"258989","Cyperus_imbricatus",-44.500569,-21.270161
"260302","Cyperus_imbricatus",84.466667,27.566667
"264096","Cyperus_imbricatus",21,7.666667
"264129","Cyperus_imbricatus",1.55,10.05
"283321","Cyperus_imbricatus",2.8901,6.4183
"283323","Cyperus_imbricatus",3.914917,7.503746
"284295","Cyperus_imbricatus",-91.7886,17.75042
"284345","Cyperus_imbricatus",-91.6938,17.68502
"292080","Cyperus_imbricatus",-55.979458,-15.883108
"292162","Cyperus_imbricatus",-56.6,-16.383333
"296456","Cyperus_imbricatus",-40.561111,-9.328889
"296457","Cyperus_imbricatus",-37.250833,-8.532222
