"","species","lon","lat"
"12319","Cyperus_papyrus",31.516667,-8.483333
"13880","Cyperus_papyrus",-66.8694,18.3089
"13893","Cyperus_papyrus",-76.9428,38.8428
"27716","Cyperus_papyrus",47.068889,-20.671667
"34955","Cyperus_papyrus",10.437667,-3.009
"35479","Cyperus_papyrus",31.51666,-8.48333
"35833","Cyperus_papyrus",-66.9547,18.4831
"37073","Cyperus_papyrus",-75.607222,4.754444
"39032","Cyperus_papyrus",-63.58333,-18.31666
"39370","Cyperus_papyrus",48.257778,-18.275556
"39900","Cyperus_papyrus",48.279445,-18.204722
"50012","Cyperus_papyrus",48.260556,-18.278056
"50033","Cyperus_papyrus",48.279445,-18.204722
"50243","Cyperus_papyrus",48.257778,-18.275556
"51379","Cyperus_papyrus",35.58,33.1
"51492","Cyperus_papyrus",35.6,33.11
"51654","Cyperus_papyrus",35.6,33.1
"57015","Cyperus_papyrus",-83.3575,8.8236
"61039","Cyperus_papyrus",-83.580557,8.716667
"61417","Cyperus_papyrus",-83.3576,8.823658
"62607","Cyperus_papyrus",15.235501,37.042091
"62786","Cyperus_papyrus",15.240259,37.031624
"64946","Cyperus_papyrus",-40.172222,-10.177222
"65301","Cyperus_papyrus",-41.383333,-12.383333
"71441","Cyperus_papyrus",175.226391,-37.440162
"73610","Cyperus_papyrus",152.8,-31.666667
"85809","Cyperus_papyrus",15.25,37.05
"88533","Cyperus_papyrus",-0.39,39.41
"88536","Cyperus_papyrus",-0.3,39.3
"95946","Cyperus_papyrus",3.361124,6.525258
"96866","Cyperus_papyrus",152.801102,-31.665076
"102186","Cyperus_papyrus",-81.96037,28.10911
"102187","Cyperus_papyrus",-81.34449,28.58848
"102633","Cyperus_papyrus",-81.72144,28.02879
"102634","Cyperus_papyrus",-82.7229,28.11832
"102635","Cyperus_papyrus",-82.27292,27.86679
"106470","Cyperus_papyrus",-82.50278,27.48013
"106858","Cyperus_papyrus",-81.74255,28.06815
"106860","Cyperus_papyrus",-82.69795,27.98289
"110360","Cyperus_papyrus",-81.33796,28.59321
"110361","Cyperus_papyrus",-82.48335,27.43196
"110713","Cyperus_papyrus",-81.41022,28.52149
"110714","Cyperus_papyrus",-81.75307,28.03838
"113872","Cyperus_papyrus",-118.00273,33.70493
"114005","Cyperus_papyrus",-81.48373,27.52783
"114006","Cyperus_papyrus",-81.88388,27.01616
"117203","Cyperus_papyrus",-117.64599,33.5312
"133938","Cyperus_papyrus",-81.99976,29.72009
"134357","Cyperus_papyrus",-82.41047,29.61285
"134467","Cyperus_papyrus",-62.5136,-17.124
"134951","Cyperus_papyrus",-75.684,4.500833
"136172","Cyperus_papyrus",47.068889,-20.671667
"136284","Cyperus_papyrus",49.6675,-16.863611
"137418","Cyperus_papyrus",-41.383333,-12.55
"137419","Cyperus_papyrus",-39.55,-18.083333
"137773","Cyperus_papyrus",-37.206389,-11.014722
"143398","Cyperus_papyrus",48.249722,-18.151111
"155897","Cyperus_papyrus",15.25,37.05
"157616","Cyperus_papyrus",152.8,-31.65
"157682","Cyperus_papyrus",116.05,-32.0167
"158422","Cyperus_papyrus",-155.592,20.1172
"158491","Cyperus_papyrus",-155.583,20.1167
"162022","Cyperus_papyrus",-75.44001,5.094993
"163449","Cyperus_papyrus",47.089722,-20.196111
"163794","Cyperus_papyrus",-0.176,39.009
"165028","Cyperus_papyrus",-42.316389,-22.628889
"172067","Cyperus_papyrus",2.6166,6.3833
"172338","Cyperus_papyrus",-51.7003,-21.4894
"177286","Cyperus_papyrus",48.249722,-18.151111
"183886","Cyperus_papyrus",-41.383333,-12.55
"183930","Cyperus_papyrus",-39.55,-18.083333
"198454","Cyperus_papyrus",152.8,-31.67
"198568","Cyperus_papyrus",115.9225,-32.0417
"206982","Cyperus_papyrus",2.628333,6.397778
"212593","Cyperus_papyrus",115.9225,-32.041667
"212721","Cyperus_papyrus",152.8,-31.65
"214469","Cyperus_papyrus",-91.863056,18.361389
"216700","Cyperus_papyrus",-118.0021,33.7049
"247596","Cyperus_papyrus",9.98955,-0.83522
"248781","Cyperus_papyrus",151.259426,-27.190084
"250191","Cyperus_papyrus",116.05,-32.016667
"250565","Cyperus_papyrus",-62.86,-17.21111
"250778","Cyperus_papyrus",48.2497,-18.1511
"254886","Cyperus_papyrus",48.074722,-19.171111
"256963","Cyperus_papyrus",48.490556,-17.630278
"257232","Cyperus_papyrus",-83.580556,8.716667
"258980","Cyperus_papyrus",116.05,-32.016667
"263111","Cyperus_papyrus",152.940299,-27.551409
"265106","Cyperus_papyrus",10.437666,-3.009
"265644","Cyperus_papyrus",152.857462,-27.594794
"267070","Cyperus_papyrus",153.047032,-27.579073
"283111","Cyperus_papyrus",115.9225,-32.041667
"283318","Cyperus_papyrus",2.8901,6.4183
"283319","Cyperus_papyrus",5.002564,6.29058
"283512","Cyperus_papyrus",4.00596,6.580265
"285579","Cyperus_papyrus",-157.81733,21.40933
"286897","Cyperus_papyrus",-111.840445,40.495591
"289559","Cyperus_papyrus",-37.206389,-11.014722
"293973","Cyperus_papyrus",-90.502739,14.588855
"302548","Cyperus_papyrus",152.801101,-31.648409
"305868","Cyperus_papyrus",48.490556,-17.630278
"315705","Cyperus_papyrus",-81.74226,28.00281
"318586","Cyperus_papyrus",-118.00209,33.70493
"320058","Cyperus_papyrus",-81.48818,29.44435
"321508","Cyperus_papyrus",-81.73403,28.08262
"321663","Cyperus_papyrus",-118.00216,33.70495
"324273","Cyperus_papyrus",-81.36817,28.49111
"326744","Cyperus_papyrus",-47.7675,-15.886944
"332178","Cyperus_papyrus",-107.433333,24.800556
"332617","Cyperus_papyrus",2.61667,6.38333
"332664","Cyperus_papyrus",10.437667,-3.009
"332720","Cyperus_papyrus",2.62833,6.39778
"332828","Cyperus_papyrus",9.483333,-1.9
"333063","Cyperus_papyrus",9.98955,-0.83522
"345235","Cyperus_papyrus",9.483333,-1.9
"346023","Cyperus_papyrus",-111.866,33.5721
"349498","Cyperus_papyrus",-40.171944,-10.393889
"349746","Cyperus_papyrus",33.39777,-2.55861
"349822","Cyperus_papyrus",-83.580556,8.716667
"349916","Cyperus_papyrus",9.98955,-0.83522
"350249","Cyperus_papyrus",48.260556,-18.278056
"350461","Cyperus_papyrus",-67.716667,-16.15
"350794","Cyperus_papyrus",49.6675,-16.863611
"366549","Cyperus_papyrus",47.089722,-20.196111
"366839","Cyperus_papyrus",47.16111,-16.25666
"381919","Cyperus_papyrus",-99.115,18.732222
"382001","Cyperus_papyrus",-99.113389,18.732861
"391384","Cyperus_papyrus",173.192781,-34.994207
"398368","Cyperus_papyrus",-94.521111,17.969167
"400952","Cyperus_papyrus",-111.866,33.5721
"401775","Cyperus_papyrus",35.453277,-18.662969
"404776","Cyperus_papyrus",121.316944,25.060556
"411889","Cyperus_papyrus",10.437667,-3.009
"411914","Cyperus_papyrus",9.98955,-0.83522
"414198","Cyperus_papyrus",-94.51064,17.99008
"418256","Cyperus_papyrus",31.516667,-8.483333
"419759","Cyperus_papyrus",-89.53333,13.75
"431026","Cyperus_papyrus",-82.4615,28.1511
"432814","Cyperus_papyrus",-75.550278,-10.104167
"433063","Cyperus_papyrus",9.48333,-1.9
"433309","Cyperus_papyrus",48.074722,-19.171111
"442895","Cyperus_papyrus",-6.61,38.89
"447009","Cyperus_papyrus",1.6809,6.5915
"447995","Cyperus_papyrus",-84.84583,10.5025
"448082","Cyperus_papyrus",-67.716667,-16.15
"448325","Cyperus_papyrus",31.62861,-1.02361
"448485","Cyperus_papyrus",-62.86,-17.2111
"450377","Cyperus_papyrus",-84.845833,10.5025
"460060","Cyperus_papyrus",9.483333,-1.9
"460932","Cyperus_papyrus",150.083333,-35.883333
"463084","Cyperus_papyrus",31.190001,31.190001
"471179","Cyperus_papyrus",15.23333,37.03333
"479088","Cyperus_papyrus",15.23333,37.03333
"486714","Cyperus_papyrus",-75.550278,-10.104167
