"","species","lon","lat"
"13258","Cyprinus_carpio",-96.8875,44.3219
"13887","Cyprinus_carpio",-103.631,43.1334
"13902","Cyprinus_carpio",150.34163,-29.89922
"13904","Cyprinus_carpio",146.92259,-36.25892
"13905","Cyprinus_carpio",148.38647,-28.3306
"13907","Cyprinus_carpio",145.46709,-35.819125
"13908","Cyprinus_carpio",147.179254,-31.625929
"13910","Cyprinus_carpio",146.49176,-36.42635
"13913","Cyprinus_carpio",143.14188,-31.836247
"13915","Cyprinus_carpio",148.782001,-34.296657
"13917","Cyprinus_carpio",148.5756,-28.07319
"13918","Cyprinus_carpio",144.95994,-35.96508
"13919","Cyprinus_carpio",141.977203,-36.662205
"13920","Cyprinus_carpio",143.471,-36.941
"13923","Cyprinus_carpio",145.35471,-36.35777
"13924","Cyprinus_carpio",149.072176,-32.628391
"13925","Cyprinus_carpio",150.07103,-30.738197
"13927","Cyprinus_carpio",145.519,-36.424
"13928","Cyprinus_carpio",139.59962,-34.56333
"13929","Cyprinus_carpio",147.70369,-29.30374
"13930","Cyprinus_carpio",144.73874,-28.73724
"13934","Cyprinus_carpio",143.38154,-34.71445
"13935","Cyprinus_carpio",146.281228,-33.226457
"13936","Cyprinus_carpio",148.236,-35.3043
"13938","Cyprinus_carpio",150.48142,-30.32601
"13939","Cyprinus_carpio",142.033951,-36.48064
"13940","Cyprinus_carpio",144.01011,-35.09132
"13941","Cyprinus_carpio",144.81188,-36.11311
"13943","Cyprinus_carpio",150.53987,-28.713332
"13944","Cyprinus_carpio",142.24091,-36.69364
"13945","Cyprinus_carpio",151.86162,-27.92699
"13947","Cyprinus_carpio",144.556564,-36.628498
"13949","Cyprinus_carpio",143.42184,-37.16618
"13950","Cyprinus_carpio",146.60352,-34.75833
"13952","Cyprinus_carpio",144.882627,-33.873951
"13954","Cyprinus_carpio",149.649143,-33.074679
"13955","Cyprinus_carpio",142.00205,-33.84662
"13957","Cyprinus_carpio",146.10105,-26.47991
"13959","Cyprinus_carpio",149.89863,-29.47117
"13960","Cyprinus_carpio",145.03784,-28.16109
"13961","Cyprinus_carpio",147.91209,-36.025362
"13963","Cyprinus_carpio",143.93983,-36.61925
"13964","Cyprinus_carpio",149.00995,-34.88159
"13965","Cyprinus_carpio",147.261954,-36.399722
"13966","Cyprinus_carpio",149.127,-36.1122
"13967","Cyprinus_carpio",145.97572,-35.254077
"13969","Cyprinus_carpio",142.340881,-37.035751
"13972","Cyprinus_carpio",140.57307,-34.394227
"13976","Cyprinus_carpio",145.70705,-28.20121
"13977","Cyprinus_carpio",149.19716,-29.47312
"13978","Cyprinus_carpio",139.36723,-35.03533
"13979","Cyprinus_carpio",151.62609,-29.03293
"13981","Cyprinus_carpio",143.68319,-35.40771
"13982","Cyprinus_carpio",148.38876,-30.96197
"13984","Cyprinus_carpio",145.162,-36.036
"13985","Cyprinus_carpio",145.04895,-36.16397
"13988","Cyprinus_carpio",142.038157,-34.127725
"13990","Cyprinus_carpio",149.07327,-29.007522
"13991","Cyprinus_carpio",144.465302,-37.002167
"13992","Cyprinus_carpio",145.38894,-30.43022
"13994","Cyprinus_carpio",149.320233,-33.956757
"13995","Cyprinus_carpio",139.61356,-34.612447
"13996","Cyprinus_carpio",149.01719,-30.32256
"13998","Cyprinus_carpio",151.137556,-31.062221
"13999","Cyprinus_carpio",150.815347,-30.947119
"14000","Cyprinus_carpio",149.95436,-28.39205
"14002","Cyprinus_carpio",149.33743,-31.49594
"14003","Cyprinus_carpio",139.3097,-35.142287
"14008","Cyprinus_carpio",146.331116,-36.364395
"14010","Cyprinus_carpio",143.86992,-36.3164
"14013","Cyprinus_carpio",150.117561,-26.822377
"14014","Cyprinus_carpio",144.528748,-36.676075
"14015","Cyprinus_carpio",149.31527,-31.4529
"14016","Cyprinus_carpio",148.69144,-29.45431
"14019","Cyprinus_carpio",148.686079,-32.613427
"14020","Cyprinus_carpio",142.55802,-33.387147
"14021","Cyprinus_carpio",140.77304,-34.172077
"14023","Cyprinus_carpio",145.66999,-27.86651
"14024","Cyprinus_carpio",147.619919,-33.321377
"14028","Cyprinus_carpio",147.37918,-36.060587
"14031","Cyprinus_carpio",148.56702,-29.55632
"14032","Cyprinus_carpio",142.639035,-34.779008
"14035","Cyprinus_carpio",146.683258,-36.644833
"14037","Cyprinus_carpio",143.35889,-36.257445
"14038","Cyprinus_carpio",149.620132,-33.68027
"14039","Cyprinus_carpio",149.35756,-31.63547
"14041","Cyprinus_carpio",148.547,-34.9157
"14042","Cyprinus_carpio",149.28844,-29.72392
"14043","Cyprinus_carpio",144.46127,-29.23728
"14049","Cyprinus_carpio",144.17557,-29.67905
"14052","Cyprinus_carpio",145.39413,-29.074
"14053","Cyprinus_carpio",146.346804,-30.000213
"14055","Cyprinus_carpio",148.829,-33.574
"20783","Cyprinus_carpio",-98.837722,20.691389
"20784","Cyprinus_carpio",-99.379361,20.537806
"27336","Cyprinus_carpio",-117.732423,33.872302
"35012","Cyprinus_carpio",-84.432,39.27
"35018","Cyprinus_carpio",-73.167,45.035
"35037","Cyprinus_carpio",27.499,38.569
"35598","Cyprinus_carpio",-8.749903,41.950469
"35754","Cyprinus_carpio",-97.5938,43.3828
"35846","Cyprinus_carpio",-100.214,45.8553
"44157","Cyprinus_carpio",151.27459,-27.873424
"44407","Cyprinus_carpio",153.0427,-27.6739
"44539","Cyprinus_carpio",147.833,-35.383
"44568","Cyprinus_carpio",143.75,-30.483
"44732","Cyprinus_carpio",113.419998,34.099998
"44741","Cyprinus_carpio",113.419998,34.130001
"44757","Cyprinus_carpio",113.419998,34.540001
"44772","Cyprinus_carpio",106.139999,22.4
"44784","Cyprinus_carpio",113.419998,34.110001
"44795","Cyprinus_carpio",98.970001,24.42
"44799","Cyprinus_carpio",113.419998,34.119999
"44810","Cyprinus_carpio",113.419998,34.689999
"44834","Cyprinus_carpio",9.67,50.080002
"44840","Cyprinus_carpio",113.419998,34.779999
"44854","Cyprinus_carpio",113.419998,34.150002
"44863","Cyprinus_carpio",113.419998,34.610001
"44882","Cyprinus_carpio",74.370003,15.98
"44885","Cyprinus_carpio",113.419998,34.970001
"44987","Cyprinus_carpio",-88.152585,41.413467
"44988","Cyprinus_carpio",-88.3565,41.68387
"44991","Cyprinus_carpio",-99.10213,19.8488
"44997","Cyprinus_carpio",-88.390941,42.38766
"45005","Cyprinus_carpio",-88.0428,42.447781
"45008","Cyprinus_carpio",-88.143611,41.358333
"45012","Cyprinus_carpio",-88.261673,41.385648
"45046","Cyprinus_carpio",-88.0715,41.64038
"45053","Cyprinus_carpio",-87.81718,42.095385
"45057","Cyprinus_carpio",-87.83533,42.35702
"45088","Cyprinus_carpio",-88.17344,42.2111
"45098","Cyprinus_carpio",-88.347857,41.416805
"45104","Cyprinus_carpio",-88.5286,41.4144
"45137","Cyprinus_carpio",-88.10557,41.25524
"45141","Cyprinus_carpio",-88.18604,41.48499
"45150","Cyprinus_carpio",-88.131292,41.249278
"45152","Cyprinus_carpio",-88.25104,42.31038
"45154","Cyprinus_carpio",-88.185566,41.796473
"45161","Cyprinus_carpio",-88.012359,42.189891
"45185","Cyprinus_carpio",-88.34768,41.41704
"45194","Cyprinus_carpio",-87.909575,41.718748
"45204","Cyprinus_carpio",-88.2575,41.39
"45210","Cyprinus_carpio",-99.07506,19.26071
"45217","Cyprinus_carpio",-87.966289,42.2202
"45218","Cyprinus_carpio",-88.5193,41.6426
"45220","Cyprinus_carpio",-88.384837,41.205314
"45235","Cyprinus_carpio",-88.105865,41.255424
"45237","Cyprinus_carpio",-88.07146,41.58256
"45238","Cyprinus_carpio",-88.306262,42.434294
"45251","Cyprinus_carpio",-88.586099,41.582821
"45252","Cyprinus_carpio",-88.063151,41.535284
"45255","Cyprinus_carpio",-88.29427,41.99427
"45280","Cyprinus_carpio",-88.04593,41.62613
"45298","Cyprinus_carpio",-88.05853,41.59102
"45304","Cyprinus_carpio",-88.328743,42.492445
"45310","Cyprinus_carpio",-88.0724,41.58402
"45312","Cyprinus_carpio",-87.882789,42.038389
"45315","Cyprinus_carpio",-87.83576,42.35659
"45325","Cyprinus_carpio",-87.43235,41.371291
"45326","Cyprinus_carpio",-87.480813,42.464303
"45336","Cyprinus_carpio",-88.152123,41.306502
"45341","Cyprinus_carpio",-99.09978,19.26471
"45358","Cyprinus_carpio",-88.43294,41.3542
"45360","Cyprinus_carpio",-88.16487,41.5433
"45382","Cyprinus_carpio",-87.854199,41.953013
"45392","Cyprinus_carpio",-87.968898,42.21813
"45405","Cyprinus_carpio",-88.17855,41.585495
"45408","Cyprinus_carpio",-88.472561,42.364951
"45409","Cyprinus_carpio",-87.809167,42.412222
"45417","Cyprinus_carpio",-87.678608,41.82508
"45420","Cyprinus_carpio",-88.078664,41.51069
"45425","Cyprinus_carpio",-88.201511,42.566989
"45452","Cyprinus_carpio",-106.8602484,33.971427
"45472","Cyprinus_carpio",-106.691111,34.970528
"45481","Cyprinus_carpio",-110.417297,37.284297
"45488","Cyprinus_carpio",-108.9505476,36.9264136
"45491","Cyprinus_carpio",-104.0219559,32.0339449
"45495","Cyprinus_carpio",-106.992991,33.680671
"45496","Cyprinus_carpio",-108.555222,36.73897
"45502","Cyprinus_carpio",-109.3928791,37.2737365
"45519","Cyprinus_carpio",-108.5957321,36.7661601
"45529","Cyprinus_carpio",-106.672306,35.147806
"45535","Cyprinus_carpio",-106.899388,34.243333
"45543","Cyprinus_carpio",-106.850917,33.919023
"45559","Cyprinus_carpio",-104.250924,32.419414
"45572","Cyprinus_carpio",-109.211818,37.2255616
"45584","Cyprinus_carpio",-108.732079,36.811381
"45587","Cyprinus_carpio",-106.9930855,33.6809312
"45588","Cyprinus_carpio",-104.376435,33.535984
"45593","Cyprinus_carpio",-109.852269,37.180878
"45599","Cyprinus_carpio",-104.8291503,44.8261127
"45613","Cyprinus_carpio",-109.6284938,37.2416488
"45615","Cyprinus_carpio",-110.3109647,37.3042013
"45644","Cyprinus_carpio",-106.905308,34.166022
"45650","Cyprinus_carpio",-109.04819,37.028921
"45659","Cyprinus_carpio",-109.853639,37.147333
"45661","Cyprinus_carpio",-106.720806,34.856833
"45664","Cyprinus_carpio",-109.838019,37.183496
"45675","Cyprinus_carpio",-106.922333,32.496083
"45677","Cyprinus_carpio",-109.463681,37.2843878
"45681","Cyprinus_carpio",-108.745951,36.845903
"45702","Cyprinus_carpio",-109.086946,37.075344
"45704","Cyprinus_carpio",-104.363419,33.597319
"45719","Cyprinus_carpio",-108.940537,36.924594
"45720","Cyprinus_carpio",-106.422833,35.458361
"45728","Cyprinus_carpio",-106.912719,34.230553
"45749","Cyprinus_carpio",-106.749806,34.664861
"45754","Cyprinus_carpio",-108.952498,36.926105
"45758","Cyprinus_carpio",-104.317928,32.989303
"45767","Cyprinus_carpio",-108.8191678,36.8809113
"45776","Cyprinus_carpio",-110.3498335,37.2857455
"45782","Cyprinus_carpio",-108.694418,36.782514
"45785","Cyprinus_carpio",-106.910907,34.235817
"45787","Cyprinus_carpio",-109.0580944,37.0424424
"45801","Cyprinus_carpio",-106.664389,35.050139
"45811","Cyprinus_carpio",-106.799833,34.417555
"45820","Cyprinus_carpio",-108.7531359,36.8482774
"45826","Cyprinus_carpio",-110.0621988,37.2407572
"45834","Cyprinus_carpio",-109.9241056,37.1698245
"45835","Cyprinus_carpio",-109.0838964,37.0849703
"45837","Cyprinus_carpio",-106.660833,35.056694
"45849","Cyprinus_carpio",-108.833549,36.883251
"45862","Cyprinus_carpio",-104.415981,33.417047
"45872","Cyprinus_carpio",-106.611666,35.211277
"45873","Cyprinus_carpio",-109.172559,37.187536
"45888","Cyprinus_carpio",-110.399453,37.29139
"45889","Cyprinus_carpio",-106.672944,35.027111
"45895","Cyprinus_carpio",-104.312353,33.159118
"45896","Cyprinus_carpio",-109.944026,37.157427
"45900","Cyprinus_carpio",-109.9499022,37.1653005
"45913","Cyprinus_carpio",-106.5569791,35.3239799
"45919","Cyprinus_carpio",-108.8197558,36.8788934
"45932","Cyprinus_carpio",-109.6207516,37.2406518
"45938","Cyprinus_carpio",-106.871419,33.995636
"45939","Cyprinus_carpio",-106.668417,35.135392
"45945","Cyprinus_carpio",-110.417833,37.286841
"45947","Cyprinus_carpio",-109.024727,37.000721
"45960","Cyprinus_carpio",-104.336503,33.214058
