"","species","lon","lat"
"35060","Daphnia_ambigua",-99.78,19.462
"35063","Daphnia_ambigua",-102.346,22.148
"70798","Daphnia_ambigua",-99.800003,19.459999
"81523","Daphnia_ambigua",-99.797,19.461
"93788","Daphnia_ambigua",-99.788,19.924
"94253","Daphnia_ambigua",-102.652,21.859
"94271","Daphnia_ambigua",-98.16,18.909
"94277","Daphnia_ambigua",-78.77,45.3
"94420","Daphnia_ambigua",-99.790001,19.92
"122334","Daphnia_ambigua",-78.769997,45.299999
"137634","Daphnia_ambigua",-102.650002,21.860001
"153606","Daphnia_ambigua",-80.209999,43.619999
"153852","Daphnia_ambigua",-102.349998,22.15
"158260","Daphnia_ambigua",-98.160004,18.91
"162402","Daphnia_ambigua",11.650083,50.974117
"162412","Daphnia_ambigua",8.06945,52.417783
"162413","Daphnia_ambigua",8.2025,53.079167
"162414","Daphnia_ambigua",7.999717,52.421383
"247993","Daphnia_ambigua",-46.6765007,-23.3307762
"248004","Daphnia_ambigua",-46.516501,-23.7651789
"248005","Daphnia_ambigua",-47.5951052,-23.4271761
"248016","Daphnia_ambigua",-47.4346046,-23.5821749
"248037","Daphnia_ambigua",-46.7578964,-22.3243739
"251758","Daphnia_ambigua",-80.208,43.616
"257334","Daphnia_ambigua",-98.159917,18.908944
"353068","Daphnia_ambigua",-99.956083,26.314444
"353069","Daphnia_ambigua",-99.282472,25.692167
"353070","Daphnia_ambigua",-99.995639,25.914111
"353071","Daphnia_ambigua",-100.138194,25.412528
"413716","Daphnia_ambigua",-102.652,21.859
"413717","Daphnia_ambigua",-99.797,19.461
"413718","Daphnia_ambigua",-99.788,19.924
"413719","Daphnia_ambigua",-102.346,22.148
"413720","Daphnia_ambigua",-99.78,19.462
"413722","Daphnia_ambigua",-98.16,18.909
"427089","Daphnia_ambigua",-88.804556,20.685056
"427090","Daphnia_ambigua",-89.216861,20.657778
"427091","Daphnia_ambigua",-88.689222,20.620833
"427092","Daphnia_ambigua",-88.697944,20.665
"427093","Daphnia_ambigua",-88.730667,20.707056
"427094","Daphnia_ambigua",-88.395139,18.499722
"463100","Daphnia_ambigua",-99.779999,19.459999
"465025","Daphnia_ambigua",-99.769167,19.085556
"465026","Daphnia_ambigua",-101.13,20.25
