"","species","lon","lat"
"12311","Eragrostis_curvula",3.690555,51.071666
"12514","Eragrostis_curvula",-81.146495,33.938881
"12573","Eragrostis_curvula",-82.4273,34.9742
"12635","Eragrostis_curvula",-92.912222,34.875556
"12709","Eragrostis_curvula",-79.508,33.2211
"12772","Eragrostis_curvula",-80.853315,33.242247
"13006","Eragrostis_curvula",-81.8006,34.2004
"13014","Eragrostis_curvula",-86.482778,33.818056
"13139","Eragrostis_curvula",150.832132,-33.889938
"13256","Eragrostis_curvula",-108.951,31.3247
"14059","Eragrostis_curvula",149.974393,-36.339282
"14071","Eragrostis_curvula",151.158218,-34.047926
"14090","Eragrostis_curvula",149.900237,-34.765877
"14094","Eragrostis_curvula",150.22433,-33.082579
"14099","Eragrostis_curvula",150.921099,-33.99906
"14109","Eragrostis_curvula",150.730232,-33.80131
"14120","Eragrostis_curvula",151.022471,-33.967883
"27377","Eragrostis_curvula",26.226389,-33.084167
"27912","Eragrostis_curvula",-75.754472,38.691806
"27917","Eragrostis_curvula",-110.3,31.433333
"27936","Eragrostis_curvula",-122.735,45.893333
"34512","Eragrostis_curvula",115.333333,-29.283333
"34828","Eragrostis_curvula",27.371678,-31.442797
"35718","Eragrostis_curvula",-122.5418,40.5883
"35784","Eragrostis_curvula",-80.2204,34.5038
"37510","Eragrostis_curvula",148.916667,-34.833333
"38175","Eragrostis_curvula",120.791944,23.825
"39731","Eragrostis_curvula",-65.779333,-17.484
"39821","Eragrostis_curvula",-110.81055,32.31083
"42153","Eragrostis_curvula",17.1568,-23.2959
"42231","Eragrostis_curvula",148.053333,-42.051389
"42292","Eragrostis_curvula",146.993694,-37.9265
"42488","Eragrostis_curvula",135.79846,34.40693
"42489","Eragrostis_curvula",135.76106,34.66947
"42579","Eragrostis_curvula",135.9688,34.46806
"42620","Eragrostis_curvula",135.95116,34.49162
"42638","Eragrostis_curvula",135.84718,34.59217
"42954","Eragrostis_curvula",-103.801082,34.368392
"42976","Eragrostis_curvula",-105.198805,39.902714
"42997","Eragrostis_curvula",-105.3002,35.2877
"43046","Eragrostis_curvula",-104.618611,36.740833
"43148","Eragrostis_curvula",-105.25391,38.46441
"43446","Eragrostis_curvula",-105.222304,39.887084
"43692","Eragrostis_curvula",-111.1661228,34.537788
"44713","Eragrostis_curvula",-80.82,34.05
"44883","Eragrostis_curvula",150.669998,-34.150002
"50267","Eragrostis_curvula",-70.488889,-38.479722
"51861","Eragrostis_curvula",151.430789,-28.085569
"52361","Eragrostis_curvula",139.421111,-34.863056
"52528","Eragrostis_curvula",138.31,-34.39
"52534","Eragrostis_curvula",151.4364,-24.4447
"52606","Eragrostis_curvula",136.198611,-33.350556
"52865","Eragrostis_curvula",138.179444,-33.961944
"53125","Eragrostis_curvula",152.123275,-28.339464
"53159","Eragrostis_curvula",139.265278,-35.056111
"53659","Eragrostis_curvula",-73.094,40.783
"53905","Eragrostis_curvula",-113.882567,35.076433
"54125","Eragrostis_curvula",-113.435816,35.1891351
"54149","Eragrostis_curvula",-118.266111,37.144722
"54537","Eragrostis_curvula",130.458801,31.5758
"54575","Eragrostis_curvula",-80.863056,32.239167
"54783","Eragrostis_curvula",-80.82,34.05
"56236","Eragrostis_curvula",135.9285,-33.64358
"56880","Eragrostis_curvula",-1.6918,37.3346
"57154","Eragrostis_curvula",-3.1516,39.0992
"57282","Eragrostis_curvula",-4.6082,41.5566
"57604","Eragrostis_curvula",-4.661,41.7449
"58170","Eragrostis_curvula",-0.39,42.42
"58333","Eragrostis_curvula",2.01,41.28
"61820","Eragrostis_curvula",-86.158417,32.007333
"61932","Eragrostis_curvula",-104.7925,32.026833
"61951","Eragrostis_curvula",-108.972167,31.435667
"62101","Eragrostis_curvula",-74.5449,39.77644
"62119","Eragrostis_curvula",140.778056,-35.899167
"62327","Eragrostis_curvula",-110.83488,33.297853
"63457","Eragrostis_curvula",29.0576,-29.8629
"63575","Eragrostis_curvula",150.8667,-31.35
"63582","Eragrostis_curvula",142.3,-31.3
"63589","Eragrostis_curvula",149.15,-35.6
"63610","Eragrostis_curvula",150.865746,-33.97331
"63650","Eragrostis_curvula",151.1333,-31.35
"63662","Eragrostis_curvula",150.77,-33.68
"63689","Eragrostis_curvula",144.425,-37.675
"63757","Eragrostis_curvula",148.82,-32.38
"63776","Eragrostis_curvula",149.1806,-35.4806
"63829","Eragrostis_curvula",149.8258,-29.3989
"63853","Eragrostis_curvula",150.9431,-31.0811
"63862","Eragrostis_curvula",149.82719,-29.400534
"66141","Eragrostis_curvula",150.857217,-33.857872
"67487","Eragrostis_curvula",-36.163333,-6.478056
"67569","Eragrostis_curvula",132.318056,-31.828611
"68047","Eragrostis_curvula",4.385861,51.273604
"68126","Eragrostis_curvula",31.15,-17.833333
"68993","Eragrostis_curvula",4.4,51.273333
"69949","Eragrostis_curvula",-121.549313,39.645127
"70420","Eragrostis_curvula",-75.482056,38.736889
"70452","Eragrostis_curvula",-111.174333,32.356156
