"","species","lon","lat"
"12200","Eragrostis_japonica",-4.490278,11.238889
"12381","Eragrostis_japonica",-80.64472,33.75355
"12388","Eragrostis_japonica",-80.62644,33.72988
"12447","Eragrostis_japonica",-80.627639,33.947917
"12760","Eragrostis_japonica",-80.64476,33.753119
"19845","Eragrostis_japonica",-86.261667,13.385278
"19987","Eragrostis_japonica",117.47,26.72
"20176","Eragrostis_japonica",110.58,25.6
"20211","Eragrostis_japonica",110.35,25.17
"27364","Eragrostis_japonica",-81.855217,33.310983
"34808","Eragrostis_japonica",98.633333,14.733333
"35008","Eragrostis_japonica",107.983333,12.55
"35367","Eragrostis_japonica",-57.55,-25.45
"35807","Eragrostis_japonica",-59.0667,4.13333
"35842","Eragrostis_japonica",102.22,16.52
"37395","Eragrostis_japonica",-1.733333,13.933333
"37530","Eragrostis_japonica",1.55,10.05
"38173","Eragrostis_japonica",120.239444,23.177222
"38514","Eragrostis_japonica",120.31,23.189167
"39682","Eragrostis_japonica",-59.88,-20.629722
"40258","Eragrostis_japonica",-91.290821,33.305952
"40352","Eragrostis_japonica",-0.12,14.35
"50108","Eragrostis_japonica",-57.55,-25.45
"54676","Eragrostis_japonica",-81.855783,33.31075
"54677","Eragrostis_japonica",-81.855217,33.310983
"55467","Eragrostis_japonica",36.8454,0.5666
"56298","Eragrostis_japonica",-1.5,11.183
"56299","Eragrostis_japonica",-1.616,11.15
"56301","Eragrostis_japonica",-1.55,12.45
"56302","Eragrostis_japonica",102.266,19.866
"56303","Eragrostis_japonica",102.216,16.516
"56339","Eragrostis_japonica",-1.183,12.7
"56340","Eragrostis_japonica",-0.116,14.35
"56341","Eragrostis_japonica",-1.733,13.933
"56342","Eragrostis_japonica",-1.3,12.35
"56346","Eragrostis_japonica",-79.666,-1.233
"56347","Eragrostis_japonica",-79.616,-2.4
"56348","Eragrostis_japonica",-79.5,-2.283
"56360","Eragrostis_japonica",-12.966,13.283
"56361","Eragrostis_japonica",-13.183,13.083
"56363","Eragrostis_japonica",-13.033,13.183
"56364","Eragrostis_japonica",-12.9,13.166
"56365","Eragrostis_japonica",-12.233,12.5
"56366","Eragrostis_japonica",-12.966,13.166
"56372","Eragrostis_japonica",-4.083,11.5
"56373","Eragrostis_japonica",100.8,19.316
"64186","Eragrostis_japonica",-91.396944,30.762778
"64193","Eragrostis_japonica",-88.2725,32.220833
"64217","Eragrostis_japonica",-80.64476,33.753119
"65094","Eragrostis_japonica",-42.650833,-14.665278
"65154","Eragrostis_japonica",-42.716667,-10.716667
"65482","Eragrostis_japonica",-44.839167,-11.8475
"65544","Eragrostis_japonica",-36.833333,-6.833333
"67496","Eragrostis_japonica",-38.3725,-6.298889
"67588","Eragrostis_japonica",102.216667,16.516667
"67708","Eragrostis_japonica",-79.5,-2.283333
"68053","Eragrostis_japonica",37.25,13
"68091","Eragrostis_japonica",-0.667222,10.354167
"68112","Eragrostis_japonica",36.933333,14.283333
"68608","Eragrostis_japonica",-99.050278,18.372778
"68931","Eragrostis_japonica",1.484388,10.927055
"72141","Eragrostis_japonica",-42.716667,-10.8
"74678","Eragrostis_japonica",114.5,36.85
"79020","Eragrostis_japonica",-93.030094,33.771768
"95115","Eragrostis_japonica",121.025278,23.938889
"95223","Eragrostis_japonica",121.636389,24.023889
"134439","Eragrostis_japonica",-88.855189,32.255678
"134997","Eragrostis_japonica",-69.4805,6.067861
"135023","Eragrostis_japonica",-79.666667,-1.233333
"135037","Eragrostis_japonica",-79.5,-2.283333
"136357","Eragrostis_japonica",-61.840278,-20.9075
"136468","Eragrostis_japonica",48.433333,-15.733333
"137396","Eragrostis_japonica",-42.650833,-14.765278
"137901","Eragrostis_japonica",-36.833333,-6.116667
"139823","Eragrostis_japonica",84.471944,27.566667
"140101","Eragrostis_japonica",-79.5,-2.28
"143638","Eragrostis_japonica",-79.61666,-2.4
"149023","Eragrostis_japonica",-79.5,-2.28333
"149024","Eragrostis_japonica",-79.66667,-1.23333
"149278","Eragrostis_japonica",34.323846,-13.770911
"152494","Eragrostis_japonica",114.62,27.38
"153855","Eragrostis_japonica",36.849998,0.57
"154048","Eragrostis_japonica",72.905068,20.912395
"154050","Eragrostis_japonica",73.800734,20.748273
"154961","Eragrostis_japonica",98.848701,25.854601
"157525","Eragrostis_japonica",72.629,22.806
"161152","Eragrostis_japonica",-74.416675,3.016622
"161242","Eragrostis_japonica",-90.502528,36.585306
"162095","Eragrostis_japonica",46.810722,-21.863806
"162164","Eragrostis_japonica",46.609583,-20.576917
"162256","Eragrostis_japonica",-54.820833,-2.139722
"162390","Eragrostis_japonica",-57.553333,-17.830556
"163040","Eragrostis_japonica",-61.14444,-14.405
"163084","Eragrostis_japonica",-90.5025,36.585278
"163167","Eragrostis_japonica",-79.5,-2.283333
"163311","Eragrostis_japonica",48.433333,-15.733333
"164070","Eragrostis_japonica",35.7583,-10.537
"165943","Eragrostis_japonica",-98.958333,18.4875
"165948","Eragrostis_japonica",-99.041944,18.458333
"165980","Eragrostis_japonica",-99.050278,18.372778
"165986","Eragrostis_japonica",-99.116944,18.4425
"166001","Eragrostis_japonica",-99.073056,18.396667
"166014","Eragrostis_japonica",-99.178611,18.447778
"172119","Eragrostis_japonica",3.3833,11.8666
"172120","Eragrostis_japonica",3.3833,10.3
"172121","Eragrostis_japonica",2.4333,6.35
"176640","Eragrostis_japonica",-65.30027,-17.92472
"176983","Eragrostis_japonica",-61.840278,-20.9075
"177145","Eragrostis_japonica",-95.8675,15.975833
"177352","Eragrostis_japonica",-95.86666,15.98333
"177488","Eragrostis_japonica",-90.49333,36.58361
"177997","Eragrostis_japonica",-42.72,-10.8
"178072","Eragrostis_japonica",-1.55,12.45
"180279","Eragrostis_japonica",-98.138056,19.608889
"183265","Eragrostis_japonica",-91.234167,29.627222
"183291","Eragrostis_japonica",-91.135348,30.225865
"183534","Eragrostis_japonica",-89.954,30.279333
"183751","Eragrostis_japonica",-42.650833,-14.765278
"184507","Eragrostis_japonica",98.833893,25.951944
"203389","Eragrostis_japonica",-91.274278,29.531278
"204183","Eragrostis_japonica",35.764,-10.5393
"206824","Eragrostis_japonica",4.528056,52.027778
"206958","Eragrostis_japonica",98.483333,17.583333
"210756","Eragrostis_japonica",136.471532,34.98566
"210933","Eragrostis_japonica",139.39774,35.58658
"211529","Eragrostis_japonica",137.915663,36.348949
"238193","Eragrostis_japonica",-70.25,-12
"246410","Eragrostis_japonica",-71.314728,6.011138
"250068","Eragrostis_japonica",-48.086944,-14.191389
"252022","Eragrostis_japonica",138.11951,36.53367
"254775","Eragrostis_japonica",79.98333,23.166666
"254780","Eragrostis_japonica",100.171669,17.555
"254987","Eragrostis_japonica",-63.108333,-18.136111
"255774","Eragrostis_japonica",121.084639,22.817194
"263944","Eragrostis_japonica",-13.936667,11.825
"268356","Eragrostis_japonica",-79.67,-1.23
"268417","Eragrostis_japonica",100.141,25.6681
"286701","Eragrostis_japonica",-84.98674,30.44048
"287065","Eragrostis_japonica",-85.03263,30.42329
"289123","Eragrostis_japonica",-94.9168,33.8092
"289657","Eragrostis_japonica",-36.5,-6.07
"303833","Eragrostis_japonica",-89.402222,14.366111
"304115","Eragrostis_japonica",-60.4,-22.21666
"304967","Eragrostis_japonica",47.35,47.15
"306113","Eragrostis_japonica",-79.66666,-1.23333
"306842","Eragrostis_japonica",3.133127,9.913048
"308009","Eragrostis_japonica",46.810722,-21.863806
"308067","Eragrostis_japonica",46.609583,-20.576917
"313040","Eragrostis_japonica",-92.092472,33.838404
"313658","Eragrostis_japonica",-51.748055,-3.324722
"331506","Eragrostis_japonica",98.8486,25.8544
"331644","Eragrostis_japonica",98.8339,25.9519
"332358","Eragrostis_japonica",1.73444,10.30167
"332495","Eragrostis_japonica",1.9,6.3
"333110","Eragrostis_japonica",2.08333,6.31667
"333689","Eragrostis_japonica",-75.8333,-9.5
"334699","Eragrostis_japonica",-92.299545,34.768228
"334794","Eragrostis_japonica",-93.85866,33.08742
"335053","Eragrostis_japonica",-94.43356,35.38817
"335056","Eragrostis_japonica",-92.344386,34.786657
"335065","Eragrostis_japonica",-92.60861,34.56064
"343988","Eragrostis_japonica",-40.35,-3.7
"344002","Eragrostis_japonica",-36.833333,-6.116667
"344020","Eragrostis_japonica",-38.3725,-6.298889
"344983","Eragrostis_japonica",35.764,-10.5393
"345282","Eragrostis_japonica",84.495556,27.5725
"350159","Eragrostis_japonica",-60.315,-20.42944
"350626","Eragrostis_japonica",-88.644444,13.6025
"351079","Eragrostis_japonica",79.7659,11.9523
"351088","Eragrostis_japonica",78.2322,10.1031
"351226","Eragrostis_japonica",-92.592051,33.403876
"351791","Eragrostis_japonica",-60,-22.75
"352022","Eragrostis_japonica",-60.4,-22.21666
"361050","Eragrostis_japonica",-95.8675,15.976778
"361158","Eragrostis_japonica",-95.954444,15.966389
"363914","Eragrostis_japonica",120.4831,22.84552
"364787","Eragrostis_japonica",120.49618,22.86813
"365134","Eragrostis_japonica",-92.155188,33.428082
"365948","Eragrostis_japonica",-86.261667,13.385278
