"","species","lon","lat"
"35848","Euglandina_rosea",-78.5246,34.317
"35849","Euglandina_rosea",-76.8802,34.797
"35850","Euglandina_rosea",-81.6724,30.8465
"35851","Euglandina_rosea",-80.449,33.1933
"35852","Euglandina_rosea",-78.4654,34.2781
"35853","Euglandina_rosea",-81.2852,32.6109
"35854","Euglandina_rosea",-79.8001,33.1355
"35855","Euglandina_rosea",-80.694,32.1988
"35856","Euglandina_rosea",-78.1589,34.0567
"35857","Euglandina_rosea",-77.4911,34.7694
"35859","Euglandina_rosea",-80.9032,33.2371
"35860","Euglandina_rosea",-76.9406,34.6786
"35862","Euglandina_rosea",-76.7206,34.9254
"35863","Euglandina_rosea",-76.8798,34.7967
"35864","Euglandina_rosea",-77.4475,34.8346
"35865","Euglandina_rosea",-81.5527,29.8237
"35866","Euglandina_rosea",-79.52,33.2444
"35867","Euglandina_rosea",-79.5809,33.2071
"35868","Euglandina_rosea",-77.8714,34.1585
"35869","Euglandina_rosea",-77.6072,35.2659
"35870","Euglandina_rosea",-84.0363,32.6527
"35871","Euglandina_rosea",-78.579,33.893
"35872","Euglandina_rosea",-76.9148,34.7422
"35876","Euglandina_rosea",-79.5441,33.1502
"35877","Euglandina_rosea",-80.5989,33.1948
"35878","Euglandina_rosea",-79.5173,33.2252
"63902","Euglandina_rosea",-80.61269,26.90765
"63907","Euglandina_rosea",-95.00147,29.58972
"63910","Euglandina_rosea",-99.9994,29.591717
"66032","Euglandina_rosea",-80.72533,28.35084
"66040","Euglandina_rosea",-82.169326,29.796265
"71828","Euglandina_rosea",-82.62,28.8925
"71829","Euglandina_rosea",-80.6119,25.3833
"81617","Euglandina_rosea",-79.5051,33.2057
"150220","Euglandina_rosea",-84.938889,30.511667
"250251","Euglandina_rosea",-82.027183,26.450027
"287208","Euglandina_rosea",-81.46708,29.67971
"287211","Euglandina_rosea",-81.4042,30.0072
"287213","Euglandina_rosea",-81.8776,29.52458
"287214","Euglandina_rosea",-82.0983,28.5232
"287215","Euglandina_rosea",-81.2584,29.0586
"287216","Euglandina_rosea",-82.7841,29.3191
"287218","Euglandina_rosea",-82.6257,28.8361
"287219","Euglandina_rosea",-84.1243,30.1937
"287220","Euglandina_rosea",-81.74086,29.68751
"287222","Euglandina_rosea",-83.29654,29.89932
"287224","Euglandina_rosea",-82.3498,29.6122
"287225","Euglandina_rosea",-85.671671,30.199621
"287226","Euglandina_rosea",-81.55177,25.88931
"287228","Euglandina_rosea",-85.2364,30.8215
"287229","Euglandina_rosea",-81.5502,30.1774
"287234","Euglandina_rosea",-81.1844,28.7269
"287235","Euglandina_rosea",-81.26667,29.783333
"287236","Euglandina_rosea",-81.980278,29.957778
"287237","Euglandina_rosea",-83.6441,32.5972
"287238","Euglandina_rosea",-81.317222,28.7235
"287239","Euglandina_rosea",-81.4244,30.0487
"287241","Euglandina_rosea",-87.8825,31.3775
"287242","Euglandina_rosea",-82.51737,29.58305
"287243","Euglandina_rosea",-82.79717,29.31711
"287244","Euglandina_rosea",-81.2475,29.45358
"287245","Euglandina_rosea",-81.330028,28.619639
"287246","Euglandina_rosea",-82.1649,28.5304
"287247","Euglandina_rosea",-93.2613,30.2956
"287248","Euglandina_rosea",-80.5692,28.4476
"287249","Euglandina_rosea",-83.9249,30.1409
"287250","Euglandina_rosea",-82.1238,28.2574
"287251","Euglandina_rosea",-82.5823,29.8233
"287252","Euglandina_rosea",-81.74838,30.25935
"287254","Euglandina_rosea",-83.14911,29.38218
"287256","Euglandina_rosea",-82.6127,30.1665
"287257","Euglandina_rosea",-84.2183,30.1882
"287258","Euglandina_rosea",-81.7004,30.6146
"287259","Euglandina_rosea",-85.32335,30.82657
"287260","Euglandina_rosea",-83.46885,29.74453
"287261","Euglandina_rosea",-82.3215,29.6301
"300400","Euglandina_rosea",-81.71,30.0475
"300401","Euglandina_rosea",-84.94865,30.575783
"300402","Euglandina_rosea",-82.28599,28.08267
"300403","Euglandina_rosea",-82.5125,29.5818
"300404","Euglandina_rosea",-85.345833,30.877222
"300405","Euglandina_rosea",-81.3262,28.7211
"300406","Euglandina_rosea",-83.34233,29.746333
"300407","Euglandina_rosea",-82.233333,28.6
"300408","Euglandina_rosea",-82.7255,29.2511
"300409","Euglandina_rosea",-82.0048,28.6498
"300411","Euglandina_rosea",-84.893,30.506333
"300412","Euglandina_rosea",-81.2599,29.0511
"300413","Euglandina_rosea",-81.5915,29.9941
"300414","Euglandina_rosea",-81.462,30.2217
"300416","Euglandina_rosea",-94.35135,30.461717
"300417","Euglandina_rosea",-85.17911,30.78299
"300418","Euglandina_rosea",-83.34132,29.76545
"300420","Euglandina_rosea",-82.6786,29.0086
"300421","Euglandina_rosea",-80.91667,28.666667
"300423","Euglandina_rosea",-85.54807,30.4273
"300424","Euglandina_rosea",-82.348545,29.717647
"300425","Euglandina_rosea",-82.32682,28.66525
"300426","Euglandina_rosea",-81.6376,29.5966
"300427","Euglandina_rosea",-80.7197,28.6465
"300429","Euglandina_rosea",-82.7094,28.3282
"300431","Euglandina_rosea",-84.1919,30.4405
"300432","Euglandina_rosea",-82.3821,29.9139
"300433","Euglandina_rosea",-85.323,30.872
"300434","Euglandina_rosea",-85.304167,30.816667
"300435","Euglandina_rosea",-82.72961,29.26248
"300438","Euglandina_rosea",-80.00178,32.89363
"300439","Euglandina_rosea",-80.8554,26.1736
"300440","Euglandina_rosea",-81.63828,30.37744
"300441","Euglandina_rosea",-82.22506,28.72621
"305610","Euglandina_rosea",-82.7351,29.3545
"331705","Euglandina_rosea",-158.140586,21.504785
"331764","Euglandina_rosea",-81.748,30.259
"381108","Euglandina_rosea",-81.5014,28.7547
"381125","Euglandina_rosea",-81.1683,31.6567
"381128","Euglandina_rosea",-81.155,31.67
"381134","Euglandina_rosea",-81.145,31.6967
"405427","Euglandina_rosea",-154.9917,19.5478
"452038","Euglandina_rosea",-87.828889,19.726111
"452260","Euglandina_rosea",-86.088962,32.250188
"452261","Euglandina_rosea",-86.088482,32.250301
"452262","Euglandina_rosea",-86.51407,31.33074
"452263","Euglandina_rosea",-86.4375,31.0951
"452264","Euglandina_rosea",-86.486,31.2288
"471839","Euglandina_rosea",165.42999,-21.61999
"487170","Euglandina_rosea",-83.19435,29.43076
"487171","Euglandina_rosea",-84.5,30.6
"487172","Euglandina_rosea",-81.4907,25.86852
"487173","Euglandina_rosea",-82.1086,28.6437
"487175","Euglandina_rosea",-83.37358,29.60211
"487177","Euglandina_rosea",-82.6659,28.4439
"487178","Euglandina_rosea",-81.913007,28.77526
"487179","Euglandina_rosea",-82.911806,30.08625
"487181","Euglandina_rosea",-82.7367,29.2761
"487182","Euglandina_rosea",-82.1781,28.8267
"487183","Euglandina_rosea",-83.3538,29.6646
"487184","Euglandina_rosea",-81.7701,30.3694
"487186","Euglandina_rosea",-80.69612,28.64243
"487189","Euglandina_rosea",-81.5631,29.9841
"487190","Euglandina_rosea",-80.74975,26.68443
"487191","Euglandina_rosea",-83.18411,29.44707
"487194","Euglandina_rosea",-81.88157,28.86161
"487195","Euglandina_rosea",-82.1286,28.6339
"487196","Euglandina_rosea",-88.75,33.07
"487197","Euglandina_rosea",-78.6576,26.5624
"487198","Euglandina_rosea",-79.50513,33.2057
"487199","Euglandina_rosea",-82.3244,29.5187
"487200","Euglandina_rosea",-81.54009,29.79961
"487201","Euglandina_rosea",-82.27352,26.79648
"487202","Euglandina_rosea",-87.56917,33.20972
"487203","Euglandina_rosea",-85.17834,30.87011
