"","species","lon","lat"
"23693","Euphorbia_rigida",23.49083,38.19417
"62670","Euphorbia_rigida",13.607831,37.619598
"62703","Euphorbia_rigida",13.604819,37.621676
"62813","Euphorbia_rigida",13.548628,37.979723
"62984","Euphorbia_rigida",13.210392,38.025393
"63166","Euphorbia_rigida",14.01797,37.98654
"63195","Euphorbia_rigida",15.052664,38.137156
"78381","Euphorbia_rigida",33.642722,44.449947
"78894","Euphorbia_rigida",38.174744,44.449896
"85591","Euphorbia_rigida",24.67,41.62
"85644","Euphorbia_rigida",14.02,37.85
"86886","Euphorbia_rigida",45.53,39.78
"89656","Euphorbia_rigida",-117.18761,32.77691
"135035","Euphorbia_rigida",14.016667,37.85
"179287","Euphorbia_rigida",22.90361,36.60333
"206152","Euphorbia_rigida",33.812172,44.404681
"253604","Euphorbia_rigida",16.424548,40.049099
"256180","Euphorbia_rigida",22.3125,37.30486
"256592","Euphorbia_rigida",37.445054,44.731598
"258222","Euphorbia_rigida",22.783333,36.85
"303022","Euphorbia_rigida",-118.990701,36.04409
"400279","Euphorbia_rigida",-111.866,33.5724
"404884","Euphorbia_rigida",-110.97,32.33
"413674","Euphorbia_rigida",-117.188,32.7769
"446580","Euphorbia_rigida",31.54,36.91
"471522","Euphorbia_rigida",15.90194,38.11917
