"","species","lon","lat"
"12878","Ficus_carica",-82.616667,34.433333
"13349","Ficus_carica",-97.617,19.823
"13422","Ficus_carica",-97.6,19.86944
"19548","Ficus_carica",-96.300278,16.301667
"19552","Ficus_carica",-60.028889,-18.148889
"20182","Ficus_carica",110.63,26.72
"20382","Ficus_carica",8.074799,44.113216
"22258","Ficus_carica",24.64056,41.0225
"23688","Ficus_carica",20.76972,40.05694
"23689","Ficus_carica",20.73278,40.13083
"23690","Ficus_carica",20.74972,39.69889
"23691","Ficus_carica",21.76694,40.8
"23692","Ficus_carica",22.00833,40.72139
"26195","Ficus_carica",-1.6812226,43.2689013
"27205","Ficus_carica",-122.03773,36.96985
"27373","Ficus_carica",-89.66666,13.96666
"34473","Ficus_carica",-65.49,-25.2
"34731","Ficus_carica",5.913833,52.011
"35659","Ficus_carica",-122.46391,40.6565
"35672","Ficus_carica",-122.017,38.689
"39919","Ficus_carica",-64.08555,-18.51805
"40638","Ficus_carica",-117.6625,34.179167
"40648","Ficus_carica",-117.675,33.941667
"40666","Ficus_carica",148.666667,-35.166667
"40814","Ficus_carica",-5.216667,33.716667
"40823","Ficus_carica",-120.870556,38.776667
"40885","Ficus_carica",-117.883333,34.166667
"40906","Ficus_carica",-117.515,33.685
"40922","Ficus_carica",146.833333,-36.333333
"41084","Ficus_carica",-117.657222,33.506944
"41100","Ficus_carica",138.833333,-34.833333
"41258","Ficus_carica",-118.075367,34.03575
"41262","Ficus_carica",-116.786389,33.741667
"41274","Ficus_carica",-122.081719,38.51798
"41405","Ficus_carica",-117.266667,34.191667
"41449","Ficus_carica",-117.988889,34.176389
"41459","Ficus_carica",-117.386111,33.993056
"41465","Ficus_carica",-120.783889,38.792222
"41591","Ficus_carica",-118.172222,34.2125
"41669","Ficus_carica",-116.859444,34.364722
"41756","Ficus_carica",-119.288889,36.788889
"41814","Ficus_carica",-118.616389,34.427778
"41819","Ficus_carica",-120.953333,38.235833
"41838","Ficus_carica",-117.94,34.138611
"41956","Ficus_carica",-117,32.691389
