"","species","lon","lat"
"20","Filipendula_ulmaria",28.486941,66.446045
"24","Filipendula_ulmaria",24.705084,68.069089
"35","Filipendula_ulmaria",29.860204,64.317557
"38","Filipendula_ulmaria",24.834426,61.403424
"42","Filipendula_ulmaria",26.406438,60.450098
"52","Filipendula_ulmaria",25.083087,61.927772
"53","Filipendula_ulmaria",26.093165,61.256093
"61","Filipendula_ulmaria",23.625258,60.10323
"64","Filipendula_ulmaria",24.581573,61.040031
"65","Filipendula_ulmaria",26.050652,62.655701
"68","Filipendula_ulmaria",25.490049,62.937944
"80","Filipendula_ulmaria",24.049161,60.391791
"81","Filipendula_ulmaria",23.851693,60.3693
"89","Filipendula_ulmaria",24.454785,64.637503
"92","Filipendula_ulmaria",22.11694,61.404835
"97","Filipendula_ulmaria",24.587705,60.959334
"99","Filipendula_ulmaria",26.804629,60.702574
"107","Filipendula_ulmaria",25.720194,60.804313
"120","Filipendula_ulmaria",27.613184,66.469853
"125","Filipendula_ulmaria",26.190832,61.804129
"134","Filipendula_ulmaria",23.856893,60.126905
"138","Filipendula_ulmaria",24.968747,60.193529
"151","Filipendula_ulmaria",25.650996,64.985188
"152","Filipendula_ulmaria",25.86281,64.986952
"153","Filipendula_ulmaria",25.674397,64.940545
"155","Filipendula_ulmaria",24.505994,61.000495
"159","Filipendula_ulmaria",26.118586,61.67805
"160","Filipendula_ulmaria",24.696222,61.499907
"166","Filipendula_ulmaria",24.624952,61.20241
"182","Filipendula_ulmaria",26.416501,61.903981
"183","Filipendula_ulmaria",24.453105,64.655424
"186","Filipendula_ulmaria",27.794879,64.406113
"206","Filipendula_ulmaria",23.73638,63.994834
"208","Filipendula_ulmaria",22.24803,61.652229
"233","Filipendula_ulmaria",28.411488,66.697882
"234","Filipendula_ulmaria",27.510921,66.95446
"238","Filipendula_ulmaria",26.477139,63.904985
"242","Filipendula_ulmaria",22.47947,61.749972
"243","Filipendula_ulmaria",22.33053,62.230417
"244","Filipendula_ulmaria",21.941934,62.936158
"245","Filipendula_ulmaria",22.341584,63.399393
"255","Filipendula_ulmaria",29.186757,63.162001
"256","Filipendula_ulmaria",25.326652,61.65271
"258","Filipendula_ulmaria",29.006318,63.093316
"261","Filipendula_ulmaria",27.983282,65.032897
"263","Filipendula_ulmaria",29.944291,63.55278
"264","Filipendula_ulmaria",25.739958,61.235321
"269","Filipendula_ulmaria",25.034031,64.439964
"272","Filipendula_ulmaria",30.157598,62.74906
"273","Filipendula_ulmaria",29.217292,62.2195
"275","Filipendula_ulmaria",27.620341,62.164046
"276","Filipendula_ulmaria",30.001434,63.13858
"277","Filipendula_ulmaria",29.129518,63.692836
"278","Filipendula_ulmaria",23.925309,66.162524
"279","Filipendula_ulmaria",25.0033,64.861284
"282","Filipendula_ulmaria",22.989058,63.06867
"284","Filipendula_ulmaria",26.061523,61.067408
"286","Filipendula_ulmaria",27.98275,63.274577
"287","Filipendula_ulmaria",28.359105,64.49169
"288","Filipendula_ulmaria",26.581031,66.470493
"290","Filipendula_ulmaria",24.671013,60.323318
"295","Filipendula_ulmaria",26.773981,62.443399
"296","Filipendula_ulmaria",28.609952,64.157188
"297","Filipendula_ulmaria",27.770094,63.518119
"300","Filipendula_ulmaria",27.484273,63.250228
"302","Filipendula_ulmaria",28.518943,62.480185
"303","Filipendula_ulmaria",28.910991,61.936838
"305","Filipendula_ulmaria",24.032932,61.756484
"306","Filipendula_ulmaria",25.280109,62.486823
"307","Filipendula_ulmaria",25.565333,62.606705
"309","Filipendula_ulmaria",24.86166,61.825769
"315","Filipendula_ulmaria",23.570374,61.143865
"316","Filipendula_ulmaria",24.959502,60.38868
"317","Filipendula_ulmaria",24.627785,60.376302
"318","Filipendula_ulmaria",24.868705,60.242705
"321","Filipendula_ulmaria",24.86462,60.220848
"322","Filipendula_ulmaria",24.438754,61.432462
