"","species","lon","lat"
"35054","Gammarus_tigrinus",12.5248,54.3794
"81603","Gammarus_tigrinus",-65.164,47.037
"94703","Gammarus_tigrinus",-75.3508,39.8371
"94705","Gammarus_tigrinus",-76.03603,39.22372
"94706","Gammarus_tigrinus",-76.04179,39.21958
"94707","Gammarus_tigrinus",-75.81637,38.4641
"94708","Gammarus_tigrinus",-75.84416,38.42144
"94709","Gammarus_tigrinus",-75.6207,37.99801
"94712","Gammarus_tigrinus",-77.02922,35.09741
"94724","Gammarus_tigrinus",-75.1496,39.8783
"94726","Gammarus_tigrinus",-76.0395,39.16993
"94735","Gammarus_tigrinus",-75.3842,39.818
"94738","Gammarus_tigrinus",-75.84586,38.41413
"94739","Gammarus_tigrinus",-75.84602,38.39504
"94740","Gammarus_tigrinus",-75.84341,38.38326
"94742","Gammarus_tigrinus",-77.0916,35.1793
"94753","Gammarus_tigrinus",-75.244,39.8567
"94756","Gammarus_tigrinus",-75.75829,38.52796
"94757","Gammarus_tigrinus",-75.65825,38.03361
"94766","Gammarus_tigrinus",-75.45106,38.14516
"94767","Gammarus_tigrinus",-75.53176,38.09082
"94771","Gammarus_tigrinus",-77.22989,35.24606
"94781","Gammarus_tigrinus",-76.040833,36.514166
"94783","Gammarus_tigrinus",-75.8485,36.392666
"94789","Gammarus_tigrinus",-77.16521,35.22913
"94791","Gammarus_tigrinus",-77.07748,35.16147
"94792","Gammarus_tigrinus",-76.98798,35.0699
"94800","Gammarus_tigrinus",-77.076166,35.0705
"94801","Gammarus_tigrinus",-75.4032,39.8089
"94803","Gammarus_tigrinus",-75.98632,39.2413
"94804","Gammarus_tigrinus",-76.203,39.314
"94823","Gammarus_tigrinus",-75.58608,38.0685
"94834","Gammarus_tigrinus",-75.90886,39.24301
"94838","Gammarus_tigrinus",-76.9411,35.01
"94844","Gammarus_tigrinus",-76.221,39.292
"94856","Gammarus_tigrinus",-75.84735,36.39926
"94879","Gammarus_tigrinus",-77.1174,35.2036
"94894","Gammarus_tigrinus",-75.0854,39.9747
"94895","Gammarus_tigrinus",-75.5028,39.1293
"94896","Gammarus_tigrinus",-75.77956,38.5036
"94904","Gammarus_tigrinus",-74.9101,40.0687
"94908","Gammarus_tigrinus",-77.0777,35.1623
"94929","Gammarus_tigrinus",-75.855333,36.385666
"94954","Gammarus_tigrinus",-74.723,40.147
"94957","Gammarus_tigrinus",-77.1333,35.21469
"101989","Gammarus_tigrinus",-89.17255,37.01707
"101990","Gammarus_tigrinus",-81.0441,39.53524
"107084","Gammarus_tigrinus",-77.79725,43.636288
"110242","Gammarus_tigrinus",-89.68719,37.8095
"110614","Gammarus_tigrinus",-88.30973,37.43601
"110615","Gammarus_tigrinus",-89.15494,37.08079
"112359","Gammarus_tigrinus",-82.28572,44.96248
"113886","Gammarus_tigrinus",-92.16727,44.42855
"113887","Gammarus_tigrinus",-89.34697,37.02626
"114257","Gammarus_tigrinus",-89.20417,37.01963
"114570","Gammarus_tigrinus",-82.62937,41.42769
"114592","Gammarus_tigrinus",-83.781738,43.723475
"117091","Gammarus_tigrinus",-79.66281,42.90254
"119430","Gammarus_tigrinus",-80.22922,44.50548
"121237","Gammarus_tigrinus",-87.262568,47.578817
"136766","Gammarus_tigrinus",10.238846,59.740849
"136818","Gammarus_tigrinus",-73.363162,41.150396
"152668","Gammarus_tigrinus",-83.8314,43.6486
"152669","Gammarus_tigrinus",-83.8356,43.6525
"153633","Gammarus_tigrinus",-65.160004,47.040001
"157469","Gammarus_tigrinus",-1.11854,53.1592
"158283","Gammarus_tigrinus",-77.169998,38.57
"158544","Gammarus_tigrinus",-1.118536,53.159163
"162404","Gammarus_tigrinus",13.8255,53.859167
"162406","Gammarus_tigrinus",11.2355,53.1385
"191049","Gammarus_tigrinus",4.20526,51.366904
"216364","Gammarus_tigrinus",22.209333,60.4305
"216366","Gammarus_tigrinus",22.197166,60.446
"216373","Gammarus_tigrinus",6.21731,53.4108
"216388","Gammarus_tigrinus",22.206,60.428
"216389","Gammarus_tigrinus",27.18,60.52
"216395","Gammarus_tigrinus",24.613,60.104
"315821","Gammarus_tigrinus",-80.19946,42.10115
"320403","Gammarus_tigrinus",-86.434937,43.265206
"321503","Gammarus_tigrinus",-88.0838,37.72022
"321837","Gammarus_tigrinus",-81.111001,42.178614
"322723","Gammarus_tigrinus",-79.77774,42.84882
"324413","Gammarus_tigrinus",-83.45749,41.75099
"324415","Gammarus_tigrinus",-76.11398,43.96778
"324608","Gammarus_tigrinus",-82.784729,42.532844
"328220","Gammarus_tigrinus",22.265979,60.410919
"328432","Gammarus_tigrinus",24.662361,60.134583
"331739","Gammarus_tigrinus",6.08646,51.13026
"351559","Gammarus_tigrinus",23.382156,59.944659
"381107","Gammarus_tigrinus",-89.687189,37.8095
"381151","Gammarus_tigrinus",-87.605661,37.900869
"388877","Gammarus_tigrinus",4.58717,50.37875
"388888","Gammarus_tigrinus",5.28899,50.17328
"388959","Gammarus_tigrinus",4.89872,50.13178
"388964","Gammarus_tigrinus",5.46506,49.50648
"431364","Gammarus_tigrinus",5.042546,51.231604
"454744","Gammarus_tigrinus",5.042546,51.231604
"462990","Gammarus_tigrinus",-81.362779,29.134225
