"","species","lon","lat"
"12353","Gamochaeta_pensylvanica",-81.481,33.5505
"12398","Gamochaeta_pensylvanica",-82.3258,34.0739
"12420","Gamochaeta_pensylvanica",-79.0672,33.5016
"12428","Gamochaeta_pensylvanica",-80.8387,32.3437
"12453","Gamochaeta_pensylvanica",-80.5272,34.6669
"12598","Gamochaeta_pensylvanica",-81.265077,33.489052
"12619","Gamochaeta_pensylvanica",-80.9754,34.0469
"12711","Gamochaeta_pensylvanica",-80.8139,33.9138
"12805","Gamochaeta_pensylvanica",-81.15618,32.28398
"12828","Gamochaeta_pensylvanica",-81.130024,33.305535
"12978","Gamochaeta_pensylvanica",-80.703206,33.114265
"12980","Gamochaeta_pensylvanica",-80.792521,33.092258
"13345","Gamochaeta_pensylvanica",-111.04733,28.07794
"19444","Gamochaeta_pensylvanica",-67.33333,-16.66666
"20074","Gamochaeta_pensylvanica",114.05,22.54
"20922","Gamochaeta_pensylvanica",4.549629,52.012874
"27368","Gamochaeta_pensylvanica",-81.85495,33.311033
"27371","Gamochaeta_pensylvanica",-81.847233,33.316317
"27420","Gamochaeta_pensylvanica",-82.7242,29.3664
"37204","Gamochaeta_pensylvanica",-49.618611,-28.160556
"38595","Gamochaeta_pensylvanica",120.388611,23.754722
"38631","Gamochaeta_pensylvanica",120.300833,23.659444
"39248","Gamochaeta_pensylvanica",-57.129167,-26.395278
"39308","Gamochaeta_pensylvanica",-89.983333,29.983333
"39352","Gamochaeta_pensylvanica",-56.36666,-25.71666
"39394","Gamochaeta_pensylvanica",-57.433333,-25.633333
"39480","Gamochaeta_pensylvanica",-82.04,29.7733
"39717","Gamochaeta_pensylvanica",-59.675556,-22.539444
"39895","Gamochaeta_pensylvanica",-87.216667,30.416667
"40267","Gamochaeta_pensylvanica",-41,-11.62
"42133","Gamochaeta_pensylvanica",-117.32,34.115
"42250","Gamochaeta_pensylvanica",152.9611,-27.4469
"42475","Gamochaeta_pensylvanica",135.83908,34.57862
"42512","Gamochaeta_pensylvanica",135.78624,34.72253
"42513","Gamochaeta_pensylvanica",135.79846,34.40693
"42602","Gamochaeta_pensylvanica",135.79825,34.35528
"42623","Gamochaeta_pensylvanica",135.74025,34.51503
"42628","Gamochaeta_pensylvanica",135.74953,34.67428
"42645","Gamochaeta_pensylvanica",135.82219,34.68138
"44912","Gamochaeta_pensylvanica",-49.618611,-28.160556
"50019","Gamochaeta_pensylvanica",-57.46666,-25.33333
"50052","Gamochaeta_pensylvanica",-57.433333,-25.633333
"50268","Gamochaeta_pensylvanica",-57.129167,-26.395278
"50272","Gamochaeta_pensylvanica",31.57083,-1.02666
"51848","Gamochaeta_pensylvanica",145.273389,-16.590875
"53392","Gamochaeta_pensylvanica",-117,33.22545
"53403","Gamochaeta_pensylvanica",-117.929167,34.129722
"53453","Gamochaeta_pensylvanica",-120.946389,37.540278
"53529","Gamochaeta_pensylvanica",-118.342305,34.238268
"53738","Gamochaeta_pensylvanica",-82.35007,31.20621
"53816","Gamochaeta_pensylvanica",-117.951037,34.180036
"53857","Gamochaeta_pensylvanica",-118.302667,34.231361
"53884","Gamochaeta_pensylvanica",-118.274444,34.190833
"53981","Gamochaeta_pensylvanica",-117.59006,33.40348
"54202","Gamochaeta_pensylvanica",-118.44034,34.344656
"54354","Gamochaeta_pensylvanica",-117.26316,34.31101
"54415","Gamochaeta_pensylvanica",-117.85,34.16083
"54538","Gamochaeta_pensylvanica",130.380707,31.608801
"54566","Gamochaeta_pensylvanica",-80.645639,32.410833
"54567","Gamochaeta_pensylvanica",-81.847233,33.316317
"54568","Gamochaeta_pensylvanica",-80.6725,32.433889
"54797","Gamochaeta_pensylvanica",-82.884444,34.702389
"54798","Gamochaeta_pensylvanica",-82.88,34.703889
"54799","Gamochaeta_pensylvanica",-82.845044,34.979586
"54800","Gamochaeta_pensylvanica",-82.870006,34.928794
"54801","Gamochaeta_pensylvanica",-82.826944,34.714722
"54802","Gamochaeta_pensylvanica",-82.815278,34.709167
"54803","Gamochaeta_pensylvanica",-82.85,34.736111
"54804","Gamochaeta_pensylvanica",-82.094333,34.979417
"57971","Gamochaeta_pensylvanica",2.33,41.53
"58111","Gamochaeta_pensylvanica",1.97,41.27
"61975","Gamochaeta_pensylvanica",-84.578167,33.983
