"","species","lon","lat"
"20449","Geranium_lucidum",9.816775,44.277362
"20737","Geranium_lucidum",9.657846,44.160771
"20941","Geranium_lucidum",4.588117,52.3842
"20946","Geranium_lucidum",4.701879,51.717903
"21693","Geranium_lucidum",22.06806,37.90417
"21694","Geranium_lucidum",22.15611,37.8475
"21695","Geranium_lucidum",22.16778,37.65167
"21696","Geranium_lucidum",22.25167,37.86139
"21697","Geranium_lucidum",21.99111,38.03667
"21698","Geranium_lucidum",21.93472,38.07361
"21699","Geranium_lucidum",22.07611,38.02639
"21700","Geranium_lucidum",22.02639,38.05139
"21701","Geranium_lucidum",22.04444,37.61944
"21702","Geranium_lucidum",22.15611,37.60917
"21703","Geranium_lucidum",22.16444,37.64889
"21704","Geranium_lucidum",22.18278,37.55889
"21705","Geranium_lucidum",22.20556,37.67944
"21706","Geranium_lucidum",22.05528,37.96611
"21707","Geranium_lucidum",22.13278,37.88194
"21992","Geranium_lucidum",23.32139,40.44056
"21993","Geranium_lucidum",23.39083,40.4925
"21994","Geranium_lucidum",23.18861,40.62167
"21995","Geranium_lucidum",23.33333,40.45194
"21996","Geranium_lucidum",23.57111,40.5525
"21997","Geranium_lucidum",23.65417,40.46056
"21998","Geranium_lucidum",23.60056,40.49889
"21999","Geranium_lucidum",23.58944,40.50611
"22000","Geranium_lucidum",23.16361,40.54083
"22001","Geranium_lucidum",23.09917,40.63306
"22002","Geranium_lucidum",23.31472,40.5525
"22167","Geranium_lucidum",22.64556,38.47528
"22168","Geranium_lucidum",22.21333,38.12722
"22169","Geranium_lucidum",22.07306,38.16278
"22170","Geranium_lucidum",22.83944,38.3825
"22171","Geranium_lucidum",22.82944,38.37667
"22172","Geranium_lucidum",22.21944,38.12417
"22216","Geranium_lucidum",22.03056,38.06167
"22217","Geranium_lucidum",22.07306,38.15028
"22218","Geranium_lucidum",21.91194,38.00556
"22219","Geranium_lucidum",21.93694,38.00333
"22220","Geranium_lucidum",21.8925,38.035
"22221","Geranium_lucidum",21.91,38.00278
"22222","Geranium_lucidum",21.91972,38.03111
"22223","Geranium_lucidum",22.39417,38.07361
"22224","Geranium_lucidum",22.07861,38.15833
"22225","Geranium_lucidum",21.98694,38.23694
"23267","Geranium_lucidum",22.95083,38.87361
"23268","Geranium_lucidum",23.05278,38.37528
"23269","Geranium_lucidum",23.01333,38.38917
"23270","Geranium_lucidum",23.12111,38.36778
"23271","Geranium_lucidum",22.83944,38.40611
"23275","Geranium_lucidum",23.37833,38.45722
"23276","Geranium_lucidum",23.36389,38.18528
"23277","Geranium_lucidum",23.35889,38.2275
"23281","Geranium_lucidum",22.52,38.44528
"23282","Geranium_lucidum",22.72,38.4075
"23283","Geranium_lucidum",22.66417,38.47556
"23284","Geranium_lucidum",22.49222,38.42222
"23285","Geranium_lucidum",22.61917,38.48111
"23994","Geranium_lucidum",20.60472,39.2625
"23995","Geranium_lucidum",20.615,39.22972
"23996","Geranium_lucidum",20.62778,39.22806
"23997","Geranium_lucidum",20.365,39.30444
"23998","Geranium_lucidum",20.44028,39.28528
"23999","Geranium_lucidum",20.85861,38.91639
"24000","Geranium_lucidum",20.69472,39.25222
"24003","Geranium_lucidum",20.71806,39.20722
"24004","Geranium_lucidum",20.27,39.44472
"24005","Geranium_lucidum",20.67889,39.14444
"24006","Geranium_lucidum",20.78917,39.19194
"24007","Geranium_lucidum",21.09278,39.34222
"24008","Geranium_lucidum",21.14556,39.37778
"24009","Geranium_lucidum",21.23222,39.37222
"24010","Geranium_lucidum",21.27111,39.34139
"24011","Geranium_lucidum",21.16917,39.335
"24012","Geranium_lucidum",21.60861,39.38111
"24013","Geranium_lucidum",21.545,39.37139
"24014","Geranium_lucidum",20.76472,39.34861
"24015","Geranium_lucidum",20.7675,39.30333
"24016","Geranium_lucidum",21.24556,39.11056
"24017","Geranium_lucidum",21.15833,39.10583
"24018","Geranium_lucidum",20.78194,39.25778
