"","species","lon","lat"
"25","Geranium_sylvaticum",26.13747,61.67817
"29","Geranium_sylvaticum",27.526837,67.689681
"30","Geranium_sylvaticum",26.8455,67.242142
"37","Geranium_sylvaticum",29.32155,66.498675
"40","Geranium_sylvaticum",24.820719,61.331385
"41","Geranium_sylvaticum",24.388233,67.687534
"44","Geranium_sylvaticum",24.465474,61.334199
"46","Geranium_sylvaticum",24.429625,61.315568
"51","Geranium_sylvaticum",29.049889,64.268326
"56","Geranium_sylvaticum",25.435556,60.989799
"58","Geranium_sylvaticum",26.233612,60.844124
"69","Geranium_sylvaticum",24.940945,61.207583
"83","Geranium_sylvaticum",23.908533,60.343688
"94","Geranium_sylvaticum",26.574309,62.864628
"96","Geranium_sylvaticum",24.635497,60.313711
"101","Geranium_sylvaticum",24.326453,61.430303
"104","Geranium_sylvaticum",23.92746,60.335145
"110","Geranium_sylvaticum",23.834587,61.473636
"115","Geranium_sylvaticum",28.614508,63.170108
"124","Geranium_sylvaticum",25.723859,69.16507
"132","Geranium_sylvaticum",24.700085,62.460515
"135","Geranium_sylvaticum",27.824267,64.002268
"146","Geranium_sylvaticum",24.999313,60.283775
"156","Geranium_sylvaticum",24.371638,60.443452
"173","Geranium_sylvaticum",25.868189,61.810823
"175","Geranium_sylvaticum",21.380481,69.185777
"187","Geranium_sylvaticum",26.687594,61.438243
"204","Geranium_sylvaticum",25.209655,61.390926
"221","Geranium_sylvaticum",24.538006,61.362468
"226","Geranium_sylvaticum",29.84036,62.504435
"228","Geranium_sylvaticum",25.766578,60.553424
"230","Geranium_sylvaticum",23.920502,62.122196
"231","Geranium_sylvaticum",24.018821,62.097411
"232","Geranium_sylvaticum",29.468994,65.25805
"237","Geranium_sylvaticum",24.736857,64.265174
"250","Geranium_sylvaticum",25.34633,67.825638
"253","Geranium_sylvaticum",26.301696,64.406601
"254","Geranium_sylvaticum",24.993581,64.708613
"260","Geranium_sylvaticum",29.518662,63.291597
"262","Geranium_sylvaticum",27.369796,65.179179
"268","Geranium_sylvaticum",23.773659,68.035557
"283","Geranium_sylvaticum",26.06954,63.911911
"291","Geranium_sylvaticum",24.572506,60.186864
"292","Geranium_sylvaticum",27.062836,61.653953
"310","Geranium_sylvaticum",25.444782,62.677211
"311","Geranium_sylvaticum",28.278067,62.742828
"313","Geranium_sylvaticum",25.741914,62.114849
"323","Geranium_sylvaticum",24.648412,60.385773
"324","Geranium_sylvaticum",25.771002,60.436777
"326","Geranium_sylvaticum",30.017506,64.242577
"360","Geranium_sylvaticum",29.986283,64.144464
"361","Geranium_sylvaticum",24.419981,61.000376
"362","Geranium_sylvaticum",27.969631,64.656239
