"","species","lon","lat"
"14135","Geranium_thunbergii",121.1,24.5
"14136","Geranium_thunbergii",121.182222,24.1
"20788","Geranium_thunbergii",141.135028,39.025606
"20792","Geranium_thunbergii",141.135156,39.025933
"37702","Geranium_thunbergii",121.274787,24.144539
"37786","Geranium_thunbergii",121.161001,22.88081
"37941","Geranium_thunbergii",121.034328,24.089162
"38114","Geranium_thunbergii",120.943459,23.468354
"38518","Geranium_thunbergii",120.795833,23.630556
"38689","Geranium_thunbergii",121.237728,24.047174
"38833","Geranium_thunbergii",121.180833,24.096667
"38888","Geranium_thunbergii",120.795556,23.631389
"38891","Geranium_thunbergii",121.597201,24.51633
"42483","Geranium_thunbergii",135.95116,34.49162
"42517","Geranium_thunbergii",135.79846,34.40693
"42540","Geranium_thunbergii",135.82387,34.46608
"42552","Geranium_thunbergii",135.9688,34.46806
"42553","Geranium_thunbergii",135.83102,34.70449
"42556","Geranium_thunbergii",135.91206,34.61047
"42557","Geranium_thunbergii",135.86589,34.487
"42606","Geranium_thunbergii",135.8277,34.38496
"42614","Geranium_thunbergii",135.89815,34.69019
"42615","Geranium_thunbergii",135.79825,34.35528
"50558","Geranium_thunbergii",139.12,35.54
"50584","Geranium_thunbergii",133.24,33.28
"50615","Geranium_thunbergii",139.17,35.66
"54536","Geranium_thunbergii",130.439499,31.527399
"57415","Geranium_thunbergii",-0.1488,42.6041
"70414","Geranium_thunbergii",-73.7,41.45
"73147","Geranium_thunbergii",128.001583,35.470111
"73150","Geranium_thunbergii",129.082778,35.668611
"73163","Geranium_thunbergii",127.969861,35.485972
"73170","Geranium_thunbergii",128.508621,35.714325
"73191","Geranium_thunbergii",127.466056,35.557389
"73199","Geranium_thunbergii",127.565613,35.556633
"73217","Geranium_thunbergii",127.477829,38.195164
"73222","Geranium_thunbergii",128.511612,35.715034
"94020","Geranium_thunbergii",132.859623,33.059509
"94611","Geranium_thunbergii",127.980887,36.235928
"95118","Geranium_thunbergii",121.1825,24.098889
"95197","Geranium_thunbergii",121.182222,24.1
"95353","Geranium_thunbergii",121.181667,24.097778
"95365","Geranium_thunbergii",121.283333,24.316667
"96881","Geranium_thunbergii",129.015278,36.190833
"136073","Geranium_thunbergii",139.447908,35.65393
"148983","Geranium_thunbergii",16.88278,48.78167
"153571","Geranium_thunbergii",128.669998,37.360001
"153882","Geranium_thunbergii",138.389186,36.499061
