"","species","lon","lat"
"21235","Geranium_versicolor",21.83778,38.74194
"21236","Geranium_versicolor",21.81639,38.83444
"24173","Geranium_versicolor",21.29778,39.34972
"24539","Geranium_versicolor",21.23278,40.03472
"24540","Geranium_versicolor",21.40889,40.64722
"24552","Geranium_versicolor",21.47944,40.60722
"57316","Geranium_versicolor",21.0128,39.8969
"57427","Geranium_versicolor",14.65,37.8833
"57428","Geranium_versicolor",14.1333,37.85
"57562","Geranium_versicolor",14.7,37.933333
"63242","Geranium_versicolor",14.149929,37.850019
"86298","Geranium_versicolor",21.01,39.82
"87074","Geranium_versicolor",14.13,37.85
"88207","Geranium_versicolor",21.01,39.89
"88420","Geranium_versicolor",22.28,37.07
"88699","Geranium_versicolor",21.09,39.81
"160223","Geranium_versicolor",14.4975,37.858601
"178437","Geranium_versicolor",21.38028,39.44333
"178983","Geranium_versicolor",21.18583,39.74111
"179073","Geranium_versicolor",21.7,39.25083
"179378","Geranium_versicolor",21.46639,39.44833
"179695","Geranium_versicolor",21.67972,39.33778
"179709","Geranium_versicolor",21.69278,39.28528
"250484","Geranium_versicolor",14.65,37.88333
"253830","Geranium_versicolor",16.34919,39.93397
"253903","Geranium_versicolor",16.36328,39.930469
"254021","Geranium_versicolor",16.337174,39.939244
"254180","Geranium_versicolor",16.371453,39.920601
"257886","Geranium_versicolor",21.216667,39.833333
"258098","Geranium_versicolor",23.683333,41.25
"260968","Geranium_versicolor",15.85,38.14
"302000","Geranium_versicolor",14.13,37.85
"371677","Geranium_versicolor",16.4475,39.97028
"379345","Geranium_versicolor",13.05,47.85
"393719","Geranium_versicolor",14.016667,41.933333
"393794","Geranium_versicolor",21.2275,39.7922
"393896","Geranium_versicolor",22.2861,37.0792
"424671","Geranium_versicolor",21.616667,39.2
"432313","Geranium_versicolor",21.65,39.15
"432493","Geranium_versicolor",20.816667,39.833333
"432545","Geranium_versicolor",21.216667,39.783333
"448505","Geranium_versicolor",14.02,41.93
"453769","Geranium_versicolor",14.65,37.88
"465276","Geranium_versicolor",21.0108,39.8286
"465866","Geranium_versicolor",21.0961,39.8161
"469612","Geranium_versicolor",16.56389,39.3875
"469617","Geranium_versicolor",15.89444,38.23722
"469968","Geranium_versicolor",16.02306,39.55028
"470293","Geranium_versicolor",15.8075,38.20556
"470490","Geranium_versicolor",14.13333,37.85
"470813","Geranium_versicolor",14.01667,41.93333
"470929","Geranium_versicolor",14.7,37.93333
"470940","Geranium_versicolor",20.11,40.26944
"471473","Geranium_versicolor",22.22917,37.18333
"478907","Geranium_versicolor",21.84222,38.98972
"479020","Geranium_versicolor",21.88306,39.05222
"479557","Geranium_versicolor",14.13333,37.83333
"480213","Geranium_versicolor",21.20444,39.75139
"480293","Geranium_versicolor",21.71361,39.255
"480294","Geranium_versicolor",21.71806,39.30722
"480295","Geranium_versicolor",21.72694,39.24833
"480521","Geranium_versicolor",21.19667,39.73917
"480831","Geranium_versicolor",21.14083,39.81417
"480903","Geranium_versicolor",21.46417,39.425
"481140","Geranium_versicolor",21.16861,39.77944
"481214","Geranium_versicolor",21.42111,39.43528
"481823","Geranium_versicolor",21.47889,39.43167
"482116","Geranium_versicolor",21.40611,39.44972
"482424","Geranium_versicolor",21.73694,39.26444
"482659","Geranium_versicolor",23.73389,41.27389
"482743","Geranium_versicolor",21.70167,39.30889
"482933","Geranium_versicolor",21.16417,40.02
"483040","Geranium_versicolor",21.46556,39.33944
"483265","Geranium_versicolor",23.67167,41.23944
"483344","Geranium_versicolor",21.40083,39.45
