"","species","lon","lat"
"13370","Gomphrena_globosa",-95.75886,15.89969
"19617","Gomphrena_globosa",-86.33333,13.2
"19963","Gomphrena_globosa",117.47,26.72
"20029","Gomphrena_globosa",114.05,22.54
"35525","Gomphrena_globosa",-61.68333,-21.8
"37064","Gomphrena_globosa",-75.616389,4.77
"40042","Gomphrena_globosa",-88.5884643,18.3581992
"44961","Gomphrena_globosa",-49.458611,-25.721667
"45427","Gomphrena_globosa",150.252798,-10.317711
"50303","Gomphrena_globosa",-67.55,-14.36666
"50439","Gomphrena_globosa",-39.776111,-18.521111
"64942","Gomphrena_globosa",-39.145556,-14.139722
"65602","Gomphrena_globosa",-38,-12
"65627","Gomphrena_globosa",-39.1,-13.1
"67467","Gomphrena_globosa",-38.524167,-6.299167
"70981","Gomphrena_globosa",-6.433333,4.8
"71916","Gomphrena_globosa",-58.751639,-11.385583
"87494","Gomphrena_globosa",0.07,38.77
"93044","Gomphrena_globosa",-95.242304,37.562897
"135000","Gomphrena_globosa",-75.857222,4.485278
"137417","Gomphrena_globosa",-41.15,-11.55
"141855","Gomphrena_globosa",-90.389722,19.926389
"142031","Gomphrena_globosa",-90.084722,20.327778
"149097","Gomphrena_globosa",-70.683,-33.2
"149363","Gomphrena_globosa",-75.8572,4.48528
"150103","Gomphrena_globosa",-97.520556,20.016667
"150106","Gomphrena_globosa",-97.520833,20.016944
"150145","Gomphrena_globosa",-97.520556,20.016944
"150146","Gomphrena_globosa",-97.436389,20.034722
"150156","Gomphrena_globosa",-97.520833,20.016667
"150171","Gomphrena_globosa",-97.558333,20.075
"150599","Gomphrena_globosa",12.8431,56.22739
"158423","Gomphrena_globosa",-156.449,20.8961
"161168","Gomphrena_globosa",-57.41666,-25.6
"161188","Gomphrena_globosa",-83.461111,13.870833
"162002","Gomphrena_globosa",-75.522694,5.070139
"162048","Gomphrena_globosa",-75.672889,4.5325
"165898","Gomphrena_globosa",-93.37611,15.96278
"168066","Gomphrena_globosa",-118.15833,34.20083
"171230","Gomphrena_globosa",-55.485556,-20.464167
"172042","Gomphrena_globosa",2.4333,6.35
"173699","Gomphrena_globosa",-93.560555,16.605278
"173835","Gomphrena_globosa",-64.190833,-31.390833
"180813","Gomphrena_globosa",-93.33028,15.98306
"183894","Gomphrena_globosa",-38.316667,-12.683333
"191069","Gomphrena_globosa",-99.093889,16.965833
"203784","Gomphrena_globosa",-89.45333,18.22778
"203931","Gomphrena_globosa",-90.03556,14.91167
"204086","Gomphrena_globosa",-93.55,16.6
"213071","Gomphrena_globosa",-89.07,17.1
"214145","Gomphrena_globosa",-4.015629,5.330294
"246653","Gomphrena_globosa",-52.2104,-3.198667
"250454","Gomphrena_globosa",-83.1056,8.85444
"252645","Gomphrena_globosa",-92.2715,15.2485
"252672","Gomphrena_globosa",-93.459167,15.998333
"252683","Gomphrena_globosa",-93.127222,16.233611
"252717","Gomphrena_globosa",-92.2205,15.255917
"252747","Gomphrena_globosa",-93.330278,15.983056
"252752","Gomphrena_globosa",-93.404167,16.045833
"252753","Gomphrena_globosa",-93.288333,15.984167
"252996","Gomphrena_globosa",-93.55,16.6
"253044","Gomphrena_globosa",-93.313055,15.971389
"253135","Gomphrena_globosa",-93.376111,15.962778
"253198","Gomphrena_globosa",-92.473611,15.204167
"256132","Gomphrena_globosa",-47.533333,-22.383333
"256575","Gomphrena_globosa",37.62235,54.194156
"256952","Gomphrena_globosa",-67.55,-14.36666
"257867","Gomphrena_globosa",12.84387,56.22786
"258852","Gomphrena_globosa",142.823889,-4.218611
"259934","Gomphrena_globosa",139.39404,35.56678
"264187","Gomphrena_globosa",-106.765933,23.621617
"264192","Gomphrena_globosa",-106.597833,23.7148
"282390","Gomphrena_globosa",-93.558333,16.608333
"282846","Gomphrena_globosa",127.966667,-20.133333
"283433","Gomphrena_globosa",3.243993,6.586787
"283948","Gomphrena_globosa",-91.14284,14.63444
"283956","Gomphrena_globosa",-104.633,22.233
"284310","Gomphrena_globosa",-95.02139,16.66667
"284391","Gomphrena_globosa",-89.29056,18.81194
"288413","Gomphrena_globosa",-89.95944,14.89611
"290134","Gomphrena_globosa",28.48,-2.15
"292130","Gomphrena_globosa",-58.75,-11.383333
"292145","Gomphrena_globosa",-52.075547,-10.902778
"305948","Gomphrena_globosa",-84.268333,37.90056
"313560","Gomphrena_globosa",-53.055,-25.431111
"326735","Gomphrena_globosa",-49.2,-16.216667
"329038","Gomphrena_globosa",-56.16,-1.505417
"329052","Gomphrena_globosa",-49.08,-5.078611
"329077","Gomphrena_globosa",-61.8,-1.9
"329623","Gomphrena_globosa",134.171944,34.646389
"329836","Gomphrena_globosa",-74.75,4.76667
"330183","Gomphrena_globosa",-90.181944,19.529167
"331474","Gomphrena_globosa",-93.45917,15.99833
"332839","Gomphrena_globosa",1.43333,10.8
"335288","Gomphrena_globosa",-55.485556,-20.464167
"338564","Gomphrena_globosa",-38.516667,-6.283333
"344736","Gomphrena_globosa",-88.83014,20.55082
"350340","Gomphrena_globosa",-86.261667,13.385278
"351453","Gomphrena_globosa",-96.45269,15.76625
"351734","Gomphrena_globosa",-45.767167,-23.22025
"352975","Gomphrena_globosa",-93.55,16.6
"368507","Gomphrena_globosa",142.823889,-4.218611
"372587","Gomphrena_globosa",-79.833333,-6.766667
"372690","Gomphrena_globosa",-89.06666,17.1
"374181","Gomphrena_globosa",-106.76583,23.62161
"392270","Gomphrena_globosa",-86.261667,13.385278
"392299","Gomphrena_globosa",-61.68333,-21.8
"392335","Gomphrena_globosa",-98.68101,16.81787
"398221","Gomphrena_globosa",-94.938889,16.610833
"398351","Gomphrena_globosa",-96.845278,19.958056
"401303","Gomphrena_globosa",-83.1,8.85
"413697","Gomphrena_globosa",-8.323,41.619
"413905","Gomphrena_globosa",-89.585,15.02556
