"","species","lon","lat"
"22910","Gypsophila_paniculata",12.09056,51.85167
"27103","Gypsophila_paniculata",92.583,49.983
"34979","Gypsophila_paniculata",14.616667,46.2
"37553","Gypsophila_paniculata",4.070895,51.945574
"39236","Gypsophila_paniculata",-105.66666,39.75
"43212","Gypsophila_paniculata",-109.010778,40.239944
"49740","Gypsophila_paniculata",-87.99374,45.231693
"49741","Gypsophila_paniculata",-87.99703,45.55341
"50885","Gypsophila_paniculata",35.660002,45.322263
"51234","Gypsophila_paniculata",31.174846,49.803102
"51273","Gypsophila_paniculata",30.2114,50.1648
"51274","Gypsophila_paniculata",30.4818,50.1426
"51275","Gypsophila_paniculata",31.2947,49.941
"60661","Gypsophila_paniculata",10.12,49.77
"61776","Gypsophila_paniculata",12.93358,56.8112
"64488","Gypsophila_paniculata",79.74608,51.70199
"64650","Gypsophila_paniculata",82.33884,53.07453
"64651","Gypsophila_paniculata",81.15,52.1
"64654","Gypsophila_paniculata",82,52.58333
"64655","Gypsophila_paniculata",81.6,52.36667
"64762","Gypsophila_paniculata",81.39912,51.6691
"64781","Gypsophila_paniculata",81.2078,51.50121
"64782","Gypsophila_paniculata",82.23093,52.69068
"64783","Gypsophila_paniculata",81.07113,53.51714
"64784","Gypsophila_paniculata",81.82942,51.98733
"64785","Gypsophila_paniculata",83.3397,53.49567
"64786","Gypsophila_paniculata",80.26667,52.08333
"64791","Gypsophila_paniculata",83.90427,53.45422
"64792","Gypsophila_paniculata",83.88159,53.18044
"75193","Gypsophila_paniculata",86.3252,54.7774
"75194","Gypsophila_paniculata",87.379722,53.779167
"78280","Gypsophila_paniculata",41.928115,44.381964
"78283","Gypsophila_paniculata",40.367718,55.485954
"78358","Gypsophila_paniculata",40.314082,54.828009
"78407","Gypsophila_paniculata",37.181639,45.057111
"78456","Gypsophila_paniculata",37.491269,53.847764
"78532","Gypsophila_paniculata",37.556883,54.169225
"78533","Gypsophila_paniculata",45.459893,45.5217
"78675","Gypsophila_paniculata",42.644149,43.254835
"78713","Gypsophila_paniculata",44.106674,46.055484
"78714","Gypsophila_paniculata",48.06219,46.796357
"78807","Gypsophila_paniculata",59.06581,52.58206
"79148","Gypsophila_paniculata",-116.802719,47.702411
"81512","Gypsophila_paniculata",-119.535,49.184
"81533","Gypsophila_paniculata",-117.322,33.361
"82355","Gypsophila_paniculata",9.303192,56.998793
"82696","Gypsophila_paniculata",11.996128,55.462076
"82870","Gypsophila_paniculata",10.416312,56.398141
"91084","Gypsophila_paniculata",-117.32249,33.36119
"92741","Gypsophila_paniculata",-86.25,44.69
"92960","Gypsophila_paniculata",-116.802719,47.702411
"93469","Gypsophila_paniculata",139.137222,36.36
"94636","Gypsophila_paniculata",-85.708195,46.266823
"96095","Gypsophila_paniculata",9.53161,50.5907
"96220","Gypsophila_paniculata",86.3211,48.1206
"96726","Gypsophila_paniculata",-120.538633,40.3137
"98815","Gypsophila_paniculata",24.562719,65.819877
