"","species","lon","lat"
"21393","Hedypnois_cretica",21.64611,39.7225
"21394","Hedypnois_cretica",21.63167,39.72
"22387","Hedypnois_cretica",21.96444,37.73333
"23710","Hedypnois_cretica",21.99056,38.22944
"23711","Hedypnois_cretica",22.04833,38.11778
"23712","Hedypnois_cretica",22.92444,38.30556
"23713","Hedypnois_cretica",22.94194,38.28472
"23714","Hedypnois_cretica",23.14278,38.50333
"23715","Hedypnois_cretica",22.97139,38.67361
"23716","Hedypnois_cretica",22.39611,38.11333
"23717","Hedypnois_cretica",23.32778,38.16333
"23718","Hedypnois_cretica",22.285,38.12139
"23719","Hedypnois_cretica",22.03139,38.06389
"23723","Hedypnois_cretica",22.14611,37.8725
"23729","Hedypnois_cretica",21.88944,38.0375
"23731","Hedypnois_cretica",21.94444,38.01167
"23732","Hedypnois_cretica",21.83972,38.09472
"23733","Hedypnois_cretica",22.13056,37.89167
"23734","Hedypnois_cretica",22.15611,37.8475
"23749","Hedypnois_cretica",23.16056,38.48833
"23751","Hedypnois_cretica",22.77333,38.52028
"23753","Hedypnois_cretica",22.86861,38.42917
"23755","Hedypnois_cretica",22.86861,38.44694
"23756","Hedypnois_cretica",22.80806,38.44306
"23773","Hedypnois_cretica",22.02111,37.90444
"23774","Hedypnois_cretica",22.14306,37.91972
"23776","Hedypnois_cretica",22.06806,37.90417
"23777","Hedypnois_cretica",22.13806,37.94333
"23778","Hedypnois_cretica",22.22972,37.86167
"23785","Hedypnois_cretica",22.13194,37.82528
"23786","Hedypnois_cretica",21.88389,38.03806
"23787","Hedypnois_cretica",22.03139,38.02917
"23788","Hedypnois_cretica",21.90444,38.02472
"23789","Hedypnois_cretica",22.005,38.04528
"23790","Hedypnois_cretica",22.23444,38.16917
"23791","Hedypnois_cretica",22.07278,37.83028
"24765","Hedypnois_cretica",22.68194,38.46972
"24773","Hedypnois_cretica",23.46222,38.23333
"24776","Hedypnois_cretica",23.37611,38.17722
"24777","Hedypnois_cretica",23.41806,38.16944
"24778","Hedypnois_cretica",23.34611,38.425
"24779","Hedypnois_cretica",23.26056,38.52222
"24780","Hedypnois_cretica",23.41139,38.3125
"24781","Hedypnois_cretica",23.36167,38.44917
"24782","Hedypnois_cretica",23.47389,38.48917
"24785","Hedypnois_cretica",22.87111,38.50889
"24786","Hedypnois_cretica",22.78972,38.52472
"24787","Hedypnois_cretica",23.03111,38.53611
"24788","Hedypnois_cretica",23.04361,38.56528
"24789","Hedypnois_cretica",22.91806,38.46694
"24790","Hedypnois_cretica",23.24917,38.4825
"24791","Hedypnois_cretica",23.31,38.31111
"24792","Hedypnois_cretica",23.26139,38.31278
"24793","Hedypnois_cretica",23.21139,38.37472
"24794","Hedypnois_cretica",23.23028,38.47444
"24795","Hedypnois_cretica",22.45167,38.43
"24796","Hedypnois_cretica",22.46056,38.42417
"24797","Hedypnois_cretica",22.48611,38.48139
"24798","Hedypnois_cretica",22.45639,38.4725
"24799","Hedypnois_cretica",22.41778,38.4425
"26075","Hedypnois_cretica",-8.94,38.53
"26395","Hedypnois_cretica",-1.8612115,42.5188821
"27200","Hedypnois_cretica",-121.8291,36.8862
"27211","Hedypnois_cretica",-121.870348,36.604134
"27319","Hedypnois_cretica",-121.7247,36.6354
"27764","Hedypnois_cretica",-97.6475,29.680556
"27879","Hedypnois_cretica",-113.913,36.8968
"27983","Hedypnois_cretica",-112.030806,34.734844
"35610","Hedypnois_cretica",-117.887778,34.162778
"35710","Hedypnois_cretica",-118.038889,33.692222
"53388","Hedypnois_cretica",-117.75,33.925
"53399","Hedypnois_cretica",-117.6943,33.727883
"53413","Hedypnois_cretica",-117.405306,33.221694
"53495","Hedypnois_cretica",-116.6728,32.6775
"53504","Hedypnois_cretica",-117.10087,33.22518
"53564","Hedypnois_cretica",-118.089444,33.730556
"53859","Hedypnois_cretica",-112.745774,33.965642
"54040","Hedypnois_cretica",-116.829167,32.560833
"54108","Hedypnois_cretica",-116.788611,32.567222
"54224","Hedypnois_cretica",-116.8875,33.956944
"54269","Hedypnois_cretica",-118.46889,34.37194
"54330","Hedypnois_cretica",-118.038889,33.692222
"56787","Hedypnois_cretica",-3.8751,36.7617
"57113","Hedypnois_cretica",1.0708,41.0653
"57757","Hedypnois_cretica",0.57,40.67
"57903","Hedypnois_cretica",3.04,42.84
"58229","Hedypnois_cretica",-5.32,40.52
"58292","Hedypnois_cretica",-2.26,36.8
"58435","Hedypnois_cretica",1.43,42.21
"58472","Hedypnois_cretica",0.72,41.52
"58543","Hedypnois_cretica",0.45,40.76
"58600","Hedypnois_cretica",0.46,40.49
"58677","Hedypnois_cretica",3.03,42.81
"58680","Hedypnois_cretica",-0.49,41.7
"58760","Hedypnois_cretica",0.78,40.91
"61901","Hedypnois_cretica",-96.900925,30.34558
"62176","Hedypnois_cretica",-97.792333,30.475667
"67604","Hedypnois_cretica",-8.3,37.15
"70660","Hedypnois_cretica",-6.787,37.94
"71498","Hedypnois_cretica",-97.944816,29.567498
"71533","Hedypnois_cretica",-97.97745,29.57433
"71561","Hedypnois_cretica",-97.93489,29.58927
"71773","Hedypnois_cretica",-97.97107,29.56148
"72559","Hedypnois_cretica",-117.303056,33.0925
"72691","Hedypnois_cretica",-118.245083,34.207667
"72717","Hedypnois_cretica",-117.666667,33.708333
"72759","Hedypnois_cretica",-117.562778,33.484444
"73030","Hedypnois_cretica",-117.2,33.55
"73066","Hedypnois_cretica",-119.04693,34.11931
"76834","Hedypnois_cretica",-111.948144,33.395517
"77017","Hedypnois_cretica",-116.767,32
"77044","Hedypnois_cretica",-110.965833,32.292222
"77469","Hedypnois_cretica",-111.948014,33.397353
"78093","Hedypnois_cretica",-111.8154829,33.4073261
"79113","Hedypnois_cretica",-97.78428,27.13239
"81639","Hedypnois_cretica",-117.6552,33.8028
"85972","Hedypnois_cretica",-0.1,38.7
"86448","Hedypnois_cretica",-1.6,41.38
"86467","Hedypnois_cretica",-2.13,41.36
"86641","Hedypnois_cretica",-0.39,39.09
"86970","Hedypnois_cretica",-0.68,39.14
"87017","Hedypnois_cretica",-0.09,38.77
"87295","Hedypnois_cretica",-2.36,39.52
"87658","Hedypnois_cretica",-0.37,39.77
"88085","Hedypnois_cretica",0.01,40.03
"88300","Hedypnois_cretica",-0.37,39.86
"89054","Hedypnois_cretica",0.08,38.77
"95810","Hedypnois_cretica",-118.245083,34.207667
"96373","Hedypnois_cretica",-115.304667,32.864167
"96409","Hedypnois_cretica",-116.69959,33.91393
"96545","Hedypnois_cretica",-117.3232,33.35843
"96549","Hedypnois_cretica",-121.488917,39.363139
"96602","Hedypnois_cretica",-117.376111,33.958889
"96673","Hedypnois_cretica",-116.666667,32.746667
"96785","Hedypnois_cretica",-117.875,33.966667
"96831","Hedypnois_cretica",-116.68028,32.85951
"98961","Hedypnois_cretica",-97.320978,30.131989
"133173","Hedypnois_cretica",-112.013214,34.744219
"133276","Hedypnois_cretica",-117.862249,33.960246
"137147","Hedypnois_cretica",-7.64271,37.13232
"137158","Hedypnois_cretica",-8.13726,37.14294
"137215","Hedypnois_cretica",-8.23163,37.13559
"137238","Hedypnois_cretica",-8.45046,39.844
"137251","Hedypnois_cretica",-7.81688,37.02371
"137259","Hedypnois_cretica",-7.54659,37.15748
"137266","Hedypnois_cretica",-7.80221,37.10727
"139257","Hedypnois_cretica",-113.863425,36.918798
"144045","Hedypnois_cretica",-116.775,32.008333
"155908","Hedypnois_cretica",-4.39,39.09
"155958","Hedypnois_cretica",-4.12,38.82
"155962","Hedypnois_cretica",-3.87,38.47
"156152","Hedypnois_cretica",-4.5,39.1
"156172","Hedypnois_cretica",-3.89,38.88
"156409","Hedypnois_cretica",-3.65,40.17
"156443","Hedypnois_cretica",-4.25,39.57
"156619","Hedypnois_cretica",-3.87,38.48
"156674","Hedypnois_cretica",-2.78,38.52
"167768","Hedypnois_cretica",-117.225,33.63889
"167809","Hedypnois_cretica",-117.21045,33.73637
