"","species","lon","lat"
"57","Helianthus_annuus",26.803531,60.882064
"224","Helianthus_annuus",21.51534,60.66216
"505","Helianthus_annuus",23.877538,61.23214
"795","Helianthus_annuus",25.023104,60.786881
"809","Helianthus_annuus",23.717672,60.078608
"886","Helianthus_annuus",23.150601,63.791822
"1027","Helianthus_annuus",25.614914,66.491825
"1076","Helianthus_annuus",24.340044,60.828957
"1229","Helianthus_annuus",24.300641,61.295106
"1386","Helianthus_annuus",23.889159,63.908406
"1419","Helianthus_annuus",24.410435,64.663659
"1960","Helianthus_annuus",24.42555,64.625777
"2016","Helianthus_annuus",24.060493,62.554864
"2179","Helianthus_annuus",25.890544,62.241751
"2262","Helianthus_annuus",24.31851,61.304439
"2288","Helianthus_annuus",25.550496,65.021477
"2348","Helianthus_annuus",24.411539,61.081772
"2644","Helianthus_annuus",25.00478,60.194077
"2705","Helianthus_annuus",24.433152,60.354855
"2921","Helianthus_annuus",23.083875,60.870064
"2982","Helianthus_annuus",25.058297,60.203849
"3183","Helianthus_annuus",23.189873,63.801848
"3328","Helianthus_annuus",24.121493,60.599935
"3341","Helianthus_annuus",25.775185,64.933782
"3345","Helianthus_annuus",25.610486,65.010384
"3536","Helianthus_annuus",23.101451,61.328823
"3557","Helianthus_annuus",23.170842,63.792361
"3776","Helianthus_annuus",23.699051,64.137663
"3820","Helianthus_annuus",23.446395,63.862283
"3954","Helianthus_annuus",22.06326,60.674541
"4013","Helianthus_annuus",24.932153,60.201942
"4014","Helianthus_annuus",24.950175,60.202222
"4083","Helianthus_annuus",24.776649,64.283733
"4101","Helianthus_annuus",25.157946,64.450542
"4668","Helianthus_annuus",26.135714,61.740977
"4750","Helianthus_annuus",25.023876,60.176406
"5011","Helianthus_annuus",24.166884,61.947882
"5134","Helianthus_annuus",24.693386,61.284394
"5232","Helianthus_annuus",23.31142,63.337934
"5308","Helianthus_annuus",23.648247,63.534841
"5609","Helianthus_annuus",29.059491,62.724571
"5640","Helianthus_annuus",27.060761,60.586032
"5794","Helianthus_annuus",24.556845,64.666151
"5963","Helianthus_annuus",24.227032,60.647067
"6004","Helianthus_annuus",26.750335,62.954769
"6091","Helianthus_annuus",25.517012,65.013074
"6222","Helianthus_annuus",24.90711,60.156208
"6609","Helianthus_annuus",24.645821,60.170228
"7084","Helianthus_annuus",25.444378,64.985422
"7364","Helianthus_annuus",24.237775,60.521567
"7366","Helianthus_annuus",24.398913,61.009695
"7373","Helianthus_annuus",24.492678,60.993515
"7450","Helianthus_annuus",22.974162,62.025984
"7502","Helianthus_annuus",24.469837,64.700587
"7525","Helianthus_annuus",24.60884,60.923797
"7698","Helianthus_annuus",24.268044,60.378506
"7726","Helianthus_annuus",24.475679,64.637862
"7830","Helianthus_annuus",25.438693,64.992091
"7910","Helianthus_annuus",25.492179,65.00206
"8221","Helianthus_annuus",25.614415,66.50079
"8251","Helianthus_annuus",25.383532,64.148139
"8252","Helianthus_annuus",25.107401,60.423571
"8338","Helianthus_annuus",25.3459,63.743942
"8384","Helianthus_annuus",24.858211,67.192029
"8477","Helianthus_annuus",24.352767,61.341028
"8580","Helianthus_annuus",25.350274,60.49507
"8616","Helianthus_annuus",24.768777,60.21725
"8686","Helianthus_annuus",24.154221,60.276368
"8852","Helianthus_annuus",25.038134,60.239464
"8859","Helianthus_annuus",26.09787,61.740733
"8900","Helianthus_annuus",23.058384,63.870183
"9073","Helianthus_annuus",27.523862,68.61317
"9211","Helianthus_annuus",24.452264,64.664385
