"","species","lon","lat"
"140091","Hemichromis_fasciatus",12.0669,8.0486
"250937","Hemichromis_fasciatus",9.975752,-2.536538
"250938","Hemichromis_fasciatus",9.956674,-2.580858
"250939","Hemichromis_fasciatus",9.973429,-2.539714
"299978","Hemichromis_fasciatus",-11.29395,12.31926
"299981","Hemichromis_fasciatus",-12.49557,8.706
"299982","Hemichromis_fasciatus",-12.50795,8.64301
"299985","Hemichromis_fasciatus",13.17545,-9.3373
"299986","Hemichromis_fasciatus",13.57499,-2.55883
"299994","Hemichromis_fasciatus",-11.426111,13.085278
"300002","Hemichromis_fasciatus",20.80094,6.15883
"300006","Hemichromis_fasciatus",12.22914,-3.97423
"300010","Hemichromis_fasciatus",-8.44284,7.74498
"300011","Hemichromis_fasciatus",2.703611,6.736111
"300017","Hemichromis_fasciatus",12.139,-4.126
"300021","Hemichromis_fasciatus",-11.435,13.091389
"300022","Hemichromis_fasciatus",-11.356944,13.120556
"300026","Hemichromis_fasciatus",16.409444,3.033611
"300027","Hemichromis_fasciatus",13.63059,-2.76596
"300028","Hemichromis_fasciatus",-12.50721,8.65206
"300034","Hemichromis_fasciatus",-12.50331,8.68929
"300037","Hemichromis_fasciatus",20.714444,6.164167
"300039","Hemichromis_fasciatus",21.18279,4.31133
"300044","Hemichromis_fasciatus",-11.431111,13.067778
"300045","Hemichromis_fasciatus",-14.25,12.9
"300049","Hemichromis_fasciatus",-5.698056,9.912778
"300083","Hemichromis_fasciatus",-8.704167,7.516111
"300085","Hemichromis_fasciatus",16.143889,2.36
"300087","Hemichromis_fasciatus",-12.57412,8.75916
"300105","Hemichromis_fasciatus",13.20695,-9.2048
"300113","Hemichromis_fasciatus",-8.50019,7.6042
"300119","Hemichromis_fasciatus",12.10879,-4.46345
"300131","Hemichromis_fasciatus",21.14532,4.32508
"333593","Hemichromis_fasciatus",10.285672,-0.681033
"333594","Hemichromis_fasciatus",14.918056,0.621111
"333599","Hemichromis_fasciatus",12.7925,0.5185
"333600","Hemichromis_fasciatus",-13.02243,9.90155
"333601","Hemichromis_fasciatus",-13.107,9.70407
"333603","Hemichromis_fasciatus",-11.82355,10.17669
"333605","Hemichromis_fasciatus",-12.177,10.93628
"333606","Hemichromis_fasciatus",-11.6748,10.15565
"333607","Hemichromis_fasciatus",14.936389,0.614167
"333608","Hemichromis_fasciatus",-8.92432,7.91282
"333611","Hemichromis_fasciatus",-12.4409,10.35044
"333612","Hemichromis_fasciatus",12.7995,0.519167
"333616","Hemichromis_fasciatus",-8.48665,8.06251
"333619","Hemichromis_fasciatus",-12.78046,10.00333
"333620","Hemichromis_fasciatus",0.866333,8.698833
"333621","Hemichromis_fasciatus",-9.45072,8.48703
"333625","Hemichromis_fasciatus",-8.94256,7.93229
"333626","Hemichromis_fasciatus",11.650333,0.815667
"333628","Hemichromis_fasciatus",-12.95466,10.35024
"333629","Hemichromis_fasciatus",-12.62677,10.09526
"333631","Hemichromis_fasciatus",-9.52436,8.7204
"333632","Hemichromis_fasciatus",12.783334,0.5
"333633","Hemichromis_fasciatus",11.646334,0.809833
"333636","Hemichromis_fasciatus",-9.39996,8.42693
"333638","Hemichromis_fasciatus",12.800667,0.518667
"333639","Hemichromis_fasciatus",-13.02157,9.53212
"333648","Hemichromis_fasciatus",14.926388,0.623888
"335645","Hemichromis_fasciatus",12.0678,8.0431
"353594","Hemichromis_fasciatus",24.3,-17.4667
"399622","Hemichromis_fasciatus",2.176669,6.39032
"399627","Hemichromis_fasciatus",2.469722,6.695
"399645","Hemichromis_fasciatus",2.515136,6.413894
"399675","Hemichromis_fasciatus",2.368023,6.414235
"399716","Hemichromis_fasciatus",2.394166,6.435859
"399823","Hemichromis_fasciatus",1.775745,6.615403
"399885","Hemichromis_fasciatus",2.083762,6.352336
"399908","Hemichromis_fasciatus",2.733333,9.282778
"399941","Hemichromis_fasciatus",2.475556,6.701667
"402474","Hemichromis_fasciatus",-16.46667,13.2
"402551","Hemichromis_fasciatus",-16.1,13.24167
"402675","Hemichromis_fasciatus",-9.52436,8.7204
"402702","Hemichromis_fasciatus",-9.45072,8.48703
"402703","Hemichromis_fasciatus",-12.177,10.93628
"402719","Hemichromis_fasciatus",-13.02243,9.90155
"402844","Hemichromis_fasciatus",-9.06841,8.06835
"402880","Hemichromis_fasciatus",-8.92432,7.91282
"402882","Hemichromis_fasciatus",-8.94256,7.93229
"402884","Hemichromis_fasciatus",-12.62677,10.09526
"402968","Hemichromis_fasciatus",-11.6748,10.15565
"402972","Hemichromis_fasciatus",-11.82355,10.17669
"402978","Hemichromis_fasciatus",-12.78046,10.00333
"402979","Hemichromis_fasciatus",-12.4409,10.35044
"402997","Hemichromis_fasciatus",-12.96745,10.52329
"402998","Hemichromis_fasciatus",-9.39996,8.42693
"402999","Hemichromis_fasciatus",-13.107,9.70407
"403020","Hemichromis_fasciatus",-13.02157,9.53212
"403206","Hemichromis_fasciatus",-12.95466,10.35024
"403215","Hemichromis_fasciatus",-8.48665,8.06251
"405518","Hemichromis_fasciatus",12.867,0.567
"405533","Hemichromis_fasciatus",-1.418,6.519
"487126","Hemichromis_fasciatus",1.1814,11.266965
"487127","Hemichromis_fasciatus",0.928516,10.887638
"487128","Hemichromis_fasciatus",0.975664,11.07623
"487129","Hemichromis_fasciatus",0.954233,10.904783
"487130","Hemichromis_fasciatus",1.363563,11.39555
"487131","Hemichromis_fasciatus",2.436985,6.400982
"487132","Hemichromis_fasciatus",0.999238,11.07623
"487133","Hemichromis_fasciatus",2.41135,6.458274
"487134","Hemichromis_fasciatus",1.421426,11.461986
"487135","Hemichromis_fasciatus",2.338759,6.940562
"487136","Hemichromis_fasciatus",2.334987,6.940287
"487137","Hemichromis_fasciatus",2.331246,6.939384
"487138","Hemichromis_fasciatus",0.990665,11.018366
"487139","Hemichromis_fasciatus",1.384993,11.414838
"487140","Hemichromis_fasciatus",2.429879,6.47116
"487141","Hemichromis_fasciatus",2.277199,7.043291
"487142","Hemichromis_fasciatus",1.234977,11.260535
"487143","Hemichromis_fasciatus",1.15354,11.279823
"487144","Hemichromis_fasciatus",0.947803,10.928357
