"","species","lon","lat"
"35038","Hemiculter_leucisculus",66.2962,38.5705
"35049","Hemiculter_leucisculus",68.0721,38.3631
"35052","Hemiculter_leucisculus",130.252,46.785
"44761","Hemiculter_leucisculus",109.449997,19.219999
"44773","Hemiculter_leucisculus",130.25,46.779999
"44815","Hemiculter_leucisculus",114.690002,23.52
"44824","Hemiculter_leucisculus",110.089996,23.389999
"44843","Hemiculter_leucisculus",108.129997,23.85
"55470","Hemiculter_leucisculus",60.8039,41.2827
"70793","Hemiculter_leucisculus",64.779999,40.07
"70804","Hemiculter_leucisculus",133.979996,34.619999
"70807","Hemiculter_leucisculus",113.110001,22.610001
"70808","Hemiculter_leucisculus",60.799999,41.279999
"70809","Hemiculter_leucisculus",110.629997,21.65
"70822","Hemiculter_leucisculus",67.330002,37.240002
"70849","Hemiculter_leucisculus",108.059998,24.700001
"70863","Hemiculter_leucisculus",64.889999,40.150002
"70864","Hemiculter_leucisculus",109.970001,22.280001
"70869","Hemiculter_leucisculus",132.130005,44.93
"81532","Hemiculter_leucisculus",64.7784,40.071
"81613","Hemiculter_leucisculus",115.135,24.738
"84483","Hemiculter_leucisculus",132.10056,44.85972
"85117","Hemiculter_leucisculus",132.100556,44.859722
"85118","Hemiculter_leucisculus",132.066667,44.583333
"85120","Hemiculter_leucisculus",132.06111,44.75639
"85121","Hemiculter_leucisculus",132.38333,44.63333
"93773","Hemiculter_leucisculus",64.9058,40.1472
"93783","Hemiculter_leucisculus",108.064,24.697
"93801","Hemiculter_leucisculus",113.111,34.847
"93824","Hemiculter_leucisculus",64.8854,40.1497
"94256","Hemiculter_leucisculus",67.6186,37.8233
"94263","Hemiculter_leucisculus",67.3297,37.2389
"94341","Hemiculter_leucisculus",133.98,34.622
"94411","Hemiculter_leucisculus",106.849998,22.34
"94447","Hemiculter_leucisculus",71.010002,40.34
"94471","Hemiculter_leucisculus",110.309998,21.719999
"94489","Hemiculter_leucisculus",104.949997,25.139999
"94498","Hemiculter_leucisculus",110.449997,19.24
"94510","Hemiculter_leucisculus",60.169998,41.540001
"96157","Hemiculter_leucisculus",108.129,23.851
"96179","Hemiculter_leucisculus",113.977,34.943
"122343","Hemiculter_leucisculus",107.339996,22.4
"122360","Hemiculter_leucisculus",64.910004,40.150002
"122388","Hemiculter_leucisculus",116.389999,23.52
"122406","Hemiculter_leucisculus",67.620003,37.82
"122407","Hemiculter_leucisculus",111.779999,22.17
"137535","Hemiculter_leucisculus",66.300003,38.57
"137538","Hemiculter_leucisculus",115.139999,24.74
"137606","Hemiculter_leucisculus",109.169998,18.75
"152047","Hemiculter_leucisculus",60.1667,41.5402
"152054","Hemiculter_leucisculus",104.954,25.139
"152064","Hemiculter_leucisculus",115.205,34.677
"153520","Hemiculter_leucisculus",68.07,38.360001
"153542","Hemiculter_leucisculus",113.580002,24.82
"153577","Hemiculter_leucisculus",115.860001,35.990002
"153596","Hemiculter_leucisculus",100.669998,26.57
"153793","Hemiculter_leucisculus",113.980003,34.939999
"157521","Hemiculter_leucisculus",110.519,24.196
"160616","Hemiculter_leucisculus",105.95,18.116667
"169608","Hemiculter_leucisculus",111.720001,23.99
"180129","Hemiculter_leucisculus",126.39779,36.47189
"180131","Hemiculter_leucisculus",126.28821,36.69313
"214093","Hemiculter_leucisculus",126.96558,36.22284
"214094","Hemiculter_leucisculus",127.54195,36.38514
"214097","Hemiculter_leucisculus",127.59958,36.49021
"214105","Hemiculter_leucisculus",127.47511,36.71747
"214106","Hemiculter_leucisculus",127.01592,36.17235
"214108","Hemiculter_leucisculus",127.53509,36.51859
"214109","Hemiculter_leucisculus",128.16859,36.99339
"214118","Hemiculter_leucisculus",126.68898,36.29184
"214121","Hemiculter_leucisculus",126.63852,37.60597
"288470","Hemiculter_leucisculus",116.625,40.3167
"288779","Hemiculter_leucisculus",120.65,23.38
"295063","Hemiculter_leucisculus",120.35,23.18
"303517","Hemiculter_leucisculus",71.0136,40.3402
"306796","Hemiculter_leucisculus",49.4667,37.3833
"306805","Hemiculter_leucisculus",47.5892,31.6417
"331756","Hemiculter_leucisculus",100.667,26.572
"352100","Hemiculter_leucisculus",110.910004,19.66
"362395","Hemiculter_leucisculus",121.653,25.0685
"362396","Hemiculter_leucisculus",120.47,23.14
"362399","Hemiculter_leucisculus",120.38,23.12
"362400","Hemiculter_leucisculus",120.26,23.17
"362401","Hemiculter_leucisculus",120.49,23.19
"362402","Hemiculter_leucisculus",120.77778,22.12764
"362406","Hemiculter_leucisculus",120.44481,23.04703
"362408","Hemiculter_leucisculus",120.94912,24.67579
"362410","Hemiculter_leucisculus",120.95903,24.66172
"362413","Hemiculter_leucisculus",120.908,24.68
"362414","Hemiculter_leucisculus",120.4525,23.12271
"362416","Hemiculter_leucisculus",120.3381,23.15587
"362417","Hemiculter_leucisculus",120.48809,23.19195
"362595","Hemiculter_leucisculus",120.51,23.07
"362596","Hemiculter_leucisculus",120.51,23.09
"362597","Hemiculter_leucisculus",120.45,23.12
"362599","Hemiculter_leucisculus",120.88084,24.58549
"362600","Hemiculter_leucisculus",120.71426,22.0686
"362602","Hemiculter_leucisculus",120.99025,24.66464
"362603","Hemiculter_leucisculus",120.48675,22.87456
"362605","Hemiculter_leucisculus",120.41666,23.03536
"362606","Hemiculter_leucisculus",120.30323,23.49788
"362783","Hemiculter_leucisculus",120.51,23.08
"362784","Hemiculter_leucisculus",120.35,23.12
"362785","Hemiculter_leucisculus",120.4,23.14
"362786","Hemiculter_leucisculus",120.36123,22.80309
"362792","Hemiculter_leucisculus",120.29318,23.48183
"362956","Hemiculter_leucisculus",121.536,24.9431
"362957","Hemiculter_leucisculus",120.5,23.21
"362958","Hemiculter_leucisculus",120.48,23.09
"362962","Hemiculter_leucisculus",120.59203,23.16482
"362965","Hemiculter_leucisculus",120.954,24.647
"363112","Hemiculter_leucisculus",120.34,23.16
"363116","Hemiculter_leucisculus",120.875,24.649
"363117","Hemiculter_leucisculus",120.48765,23.07792
"363249","Hemiculter_leucisculus",120.52,23.24
"363251","Hemiculter_leucisculus",121.017,24.686
"363253","Hemiculter_leucisculus",120.39798,23.83208
"363254","Hemiculter_leucisculus",120.3693,23.09758
