"","species","lon","lat"
"12218","Heteropogon_contortus",2.25,7.683333
"12406","Heteropogon_contortus",-81.381889,27.209667
"13184","Heteropogon_contortus",-101.044,22.1173
"13191","Heteropogon_contortus",101.224,27.7719
"13243","Heteropogon_contortus",-96.0505,16.5329
"13245","Heteropogon_contortus",-99.4367,17.8461
"13394","Heteropogon_contortus",-109.5525,28.57083
"13413","Heteropogon_contortus",-101.433,25.45
"13509","Heteropogon_contortus",-110.96528,28.58333
"13525","Heteropogon_contortus",-101.217,26.617
"13578","Heteropogon_contortus",-99.09833,17.85222
"13644","Heteropogon_contortus",-102.59722,21.90139
"13646","Heteropogon_contortus",-97.67778,18.09167
"13651","Heteropogon_contortus",-97.5555,17.65097
"13695","Heteropogon_contortus",-102.69444,21.92917
"13817","Heteropogon_contortus",-102.8,21.26389
"13852","Heteropogon_contortus",-95.233,16.567
"13875","Heteropogon_contortus",-96.4705,16.3116
"13898","Heteropogon_contortus",-99.3961,17.8287
"13901","Heteropogon_contortus",-74.2006,-13.1927
"19421","Heteropogon_contortus",38.561806,-6.427083
"19476","Heteropogon_contortus",-77.89775,-7.000417
"19490","Heteropogon_contortus",-95.238611,16.623889
"19642","Heteropogon_contortus",146.856354,-19.486671
"19645","Heteropogon_contortus",132.78616,-14.71567
"19832","Heteropogon_contortus",132.386376,-14.481184
"20168","Heteropogon_contortus",110.35,25.17
"20279","Heteropogon_contortus",110.58,25.6
"20957","Heteropogon_contortus",2.2,7.816667
"20969","Heteropogon_contortus",101.1,15.166667
"27508","Heteropogon_contortus",47.179445,-21.127222
"27706","Heteropogon_contortus",132.07228,-14.27892
"27869","Heteropogon_contortus",-113.654342,35.857381
"34494","Heteropogon_contortus",22.056,-29.51575
"34775","Heteropogon_contortus",48.668333,-13.550278
"34849","Heteropogon_contortus",-1.106944,5.181111
"34892","Heteropogon_contortus",2.057222,6.374444
"34904","Heteropogon_contortus",98.216667,18.183333
"34943","Heteropogon_contortus",16.330183,-24.48545
"35009","Heteropogon_contortus",99.302194,18.490667
"35208","Heteropogon_contortus",-72.51861,-13.51805
"35340","Heteropogon_contortus",37.883333,-4.35
"35402","Heteropogon_contortus",45.41,-16.468333
"35733","Heteropogon_contortus",-105.458333,25.108333
"35811","Heteropogon_contortus",-102.69,29.0534
"35827","Heteropogon_contortus",25.8927,-18.4492
"36964","Heteropogon_contortus",-67.869167,5.339167
"37026","Heteropogon_contortus",-73.358694,5.615917
"37459","Heteropogon_contortus",-0.366667,11.733333
"37556","Heteropogon_contortus",-0.983333,12.333333
"37579","Heteropogon_contortus",24.0625,-28.445556
"37621","Heteropogon_contortus",52.775278,16.571389
"37749","Heteropogon_contortus",120.746944,22.024167
"38021","Heteropogon_contortus",120.898312,22.350397
"38086","Heteropogon_contortus",120.758222,22.102139
"38128","Heteropogon_contortus",101.961667,23.715556
"38152","Heteropogon_contortus",120.572778,24.248333
"38305","Heteropogon_contortus",118.428611,24.424444
"38408","Heteropogon_contortus",120.595833,23.818889
"38477","Heteropogon_contortus",120.333134,22.992816
"38648","Heteropogon_contortus",120.611513,23.923174
"38813","Heteropogon_contortus",120.89641,22.34753
"39008","Heteropogon_contortus",122.11666,-8.58333
"39057","Heteropogon_contortus",-90.06666,13.8
"39337","Heteropogon_contortus",101.75,26.25
"39620","Heteropogon_contortus",46.61666,-24.51666
"39673","Heteropogon_contortus",-103.55,29.3
"39695","Heteropogon_contortus",98.8125,28.499444
"39778","Heteropogon_contortus",151.587778,-28.908333
"39781","Heteropogon_contortus",-72.518611,-13.525
"39791","Heteropogon_contortus",44.5025,-18.002222
"39836","Heteropogon_contortus",132.4492,-14.55241
"42191","Heteropogon_contortus",144.0361,-17.0214
"42222","Heteropogon_contortus",130.8131,-14.3703
"42334","Heteropogon_contortus",130.1719,-16.4875
"42339","Heteropogon_contortus",133.735,-14.1683
"43503","Heteropogon_contortus",-111.7525,34.798611
"43904","Heteropogon_contortus",152.270645,-27.471513
"43907","Heteropogon_contortus",148.013046,-22.656217
"43909","Heteropogon_contortus",148.629166,-24.466202
"43920","Heteropogon_contortus",150.482746,-23.606477
"43946","Heteropogon_contortus",146.49224,-22.823445
"43976","Heteropogon_contortus",147.194172,-22.839554
"43992","Heteropogon_contortus",149.120492,-24.321974
"44012","Heteropogon_contortus",147.341125,-24.04594
