"","species","lon","lat"
"289","Hosta_lancifolia",24.742943,60.756811
"1012","Hosta_lancifolia",22.25973,61.111175
"7251","Hosta_lancifolia",28.053667,61.050579
"11247","Hosta_lancifolia",26.605702,61.985411
"32209","Hosta_lancifolia",24.731811,60.733082
"93291","Hosta_lancifolia",139.056111,36.655
"93387","Hosta_lancifolia",139.332222,36.924444
"93509","Hosta_lancifolia",139.303056,36.873611
"93518","Hosta_lancifolia",139.0622,36.6575
"93610","Hosta_lancifolia",138.548333,36.655556
"93618","Hosta_lancifolia",138.439722,36.467778
"93629","Hosta_lancifolia",138.77,36.483333
"93669","Hosta_lancifolia",139.054722,36.766667
"93675","Hosta_lancifolia",139.023475,36.684677
"93703","Hosta_lancifolia",139.101667,36.7125
"93707","Hosta_lancifolia",139.088889,36.673333
"93709","Hosta_lancifolia",139.105556,36.690833
"93734","Hosta_lancifolia",139.2,36.9
"123737","Hosta_lancifolia",24.388854,60.979277
"133753","Hosta_lancifolia",16.21862,59.01296
"138418","Hosta_lancifolia",7.5274,58.3799
"149831","Hosta_lancifolia",12.90637,56.75263
"151315","Hosta_lancifolia",15.60225,56.24374
"182606","Hosta_lancifolia",24.60366,58.02236
"209975","Hosta_lancifolia",139.053088,35.332432
"210128","Hosta_lancifolia",139.053088,35.349096
"210240","Hosta_lancifolia",139.990508,35.199139
"210265","Hosta_lancifolia",139.015599,35.190783
"210291","Hosta_lancifolia",139.028099,35.157454
"210325","Hosta_lancifolia",139.040594,35.257444
"210397","Hosta_lancifolia",139.053091,35.224114
"210460","Hosta_lancifolia",139.682025,36.392591
"210546","Hosta_lancifolia",139.053086,35.382424
"210684","Hosta_lancifolia",139.065589,35.290772
"210782","Hosta_lancifolia",139.049669,35.185089
"210868","Hosta_lancifolia",139.663138,36.385092
"211091","Hosta_lancifolia",139.178074,35.399095
"211147","Hosta_lancifolia",139.680359,36.379815
"211163","Hosta_lancifolia",139.003099,35.232445
"211509","Hosta_lancifolia",139.193303,35.435155
"211579","Hosta_lancifolia",139.107319,35.180319
"211677","Hosta_lancifolia",138.915602,35.40742
"211805","Hosta_lancifolia",139.090588,35.240781
"211868","Hosta_lancifolia",139.003097,35.265774
"211956","Hosta_lancifolia",139.503049,35.432433
"212377","Hosta_lancifolia",138.940599,35.399088
"212410","Hosta_lancifolia",138.992682,35.249943
"223339","Hosta_lancifolia",25.717467,60.419442
"225510","Hosta_lancifolia",24.99767,60.310684
"235499","Hosta_lancifolia",25.358741,60.361696
"237404","Hosta_lancifolia",24.661266,60.206418
"259722","Hosta_lancifolia",139.1375,35.541389
"259907","Hosta_lancifolia",139.440694,35.474165
"273452","Hosta_lancifolia",24.48796,60.113449
"275766","Hosta_lancifolia",24.752498,60.151878
"282666","Hosta_lancifolia",13.97207,56.311
"290837","Hosta_lancifolia",5.3471,60.3462
"306329","Hosta_lancifolia",136.6998,36.606
"306376","Hosta_lancifolia",136.67,36.6062
"306419","Hosta_lancifolia",136.7116,36.597
"310524","Hosta_lancifolia",11.3292,59.4348
"310793","Hosta_lancifolia",10.3455,59.4639
"341581","Hosta_lancifolia",24.755044,60.154166
"354087","Hosta_lancifolia",24.139796,60.253336
"360515","Hosta_lancifolia",-80.423956,41.675002
"377627","Hosta_lancifolia",24.072041,61.26328
"399487","Hosta_lancifolia",137.197164,35.130469
"421241","Hosta_lancifolia",10.9474,59.3423
"424741","Hosta_lancifolia",12.96305,56.27379
"432040","Hosta_lancifolia",14.14185,56.30873
"432486","Hosta_lancifolia",13.30383,55.62797
"433903","Hosta_lancifolia",15.60225,56.24375
"433951","Hosta_lancifolia",16.47546,57.26573
"443151","Hosta_lancifolia",140.146742,35.461603
"443178","Hosta_lancifolia",138.46658,35.94851
"443386","Hosta_lancifolia",140.159231,35.711575
"443396","Hosta_lancifolia",140.059247,35.461603
"443430","Hosta_lancifolia",140.084244,35.428275
"443629","Hosta_lancifolia",139.946744,35.894878
"443741","Hosta_lancifolia",140.334212,35.719911
"443885","Hosta_lancifolia",140.134242,35.478267
"443903","Hosta_lancifolia",140.04675,35.436606
"444102","Hosta_lancifolia",140.309215,35.71991
"444415","Hosta_lancifolia",140.296716,35.719911
"453735","Hosta_lancifolia",16.12934,58.6168
"455061","Hosta_lancifolia",24.299098,61.313034
"477458","Hosta_lancifolia",23.522911,61.517047
"485662","Hosta_lancifolia",15.84601,57.90237
"486238","Hosta_lancifolia",15.84399,57.31756
"486323","Hosta_lancifolia",-81.463159,36.403181
