"","species","lon","lat"
"20150","Ipomoea_aquatica",113.93,22.69
"20185","Ipomoea_aquatica",114.05,22.54
"20796","Ipomoea_aquatica",1.7,6.666667
"20886","Ipomoea_aquatica",-55.139167,5.840833
"20916","Ipomoea_aquatica",100.3,13.783333
"34542","Ipomoea_aquatica",3.183333,12.066667
"34821","Ipomoea_aquatica",138.766667,-1.966667
"34890","Ipomoea_aquatica",2.316667,9.3
"37124","Ipomoea_aquatica",-75.100167,8.553056
"37446","Ipomoea_aquatica",2.5,8.966667
"37485","Ipomoea_aquatica",2.645083,7.04695
"37596","Ipomoea_aquatica",-55.219444,5.855556
"37678","Ipomoea_aquatica",120.349444,23.896389
"37697","Ipomoea_aquatica",120.395278,23.795556
"37916","Ipomoea_aquatica",120.357706,23.599356
"38254","Ipomoea_aquatica",120.191944,23.009167
"38414","Ipomoea_aquatica",121.00001,24.00092
"38862","Ipomoea_aquatica",120.801944,23.826667
"40631","Ipomoea_aquatica",-1.85,9.3
"40662","Ipomoea_aquatica",135,-12.333333
"40919","Ipomoea_aquatica",130.333333,-16.5
"40920","Ipomoea_aquatica",152.666667,-27.833333
"41095","Ipomoea_aquatica",131.666667,-12.666667
"41096","Ipomoea_aquatica",147.5,-22
"41411","Ipomoea_aquatica",136.9,-4.616667
"41484","Ipomoea_aquatica",132.833333,-12.666667
"41485","Ipomoea_aquatica",147.333333,-19.5
"41573","Ipomoea_aquatica",136.9,-4.65
"41849","Ipomoea_aquatica",-82.296667,22.704444
"41911","Ipomoea_aquatica",2.65,7.05
"41924","Ipomoea_aquatica",-116.961667,32.794722
"42093","Ipomoea_aquatica",2.655667,7.657
"42326","Ipomoea_aquatica",152.5839,-27.7903
"50190","Ipomoea_aquatica",43.748611,-21.717222
"50337","Ipomoea_aquatica",25.06916,-16.67805
"51707","Ipomoea_aquatica",148.252222,-20.124444
"51746","Ipomoea_aquatica",132.902155,-12.647224
"52127","Ipomoea_aquatica",129.901389,-14.348333
"52276","Ipomoea_aquatica",125.52454,-8.55069
"52379","Ipomoea_aquatica",137.454861,-16.811333
"52491","Ipomoea_aquatica",134.5,-17.322
