"","species","lon","lat"
"428","Juncus_compressus",24.455758,60.992822
"589","Juncus_compressus",24.490204,60.320025
"626","Juncus_compressus",21.504649,60.724694
"646","Juncus_compressus",26.738251,60.866733
"1550","Juncus_compressus",24.999862,60.274805
"1638","Juncus_compressus",24.840884,60.218443
"1797","Juncus_compressus",24.84595,60.416052
"2711","Juncus_compressus",22.824646,60.314032
"4427","Juncus_compressus",21.568447,60.673327
"5596","Juncus_compressus",23.716137,61.883981
"6154","Juncus_compressus",25.592936,60.354227
"6502","Juncus_compressus",24.487277,60.122416
"6579","Juncus_compressus",24.963518,60.256072
"7400","Juncus_compressus",24.472792,61.0111
"7621","Juncus_compressus",23.998188,60.187444
"8202","Juncus_compressus",22.213097,60.653019
"8281","Juncus_compressus",26.730027,60.863988
"8512","Juncus_compressus",24.45823,60.265539
"8552","Juncus_compressus",25.271751,60.260668
"9358","Juncus_compressus",26.878617,60.505216
"9459","Juncus_compressus",24.45504,61.001788
"10112","Juncus_compressus",25.255831,60.423847
"10223","Juncus_compressus",25.017379,60.284046
"11281","Juncus_compressus",21.603373,60.683738
"11364","Juncus_compressus",27.189497,60.548863
"12338","Juncus_compressus",14.84653,58.3787
"14334","Juncus_compressus",25.145373,60.258962
"15274","Juncus_compressus",30.541419,62.191989
"15447","Juncus_compressus",23.123001,60.394968
"15874","Juncus_compressus",24.534006,60.190741
"16285","Juncus_compressus",26.933253,60.487304
"16482","Juncus_compressus",22.541518,60.529546
"17284","Juncus_compressus",25.164932,60.232301
"17831","Juncus_compressus",25.299809,60.398831
"18519","Juncus_compressus",28.868538,61.865614
"20368","Juncus_compressus",-0.413682,53.148256
"22906","Juncus_compressus",12.2,51.79694
"23186","Juncus_compressus",24.52278,41.24444
"23867","Juncus_compressus",21.64444,40.1675
"24625","Juncus_compressus",12.26083,51.885
"25992","Juncus_compressus",-1.8612179,42.8488896
"26073","Juncus_compressus",-2.5512332,42.9188838
"26122","Juncus_compressus",-1.4812071,42.68889
"26217","Juncus_compressus",-1.9312172,42.7388864
"26323","Juncus_compressus",-2.5412328,42.9088837
"26542","Juncus_compressus",-1.8212193,42.9588926
"26581","Juncus_compressus",-1.061197,42.6088926
"26600","Juncus_compressus",-1.6212154,42.9688949
"26652","Juncus_compressus",-2.6312361,42.9788844
"26670","Juncus_compressus",-2.561233,42.8988833
"26692","Juncus_compressus",-2.5612329,42.888883
"26937","Juncus_compressus",-1.3012073,42.8888965
"27036","Juncus_compressus",-2.6312357,42.9588839
"27060","Juncus_compressus",-2.5812346,42.9588844
"27872","Juncus_compressus",-75.763011,38.901258
"27883","Juncus_compressus",-105.0228,40.5678
"27963","Juncus_compressus",-73.57389,41.66133
"28188","Juncus_compressus",23.191199,60.43288
"28725","Juncus_compressus",21.595857,60.728412
"29269","Juncus_compressus",24.165615,60.266122
"29996","Juncus_compressus",21.770291,60.672387
"30135","Juncus_compressus",23.644182,60.084353
"30969","Juncus_compressus",24.552708,61.174188
"31525","Juncus_compressus",26.886697,60.505178
"31854","Juncus_compressus",24.898986,60.156527
"32756","Juncus_compressus",26.608854,60.938313
"33890","Juncus_compressus",25.000957,60.256866
"34499","Juncus_compressus",6.734088,53.437201
"34557","Juncus_compressus",6.462721,52.819859
"34610","Juncus_compressus",6.076833,52.468917
"35946","Juncus_compressus",14.02972,47.54306
"36150","Juncus_compressus",15.49273,47.08675
"36153","Juncus_compressus",15.41897,47.11665
"36216","Juncus_compressus",14.35611,47.20306
"36450","Juncus_compressus",14.75722,47.22306
"36490","Juncus_compressus",13.61056,47.43167
"36606","Juncus_compressus",15.31568,47.1022
"36687","Juncus_compressus",15.82833,47.19333
"36698","Juncus_compressus",21.13278,48.76806
"36713","Juncus_compressus",15.83716,46.74691
"37278","Juncus_compressus",-72.75,46.166667
"37296","Juncus_compressus",-73.486467,45.4303
"37307","Juncus_compressus",-72.706667,45.026667
"37349","Juncus_compressus",-73.504333,45.3983
"37537","Juncus_compressus",4.500594,52.28216
"38947","Juncus_compressus",6.24056,48.65139
"38962","Juncus_compressus",6.525,47.95722
"42396","Juncus_compressus",-96.58975,50.260917
"42731","Juncus_compressus",-2.59,42.94
"42807","Juncus_compressus",-2.59,42.950001
