"","species","lon","lat"
"12532","Juncus_ensifolius",-120.031111,38.813889
"20977","Juncus_ensifolius",4.830605,51.672976
"23017","Juncus_ensifolius",11.12306,51.70611
"26535","Juncus_ensifolius",23.42,60.27
"27846","Juncus_ensifolius",-112.1047278,37.4856232
"27902","Juncus_ensifolius",-112.0378,40.4405
"27995","Juncus_ensifolius",-112.1685,37.25927
"34714","Juncus_ensifolius",6.832588,52.788969
"34833","Juncus_ensifolius",5.987305,50.979054
"34924","Juncus_ensifolius",6.125,52.525
"35631","Juncus_ensifolius",-123.673119,40.760493
"35643","Juncus_ensifolius",-122.5278,41.336266
"35701","Juncus_ensifolius",-123.673151,40.761241
"35702","Juncus_ensifolius",-123.729512,40.866468
"35721","Juncus_ensifolius",-123.71777,41.88726
"35727","Juncus_ensifolius",-122.830278,40.149444
"35731","Juncus_ensifolius",-123.723339,40.7024
"35732","Juncus_ensifolius",-123.691437,40.824579
"35771","Juncus_ensifolius",-123.602,42.5208
"36054","Juncus_ensifolius",15.01589,46.92197
"36210","Juncus_ensifolius",15.01556,46.9225
"38960","Juncus_ensifolius",6.93333,48.44944
"42274","Juncus_ensifolius",147.281083,-36.869553
"43033","Juncus_ensifolius",-106.59824,40.85998
"43111","Juncus_ensifolius",-106.82876,40.77034
"43112","Juncus_ensifolius",-107.22056,37.98806
"43127","Juncus_ensifolius",-104.56775,39.029148
"43136","Juncus_ensifolius",-104.8025,36.814167
"43137","Juncus_ensifolius",-105.7527,40.96106
"43182","Juncus_ensifolius",-104.42919,37.00921
"43204","Juncus_ensifolius",-108.150573,37.778397
"43268","Juncus_ensifolius",-107.4149,44.3355
"43366","Juncus_ensifolius",-106.7511,37.19376
"43387","Juncus_ensifolius",-107.691261,39.715015
"43453","Juncus_ensifolius",-106.91979,40.94493
"43472","Juncus_ensifolius",-111.573747,41.829183
"43488","Juncus_ensifolius",-106.757777,40.106033
"43591","Juncus_ensifolius",-106.8742,37.37967
"43695","Juncus_ensifolius",-106.2368,39.8541
"44693","Juncus_ensifolius",-110.443273,43.233126
"44871","Juncus_ensifolius",-120.949997,49.560001
"49611","Juncus_ensifolius",-90.6275,46.189879
"49612","Juncus_ensifolius",-90.5829,46.329236
"49613","Juncus_ensifolius",-90.68718,46.290263
"53815","Juncus_ensifolius",-122.232556,38.510306
"53842","Juncus_ensifolius",-121.4276,41.1034
"53892","Juncus_ensifolius",-121.107339,40.129214
"53970","Juncus_ensifolius",-120.954083,39.759889
"54003","Juncus_ensifolius",-121.478611,39.952222
"54102","Juncus_ensifolius",-122.534444,41.248056
"54107","Juncus_ensifolius",-117.13325,34.2704
"54119","Juncus_ensifolius",-120.97575,41.191472
"54307","Juncus_ensifolius",-121.310917,39.5335
"61892","Juncus_ensifolius",-120.657,39.578
"61895","Juncus_ensifolius",-106.584011,32.339626
"62194","Juncus_ensifolius",-121.221831,40.313959
"62211","Juncus_ensifolius",-105.659548,35.776073
"63826","Juncus_ensifolius",146.27,-37.8417
"67965","Juncus_ensifolius",6.131337,52.525817
"69049","Juncus_ensifolius",10.04,47.57
"69761","Juncus_ensifolius",-120.281225,39.387639
"69938","Juncus_ensifolius",-120.515,34.8035
"69965","Juncus_ensifolius",-121.4683,39.6497
"70013","Juncus_ensifolius",-119.13089,34.81275
"70015","Juncus_ensifolius",-120.954083,39.759889
"70021","Juncus_ensifolius",-123.231556,41.405694
"70072","Juncus_ensifolius",-120.4889,39.6453
"70437","Juncus_ensifolius",-106.75051,37.19375
"70619","Juncus_ensifolius",-128.927,54.465
"71358","Juncus_ensifolius",171.232785,-43.88137
"72882","Juncus_ensifolius",-121.051139,39.61625
"72974","Juncus_ensifolius",-117,34.25
"73035","Juncus_ensifolius",-120.464333,39.494667
"73046","Juncus_ensifolius",-116.936667,34.240639
"73060","Juncus_ensifolius",-120.489028,39.64525
"73080","Juncus_ensifolius",-122.551583,39.382278
"77485","Juncus_ensifolius",-107.220558,37.988056
"77596","Juncus_ensifolius",-107.22056,37.98806
"79064","Juncus_ensifolius",-120.162286,40.970899
"79076","Juncus_ensifolius",-122.409708,41.327809
"79167","Juncus_ensifolius",-110.8158271,40.5111766
"80401","Juncus_ensifolius",13.419444,48.316113
"81695","Juncus_ensifolius",-122.123558,45.494683
"81756","Juncus_ensifolius",-122.47094,45.364497
"81762","Juncus_ensifolius",-123.489118,45.135103
"81766","Juncus_ensifolius",-122.281801,45.114772
"81778","Juncus_ensifolius",-122.828625,45.452738
"81804","Juncus_ensifolius",-120.649742,48.52656
"81810","Juncus_ensifolius",-122.472559,45.362405
"81818","Juncus_ensifolius",-122.470039,45.556879
"81828","Juncus_ensifolius",-122.80085,45.617052
"82207","Juncus_ensifolius",9.24915,56.298162
"82371","Juncus_ensifolius",9.369371,55.354415
"82888","Juncus_ensifolius",9.399829,55.246487
"83057","Juncus_ensifolius",12.050567,55.652056
"83601","Juncus_ensifolius",-115.93208,44.37231
"83609","Juncus_ensifolius",-115.419333,41.934667
"83635","Juncus_ensifolius",-115.5852,41.9245
"83642","Juncus_ensifolius",-115.39812,44.44704
"83645","Juncus_ensifolius",-113.343883,44.392133
"83646","Juncus_ensifolius",-116.204983,44.4216
"83684","Juncus_ensifolius",-114.05488,45.08444
"83722","Juncus_ensifolius",-113.349046,44.374685
"83737","Juncus_ensifolius",-114.85455,43.51675
"83750","Juncus_ensifolius",-111.99199,43.75314
"83752","Juncus_ensifolius",-112.22535,42.78214
"83968","Juncus_ensifolius",-102.333333,29
"85280","Juncus_ensifolius",146.274722,-37.838889
"88058","Juncus_ensifolius",23.42,60.27
"89365","Juncus_ensifolius",-111.48365,33.90905
"89722","Juncus_ensifolius",-117.13917,34.26806
"89887","Juncus_ensifolius",-117.07528,34.23917
"91781","Juncus_ensifolius",-120.50417,39.16583
"92297","Juncus_ensifolius",-105.24,40.7
"92339","Juncus_ensifolius",-106.76,40.09
"92369","Juncus_ensifolius",-108.45,37.56
"92370","Juncus_ensifolius",-108.49,37.61
"92371","Juncus_ensifolius",-108.12,37.39
"92372","Juncus_ensifolius",-108.24,37.59
"92411","Juncus_ensifolius",-105.29,40.89
"92443","Juncus_ensifolius",-108.2,37.59
"92444","Juncus_ensifolius",-105.77,40.61
"92445","Juncus_ensifolius",-110.91,40.51
"92446","Juncus_ensifolius",-106,35
"92447","Juncus_ensifolius",-106.53,35.87
"92448","Juncus_ensifolius",-106.38,35.83
"92485","Juncus_ensifolius",-108.22,38.48
"92514","Juncus_ensifolius",-105.01,40.96
"92538","Juncus_ensifolius",-105.176111,40.964722
"92539","Juncus_ensifolius",-105.176389,40.967778
"92543","Juncus_ensifolius",-105.87,35.94
"92544","Juncus_ensifolius",-106.75,35.93
"92612","Juncus_ensifolius",-105.08,40.6
"92659","Juncus_ensifolius",-106.03,40.2
"92661","Juncus_ensifolius",-106.72,40.74
"92662","Juncus_ensifolius",-106.81,40.69
"92936","Juncus_ensifolius",-122.002988,44.647361
"92973","Juncus_ensifolius",-108.15874,33.03598
"93251","Juncus_ensifolius",138.988611,36.8725
"93489","Juncus_ensifolius",139.199444,36.918611
"93491","Juncus_ensifolius",139.315278,36.926667
"93495","Juncus_ensifolius",139.173889,36.8925
"93556","Juncus_ensifolius",139.119722,36.279444
"93558","Juncus_ensifolius",139.119444,36.788056
"93659","Juncus_ensifolius",139.053611,36.910833
"93695","Juncus_ensifolius",139.175833,36.893056
"93736","Juncus_ensifolius",139.2,36.9
"94638","Juncus_ensifolius",-89.832222,46.433333
"94693","Juncus_ensifolius",-89.29274,46.73005
"95969","Juncus_ensifolius",9.6622,50.6634
"95998","Juncus_ensifolius",9.673611,50.646319
"96627","Juncus_ensifolius",-121.468222,39.649611
"126632","Juncus_ensifolius",24.53918,60.15033
"133029","Juncus_ensifolius",-117.615,48.78
"133208","Juncus_ensifolius",-112.17522,36.3695
"133333","Juncus_ensifolius",-120.07454,38.00667
"133482","Juncus_ensifolius",-121.793621,45.44406
"133667","Juncus_ensifolius",-121.412917,47.417444
"136993","Juncus_ensifolius",-155.341,19.932
"137120","Juncus_ensifolius",-122.482117,42.085467
"138119","Juncus_ensifolius",7.3553,58.7897
"138753","Juncus_ensifolius",-109.958333,30.941667
"139024","Juncus_ensifolius",-115.7693002,43.7990003
"139028","Juncus_ensifolius",-111.2044816,44.0928317
"139051","Juncus_ensifolius",-116.89895,42.517783
"139056","Juncus_ensifolius",-116.8193784,46.8381719
"139061","Juncus_ensifolius",-115.350028,47.034875
"139070","Juncus_ensifolius",-115.758567,47.432969
"139091","Juncus_ensifolius",-121.9220255,47.4094238
"139093","Juncus_ensifolius",-115.43436,44.72392
"139097","Juncus_ensifolius",-116.33489,48.911047
"139109","Juncus_ensifolius",-112.9641317,44.2396178
"139120","Juncus_ensifolius",-115.275383,44.368333
"139126","Juncus_ensifolius",-115.59222,44.38694
"139130","Juncus_ensifolius",-116.685883,47.702333
"139135","Juncus_ensifolius",-111.9104242,37.6166217
"139143","Juncus_ensifolius",-116.1966627,46.9124769
"139145","Juncus_ensifolius",-111.1511751,43.7162354
"139147","Juncus_ensifolius",-114.848477,45.178802
"139154","Juncus_ensifolius",-111.9104241,37.602022
"139163","Juncus_ensifolius",-115.236389,46.173333
"139167","Juncus_ensifolius",-116.6388,46.13935
"139175","Juncus_ensifolius",-116.489754,48.826331
"139177","Juncus_ensifolius",-115.45797,44.73893
"139180","Juncus_ensifolius",-112.9329499,37.6252149
"139181","Juncus_ensifolius",-116.20332,44.581983
"139189","Juncus_ensifolius",-116.523742,48.941492
"139190","Juncus_ensifolius",-116.2599637,46.8690765
"139241","Juncus_ensifolius",-116.739333,42.5715
"139244","Juncus_ensifolius",-116.846787,48.745932
"139256","Juncus_ensifolius",-115.254608,43.572078
"139281","Juncus_ensifolius",-111.4197785,43.4158363
"139292","Juncus_ensifolius",-121.6448063,47.3619486
"139295","Juncus_ensifolius",-116.777466,48.91327
"139303","Juncus_ensifolius",-115.91565,45.05006
"139305","Juncus_ensifolius",-116.813285,48.744122
"139315","Juncus_ensifolius",-111.247791,43.147223
"139316","Juncus_ensifolius",-116.60166,45.00917
"139338","Juncus_ensifolius",-115.027075,46.975475
"139340","Juncus_ensifolius",-122.2566534,43.1209524
"139346","Juncus_ensifolius",-116.774863,46.160874
"139351","Juncus_ensifolius",-116.747778,47.355361
"139360","Juncus_ensifolius",-116.098108,45.276973
"139366","Juncus_ensifolius",-116.9040108,48.436068
"139387","Juncus_ensifolius",-117.68,46.1075
"139390","Juncus_ensifolius",-116.120939,47.873856
"139400","Juncus_ensifolius",-116.2388629,46.8545768
"139404","Juncus_ensifolius",-116.886783,46.842589
"139424","Juncus_ensifolius",-116.753904,48.762872
"139425","Juncus_ensifolius",-121.4341113,47.3367287
"139432","Juncus_ensifolius",-116.748566,48.797278
"139448","Juncus_ensifolius",-116.60255,45.008046
"139454","Juncus_ensifolius",-115.949297,47.0994
"139469","Juncus_ensifolius",-116.836909,48.991203
"139471","Juncus_ensifolius",-115.3809258,46.0693871
"139478","Juncus_ensifolius",-113.57678,42.33312
"139499","Juncus_ensifolius",-121.8150527,43.7101499
"139506","Juncus_ensifolius",-116.8193656,46.112875
"139513","Juncus_ensifolius",-121.38376,47.39241
"139515","Juncus_ensifolius",-118.031944,45.589167
"139517","Juncus_ensifolius",-116.0897424,45.9097822
"139522","Juncus_ensifolius",-116.545189,48.955717
"139533","Juncus_ensifolius",-116.916183,48.813883
"139547","Juncus_ensifolius",-115.398828,45.11533
"139559","Juncus_ensifolius",-111.1642818,44.1938312
"139570","Juncus_ensifolius",-115.1467931,44.4149998
"139575","Juncus_ensifolius",-112.97773,44.2524
"139588","Juncus_ensifolius",-116.716994,48.874823
"139602","Juncus_ensifolius",-116.651701,48.28454
"139626","Juncus_ensifolius",-116.645553,48.692986
"139629","Juncus_ensifolius",-116.4907,46.893067
"139642","Juncus_ensifolius",-120.866667,47.791667
"139662","Juncus_ensifolius",-111.059955,44.168622
"139688","Juncus_ensifolius",-115.4119226,45.8220881
"139694","Juncus_ensifolius",-117.5303397,48.9968625
"139709","Juncus_ensifolius",-115.154417,46.71525
"139719","Juncus_ensifolius",-116.57295,48.689224
"139771","Juncus_ensifolius",26.4638,62.346001
"139782","Juncus_ensifolius",25.5355,63.045601
"140248","Juncus_ensifolius",-112.93,37.6
"140553","Juncus_ensifolius",10.12,47.42
"141055","Juncus_ensifolius",-88.94559,46.91839
"141076","Juncus_ensifolius",-88.204596,47.351168
"143742","Juncus_ensifolius",-149.1,60.86
"143823","Juncus_ensifolius",-143.1,60.22
"143865","Juncus_ensifolius",-131.09,55.48
"144477","Juncus_ensifolius",12.17,47.24
"147809","Juncus_ensifolius",12.13,47.24
"148152","Juncus_ensifolius",146.266111,-37.840278
"149752","Juncus_ensifolius",13.03367,55.43929
"150520","Juncus_ensifolius",23.416667,60.266667
"150730","Juncus_ensifolius",15.55639,58.39479
"151033","Juncus_ensifolius",11.85508,58.23853
"151081","Juncus_ensifolius",-118.045,42.1227
"151137","Juncus_ensifolius",13.58516,56.76087
"151258","Juncus_ensifolius",15.24951,57.01778
"151524","Juncus_ensifolius",15.55553,58.39433
"152360","Juncus_ensifolius",146.266111,-37.840278
"152751","Juncus_ensifolius",-105.044444,39.311389
"152832","Juncus_ensifolius",-107.031833,40.839248
"152844","Juncus_ensifolius",-106.73729,38.81874
"152903","Juncus_ensifolius",-106.401944,40.341389
"153050","Juncus_ensifolius",-107.2138,37.3227
"153114","Juncus_ensifolius",-105.276896,39.908079
"153143","Juncus_ensifolius",-106.99664,40.78423
"153207","Juncus_ensifolius",-105.043368,39.310468
"153241","Juncus_ensifolius",-107.046971,38.861497
"153329","Juncus_ensifolius",-106.002097,38.837961
"153354","Juncus_ensifolius",-106.85674,37.67537
"153355","Juncus_ensifolius",-107.41751,38.06796
"154094","Juncus_ensifolius",15.55383,58.39433
"155074","Juncus_ensifolius",-119.089444,36.909444
"155625","Juncus_ensifolius",-71.701667,41.648889
"157564","Juncus_ensifolius",14.9237,56.94905
"157862","Juncus_ensifolius",146.2661,-37.8403
"158452","Juncus_ensifolius",-155.8,20.1667
"158497","Juncus_ensifolius",-156.228,20.7717
"158533","Juncus_ensifolius",-1.411216,50.90489
"159403","Juncus_ensifolius",-118.6336,44.7317
"164862","Juncus_ensifolius",23.42,60.27
"165542","Juncus_ensifolius",-131.15,55.24
"165583","Juncus_ensifolius",-135.773033,58.681967
"165622","Juncus_ensifolius",-149.71,61.18
"165634","Juncus_ensifolius",-142.7613926,60.1808099
"165645","Juncus_ensifolius",-132.26,56.7
"167760","Juncus_ensifolius",-121.41835,45.84162
"167761","Juncus_ensifolius",-120.31528,38.77167
"167831","Juncus_ensifolius",-118.00306,34.32667
"167959","Juncus_ensifolius",-117.13917,34.26806
"167977","Juncus_ensifolius",-120.24861,38.64222
"168072","Juncus_ensifolius",-118.11861,34.30972
"168355","Juncus_ensifolius",-120.03111,38.81389
"168491","Juncus_ensifolius",-121.69389,49.16833
"168559","Juncus_ensifolius",-120.71,39.25806
"168911","Juncus_ensifolius",-120.50417,39.16583
"168922","Juncus_ensifolius",-118.16188,36.44362
"168932","Juncus_ensifolius",-120.12583,38.63861
"169520","Juncus_ensifolius",-107.670952,38.021078
"169524","Juncus_ensifolius",-107.807333,38.054467
"169539","Juncus_ensifolius",-108.8729,39.09929
"169735","Juncus_ensifolius",-111.48365,33.90905
"170234","Juncus_ensifolius",-112.69065,37.93317
"173472","Juncus_ensifolius",11.70198,58.28763
"177569","Juncus_ensifolius",-113.780717,43.366483
"180692","Juncus_ensifolius",-111.484,33.909
"184258","Juncus_ensifolius",-122.51111,41.21611
"184318","Juncus_ensifolius",-120.895,41.271389
"184505","Juncus_ensifolius",-123.085408,40.354397
"191305","Juncus_ensifolius",137.466667,36.466667
"191412","Juncus_ensifolius",137.533333,36.416667
"198167","Juncus_ensifolius",13.37,48.92
"211926","Juncus_ensifolius",140.184382,37.736336
"213073","Juncus_ensifolius",-113.895,36.7666
"213106","Juncus_ensifolius",-113.940722,36.912306
"213117","Juncus_ensifolius",-115.4792,41.7819
"213146","Juncus_ensifolius",-112.51,37.09
"213732","Juncus_ensifolius",11.49,48.26
"214526","Juncus_ensifolius",-120.966,39.6953
"215277","Juncus_ensifolius",-120.095833,38.968056
"215335","Juncus_ensifolius",-120.031111,38.813889
"215346","Juncus_ensifolius",-120.138889,39.196667
"215349","Juncus_ensifolius",-120.14,39.2
"215369","Juncus_ensifolius",-120.031389,38.869778
"215382","Juncus_ensifolius",-122.5,41.316667
"215413","Juncus_ensifolius",-120.0007316,38.5081782
"215443","Juncus_ensifolius",-120.13,39.19
"215480","Juncus_ensifolius",-120.099722,38.969722
"215497","Juncus_ensifolius",-120.025639,38.868611
"215537","Juncus_ensifolius",-119.845556,38.698611
"215547","Juncus_ensifolius",-120.966111,39.695278
"215571","Juncus_ensifolius",-120.078056,38.793889
"215587","Juncus_ensifolius",-120.755,39.012778
"215631","Juncus_ensifolius",-120.135833,39.05
"215638","Juncus_ensifolius",-120.08409,38.96582
"215673","Juncus_ensifolius",-120.299826,39.292256
