"","species","lon","lat"
"20482","Lepidium_graminifolium",9.021659,44.585036
"20484","Lepidium_graminifolium",9.783761,44.080426
"20485","Lepidium_graminifolium",9.730107,44.115029
"20495","Lepidium_graminifolium",9.764012,44.0811
"20627","Lepidium_graminifolium",9.656541,44.172807
"20628","Lepidium_graminifolium",9.657846,44.160771
"20630","Lepidium_graminifolium",9.639487,44.163171
"20655","Lepidium_graminifolium",9.728898,44.107159
"20659","Lepidium_graminifolium",9.719699,44.125422
"20661","Lepidium_graminifolium",9.708877,44.120385
"20664","Lepidium_graminifolium",9.762375,44.087855
"20675","Lepidium_graminifolium",9.683732,44.13523
"20723","Lepidium_graminifolium",7.596516,43.790687
"20752","Lepidium_graminifolium",9.643822,44.154675
"20753","Lepidium_graminifolium",9.617214,44.153696
"20755","Lepidium_graminifolium",9.673001,44.153877
"20757","Lepidium_graminifolium",9.656137,44.146296
"22450","Lepidium_graminifolium",21.29583,40.48056
"22451","Lepidium_graminifolium",21.19722,40.62389
"22452","Lepidium_graminifolium",20.825,39.69028
"22453","Lepidium_graminifolium",20.7425,40.04139
"22454","Lepidium_graminifolium",21.50139,40.29306
"22455","Lepidium_graminifolium",20.85444,39.69667
"22456","Lepidium_graminifolium",21.26806,40.56833
"26286","Lepidium_graminifolium",-6.5,38.91
"26645","Lepidium_graminifolium",-1.7812054,42.2888778
"26833","Lepidium_graminifolium",-2.9412489,43.3088886
"27021","Lepidium_graminifolium",-1.6612007,42.1688763
"37175","Lepidium_graminifolium",9.01565,42.5295
"37496","Lepidium_graminifolium",4.212772,51.524594
"42708","Lepidium_graminifolium",-6.5,38.91
"42824","Lepidium_graminifolium",-4.6,43.259998
"57034","Lepidium_graminifolium",-5.2505,41.7529
"57036","Lepidium_graminifolium",2.8306,41.985
"57762","Lepidium_graminifolium",1.33,42.21
"57852","Lepidium_graminifolium",1.85,42.04
"57978","Lepidium_graminifolium",1.13,42.53
"58044","Lepidium_graminifolium",1.74,41.59
"58045","Lepidium_graminifolium",-0.26,39.67
"58544","Lepidium_graminifolium",0.45,40.94
"58556","Lepidium_graminifolium",1.08,42.32
"58607","Lepidium_graminifolium",1.42,42.18
"62774","Lepidium_graminifolium",13.548628,37.979723
"63230","Lepidium_graminifolium",15.052664,38.137156
"75210","Lepidium_graminifolium",3.92062,45.03294
"78607","Lepidium_graminifolium",34.30202,44.747372
"81939","Lepidium_graminifolium",3.13646,45.2783
"85655","Lepidium_graminifolium",-1.06,39.99
"85803","Lepidium_graminifolium",-1.3,40.13
"85827","Lepidium_graminifolium",-0.49,39.52
