"","species","lon","lat"
"22043","Linaria_genistifolia",21.66722,40.66778
"22044","Linaria_genistifolia",21.69167,40.63806
"22045","Linaria_genistifolia",21.49278,40.56472
"22046","Linaria_genistifolia",21.7725,40.49722
"22047","Linaria_genistifolia",21.4025,40.32028
"22048","Linaria_genistifolia",21.78806,40.59556
"23138","Linaria_genistifolia",21.07861,40.81361
"23139","Linaria_genistifolia",21.11694,40.45917
"23140","Linaria_genistifolia",22.13333,40.56806
"23141","Linaria_genistifolia",22.0975,40.61833
"23142","Linaria_genistifolia",22.05806,40.64194
"23143","Linaria_genistifolia",22.07139,40.885
"23144","Linaria_genistifolia",21.28417,40.63472
"23471","Linaria_genistifolia",25.14083,41.11944
"23472","Linaria_genistifolia",24.76889,41.08694
"23473","Linaria_genistifolia",24.88722,41.01361
"36004","Linaria_genistifolia",16.67556,47.53333
"36368","Linaria_genistifolia",24.03472,41.63889
"36392","Linaria_genistifolia",16.88806,47.92444
"36640","Linaria_genistifolia",17.88547,47.67497
"44816","Linaria_genistifolia",16,48.810001
"51066","Linaria_genistifolia",40.02202,49.23208
"51067","Linaria_genistifolia",39.2518,48.69169
"51068","Linaria_genistifolia",39.86429,48.18698
"51069","Linaria_genistifolia",39.109,47.99359
"51070","Linaria_genistifolia",37.03485,47.32125
"51071","Linaria_genistifolia",36.9287,47.15876
"51072","Linaria_genistifolia",37.726,49.00539
"51073","Linaria_genistifolia",38.22465,48.06728
"51074","Linaria_genistifolia",38.66594,47.87848
"51075","Linaria_genistifolia",38.49113,47.91805
"51076","Linaria_genistifolia",37.42959,47.20469
"51077","Linaria_genistifolia",37.99238,47.11026
"51117","Linaria_genistifolia",38.191667,48.035278
"51118","Linaria_genistifolia",37.078515,47.306557
"51119","Linaria_genistifolia",38.658523,47.944896
"51120","Linaria_genistifolia",37.434084,47.278142
"51267","Linaria_genistifolia",39.0632,48.0413
"51279","Linaria_genistifolia",38.97447,48.68205
"51280","Linaria_genistifolia",39.8968,48.14362
"56821","Linaria_genistifolia",39.1167,39.8667
"57186","Linaria_genistifolia",24.1733,41.6469
"57660","Linaria_genistifolia",24.2775,41.681389
"57661","Linaria_genistifolia",23.7611,41.4722
"62187","Linaria_genistifolia",-105.610703,33.390912
"64524","Linaria_genistifolia",80.51666,52.03333
"64572","Linaria_genistifolia",79.74608,51.70199
"65670","Linaria_genistifolia",30.759666,48.481549
"65679","Linaria_genistifolia",30.887131,48.353107
"65700","Linaria_genistifolia",31.494655,48.381027
"65708","Linaria_genistifolia",31.751705,48.302103
"65724","Linaria_genistifolia",30.885495,48.354479
"65725","Linaria_genistifolia",31.677488,48.341334
"65739","Linaria_genistifolia",31.483384,48.334186
"65756","Linaria_genistifolia",30.862013,48.185048
"65807","Linaria_genistifolia",30.812951,48.177564
"65859","Linaria_genistifolia",30.805645,48.135103
"65869","Linaria_genistifolia",30.80656,48.456328
"65878","Linaria_genistifolia",31.562877,48.294557
"65888","Linaria_genistifolia",31.14078,48.188093
"65895","Linaria_genistifolia",30.879072,48.461917
"65907","Linaria_genistifolia",31.140609,48.187472
"65920","Linaria_genistifolia",30.927738,48.364444
"65940","Linaria_genistifolia",30.809072,48.132651
"65960","Linaria_genistifolia",30.859251,48.36846
"65971","Linaria_genistifolia",31.382294,48.30453
"65982","Linaria_genistifolia",30.733296,48.48082
"78157","Linaria_genistifolia",38.14426,44.47735
"78159","Linaria_genistifolia",37.389257,45.275714
"78237","Linaria_genistifolia",43.61804,46.568524
"78293","Linaria_genistifolia",40.47153,43.829935
"78324","Linaria_genistifolia",47.782818,52.022331
"78367","Linaria_genistifolia",33.122052,45.38309
"78375","Linaria_genistifolia",38.953915,44.215063
"78422","Linaria_genistifolia",42.916667,46.516667
"78543","Linaria_genistifolia",38.846549,44.252398
"78602","Linaria_genistifolia",37.879222,44.685111
"78633","Linaria_genistifolia",38.797617,44.276786
"78760","Linaria_genistifolia",41.094256,50.006869
"78761","Linaria_genistifolia",44.333333,48.266667
"78815","Linaria_genistifolia",42.086906,43.76347
"78816","Linaria_genistifolia",39.04241,44.108041
"78837","Linaria_genistifolia",22.669444,43.611111
"78879","Linaria_genistifolia",33.585806,44.556044
"81565","Linaria_genistifolia",-120.231,49.711
"85649","Linaria_genistifolia",24.7,41.91
"86242","Linaria_genistifolia",37.93,40.72
"86244","Linaria_genistifolia",24.17,41.64
"87996","Linaria_genistifolia",38.03,39.88
"88243","Linaria_genistifolia",45.53,40.38
"88910","Linaria_genistifolia",39.12,39.87
"92453","Linaria_genistifolia",-107.716747,38.679723
"98917","Linaria_genistifolia",43.2961,41.7869
"140268","Linaria_genistifolia",10.21,48.17
"144508","Linaria_genistifolia",13.09,47.74
"145015","Linaria_genistifolia",16.95,48.15
"146280","Linaria_genistifolia",16.64,47.81
"146486","Linaria_genistifolia",16.77,47.76
"146731","Linaria_genistifolia",16.77,47.96
"147036","Linaria_genistifolia",16.23,48.1
"147063","Linaria_genistifolia",16.94,48.13
"148008","Linaria_genistifolia",16.8,47.83
"148742","Linaria_genistifolia",15.37389,50.45333
"148787","Linaria_genistifolia",16.64,48.83469
"148946","Linaria_genistifolia",16.64153,48.82619
"148992","Linaria_genistifolia",18.45549,48.65683
"151032","Linaria_genistifolia",18.10612,59.352
"158262","Linaria_genistifolia",-120.230003,49.709999
"160192","Linaria_genistifolia",11.776864,51.207794
"160210","Linaria_genistifolia",11.774722,51.207222
"160295","Linaria_genistifolia",11.764954,51.21862
"161837","Linaria_genistifolia",28.112567,52.127967
"167720","Linaria_genistifolia",41.67,41.34
"169532","Linaria_genistifolia",-105.2113,39.9211
"178355","Linaria_genistifolia",23.93917,40.7925
"178962","Linaria_genistifolia",24.18472,41.22
"179305","Linaria_genistifolia",24.14167,40.78361
"179313","Linaria_genistifolia",37.86667,44.72556
"200273","Linaria_genistifolia",16.18722,49.10778
"200274","Linaria_genistifolia",16.6375,48.84028
"200295","Linaria_genistifolia",27.42917,42.08472
"200344","Linaria_genistifolia",15.37417,50.45333
"200420","Linaria_genistifolia",16.67083,49.20917
"200428","Linaria_genistifolia",17.7625,48.72389
"200429","Linaria_genistifolia",18.26917,47.79778
"200454","Linaria_genistifolia",27.47917,41.97083
"200461","Linaria_genistifolia",16.09667,48.82917
"200592","Linaria_genistifolia",17.28333,48.9325
"200597","Linaria_genistifolia",16.8375,49.21722
"200696","Linaria_genistifolia",16.66194,49.22667
"200839","Linaria_genistifolia",17.2575,48.92056
"200983","Linaria_genistifolia",16.11306,48.89194
"201104","Linaria_genistifolia",18.52111,47.76806
"201137","Linaria_genistifolia",16.5875,48.90639
"201234","Linaria_genistifolia",23.72772,42.05842
"201271","Linaria_genistifolia",18.31861,47.76944
"201276","Linaria_genistifolia",16.66639,49.30028
"201319","Linaria_genistifolia",16.66194,49.22611
"201459","Linaria_genistifolia",18.64306,47.82639
"201460","Linaria_genistifolia",20.46972,48.47944
"201587","Linaria_genistifolia",21.74333,43.35139
"201614","Linaria_genistifolia",43.05011,41.65158
"201646","Linaria_genistifolia",16.93417,48.6375
"201647","Linaria_genistifolia",16.26306,48.99083
"201763","Linaria_genistifolia",18.21472,47.81194
"201764","Linaria_genistifolia",18.28556,47.79167
"201797","Linaria_genistifolia",17.29083,48.95833
"201805","Linaria_genistifolia",16.93528,48.69139
"202039","Linaria_genistifolia",21.78694,48.36333
"202195","Linaria_genistifolia",16.91417,49.25056
"202406","Linaria_genistifolia",16.54278,49.15389
"202523","Linaria_genistifolia",17.2025,48.89444
"202644","Linaria_genistifolia",18.22917,47.80083
"202668","Linaria_genistifolia",16.24864,49.08908
"202684","Linaria_genistifolia",27.69639,42.12389
"202772","Linaria_genistifolia",16.65417,49.16611
"202801","Linaria_genistifolia",20.52111,48.56083
"202959","Linaria_genistifolia",17.45778,48.53833
"203008","Linaria_genistifolia",16.54306,49.15444
"203297","Linaria_genistifolia",21.8075,48.41028
"206238","Linaria_genistifolia",42.179089,43.428115
"206257","Linaria_genistifolia",38.396875,44.375675
"206363","Linaria_genistifolia",33.711722,44.425056
"206499","Linaria_genistifolia",37.459371,44.754558
"206633","Linaria_genistifolia",34.410553,44.785247
"206659","Linaria_genistifolia",42.644149,43.254835
"206755","Linaria_genistifolia",33.141667,45.377778
"206784","Linaria_genistifolia",39.333,43.899
"216431","Linaria_genistifolia",-120.572103,47.544311
"256344","Linaria_genistifolia",34.30202,44.747372
"256413","Linaria_genistifolia",37.36593,45.271193
"256596","Linaria_genistifolia",37.476409,44.702222
"256597","Linaria_genistifolia",39.320815,43.914795
"256823","Linaria_genistifolia",38.133224,44.504795
"259162","Linaria_genistifolia",14.673333,51.766583
"259163","Linaria_genistifolia",14.673617,51.08325
"261369","Linaria_genistifolia",16.79,47.81
"261746","Linaria_genistifolia",16.81,47.84
"261774","Linaria_genistifolia",16.63,47.8
"263707","Linaria_genistifolia",17.24687,52.32713
"287361","Linaria_genistifolia",15.34184,52.19297
"294930","Linaria_genistifolia",13.07007,55.59826
"295221","Linaria_genistifolia",17.6408,59.17837
"302811","Linaria_genistifolia",-121.697719,37.671079
"304324","Linaria_genistifolia",38.925,49.866667
"304440","Linaria_genistifolia",38.916667,49.958333
"304453","Linaria_genistifolia",45.86325,49.911722
"304734","Linaria_genistifolia",43.15,49.75
"304844","Linaria_genistifolia",43.366667,49.766667
"304892","Linaria_genistifolia",44.5,48.5
"305018","Linaria_genistifolia",38.3,50.108333
"305066","Linaria_genistifolia",42.603617,46.641933
"305067","Linaria_genistifolia",46.816667,50.733333
"305124","Linaria_genistifolia",43.483333,48.566667
"305221","Linaria_genistifolia",48.016667,52.3
"305336","Linaria_genistifolia",43.35,49.783333
"306620","Linaria_genistifolia",-86.246149,43.066444
"330580","Linaria_genistifolia",-120.601667,49.68
"337994","Linaria_genistifolia",32.141979,49.063696
"337995","Linaria_genistifolia",32.697942,49.534107
"337996","Linaria_genistifolia",32.141979,49.063798
"337997","Linaria_genistifolia",32.931023,48.731445
"337998","Linaria_genistifolia",33.422111,48.9141
