"","species","lon","lat"
"12465","Liriope_spicata",-81.050216,33.984901
"12466","Liriope_spicata",-80.871655,34.111433
"19954","Liriope_spicata",114.41,29.01
"19977","Liriope_spicata",114.05,22.54
"20129","Liriope_spicata",106.08,33.76
"20165","Liriope_spicata",117.47,26.72
"38028","Liriope_spicata",120.868129,23.160998
"38103","Liriope_spicata",120.677778,22.416944
"38117","Liriope_spicata",121.875254,24.943055
"38327","Liriope_spicata",120.918143,24.297676
"38330","Liriope_spicata",120.67069,23.578047
"38936","Liriope_spicata",120.6639,23.334527
"42504","Liriope_spicata",135.79846,34.40693
"54585","Liriope_spicata",-80.634167,32.465
"62027","Liriope_spicata",-84.4382,33.8892
"62136","Liriope_spicata",-87.651111,31.018333
"62208","Liriope_spicata",-83.6131,32.8393
"67955","Liriope_spicata",106.042645,13.006851
"73141","Liriope_spicata",127.947861,35.507306
"73158","Liriope_spicata",128.015,35.499083
"73182","Liriope_spicata",127.468222,35.545306
"73183","Liriope_spicata",127.483667,35.538028
"73211","Liriope_spicata",128.513885,35.718678
"73230","Liriope_spicata",127.577167,35.563333
"73233","Liriope_spicata",127.581556,35.536028
"95253","Liriope_spicata",120.8,22.083333
"95254","Liriope_spicata",120.616667,22.933333
"168758","Liriope_spicata",-84.43819,33.88919
"177622","Liriope_spicata",-92.400998,34.775094
"177623","Liriope_spicata",-92.45633,34.68978
"177628","Liriope_spicata",-93.05285,34.2996
"177629","Liriope_spicata",-92.403154,34.772741
"177630","Liriope_spicata",-92.315159,34.761406
"177653","Liriope_spicata",-92.396606,34.80968
"198388","Liriope_spicata",151.133919,-33.764175
"210481","Liriope_spicata",136.88817,34.48994
"247579","Liriope_spicata",-90.38555,38.46055
"253564","Liriope_spicata",15.719085,38.239889
"258298","Liriope_spicata",111.316667,26.466667
"266160","Liriope_spicata",153.009394,-27.406736
"295617","Liriope_spicata",-82,28
"305429","Liriope_spicata",108.85,27.69
"305481","Liriope_spicata",119.82,31.35
"305591","Liriope_spicata",109.29,37.96
"312683","Liriope_spicata",-95.71656,39.0163
"314329","Liriope_spicata",126.958278,35.150472
"314330","Liriope_spicata",127.238611,36.230583
"314331","Liriope_spicata",127.731917,35.135583
"314332","Liriope_spicata",126.440555,37.720387
"327839","Liriope_spicata",-88.71816,32.37482
"329114","Liriope_spicata",134.1525,34.922778
"329155","Liriope_spicata",133.520278,34.465278
"329166","Liriope_spicata",133.562694,34.935361
"329172","Liriope_spicata",134.262222,34.690833
"329203","Liriope_spicata",134.019167,34.974167
"329207","Liriope_spicata",133.835278,34.948889
"329230","Liriope_spicata",133.683056,35.239722
"329232","Liriope_spicata",133.710278,35.026667
"329251","Liriope_spicata",134.248333,35.113333
"329287","Liriope_spicata",134.253056,35.042222
"329308","Liriope_spicata",134.109444,34.983333
"329319","Liriope_spicata",134.140278,34.985556
"329350","Liriope_spicata",134.101389,35.120833
"329370","Liriope_spicata",134.227778,35.095556
"329375","Liriope_spicata",134.010278,35.125
"329390","Liriope_spicata",134.035556,34.895556
"329397","Liriope_spicata",134.101306,35.089361
"329415","Liriope_spicata",134.344167,35.106944
"329432","Liriope_spicata",133.703333,35.068333
"329441","Liriope_spicata",133.815556,35.098333
"329445","Liriope_spicata",133.670278,34.954444
"329455","Liriope_spicata",133.6525,34.976389
"329463","Liriope_spicata",133.648611,34.968889
"329509","Liriope_spicata",133.974722,35.016111
