"","species","lon","lat"
"12689","Lobelia_siphilitica",-79.124988,37.575936
"13089","Lobelia_siphilitica",-81.072859,34.009063
"19418","Lobelia_siphilitica",-90.645555,37.729722
"19515","Lobelia_siphilitica",-89.5,37.23972
"20315","Lobelia_siphilitica",-88.364497,42.289026
"20319","Lobelia_siphilitica",-88.362608,42.289183
"20320","Lobelia_siphilitica",-88.309337,42.418768
"20324","Lobelia_siphilitica",-88.364156,42.289233
"20325","Lobelia_siphilitica",-88.351159,42.297537
"20326","Lobelia_siphilitica",-88.307513,42.420115
"20334","Lobelia_siphilitica",-86.610556,41.798611
"20335","Lobelia_siphilitica",-88.364829,42.288716
"20348","Lobelia_siphilitica",-88.301591,42.423061
"27524","Lobelia_siphilitica",-93.213056,39.754444
"27760","Lobelia_siphilitica",-94.523889,37.033611
"35360","Lobelia_siphilitica",-91.86777,36.76388
"37137","Lobelia_siphilitica",-90.622268,34.618869
"37138","Lobelia_siphilitica",-90.634886,34.639576
"40056","Lobelia_siphilitica",-78.409197,37.741166
"40059","Lobelia_siphilitica",-77.73605,39.27775
"40088","Lobelia_siphilitica",-78.306305,38.846047
"40096","Lobelia_siphilitica",-78.19846,39.17894
"40098","Lobelia_siphilitica",-77.613273,38.962777
"40188","Lobelia_siphilitica",-91.441389,36.226389
"42946","Lobelia_siphilitica",-105.204095,39.907534
"43037","Lobelia_siphilitica",-105.12589,39.7742
"43211","Lobelia_siphilitica",-102.45459,39.75896
"43213","Lobelia_siphilitica",-104.47359,38.96872
"43253","Lobelia_siphilitica",-104.393345,38.456522
"43299","Lobelia_siphilitica",-102.54362,39.74948
"43313","Lobelia_siphilitica",-102.313058,39.809804
"43314","Lobelia_siphilitica",-102.34761,40.032778
"43352","Lobelia_siphilitica",-102.31248,39.81024
"43405","Lobelia_siphilitica",-105.037336,38.934278
"43426","Lobelia_siphilitica",-105.248797,40.330238
"43427","Lobelia_siphilitica",-104.513287,39.003241
"43461","Lobelia_siphilitica",-104.54262,39.018
"43497","Lobelia_siphilitica",-103.93229,38.71555
"43573","Lobelia_siphilitica",-105.241462,39.957126
"43574","Lobelia_siphilitica",-105.182478,40.178271
"43585","Lobelia_siphilitica",-103.882974,38.715327
"43588","Lobelia_siphilitica",-105.160423,40.053306
"43616","Lobelia_siphilitica",-104.996028,39.46723
"43685","Lobelia_siphilitica",-104.371222,38.267986
"44601","Lobelia_siphilitica",-104.42,41.47
"44750","Lobelia_siphilitica",-78.150002,38.889999
"49751","Lobelia_siphilitica",-88.16025,44.552834
"49752","Lobelia_siphilitica",-88.35543,45.513143
"49753","Lobelia_siphilitica",-88.602,44.756333
"49754","Lobelia_siphilitica",-88.92531,45.481141
"49755","Lobelia_siphilitica",-88.56367,44.7295
"49770","Lobelia_siphilitica",-87.63692,44.450198
"49771","Lobelia_siphilitica",-88.0439,44.6401
"49772","Lobelia_siphilitica",-88.13633,44.5233
"49773","Lobelia_siphilitica",-87.2082,45.04972
"49774","Lobelia_siphilitica",-89.07067,44.59105
"49775","Lobelia_siphilitica",-88.05451,44.47322
"49776","Lobelia_siphilitica",-87.92208,44.82354
"49777","Lobelia_siphilitica",-87.89568,44.58527
"49778","Lobelia_siphilitica",-88.049444,44.567778
"50155","Lobelia_siphilitica",-92.1197,38.5594
"50172","Lobelia_siphilitica",-82.96611,35.82638
"61841","Lobelia_siphilitica",-84.607167,33.919167
"62443","Lobelia_siphilitica",-77.6744,38.9025
"64281","Lobelia_siphilitica",-86.292485,33.878006
"70907","Lobelia_siphilitica",-80.369003,43.382999
"71099","Lobelia_siphilitica",172.647362,-43.515398
"73687","Lobelia_siphilitica",-88.478611,39.263056
"79344","Lobelia_siphilitica",13.091666,48.246944
"89058","Lobelia_siphilitica",-71.085556,42.445556
"92572","Lobelia_siphilitica",-103.86,38.71
"92879","Lobelia_siphilitica",-95.14244,37.75448
"93006","Lobelia_siphilitica",-95.001532,38.447702
"93043","Lobelia_siphilitica",-92.483201,42.696974
"93087","Lobelia_siphilitica",-95.23874,37.61161
"93107","Lobelia_siphilitica",-85.68,43.202
"93109","Lobelia_siphilitica",-94.745833,38.5875
"132778","Lobelia_siphilitica",-88.068396,41.698642
"132938","Lobelia_siphilitica",-82.019304,39.330629
"133433","Lobelia_siphilitica",-87.546988,41.653646
"133530","Lobelia_siphilitica",-91.238681,38.660518
"133923","Lobelia_siphilitica",-88.155556,39.395556
"136206","Lobelia_siphilitica",-90.703405,37.687338
"139036","Lobelia_siphilitica",-88.16667,41.25966
"140183","Lobelia_siphilitica",-81.79053,39.10408
"140982","Lobelia_siphilitica",-85.35518,42.30282
"140989","Lobelia_siphilitica",-84.81651,42.31438
"141022","Lobelia_siphilitica",-84.98131,41.84412
"141034","Lobelia_siphilitica",-83.77421,41.85145
"143392","Lobelia_siphilitica",-92.1083,40.3397
"143415","Lobelia_siphilitica",-90.27833,36.89416
"151336","Lobelia_siphilitica",12.11044,57.23962
"152104","Lobelia_siphilitica",-92.5,38.5
"152726","Lobelia_siphilitica",-103.932888,38.759697
"152734","Lobelia_siphilitica",-104.483164,38.972242
"152817","Lobelia_siphilitica",-102.454586,39.758964
"152818","Lobelia_siphilitica",-105.689417,39.885298
"153305","Lobelia_siphilitica",-105.076351,40.680622
"155399","Lobelia_siphilitica",-88.034444,39.704167
"155419","Lobelia_siphilitica",-88.155577,39.462309
"155584","Lobelia_siphilitica",-89.023333,39.824722
"155646","Lobelia_siphilitica",-87.9094,39.316326
"155649","Lobelia_siphilitica",-87.556,40.001
"155650","Lobelia_siphilitica",-90.936003,39.881419
"155651","Lobelia_siphilitica",-88.146638,39.4043
"155652","Lobelia_siphilitica",-87.835586,38.72977
"155653","Lobelia_siphilitica",-88.15069,39.403611
"155654","Lobelia_siphilitica",-88.15,39.395556
"155655","Lobelia_siphilitica",-73.383333,42.016667
"155656","Lobelia_siphilitica",-88.427222,39.425
"155657","Lobelia_siphilitica",-89.391789,42.024779
"155658","Lobelia_siphilitica",-87.7125,39.343056
"155659","Lobelia_siphilitica",-88.155902,39.396389
"159262","Lobelia_siphilitica",-102.45459,39.75893
"160592","Lobelia_siphilitica",-76.1951,40.0343
"160718","Lobelia_siphilitica",-104.824981,40.217277
"160961","Lobelia_siphilitica",-104.3961,38.4557
"161400","Lobelia_siphilitica",-90.15638,37.72194
"161481","Lobelia_siphilitica",-90.767778,39.137778
"161548","Lobelia_siphilitica",-89.4825,37.46611
"161683","Lobelia_siphilitica",-91.2783,38.7658
"161702","Lobelia_siphilitica",-92.4011,38.3456
"161746","Lobelia_siphilitica",-81.8375,36.275
"167769","Lobelia_siphilitica",-86.4,39.2
"176666","Lobelia_siphilitica",-91.04833,37.0675
"177138","Lobelia_siphilitica",-90.13556,37.491893
"177253","Lobelia_siphilitica",-94.9875,39.9436
"177799","Lobelia_siphilitica",-74.738583,40.931428
"179726","Lobelia_siphilitica",-90.5919,39.2065
"179753","Lobelia_siphilitica",-89.83683,38.543
"179760","Lobelia_siphilitica",-88.507056,41.702111
"183147","Lobelia_siphilitica",-91.499916,30.942398
"183149","Lobelia_siphilitica",-89.4189,30.2701
"183324","Lobelia_siphilitica",-93.203527,44.90999
"197977","Lobelia_siphilitica",-94.427139,44.724687
"197995","Lobelia_siphilitica",-95.081073,45.318501
"198013","Lobelia_siphilitica",-93.324969,43.971669
"198026","Lobelia_siphilitica",-94.69,47.42
"198038","Lobelia_siphilitica",-94.591272,47.186153
"198049","Lobelia_siphilitica",-93.456111,44.118889
"198058","Lobelia_siphilitica",-94.776201,46.910359
"198784","Lobelia_siphilitica",-84.102084,42.245628
"198786","Lobelia_siphilitica",-83.705556,42.255556
"203413","Lobelia_siphilitica",-90.16801,30.53328
"203445","Lobelia_siphilitica",-91.49984,30.94239
"246036","Lobelia_siphilitica",-80.369,43.383
"246055","Lobelia_siphilitica",-81.85,42.311
"255176","Lobelia_siphilitica",-91.20027,38.08166
"255872","Lobelia_siphilitica",-122.929167,49.2
"256894","Lobelia_siphilitica",-91.504444,38.860833
"256895","Lobelia_siphilitica",-91.711111,40.591667
"256944","Lobelia_siphilitica",-90.6021,38.0822
"256999","Lobelia_siphilitica",-93.660528,40.094222
"257065","Lobelia_siphilitica",-90.691,39.029
"262016","Lobelia_siphilitica",-92.889116,34.73339
"263994","Lobelia_siphilitica",5.913833,52.011
"264294","Lobelia_siphilitica",-79.702501,39.880913
"264295","Lobelia_siphilitica",-77.094722,41.83638
"264314","Lobelia_siphilitica",-79.620833,40.275
"264318","Lobelia_siphilitica",-79.86168,40.49364
"264380","Lobelia_siphilitica",-79.244232,40.662716
"264450","Lobelia_siphilitica",-79.347222,40.277778
"264451","Lobelia_siphilitica",-79.554167,40.5125
"264457","Lobelia_siphilitica",-79.673889,40.206111
"264458","Lobelia_siphilitica",-79.756111,40.261389
"264460","Lobelia_siphilitica",-79.78333,42.25
"264513","Lobelia_siphilitica",-79.265029,40.021902
"264517","Lobelia_siphilitica",-74.422627,40.928873
"264518","Lobelia_siphilitica",-79.636667,40.091667
"264522","Lobelia_siphilitica",-80.237686,42.074757
"264530","Lobelia_siphilitica",-80.3673,40.437
"264576","Lobelia_siphilitica",-79.00139,40.37778
"264580","Lobelia_siphilitica",-79.59167,41.9675
"264583","Lobelia_siphilitica",-82.153845,38.141444
"264647","Lobelia_siphilitica",-79.44854,41.48065
"264648","Lobelia_siphilitica",-76.687571,41.035907
"264649","Lobelia_siphilitica",-80.02743,41.33362
"264650","Lobelia_siphilitica",-79.451944,40.458333
"264664","Lobelia_siphilitica",-81.95343,39.58823
"264729","Lobelia_siphilitica",-80.19167,42.05139
"264736","Lobelia_siphilitica",-80.1,41.35
"264994","Lobelia_siphilitica",-103.34893,43.8757
"264998","Lobelia_siphilitica",-101.72781,43.327316
"265043","Lobelia_siphilitica",-103.56961,43.311
"268425","Lobelia_siphilitica",-77.1767,38.9694
"282179","Lobelia_siphilitica",-84.68292,42.13925
"282180","Lobelia_siphilitica",-83.61602,42.69796
"282181","Lobelia_siphilitica",-83.94076,41.98146
"282182","Lobelia_siphilitica",-83.94418,41.9692
"282183","Lobelia_siphilitica",-83.94204,41.98005
"282186","Lobelia_siphilitica",-84.46249,42.08067
"282188","Lobelia_siphilitica",-84.196333,42.315425
"282189","Lobelia_siphilitica",-84.347328,42.515602
"282190","Lobelia_siphilitica",-84.187833,42.356833
"282197","Lobelia_siphilitica",-83.9408,41.9818
"282199","Lobelia_siphilitica",-83.9447,41.9683
"282205","Lobelia_siphilitica",-83.9428,41.9753
"282213","Lobelia_siphilitica",-83.99771,42.37092
"282230","Lobelia_siphilitica",-84.18256,42.37926
"282232","Lobelia_siphilitica",-84.2084,42.309365
"282724","Lobelia_siphilitica",-90.68652,40.04755
"282758","Lobelia_siphilitica",-90.88333,40.58333
"292528","Lobelia_siphilitica",-73.77322,41.055114
"297705","Lobelia_siphilitica",-73.4258,41.9861
"302863","Lobelia_siphilitica",-83.9206,39.4608
"304591","Lobelia_siphilitica",37.141,55.646167
"312325","Lobelia_siphilitica",-94.881343,38.943559
"312401","Lobelia_siphilitica",-96.17571,42.04803
"312426","Lobelia_siphilitica",-95.191136,38.807847
"312524","Lobelia_siphilitica",-97.975545,45.903615
"312595","Lobelia_siphilitica",-95.589521,38.891968
"312596","Lobelia_siphilitica",-95.679983,38.583486
"312598","Lobelia_siphilitica",-94.908941,38.947231
"312763","Lobelia_siphilitica",-85.431,44.485
"312798","Lobelia_siphilitica",-85.782,42.826
"312928","Lobelia_siphilitica",-95.20573,39.02362
"312937","Lobelia_siphilitica",-92.086266,42.867405
"312985","Lobelia_siphilitica",-97.431792,38.478145
"313113","Lobelia_siphilitica",-92.480111,42.693189
"313138","Lobelia_siphilitica",-95.974401,39.0805
"313192","Lobelia_siphilitica",-95.357654,38.47512
"313197","Lobelia_siphilitica",-95.21633,37.71177
"313207","Lobelia_siphilitica",-94.9362,38.716433
"313211","Lobelia_siphilitica",-94.686015,38.192854
"313244","Lobelia_siphilitica",-94.79355,38.98372
"313277","Lobelia_siphilitica",-94.987808,38.938505
"313279","Lobelia_siphilitica",-95.182796,37.255804
"313316","Lobelia_siphilitica",-102.454585,39.758964
"313323","Lobelia_siphilitica",-96.559167,38.4075
"313401","Lobelia_siphilitica",-97.984164,45.911639
"313412","Lobelia_siphilitica",-105.207855,39.906688
"315025","Lobelia_siphilitica",-90.496694,43.362194
"326994","Lobelia_siphilitica",-84.15805,41.82818
"328798","Lobelia_siphilitica",-93.20555,40.30527
"331771","Lobelia_siphilitica",-79.533,44.026
"334701","Lobelia_siphilitica",-93.98058,36.30296
"335054","Lobelia_siphilitica",-92.7613,34.7484
"335055","Lobelia_siphilitica",-92.835,34.61611
"335646","Lobelia_siphilitica",-89.5966,39.2022
"345064","Lobelia_siphilitica",-90.5744,37.842
"349887","Lobelia_siphilitica",-84.268333,37.90056
"350079","Lobelia_siphilitica",-91.142498,36.058508
"350259","Lobelia_siphilitica",-92.06333,37.005
"351330","Lobelia_siphilitica",-76.083969,38.783542
"352078","Lobelia_siphilitica",-81.849998,42.310001
"353560","Lobelia_siphilitica",-76.333333,39.816667
"353561","Lobelia_siphilitica",-75.310897,40.798011
"353562","Lobelia_siphilitica",-75.856046,39.72528
"353563","Lobelia_siphilitica",-75.394702,40.550491
"353564","Lobelia_siphilitica",-75.455463,41.210641
"360041","Lobelia_siphilitica",-79.397082,41.611895
"360043","Lobelia_siphilitica",-80.494547,41.027665
