"","species","lon","lat"
"12401","Ludwigia_alternifolia",-80.765089,34.117225
"12441","Ludwigia_alternifolia",-79.7026,34.2896
"12506","Ludwigia_alternifolia",-81.0951,34.0858
"12587","Ludwigia_alternifolia",-80.9714,33.7996
"12644","Ludwigia_alternifolia",-80.9802,33.9518
"12659","Ludwigia_alternifolia",-80.0525,33.2035
"12669","Ludwigia_alternifolia",-81.3196,33.7533
"12699","Ludwigia_alternifolia",-79.4662,33.512
"12732","Ludwigia_alternifolia",-79.702261,34.289061
"12755","Ludwigia_alternifolia",-80.763499,34.119216
"12792","Ludwigia_alternifolia",-80.2065,34.167
"12801","Ludwigia_alternifolia",-80.601043,33.175701
"12847","Ludwigia_alternifolia",-80.2045,33.5592
"12887","Ludwigia_alternifolia",-81.992056,34.499222
"12953","Ludwigia_alternifolia",-81.883755,34.794805
"12964","Ludwigia_alternifolia",-79.973562,33.088655
"12982","Ludwigia_alternifolia",-81.137,33.3796
"12988","Ludwigia_alternifolia",-79.8146,33.8865
"13030","Ludwigia_alternifolia",-80.148945,33.043956
"13080","Ludwigia_alternifolia",-80.598224,33.157309
"13858","Ludwigia_alternifolia",-72.3653,41.3747
"19516","Ludwigia_alternifolia",-90.60305,36.50833
"19562","Ludwigia_alternifolia",-90.15,37.175
"19878","Ludwigia_alternifolia",-90.7264,38.7006
"27363","Ludwigia_alternifolia",-81.841283,33.338617
"27519","Ludwigia_alternifolia",-94.52583,37.50611
"27579","Ludwigia_alternifolia",-90.14141,37.48026
"27919","Ludwigia_alternifolia",-83.462839,30.472572
"35163","Ludwigia_alternifolia",-94.38694,37.01833
"35391","Ludwigia_alternifolia",-90.695288,37.683345
"35804","Ludwigia_alternifolia",-77.1767,38.9694
"37134","Ludwigia_alternifolia",-92.128777,34.927287
"37156","Ludwigia_alternifolia",-92.366424,34.950618
"37157","Ludwigia_alternifolia",-92.366504,34.940248
"39126","Ludwigia_alternifolia",-89.9067,36.8433
"39275","Ludwigia_alternifolia",-90.69055,37.77444
"39360","Ludwigia_alternifolia",-94.53333,37.5
"39875","Ludwigia_alternifolia",-90.30027,37.79638
"40051","Ludwigia_alternifolia",-77.612941,38.962267
"40061","Ludwigia_alternifolia",-77.738017,39.289633
"40087","Ludwigia_alternifolia",-78.301255,38.86258
"50065","Ludwigia_alternifolia",-84.2206,37.2244
"54631","Ludwigia_alternifolia",-81.841283,33.338617
"54632","Ludwigia_alternifolia",-80.746917,33.388667
"54633","Ludwigia_alternifolia",-80.752306,32.395778
"54634","Ludwigia_alternifolia",-82.691667,34.180556
"54639","Ludwigia_alternifolia",-82.873636,34.935706
"54640","Ludwigia_alternifolia",-82.862558,34.935811
"61971","Ludwigia_alternifolia",-74.3191,40.8342
"62163","Ludwigia_alternifolia",-86.350917,31.872472
"62190","Ludwigia_alternifolia",-86.048611,31.922222
"62199","Ludwigia_alternifolia",-85.919722,32.183333
"62347","Ludwigia_alternifolia",-85.957222,31.935278
"64008","Ludwigia_alternifolia",-86.69367,31.14376
"64009","Ludwigia_alternifolia",-86.69915,31.14913
"64010","Ludwigia_alternifolia",-86.67934,31.1284
"64011","Ludwigia_alternifolia",-80.956501,34.053181
"64012","Ludwigia_alternifolia",-81.276039,33.462783
"64013","Ludwigia_alternifolia",-80.765089,34.117225
"64014","Ludwigia_alternifolia",-85.49686,32.55499
"64017","Ludwigia_alternifolia",-85.957222,31.935278
"64018","Ludwigia_alternifolia",-86.048615,31.922222
"64019","Ludwigia_alternifolia",-86.934722,31.438611
"64020","Ludwigia_alternifolia",-86.963333,31.81
"64021","Ludwigia_alternifolia",-86.95348,34.55454
"64022","Ludwigia_alternifolia",-85.119972,32.232639
"64023","Ludwigia_alternifolia",-86.275002,31.896389
"64024","Ludwigia_alternifolia",-85.919724,32.183334
"64025","Ludwigia_alternifolia",-84.787224,30.600834
"70406","Ludwigia_alternifolia",-76.38103,39.8745
"81606","Ludwigia_alternifolia",-90.113,40.215
"92708","Ludwigia_alternifolia",-94.825,37.253889
"92806","Ludwigia_alternifolia",-95.950451,37.187061
"93175","Ludwigia_alternifolia",-95.838408,37.803586
"93176","Ludwigia_alternifolia",-95.839266,37.792734
"93178","Ludwigia_alternifolia",-95.49307,37.48849
"93211","Ludwigia_alternifolia",-80.481205,33.97686
"132936","Ludwigia_alternifolia",-86.511282,39.19906
"133387","Ludwigia_alternifolia",-86.529205,39.206216
"134181","Ludwigia_alternifolia",-82.02711,29.66786
"134192","Ludwigia_alternifolia",-88.973611,38.629167
"134245","Ludwigia_alternifolia",-84.220556,37.224444
"134279","Ludwigia_alternifolia",-82.03243,29.67315
"136902","Ludwigia_alternifolia",-87.5991,41.0733
"139386","Ludwigia_alternifolia",-88.16323,41.2547
"140952","Ludwigia_alternifolia",-83.527469,42.097425
"140968","Ludwigia_alternifolia",-86.403733,43.960367
"140971","Ludwigia_alternifolia",-86.178944,42.968722
"141043","Ludwigia_alternifolia",-83.663508,41.914565
"141059","Ludwigia_alternifolia",-82.53239,42.94125
"143368","Ludwigia_alternifolia",-91.990833,38.948889
"151049","Ludwigia_alternifolia",-76.8958,38.5708
"155614","Ludwigia_alternifolia",-72.511111,42.147222
"155615","Ludwigia_alternifolia",-72.656667,42.175
"155616","Ludwigia_alternifolia",-72.5,42.1
"155617","Ludwigia_alternifolia",-72.203008,41.643877
"155618","Ludwigia_alternifolia",-88.8295,38.738
"155619","Ludwigia_alternifolia",-88.191389,38.910278
"155620","Ludwigia_alternifolia",-89.55266,38.49852
"161133","Ludwigia_alternifolia",-90.8025,38.4733
"161430","Ludwigia_alternifolia",-91.039867,39.158856
"168508","Ludwigia_alternifolia",-81.31961,33.75331
"168540","Ludwigia_alternifolia",-80.98019,33.95181
"168558","Ludwigia_alternifolia",-81.86781,33.42939
"176627","Ludwigia_alternifolia",-91.990833,38.948889
"176759","Ludwigia_alternifolia",-90.499361,36.506028
"177227","Ludwigia_alternifolia",-87.888378,36.479645
"177368","Ludwigia_alternifolia",-91.229167,37.108056
"177467","Ludwigia_alternifolia",-94.15305,37.82333
"177705","Ludwigia_alternifolia",-82.630223,33.228748
"177741","Ludwigia_alternifolia",-83.681383,33.25635
"177806","Ludwigia_alternifolia",-84.12777,32.192748
"177833","Ludwigia_alternifolia",-83.1858,32.99144
"177834","Ludwigia_alternifolia",-83.478233,32.574672
"177841","Ludwigia_alternifolia",-83.685333,33.250967
"177868","Ludwigia_alternifolia",-81.454,32.3333
"177918","Ludwigia_alternifolia",-81.31698,32.02354
"177936","Ludwigia_alternifolia",-84.154411,33.799694
"177966","Ludwigia_alternifolia",-83.548742,32.464317
"179828","Ludwigia_alternifolia",-88.899139,38.924
"183004","Ludwigia_alternifolia",-78.877782,36.084906
"183234","Ludwigia_alternifolia",-92.953056,32.076389
"183337","Ludwigia_alternifolia",-90.471,30.674
"183501","Ludwigia_alternifolia",-93.05,31.383
"183552","Ludwigia_alternifolia",-91.125958,30.21874
"183567","Ludwigia_alternifolia",-90.409117,30.838417
"204301","Ludwigia_alternifolia",-85.31668,35.8541
"204302","Ludwigia_alternifolia",-84.62302,36.40867
"204306","Ludwigia_alternifolia",-85.4497,36.0154
"204309","Ludwigia_alternifolia",-85.502597,36.048338
"204320","Ludwigia_alternifolia",-85.875,35.75
"213092","Ludwigia_alternifolia",-73.59956,41.17572
"213361","Ludwigia_alternifolia",-83.7847,41.5675
"214576","Ludwigia_alternifolia",-89.6707,39.1397
"247336","Ludwigia_alternifolia",-90.2,37.216667
"247450","Ludwigia_alternifolia",-93.96805,37.51444
"247577","Ludwigia_alternifolia",-91.17527,37.00666
"250395","Ludwigia_alternifolia",-86.5364,30.5617
"254937","Ludwigia_alternifolia",-92.0357,38.7347
"255124","Ludwigia_alternifolia",-94.27527,37.81777
"255259","Ludwigia_alternifolia",-90.08333,37.04722
"256932","Ludwigia_alternifolia",-91.87638,36.60222
"257042","Ludwigia_alternifolia",-90.227556,38.01525
"264306","Ludwigia_alternifolia",-79.402305,40.467916
"264374","Ludwigia_alternifolia",-77.926051,40.213434
"264375","Ludwigia_alternifolia",-77.95767,40.13056
"264571","Ludwigia_alternifolia",-79.73514,40.090351
"264572","Ludwigia_alternifolia",-86.339722,32.532778
