"","species","lon","lat"
"754","Luzula_campestris",22.494267,60.213329
"2340","Luzula_campestris",21.850326,60.630528
"5467","Luzula_campestris",23.485529,60.063654
"15826","Luzula_campestris",23.865468,60.225912
"16649","Luzula_campestris",22.660871,60.18294
"17693","Luzula_campestris",22.841732,60.179758
"20364","Luzula_campestris",0.287735,51.307793
"20374","Luzula_campestris",-0.453761,52.772547
"20465","Luzula_campestris",9.808796,44.278526
"20466","Luzula_campestris",9.670555,44.361642
"20467","Luzula_campestris",9.816775,44.277362
"20468","Luzula_campestris",9.626312,44.408024
"20469","Luzula_campestris",9.815634,44.267386
"20471","Luzula_campestris",9.811961,44.273579
"20483","Luzula_campestris",9.156832,44.543254
"21351","Luzula_campestris",22.72528,38.51194
"21359","Luzula_campestris",23.46917,38.18056
"22390","Luzula_campestris",12.24194,51.74806
"22391","Luzula_campestris",12.21361,51.72278
"23254","Luzula_campestris",21.15417,39.22889
"23309","Luzula_campestris",12.2625,51.80861
"24561","Luzula_campestris",24.04944,41.30806
"24562","Luzula_campestris",24.54917,41.36806
"24563","Luzula_campestris",24.65972,41.27222
"24564","Luzula_campestris",24.06556,41.38389
"24565","Luzula_campestris",24.86861,41.18472
"24566","Luzula_campestris",24.72944,41.14444
"24567","Luzula_campestris",24.92472,41.2525
"24568","Luzula_campestris",24.83444,41.20306
"24569","Luzula_campestris",24.75111,41.1175
"24570","Luzula_campestris",25.65528,41.245
"24571","Luzula_campestris",24.63972,41.10639
"24572","Luzula_campestris",24.91972,41.28056
"24573","Luzula_campestris",24.96,41.33
"24574","Luzula_campestris",23.65417,40.46056
"24575","Luzula_campestris",23.58944,40.50611
"24576","Luzula_campestris",23.32139,40.44056
"25154","Luzula_campestris",21.28694,39.89528
"25155","Luzula_campestris",21.23972,40.29194
"25156","Luzula_campestris",21.30889,39.90194
"25157","Luzula_campestris",21.31306,39.86306
"25932","Luzula_campestris",13.56304,55.91284
"25997","Luzula_campestris",-2.441233,43.0188873
"26009","Luzula_campestris",-2.3512368,43.2988948
"26020","Luzula_campestris",-2.6112377,43.0788869
"26051","Luzula_campestris",-3.0812489,43.1688839
"26053","Luzula_campestris",-1.9012283,43.3289003
"26063","Luzula_campestris",-3.0012471,43.1588845
"26070","Luzula_campestris",-2.4012334,43.0788891
"26074","Luzula_campestris",-1.8312251,43.238899
"26077","Luzula_campestris",-2.8212397,42.9688821
"26107","Luzula_campestris",-2.7912409,43.0588845
"26111","Luzula_campestris",-1.7912257,43.3089011
"26128","Luzula_campestris",-2.1512302,43.1688939
"26130","Luzula_campestris",-2.3212344,43.208893
"26135","Luzula_campestris",-2.8712425,43.0588836
"26154","Luzula_campestris",-2.4412344,43.0888889
"26176","Luzula_campestris",-2.7712399,43.028884
"26203","Luzula_campestris",-2.6112409,43.2388906
"26212","Luzula_campestris",-3.4212548,43.1288792
"26218","Luzula_campestris",-1.8612267,43.2888998
"26222","Luzula_campestris",-2.0912258,43.0088909
"26266","Luzula_campestris",-2.8112395,42.9688822
"26283","Luzula_campestris",-2.3712375,43.3088948
"26285","Luzula_campestris",-2.4912358,43.1088889
"26351","Luzula_campestris",-2.1312216,42.7588847
"26393","Luzula_campestris",-3.2112529,43.2388841
"26436","Luzula_campestris",-3.3912458,42.70887
"26438","Luzula_campestris",-2.6512379,43.0488858
"26439","Luzula_campestris",-2.6012405,43.2288905
"26441","Luzula_campestris",-2.4412261,42.6688793
"26449","Luzula_campestris",-2.4312259,42.6688794
"26506","Luzula_campestris",-2.2912354,43.2888952
"26527","Luzula_campestris",-2.3912379,43.3088946
"26541","Luzula_campestris",-2.9212493,43.3488898
"26580","Luzula_campestris",-2.9212496,43.35889
"26646","Luzula_campestris",-2.3612302,42.9588868
"26725","Luzula_campestris",-2.4912356,43.0988886
"26727","Luzula_campestris",-2.2412316,43.1488925
"26728","Luzula_campestris",-2.5012356,43.0888883
"26730","Luzula_campestris",-2.7112421,43.1988886
"26758","Luzula_campestris",-2.8112385,42.918881
"26767","Luzula_campestris",-1.8012269,43.3589021
"26776","Luzula_campestris",-2.0512306,43.2888978
"26799","Luzula_campestris",-3.1712521,43.2388845
"26814","Luzula_campestris",-1.8512277,43.3489013
"26856","Luzula_campestris",-2.9012439,43.0988842
"26858","Luzula_campestris",-2.8112393,42.9588819
"26981","Luzula_campestris",-2.3212356,43.2688944
"27017","Luzula_campestris",-2.3912312,42.9788869
"27028","Luzula_campestris",-2.401235,43.158891
"27084","Luzula_campestris",7.40549,47.4233
"27676","Luzula_campestris",-90.632194,37.731889
"30009","Luzula_campestris",23.134636,60.143707
"30349","Luzula_campestris",22.843998,60.161855
"31264","Luzula_campestris",21.770291,60.672387
"33443","Luzula_campestris",23.552541,60.110338
"34921","Luzula_campestris",4.198133,52.050883
"35456","Luzula_campestris",-90.302778,37.183611
"35942","Luzula_campestris",15.39858,47.02159
"35948","Luzula_campestris",15.44911,47.10901
"35956","Luzula_campestris",15.44156,47.11407
"35968","Luzula_campestris",15.3975,47.11139
"35983","Luzula_campestris",16.84128,47.76764
"35984","Luzula_campestris",14.74384,47.19103
"36167","Luzula_campestris",14.26472,47.26611
"36196","Luzula_campestris",15.89389,47.33583
"36206","Luzula_campestris",15.85389,47.28333
"36242","Luzula_campestris",16.09944,47.11639
"36254","Luzula_campestris",15.47278,47.10889
"36275","Luzula_campestris",15.48861,47.04778
"36409","Luzula_campestris",15.47083,47.19694
"36431","Luzula_campestris",13.65194,47.41806
"36433","Luzula_campestris",13.61972,47.42389
"36437","Luzula_campestris",15.3,46.77833
"36557","Luzula_campestris",15.50194,46.77278
"36581","Luzula_campestris",15.40919,47.12714
"36583","Luzula_campestris",15.91833,46.88611
"36599","Luzula_campestris",14.94083,47.1175
"36612","Luzula_campestris",15.0675,47.20861
"36624","Luzula_campestris",15.30019,47.09194
"36745","Luzula_campestris",23.517402,60.088046
"37186","Luzula_campestris",-49.481944,-28.1275
"37466","Luzula_campestris",4.327981,52.145914
"42682","Luzula_campestris",-0.39,42.78
"42691","Luzula_campestris",-1.62,43.04
"42724","Luzula_campestris",-0.87,42.81
"42777","Luzula_campestris",-1.55,43.02
"42778","Luzula_campestris",-1.55,43.03
"42890","Luzula_campestris",-4.57,43.220001
"42899","Luzula_campestris",-4.84,43.23
"42910","Luzula_campestris",-4.79,43.139999
"42911","Luzula_campestris",-4.68,43.189999
"42912","Luzula_campestris",-4.74,43.07
"42913","Luzula_campestris",-4.77,43.169998
"42914","Luzula_campestris",-4.73,43.110001
"44902","Luzula_campestris",-49.606389,-28.162222
"44907","Luzula_campestris",-49.324722,-27.941667
"44910","Luzula_campestris",-49.481944,-28.1275
"44923","Luzula_campestris",-50.033333,-28.481389
