"","species","lon","lat"
"1084","Lythrum_portula",22.626126,60.172807
"1500","Lythrum_portula",23.971718,60.443939
"1805","Lythrum_portula",22.662053,60.17399
"2736","Lythrum_portula",21.503118,60.733628
"3291","Lythrum_portula",24.150783,60.474833
"6255","Lythrum_portula",26.599411,61.007255
"6306","Lythrum_portula",22.483345,60.815245
"7822","Lythrum_portula",21.550236,60.672584
"8796","Lythrum_portula",23.970883,60.452903
"8798","Lythrum_portula",23.883603,60.414961
"10963","Lythrum_portula",23.981533,60.533977
"11258","Lythrum_portula",24.317743,61.313403
"12320","Lythrum_portula",13.44554,55.95107
"12648","Lythrum_portula",-123.74901,44.10999
"14773","Lythrum_portula",22.772324,60.438203
"15415","Lythrum_portula",26.163422,60.749917
"16435","Lythrum_portula",21.642792,60.667334
"16761","Lythrum_portula",27.6265,60.593553
"16926","Lythrum_portula",22.703779,60.543864
"17748","Lythrum_portula",23.901725,60.415385
"18439","Lythrum_portula",24.011294,60.408909
"18877","Lythrum_portula",24.67746,61.499589
"19948","Lythrum_portula",13.82772,59.40365
"20898","Lythrum_portula",6.661666,52.008965
"22843","Lythrum_portula",12.29139,51.75056
"26149","Lythrum_portula",-1.5712154,43.0188966
"26276","Lythrum_portula",-1.721221,43.1488981
"26801","Lythrum_portula",-1.7612239,43.2489
"27006","Lythrum_portula",-2.0112236,42.978891
"27313","Lythrum_portula",-120.41793,39.665788
"29309","Lythrum_portula",22.644089,60.1734
"30795","Lythrum_portula",26.683206,60.935072
"34977","Lythrum_portula",6.006691,50.980491
"35642","Lythrum_portula",-121.023889,40.286667
"42438","Lythrum_portula",4.37861,48.2975
"42737","Lythrum_portula",-1.57,43.02
"42760","Lythrum_portula",-1.32,42.98
"42894","Lythrum_portula",-4.77,43.16
"50629","Lythrum_portula",20.32,51.33
"50889","Lythrum_portula",40.002946,49.25295
"54482","Lythrum_portula",-120.379979,39.802888
"54721","Lythrum_portula",-123.24037,44.604291
"55295","Lythrum_portula",12.06,50.34
"55309","Lythrum_portula",10.12,50.26
"55352","Lythrum_portula",10.21,48.02
"55383","Lythrum_portula",10.66,48.84
"55414","Lythrum_portula",18.27763,59.69223
"56755","Lythrum_portula",-7.8578,31.2031
"56838","Lythrum_portula",-5.7654,38.8142
"56855","Lythrum_portula",-7.85,31.2167
"56875","Lythrum_portula",-3.357,40.8196
"57134","Lythrum_portula",-4.1307,38.1206
"57160","Lythrum_portula",9.12,39.7433
"57178","Lythrum_portula",-2.4639,42.7194
"57277","Lythrum_portula",-6.8572,41.8192
"57280","Lythrum_portula",-7.725278,41.841389
"57406","Lythrum_portula",-2.8811,41.7209
"57409","Lythrum_portula",-4.1371,38.535
"57466","Lythrum_portula",-1.5778,43.018
"57501","Lythrum_portula",-8.05038,41.807
"57542","Lythrum_portula",-4.2439,39.399
"57778","Lythrum_portula",-4.23,39.4
"57979","Lythrum_portula",-8.71,38.38
"58026","Lythrum_portula",1.92,42.39
"58145","Lythrum_portula",-1.61,43.04
"58319","Lythrum_portula",-1.57,43.02
"58741","Lythrum_portula",-3.33,36.96
"58830","Lythrum_portula",2.56,41.63
"60609","Lythrum_portula",10.13,50.27
"60726","Lythrum_portula",10.12,47.87
"60924","Lythrum_portula",10.4,48.49
"61017","Lythrum_portula",11.97,48.23
"62106","Lythrum_portula",-120.54958,39.922495
"62748","Lythrum_portula",14.653666,37.919342
"67773","Lythrum_portula",5.9773,50.908724
"67915","Lythrum_portula",6.078167,52.46975
"68001","Lythrum_portula",5.720833,51.973667
"68122","Lythrum_portula",5.497447,52.420254
"68871","Lythrum_portula",-122.804978,44.8772498
"69126","Lythrum_portula",11.56,50.04
"69187","Lythrum_portula",10.01,50.28
"69615","Lythrum_portula",15.41187,58.54929
"70436","Lythrum_portula",-119.66889,39.27053
"70628","Lythrum_portula",-3.876,38.373
"70657","Lythrum_portula",-6.4,37.924
"70712","Lythrum_portula",-4.897374,38.936982
"70714","Lythrum_portula",-6.752,37.967
"71228","Lythrum_portula",170.220552,-43.294264
"71253","Lythrum_portula",169.088,-46.3817
"72192","Lythrum_portula",15.69339,58.33124
"73857","Lythrum_portula",10.85,48.85
"74104","Lythrum_portula",15.82805,58.38144
"75221","Lythrum_portula",3.41843,45.80135
"78309","Lythrum_portula",35.433333,53.4
"78562","Lythrum_portula",40.295908,56.196211
"78876","Lythrum_portula",42.241467,55.669883
"79431","Lythrum_portula",13.163889,48.167778
"79500","Lythrum_portula",13.293333,48.303333
"79713","Lythrum_portula",13.054722,48.157223
"79777","Lythrum_portula",13.086111,48.274445
"79982","Lythrum_portula",13.057222,48.15389
"80196","Lythrum_portula",13.09,48.275555
"80284","Lythrum_portula",13.204445,48.47389
"80310","Lythrum_portula",13.713611,48.183334
"80400","Lythrum_portula",13.348333,48.251945
"80478","Lythrum_portula",13.561389,48.289444
"80625","Lythrum_portula",13.480278,48.163334
"80665","Lythrum_portula",13.475,48.236668
"80710","Lythrum_portula",13.453333,48.22222
"80716","Lythrum_portula",13.396944,48.25611
"80765","Lythrum_portula",13.318889,48.162224
"80779","Lythrum_portula",13.300278,48.309166
"80784","Lythrum_portula",13.780278,48.485832
"80795","Lythrum_portula",13.537222,48.37639
"80853","Lythrum_portula",13.16,48.156387
"80923","Lythrum_portula",13.532778,48.580276
"81120","Lythrum_portula",13.088056,48.274723
"81122","Lythrum_portula",13.284722,48.299168
"81157","Lythrum_portula",14.108889,48.481667
"81255","Lythrum_portula",13.178611,48.125
"81593","Lythrum_portula",12.0117,60.4252
"81703","Lythrum_portula",-121.508029,45.718434
"81726","Lythrum_portula",-122.74248,45.615688
"81747","Lythrum_portula",-122.496234,45.478417
"81806","Lythrum_portula",-122.793913,45.854439
"81811","Lythrum_portula",-123.131377,45.614279
"81838","Lythrum_portula",-122.745721,45.607251
"81860","Lythrum_portula",-122.568938,45.570411
"82058","Lythrum_portula",8.20207,56.143097
"82401","Lythrum_portula",9.329169,56.208129
"82402","Lythrum_portula",9.627414,56.701121
"82573","Lythrum_portula",8.259817,55.649264
"82758","Lythrum_portula",8.367073,56.871786
"82759","Lythrum_portula",9.334104,56.774123
"82760","Lythrum_portula",10.397596,57.647197
"82929","Lythrum_portula",11.853111,55.672255
"83090","Lythrum_portula",8.401173,56.791099
"83091","Lythrum_portula",9.330406,56.351879
"83092","Lythrum_portula",11.961965,55.849468
"83269","Lythrum_portula",8.632452,56.57638
"83270","Lythrum_portula",9.245874,55.786032
"83271","Lythrum_portula",9.368325,56.92675
"83272","Lythrum_portula",9.667215,56.179814
"83273","Lythrum_portula",10.294984,56.642063
"83430","Lythrum_portula",8.990825,55.435844
"83431","Lythrum_portula",9.525657,55.24601
"84145","Lythrum_portula",24.973939,60.201534
"85621","Lythrum_portula",-1.64,40.54
"86044","Lythrum_portula",23.45,60.42
"86063","Lythrum_portula",-2.7,41.87
"86077","Lythrum_portula",-6.76,42.21
"86430","Lythrum_portula",-4.23,39.4
"87314","Lythrum_portula",-1.39,41.23
"87315","Lythrum_portula",-3.18,41.96
"87628","Lythrum_portula",-1.79,40.87
"87775","Lythrum_portula",-1.97,40.82
"87792","Lythrum_portula",-1.55,41.07
"87868","Lythrum_portula",9.12,39.74
"88410","Lythrum_portula",-1.57,43.02
"88456","Lythrum_portula",37.93,40.72
"88528","Lythrum_portula",-1.61,43.04
"88901","Lythrum_portula",-5.19,43.44
"88987","Lythrum_portula",-8.64,41.76
"92721","Lythrum_portula",-119.668889,39.270556
"93063","Lythrum_portula",-123.24037,44.604291
"93944","Lythrum_portula",23.45,60.416667
"94343","Lythrum_portula",11.6269,60.2147
"94346","Lythrum_portula",15.73242,58.44079
"94470","Lythrum_portula",-122.239998,49.18
"95078","Lythrum_portula",18.32,59.78
"96065","Lythrum_portula",9.627176,50.582329
"96066","Lythrum_portula",9.631058,50.633999
"96068","Lythrum_portula",9.596877,50.674973
"96490","Lythrum_portula",-120.970944,39.746167
"96849","Lythrum_portula",15.79752,58.2846
"97819","Lythrum_portula",24.032811,60.381997
"122541","Lythrum_portula",22.305506,60.647307
"122553","Lythrum_portula",23.444214,60.421463
"124268","Lythrum_portula",21.728613,60.814662
"125204","Lythrum_portula",25.797446,60.948634
"125826","Lythrum_portula",27.790069,60.565762
"127584","Lythrum_portula",28.000041,60.869519
"129563","Lythrum_portula",21.638321,60.694141
"134863","Lythrum_portula",6.558333,52.534833
"135407","Lythrum_portula",13.458889,48.433887
"135481","Lythrum_portula",14.065833,48.565
"135516","Lythrum_portula",13.166111,48.1375
"135804","Lythrum_portula",14.414444,48.56167
"135910","Lythrum_portula",13.189167,48.198055
"135928","Lythrum_portula",13.533889,48.378334
"135991","Lythrum_portula",12.878333,48.108055
"136144","Lythrum_portula",12.2485,53.8485
"136849","Lythrum_portula",17.23767,59.11525
"136863","Lythrum_portula",16.06492,58.09432
"136890","Lythrum_portula",14.14565,56.35144
"137646","Lythrum_portula",-5.23,50.32
"139196","Lythrum_portula",-123.204444,44.719167
"139275","Lythrum_portula",-117.017279,48.180708
"139385","Lythrum_portula",-117.053989,48.208093
"139598","Lythrum_portula",-121.240641,48.676073
"139690","Lythrum_portula",-117.031632,48.184822
"140319","Lythrum_portula",9.52,49.81
"140391","Lythrum_portula",9.82,50.36
