"","species","lon","lat"
"158272","Macaca_mulatta",75.300003,19.870001
"303506","Macaca_mulatta",75.3,19.87
"399877","Macaca_mulatta",67.0822,24.9056
"466926","Macaca_mulatta",80.241325,28.777522
"466927","Macaca_mulatta",80.190312,28.866364
"466928","Macaca_mulatta",95.90639,25.6275
"466929","Macaca_mulatta",85.375,27.80833
"466930","Macaca_mulatta",104.01,18.316667
"466931","Macaca_mulatta",84.4525,27.5341
"466932","Macaca_mulatta",84.741889,27.413923
"466933","Macaca_mulatta",84.785635,27.269964
"466934","Macaca_mulatta",84.692884,27.42092
"466935","Macaca_mulatta",84.567248,27.412477
"466936","Macaca_mulatta",84.847293,27.333557
"466937","Macaca_mulatta",84.739825,27.396725
"466938","Macaca_mulatta",84.924466,27.316561
"466939","Macaca_mulatta",84.709705,27.375944
"466940","Macaca_mulatta",84.755513,27.320548
"466941","Macaca_mulatta",84.59208,27.425949
"466943","Macaca_mulatta",80.239748,28.789672
"466944","Macaca_mulatta",80.112864,28.92205
"466945","Macaca_mulatta",80.272335,28.923839
"466946","Macaca_mulatta",80.142498,28.811959
"466947","Macaca_mulatta",80.344306,28.792417
"466948","Macaca_mulatta",80.313221,28.783337
"466949","Macaca_mulatta",80.303489,28.82817
"466950","Macaca_mulatta",80.20067,28.794485
"466951","Macaca_mulatta",94.583333,20.2
"466952","Macaca_mulatta",81.643699,28.308228
"466953","Macaca_mulatta",81.233084,28.452086
"466954","Macaca_mulatta",81.563738,28.364207
"466955","Macaca_mulatta",81.272394,28.513447
"466956","Macaca_mulatta",81.528717,28.282373
"466957","Macaca_mulatta",81.466299,28.466784
"466958","Macaca_mulatta",81.35869,28.385954
"466959","Macaca_mulatta",81.294446,28.592824
"466960","Macaca_mulatta",81.31228,28.530184
"466961","Macaca_mulatta",81.499191,28.342892
"466962","Macaca_mulatta",105.288115,17.873416
"466963","Macaca_mulatta",103.65,20.461477
"466964","Macaca_mulatta",107.492946,16.09038
"466967","Macaca_mulatta",107.2,16.45
"466968","Macaca_mulatta",84.361013,27.473105
"466969","Macaca_mulatta",84.527116,27.413182
"466970","Macaca_mulatta",84.732109,27.453999
"466971","Macaca_mulatta",84.005403,27.500009
"466972","Macaca_mulatta",84.714914,27.438073
"466973","Macaca_mulatta",84.206614,27.531569
"466974","Macaca_mulatta",84.661495,27.535931
"466975","Macaca_mulatta",84.212828,27.543281
"466976","Macaca_mulatta",84.572433,27.511279
"466977","Macaca_mulatta",84.292337,27.48935
"466978","Macaca_mulatta",107.583307,15.52394
"466979","Macaca_mulatta",82.03016,28.039483
"466980","Macaca_mulatta",81.826869,28.130177
"466981","Macaca_mulatta",82.087193,28.020773
"466982","Macaca_mulatta",81.709735,28.321886
"466983","Macaca_mulatta",82.091831,28.053024
"466984","Macaca_mulatta",81.838842,28.217925
"466985","Macaca_mulatta",82.076854,28.030251
"466986","Macaca_mulatta",81.942065,28.191943
"466987","Macaca_mulatta",82.180007,27.983379
"466988","Macaca_mulatta",81.757817,28.23027
"466989","Macaca_mulatta",99.216667,28.316667
"466990","Macaca_mulatta",99,23.25
"466991","Macaca_mulatta",101.300865,21.882756
"466992","Macaca_mulatta",94.75,20.33333
