"","species","lon","lat"
"19433","Marsilea_minuta",43.677778,-21.867222
"27717","Marsilea_minuta",32.6,-5.1
"34509","Marsilea_minuta",1.133333,10.133333
"35378","Marsilea_minuta",43.8875,-22.084444
"37122","Marsilea_minuta",-75.189867,8.551075
"38747","Marsilea_minuta",120.71355,24.06112
"39739","Marsilea_minuta",45.383333,-22.485
"40360","Marsilea_minuta",32.6,-5.1
"42431","Marsilea_minuta",-16.64417,14.295
"42448","Marsilea_minuta",-16.34056,16.175
"43009","Marsilea_minuta",-104.45122,37.04097
"49986","Marsilea_minuta",43.677778,-21.867222
"56641","Marsilea_minuta",-0.25,14.366
"56642","Marsilea_minuta",-0.266,14.366
"62180","Marsilea_minuta",-86.045833,31.804444
"67327","Marsilea_minuta",-35.370556,-5.882222
"67369","Marsilea_minuta",-37.159722,-6.666944
"67400","Marsilea_minuta",-35.126111,-6.106111
"67484","Marsilea_minuta",-35.202222,-6.255833
"67913","Marsilea_minuta",34,8.3
"68906","Marsilea_minuta",29.367359,-15.733396
"71009","Marsilea_minuta",-5.033333,7.683333
"81872","Marsilea_minuta",120.73333,24.48333
"81905","Marsilea_minuta",-15.55194,12.71306
"93959","Marsilea_minuta",28.821919,-2.154877
"116930","Marsilea_minuta",-87.28053,32.30654
"133978","Marsilea_minuta",-80.30859,27.14699
"134056","Marsilea_minuta",-81.69484,26.16973
"134186","Marsilea_minuta",-86.046111,31.804444
"134429","Marsilea_minuta",-82.333333,29.638889
"134791","Marsilea_minuta",29.3736,-15.733394
"136174","Marsilea_minuta",43.8875,-22.084444
"138613","Marsilea_minuta",-50.468194,-1.684917
"139852","Marsilea_minuta",84.497778,27.570278
"158336","Marsilea_minuta",-16.79722,14.18944
"158361","Marsilea_minuta",-17.31028,14.75333
"163416","Marsilea_minuta",-82.3333,29.6389
"168918","Marsilea_minuta",-86.22125,32.41522
"171979","Marsilea_minuta",1.9833,8.4166
"172500","Marsilea_minuta",107.88,25.42
"191841","Marsilea_minuta",118.43333,24.43333
"191845","Marsilea_minuta",1.59248,6.75203
"191850","Marsilea_minuta",44.333,-23.55603
"254944","Marsilea_minuta",-0.25,14.366667
"264022","Marsilea_minuta",1.29417,6.27784
"295007","Marsilea_minuta",-70.418812,6.958555
"307358","Marsilea_minuta",-35.135897,-6.603828
"326805","Marsilea_minuta",-35.370556,-5.882222
"332394","Marsilea_minuta",1.13333,10.13333
"332460","Marsilea_minuta",2.5,8.38333
"336263","Marsilea_minuta",-75.850278,9.153889
"338580","Marsilea_minuta",-48.036667,-1.518611
"383514","Marsilea_minuta",25.583333,-25.883333
"392314","Marsilea_minuta",49.566389,-13.216389
"404637","Marsilea_minuta",120.733333,22
"404691","Marsilea_minuta",121.516667,24.833333
"404937","Marsilea_minuta",-80.3847,22.6222
"414815","Marsilea_minuta",-14.616667,12.433333
"418644","Marsilea_minuta",-0.054633,14.366033
"418837","Marsilea_minuta",1.463333,11.579967
"430050","Marsilea_minuta",-87.2948,30.3778
"430734","Marsilea_minuta",-81.5,28.3833
"431159","Marsilea_minuta",-87.2142,30.4093
"433308","Marsilea_minuta",44.171667,-22.641667
"435386","Marsilea_minuta",-35.447528,-7.186556
"435824","Marsilea_minuta",-50.032778,1.291111
"436158","Marsilea_minuta",-48.036556,-1.518556
"448408","Marsilea_minuta",45.383333,-22.485
"448480","Marsilea_minuta",-58.16,6.66
"459939","Marsilea_minuta",-0.25,14.366667
"460126","Marsilea_minuta",2.05,8.383333
"463329","Marsilea_minuta",1.294018,6.277997
"463330","Marsilea_minuta",1.294171,6.277842
"463331","Marsilea_minuta",1.592489,6.75203
"484270","Marsilea_minuta",23.344722,-19.255556
"486946","Marsilea_minuta",40.4064,2.68
