"","species","lon","lat"
"13444","Martynia_annua",-89.8778,14.89833
"13530","Martynia_annua",-95.59111,16.42778
"13728","Martynia_annua",-103.717,19.458
"13744","Martynia_annua",-96.02444,15.905
"13786","Martynia_annua",-95.96861,16.42594
"13794","Martynia_annua",-97.067,17.9
"13826","Martynia_annua",-96.16392,15.78033
"13833","Martynia_annua",-89.78194,14.93167
"19605","Martynia_annua",-86.016667,12.616667
"19650","Martynia_annua",-85.352778,10.333333
"19817","Martynia_annua",-96.21833,15.77666
"19903","Martynia_annua",-88.7175,13.633889
"27442","Martynia_annua",-89.95944,14.89611
"27715","Martynia_annua",-95.9375,15.906389
"27725","Martynia_annua",-91.75,15.8
"34686","Martynia_annua",-12.323333,12.820667
"34786","Martynia_annua",125.606111,-8.546389
"34894","Martynia_annua",2.064775,7.178741
"37445","Martynia_annua",3.45,10.316667
"37547","Martynia_annua",2.2,7.833333
"39106","Martynia_annua",-104.416667,22.35
"39304","Martynia_annua",-85.625,10.838889
"39339","Martynia_annua",-86.833333,12.516667
"39372","Martynia_annua",-85.9,11.783333
"39403","Martynia_annua",-88.721667,13.643611
"39897","Martynia_annua",-96.265,15.75194
"39906","Martynia_annua",-86.640944,12.848806
"50229","Martynia_annua",-88.35,13.35
"50400","Martynia_annua",-89.614167,13.705833
"51679","Martynia_annua",132.017472,-13.489306
"51949","Martynia_annua",125.5414,-8.5472
"52038","Martynia_annua",127.0139,-8.45
"52188","Martynia_annua",124.36906,-9.20128
"52877","Martynia_annua",144.089444,-18.093333
"52948","Martynia_annua",148.10798,-20.038449
"53031","Martynia_annua",144.255556,-18.173056
"53041","Martynia_annua",130.62621,-16.4887
"61080","Martynia_annua",-85.653451,11.051436
"61186","Martynia_annua",-85.731015,10.901925
"62103","Martynia_annua",-66.240556,18.037222
"62463","Martynia_annua",-99.4622,17.9514
"63392","Martynia_annua",-99.079167,18.401389
"67575","Martynia_annua",2.159167,7.633333
"68672","Martynia_annua",-99.108167,18.347722
"76910","Martynia_annua",-66.0554,18.013
"77019","Martynia_annua",-85.4236,10.375
"77526","Martynia_annua",-85.3274,10.3527
"81612","Martynia_annua",72.906,22.517
"83962","Martynia_annua",-108.932222,26.951944
"84012","Martynia_annua",-109.261667,28.351667
"85307","Martynia_annua",148.132276,-20.12032
"93808","Martynia_annua",-85.614,10.83
"94500","Martynia_annua",-85.610001,10.83
"133982","Martynia_annua",-70.91403,18.33131
"136243","Martynia_annua",-85.352778,10.333333
"136276","Martynia_annua",-85.833333,12.616667
"136382","Martynia_annua",-88.721667,13.643611
"140071","Martynia_annua",-97.028333,17.948583
"141294","Martynia_annua",-99.108055,21.158889
"141336","Martynia_annua",-99.32923,21.210627
"141539","Martynia_annua",-99.219825,21.6375
"141894","Martynia_annua",-90.505278,19.785
"141971","Martynia_annua",-88.875556,20.907778
"142038","Martynia_annua",-89.730556,20.083333
"158550","Martynia_annua",-109.726111,28.633333
"158551","Martynia_annua",-109.725,28.6375
"158568","Martynia_annua",-109.7425,28.533333
"158583","Martynia_annua",-109.138333,28.395
"158976","Martynia_annua",-96.155056,15.754667
"158979","Martynia_annua",-96.168694,15.755472
"158986","Martynia_annua",-96.163917,15.780333
"158996","Martynia_annua",-96.185472,15.760833
"159011","Martynia_annua",-96.15425,15.734667
"159039","Martynia_annua",-96.178389,15.75875
"159058","Martynia_annua",-96.765,19.335833
"159127","Martynia_annua",-107.698333,27.070278
"159133","Martynia_annua",-107.712778,26.982778
"161187","Martynia_annua",-95.963611,15.835556
"161338","Martynia_annua",-89.316667,13.483333
"161381","Martynia_annua",-96.318333,18.928333
"161661","Martynia_annua",-86.301,12.533722
"161950","Martynia_annua",-93.578056,16.327778
"163293","Martynia_annua",-93.164389,16.813944
"165814","Martynia_annua",-96.16869,15.75547
"165887","Martynia_annua",-90.067,13.8
"165899","Martynia_annua",-89.667,14.10556
"165952","Martynia_annua",-99.050278,18.372778
"165958","Martynia_annua",-99.124167,18.439444
"165982","Martynia_annua",-99.053333,18.375833
"165983","Martynia_annua",-99.079167,18.401389
"165997","Martynia_annua",-99.015833,18.451111
"166000","Martynia_annua",-98.958333,18.4875
"167907","Martynia_annua",-108.81667,26.98333
"168117","Martynia_annua",-104.59167,21.53833
"168298","Martynia_annua",-104.98333,19.38333
"168739","Martynia_annua",-104.28889,19.85889
"168993","Martynia_annua",-103.725,19.45
"168994","Martynia_annua",-108.925,26.96167
"169260","Martynia_annua",-97.446278,18.474611
"169278","Martynia_annua",-97.595611,18.455639
"171963","Martynia_annua",3.45,10.3166
"171964","Martynia_annua",2.8166,10.4
"171965","Martynia_annua",2.2,6.4
"171966","Martynia_annua",1.9666,7.9333
"171967","Martynia_annua",1.4166,10.1
"171968","Martynia_annua",1.9666,7.1333
"173611","Martynia_annua",-98.076111,17.327778
"173613","Martynia_annua",-93.174722,16.824722
"173639","Martynia_annua",-93.560555,16.605278
"173648","Martynia_annua",-93.658333,16.675
"173655","Martynia_annua",-93.835,16.558333
"173710","Martynia_annua",-93.871111,16.324722
"174147","Martynia_annua",-104.7,21.85
"176689","Martynia_annua",-89.781944,14.931667
"176779","Martynia_annua",-89.87777,14.89833
"176917","Martynia_annua",-86.35583,13.24055
"176953","Martynia_annua",-86.389722,13.398778
"177249","Martynia_annua",-90.06666,13.8
"177259","Martynia_annua",-85.833333,12.616667
"177409","Martynia_annua",-96.95,17.8
"179086","Martynia_annua",-89.31667,13.48333
"180333","Martynia_annua",-109.13833,28.395
"180416","Martynia_annua",-96.11167,15.77931
"180552","Martynia_annua",-96.95,17.8
"180585","Martynia_annua",-89.87361,14.92194
"180595","Martynia_annua",-100.8485,18.56936
"180625","Martynia_annua",-101.46167,18.14528
"191058","Martynia_annua",-98.902861,18.010556
"191059","Martynia_annua",-98.494167,18.004444
"191060","Martynia_annua",-99.099528,17.889194
"191075","Martynia_annua",-99.38349,17.55647
"191086","Martynia_annua",-99.477889,18.014472
"191087","Martynia_annua",-100.420305,18.152722
"191088","Martynia_annua",-99.462667,17.953611
"191104","Martynia_annua",-99.472583,17.923306
"191105","Martynia_annua",-99.129694,17.880833
"191111","Martynia_annua",-99.091361,18.060194
"191121","Martynia_annua",-99.516667,18.35
"191122","Martynia_annua",-99.364722,17.136944
"200029","Martynia_annua",83.688026,28.235804
"200036","Martynia_annua",84.348947,27.651749
"203645","Martynia_annua",-103.7,19.133
