"","species","lon","lat"
"23402","Medicago_murex",25.56,35.02361
"23445","Medicago_murex",25.79444,35.11
"37174","Medicago_murex",9.39672,41.86386
"40712","Medicago_murex",8,36.733333
"40762","Medicago_murex",9.33333,40.65
"40953","Medicago_murex",-1.31667,34.85
"40959","Medicago_murex",9.37861,36.83556
"41129","Medicago_murex",8.76361,36.90806
"41130","Medicago_murex",8.77444,36.89194
"41132","Medicago_murex",9.47417,36.94694
"41146","Medicago_murex",6.266667,36.783333
"41698","Medicago_murex",32.16833,36.41528
"41967","Medicago_murex",9.448333,37.176944
"41968","Medicago_murex",9.889167,37.236944
"58486","Medicago_murex",9.67,36.35
"62758","Medicago_murex",13.548628,37.979723
"63172","Medicago_murex",14.01797,37.98654
"63278","Medicago_murex",13.597726,37.615847
"66386","Medicago_murex",36.19889,34.99917
"66390","Medicago_murex",35.63333,32.6
"66464","Medicago_murex",-1.2,34.85
"66502","Medicago_murex",8.774444,36.891944
"66640","Medicago_murex",-0.6,34.7
"66657","Medicago_murex",8.742778,36.746111
"66658","Medicago_murex",9.185556,36.805278
"66759","Medicago_murex",9.126944,37.074444
"66894","Medicago_murex",35.97694,34.93806
"67056","Medicago_murex",10.08722,36.25861
"67058","Medicago_murex",9.44833,37.17694
"67070","Medicago_murex",0.6,34.7
"67207","Medicago_murex",6.51667,36.51667
"67227","Medicago_murex",8.713056,36.950833
"67228","Medicago_murex",1.316667,34.85
"178687","Medicago_murex",22.42889,36.92167
"200515","Medicago_murex",23.90028,35.37861
"200870","Medicago_murex",24.20917,35.24083
"200937","Medicago_murex",9.28972,41.58583
"201017","Medicago_murex",23.91778,35.39333
"203046","Medicago_murex",24.2675,35.24306
"227719","Medicago_murex",11.048502,42.89367
"228874","Medicago_murex",10.830005,43.878075
"230969","Medicago_murex",11.533203,42.588773
"232465","Medicago_murex",11.482653,42.514007
"285732","Medicago_murex",10.06972,37.14028
"285915","Medicago_murex",5.93333,36.8
"285987","Medicago_murex",3.55,36.6
"285997","Medicago_murex",8.67,36.8
"285999","Medicago_murex",8.756111,36.928056
"286204","Medicago_murex",35.633333,32.6
"348318","Medicago_murex",-0.01,38.67
"389182","Medicago_murex",-5.77,43.46
"389259","Medicago_murex",9.67,36.35
"403834","Medicago_murex",-4.83,37.13
"417018","Medicago_murex",9.845833,37.2375
"417019","Medicago_murex",9.123889,37.152222
"417100","Medicago_murex",8.68333,40.7667
"417143","Medicago_murex",6.26667,36.78333
"417147","Medicago_murex",9.18556,36.80528
"417148","Medicago_murex",9.14167,36.77944
"417149","Medicago_murex",9.12389,37.15222
"417196","Medicago_murex",1.2,34.85
"417197","Medicago_murex",9.223333,37.059722
"417264","Medicago_murex",35.81667,32.08333
"417271","Medicago_murex",8.75611,36.92806
"417290","Medicago_murex",8.673056,36.809444
"417327","Medicago_murex",9.18333,40.5667
"417436","Medicago_murex",8.26667,36.76667
"417441","Medicago_murex",9.105,37.02028
"417442","Medicago_murex",8.74278,36.74611
"417474","Medicago_murex",9.501944,36.898333
"417589","Medicago_murex",35.7035,33.72293
"417592","Medicago_murex",36.31639,34.76889
"417602","Medicago_murex",9.12694,37.07444
"417628","Medicago_murex",9.105,37.020278
"417629","Medicago_murex",10.069722,37.140278
"424684","Medicago_murex",25.533333,35.216667
"434015","Medicago_murex",35.64545,33.35853
"434052","Medicago_murex",10.087222,36.258611
"434053","Medicago_murex",8.763611,36.908056
"434054","Medicago_murex",6.516667,36.516667
"434108","Medicago_murex",8.85,40.2833
"434259","Medicago_murex",9.4,36.91639
"434418","Medicago_murex",9.88917,37.23694
"434440","Medicago_murex",9.4,36.916389
"434604","Medicago_murex",8.266667,36.766667
"439735","Medicago_murex",8,36.73333
"439739","Medicago_murex",8.71306,36.95083
"439746","Medicago_murex",36.41028,34.67639
"439771","Medicago_murex",9.378611,36.835556
"439772","Medicago_murex",9.474167,36.946944
"439773","Medicago_murex",-8.633333,37.616667
"439806","Medicago_murex",5.933333,36.8
"439849","Medicago_murex",9.36667,39.6
"439972","Medicago_murex",-8.63333,37.61667
"440209","Medicago_murex",9.22333,37.05972
"440213","Medicago_murex",-9.04139,30.00917
"440222","Medicago_murex",8.67306,36.80944
"440223","Medicago_murex",9.50194,36.89833
"440234","Medicago_murex",9.141667,36.779444
"441294","Medicago_murex",-6.61,38.51
"451764","Medicago_murex",8.60754,39.532541
"451896","Medicago_murex",8.588134,39.341496
"469472","Medicago_murex",22.78667,37.58861
"484628","Medicago_murex",34.95,36.98333
"484635","Medicago_murex",9.84583,37.2375
