"","species","lon","lat"
"1","Misgurnus_anguillicaudatus",121.83,24.71
"2","Misgurnus_anguillicaudatus",116.625,40.3167
"3","Misgurnus_anguillicaudatus",145.01832,-35.601
"4","Misgurnus_anguillicaudatus",144.983,-36.05416
"5","Misgurnus_anguillicaudatus",148.27876,-35.02134
"6","Misgurnus_anguillicaudatus",145.26483,-35.68516
"7","Misgurnus_anguillicaudatus",132.94,35.34
"8","Misgurnus_anguillicaudatus",115.1,29.25
"9","Misgurnus_anguillicaudatus",110.47,29.11
"10","Misgurnus_anguillicaudatus",113.93,29.97
"11","Misgurnus_anguillicaudatus",132.16,34.87
"12","Misgurnus_anguillicaudatus",109.47,30.29
"13","Misgurnus_anguillicaudatus",110.64,24.63
"14","Misgurnus_anguillicaudatus",111.47,27.23
"15","Misgurnus_anguillicaudatus",132.8,35.29
"16","Misgurnus_anguillicaudatus",111.67,32.38
"17","Misgurnus_anguillicaudatus",109.44,24.33
"18","Misgurnus_anguillicaudatus",132.95,35.34
"19","Misgurnus_anguillicaudatus",117.17,29.26
"20","Misgurnus_anguillicaudatus",110.28,25.27
"21","Misgurnus_anguillicaudatus",145.0037,-37.7839
"22","Misgurnus_anguillicaudatus",144.9844,-37.7677
"23","Misgurnus_anguillicaudatus",146.9408,-36.1422
"24","Misgurnus_anguillicaudatus",144.9721,-37.7347
"25","Misgurnus_anguillicaudatus",145.0123,-36.1326
"26","Misgurnus_anguillicaudatus",143.8497,-35.9895
"27","Misgurnus_anguillicaudatus",142.4445,-34.7155
"28","Misgurnus_anguillicaudatus",145.1158,-37.7531
"29","Misgurnus_anguillicaudatus",143.8705,-35.653
"30","Misgurnus_anguillicaudatus",146.1018,-36.3491
"31","Misgurnus_anguillicaudatus",146.8742,-36.161
"32","Misgurnus_anguillicaudatus",142.3485,-34.7537
"33","Misgurnus_anguillicaudatus",145.0831,-37.7548
"34","Misgurnus_anguillicaudatus",145.2955,-37.7634
"35","Misgurnus_anguillicaudatus",145.4448,-37.7174
"36","Misgurnus_anguillicaudatus",144.8775,-37.7548
"37","Misgurnus_anguillicaudatus",142.0369,-34.1386
"38","Misgurnus_anguillicaudatus",142.4696,-34.7231
"39","Misgurnus_anguillicaudatus",145.2028,-37.8026
"40","Misgurnus_anguillicaudatus",144.4661,-35.9589
"41","Misgurnus_anguillicaudatus",145.0018,-37.7973
"42","Misgurnus_anguillicaudatus",145.1061,-37.7919
"43","Misgurnus_anguillicaudatus",145.1546,-37.689
"44","Misgurnus_anguillicaudatus",149.14,-35.86
"45","Misgurnus_anguillicaudatus",149.04,-35.29
"46","Misgurnus_anguillicaudatus",146.87,-36.16
"47","Misgurnus_anguillicaudatus",146.92,-36.26
"48","Misgurnus_anguillicaudatus",146.93,-36.16
"49","Misgurnus_anguillicaudatus",145.05,-36.09
"50","Misgurnus_anguillicaudatus",145.81,-36.22
"51","Misgurnus_anguillicaudatus",146.88,-36.12
"52","Misgurnus_anguillicaudatus",146.24,-36.16
"53","Misgurnus_anguillicaudatus",146.1,-36.35
"54","Misgurnus_anguillicaudatus",145.23,-36.18
"55","Misgurnus_anguillicaudatus",146,-36.3
"56","Misgurnus_anguillicaudatus",142.36,-34.5
"57","Misgurnus_anguillicaudatus",145.2972,-38.024
"58","Misgurnus_anguillicaudatus",144.9677,-37.731
"59","Misgurnus_anguillicaudatus",142.3475,-34.7581
"60","Misgurnus_anguillicaudatus",144.8302,-37.7278
"61","Misgurnus_anguillicaudatus",145.0315,-37.6449
"62","Misgurnus_anguillicaudatus",144.8513,-37.7701
"63","Misgurnus_anguillicaudatus",146.9366,-36.16
"64","Misgurnus_anguillicaudatus",145.2429,-37.7377
"65","Misgurnus_anguillicaudatus",145.2878,-37.703
"66","Misgurnus_anguillicaudatus",144.9837,-37.7673
"67","Misgurnus_anguillicaudatus",145.114,-37.7957
"68","Misgurnus_anguillicaudatus",144.8322,-37.7043
"69","Misgurnus_anguillicaudatus",145.1797,-37.7326
"70","Misgurnus_anguillicaudatus",145.1652,-37.7342
"71","Misgurnus_anguillicaudatus",146.3627,-38.2287
"72","Misgurnus_anguillicaudatus",144.4128,-35.9779
"73","Misgurnus_anguillicaudatus",145.3899,-37.6522
"74","Misgurnus_anguillicaudatus",98.85,25.86
"75","Misgurnus_anguillicaudatus",132.79,35.29
"76","Misgurnus_anguillicaudatus",114.31,25.11
"77","Misgurnus_anguillicaudatus",98.87,24.97
"78","Misgurnus_anguillicaudatus",113.68,29.97
"79","Misgurnus_anguillicaudatus",116.83,36.45
"80","Misgurnus_anguillicaudatus",116.35,27.94
"81","Misgurnus_anguillicaudatus",113.06,23.69
"82","Misgurnus_anguillicaudatus",132.96,35.34
"83","Misgurnus_anguillicaudatus",132.8,35.3
"84","Misgurnus_anguillicaudatus",133.08,35.43
"85","Misgurnus_anguillicaudatus",132.96,35.32
"86","Misgurnus_anguillicaudatus",98.87,26.91
"87","Misgurnus_anguillicaudatus",116.11,24.3
"88","Misgurnus_anguillicaudatus",113.68,24.18
"89","Misgurnus_anguillicaudatus",132.79,35.32
"90","Misgurnus_anguillicaudatus",153.2446,-27.6695
"91","Misgurnus_anguillicaudatus",145.0498,-37.6141
"92","Misgurnus_anguillicaudatus",144.9806,-37.7475
"93","Misgurnus_anguillicaudatus",145.1686,-37.8025
"94","Misgurnus_anguillicaudatus",147.0718,-38.1245
"95","Misgurnus_anguillicaudatus",145.3208,-38.0876
"96","Misgurnus_anguillicaudatus",145.0534,-36.0897
"97","Misgurnus_anguillicaudatus",145.3846,-37.6596
"98","Misgurnus_anguillicaudatus",145.0344,-37.6373
"99","Misgurnus_anguillicaudatus",144.9861,-37.7205
"100","Misgurnus_anguillicaudatus",145.0434,-37.6293
"101","Misgurnus_anguillicaudatus",120.96,23.96
"102","Misgurnus_anguillicaudatus",105.95,18.116667
"103","Misgurnus_anguillicaudatus",-89.927126,30.310238
"104","Misgurnus_anguillicaudatus",-89.925362,30.315783
"105","Misgurnus_anguillicaudatus",-89.925401,30.315837
"106","Misgurnus_anguillicaudatus",-89.921452,30.323126
"107","Misgurnus_anguillicaudatus",132.93,35.32
"108","Misgurnus_anguillicaudatus",132.45,35.06
"109","Misgurnus_anguillicaudatus",132.87,35.45
"110","Misgurnus_anguillicaudatus",132.8,35.31
"111","Misgurnus_anguillicaudatus",132.92,35.32
"112","Misgurnus_anguillicaudatus",132.96,35.35
"113","Misgurnus_anguillicaudatus",116.83,38.3
