"","species","lon","lat"
"45078","Monotaxis_grandoculis",147.19947,-9.47789
"45236","Monotaxis_grandoculis",147.27639,-9.54056
"63916","Monotaxis_grandoculis",36.238415,30.545185
"158142","Monotaxis_grandoculis",79.9612,28.0624
"169612","Monotaxis_grandoculis",79.959999,28.059999
"173899","Monotaxis_grandoculis",125.58763,-8.54817
"300081","Monotaxis_grandoculis",40.024333,-3.351983
"380954","Monotaxis_grandoculis",178.4,-18.1591
"398570","Monotaxis_grandoculis",178.421,-18.170333
"423331","Monotaxis_grandoculis",147.296717,-9.60365
