"","species","lon","lat"
"93","Montia_fontana",24.497202,67.106038
"137","Montia_fontana",25.041345,60.185644
"778","Montia_fontana",23.418425,64.081633
"844","Montia_fontana",24.880411,60.165211
"1199","Montia_fontana",25.758109,64.891478
"1866","Montia_fontana",24.344193,64.698386
"2152","Montia_fontana",28.194928,63.586985
"2896","Montia_fontana",25.07678,67.06025
"4526","Montia_fontana",23.858348,68.117971
"4751","Montia_fontana",25.059886,60.176938
"4755","Montia_fontana",25.378395,65.095068
"4992","Montia_fontana",23.563873,67.833815
"5357","Montia_fontana",26.556682,66.578036
"5600","Montia_fontana",21.438207,62.782203
"6425","Montia_fontana",24.862997,60.155952
"7082","Montia_fontana",25.183467,60.223579
"7729","Montia_fontana",24.386072,64.699132
"8032","Montia_fontana",23.017252,68.66565
"8855","Montia_fontana",25.488406,64.956269
"9039","Montia_fontana",25.187234,67.734262
"9081","Montia_fontana",28.486941,66.446045
"9810","Montia_fontana",23.856306,67.426809
"9912","Montia_fontana",21.957416,68.987895
"10868","Montia_fontana",24.374678,64.600199
"11298","Montia_fontana",24.059511,68.049878
"11904","Montia_fontana",23.611565,67.996397
"12036","Montia_fontana",25.116352,67.733459
"12328","Montia_fontana",14.25775,64.85828
"14225","Montia_fontana",23.502586,68.083894
"14587","Montia_fontana",26.777608,67.071695
"14655","Montia_fontana",23.780359,67.470193
"14698","Montia_fontana",25.485429,64.97149
"15358","Montia_fontana",24.428494,66.449894
"15604","Montia_fontana",24.822373,68.097589
"15609","Montia_fontana",26.845614,67.224209
"15706","Montia_fontana",25.622886,64.975513
"16009","Montia_fontana",24.431351,64.664023
"16640","Montia_fontana",27.362733,66.219538
"17331","Montia_fontana",27.29548,64.540271
"17391","Montia_fontana",24.396361,67.400536
"17600","Montia_fontana",22.702812,63.79714
"18546","Montia_fontana",25.042189,64.906664
"19373","Montia_fontana",25.887349,60.75195
"19660","Montia_fontana",-82.879722,9.098611
"26001","Montia_fontana",-3.6312584,43.0988763
