"","species","lon","lat"
"12585","Mosla_dianthera",-81.799754,34.522273
"13041","Mosla_dianthera",-84.739593,34.175728
"19956","Mosla_dianthera",110.58,25.6
"19964","Mosla_dianthera",117.47,26.72
"19978","Mosla_dianthera",117.02,30.09
"20003","Mosla_dianthera",110.44,25.4
"20032","Mosla_dianthera",110.05,25.25
"20052","Mosla_dianthera",114.96,29.32
"20069","Mosla_dianthera",119.33,29.48
"20153","Mosla_dianthera",110.35,25.17
"20159","Mosla_dianthera",115.99,29.61
"20209","Mosla_dianthera",110.85,26.43
"20217","Mosla_dianthera",114.44,28.1
"20227","Mosla_dianthera",116.2,30.91
"34780","Mosla_dianthera",105.693889,20.309444
"38027","Mosla_dianthera",121.472222,24.653056
"38399","Mosla_dianthera",120.779444,23.087778
"38701","Mosla_dianthera",121.896111,24.968889
"38702","Mosla_dianthera",121.180556,23.143889
"40094","Mosla_dianthera",-78.183652,37.829493
"40106","Mosla_dianthera",-77.536257,37.006166
"40119","Mosla_dianthera",-82.601178,36.633771
"40140","Mosla_dianthera",-78.315462,37.308043
"40141","Mosla_dianthera",-78.319626,37.309915
"42462","Mosla_dianthera",135.95116,34.49162
"42499","Mosla_dianthera",135.95139,34.56388
"42527","Mosla_dianthera",135.76762,34.46543
"42558","Mosla_dianthera",135.82578,34.67892
"42578","Mosla_dianthera",135.84198,34.6766
"42618","Mosla_dianthera",135.8354,34.69368
"42622","Mosla_dianthera",135.87511,34.4044
"42627","Mosla_dianthera",135.96313,34.59973
"42635","Mosla_dianthera",135.93297,34.54808
"42636","Mosla_dianthera",135.94431,34.58502
"42650","Mosla_dianthera",135.70021,34.35019
"42653","Mosla_dianthera",135.74524,34.37744
"50580","Mosla_dianthera",133.11,33.19
"50626","Mosla_dianthera",141.22,41.04
"50636","Mosla_dianthera",140.45,40.45
"50639","Mosla_dianthera",133.15,33.23
"50640","Mosla_dianthera",133.12,33.16
"63535","Mosla_dianthera",108.73,31.6614
"64067","Mosla_dianthera",-86.91063,34.57373
"64068","Mosla_dianthera",-86.72204,34.60105
"64069","Mosla_dianthera",-86.643178,34.657516
"64070","Mosla_dianthera",-86.650988,34.705417
"64071","Mosla_dianthera",-85.724444,34.762778
"73138","Mosla_dianthera",127.971444,35.513639
"73204","Mosla_dianthera",127.963778,35.508639
"73235","Mosla_dianthera",129.012344,37.150272
"73244","Mosla_dianthera",129.098333,35.655
"73250","Mosla_dianthera",127.581556,35.536028
"74413","Mosla_dianthera",115.1,29.27
"74425","Mosla_dianthera",116.33,31.4
"74472","Mosla_dianthera",114.5,36.85
"74540","Mosla_dianthera",118.13,30.3
"74665","Mosla_dianthera",109.25,25.07
"74715","Mosla_dianthera",114.62,27.38
"74753","Mosla_dianthera",106.4,29.8
"93330","Mosla_dianthera",139.529444,36.224722
"93419","Mosla_dianthera",139.485,36.254722
"93460","Mosla_dianthera",138.594444,36.309722
"93463","Mosla_dianthera",138.625556,36.294167
"93492","Mosla_dianthera",139.133333,36.719444
"93499","Mosla_dianthera",138.734167,36.526667
"93541","Mosla_dianthera",139.531389,36.226667
"93566","Mosla_dianthera",139.504444,36.258611
"93571","Mosla_dianthera",139.338194,36.351722
"93589","Mosla_dianthera",138.746389,36.567778
"93593","Mosla_dianthera",138.782778,36.479722
"93613","Mosla_dianthera",139.349167,36.346944
"93641","Mosla_dianthera",139.056111,36.655
"93647","Mosla_dianthera",139.0485,36.653479
"93655","Mosla_dianthera",138.772778,36.484722
"93681","Mosla_dianthera",139.010556,37.222778
"93682","Mosla_dianthera",139.017222,36.813889
"93725","Mosla_dianthera",138.9,36.3
"93745","Mosla_dianthera",139.102222,36.713333
"95137","Mosla_dianthera",120.751111,23.080833
"95155","Mosla_dianthera",121.55,24.766667
"95159","Mosla_dianthera",121.573889,24.849444
"95178","Mosla_dianthera",109.716667,30.016667
"95202","Mosla_dianthera",121.683333,24.6
"95295","Mosla_dianthera",120.65,22.716667
"95300","Mosla_dianthera",121.55,24.866667
"95369","Mosla_dianthera",121.7,24.933333
"95435","Mosla_dianthera",121.536111,25.159722
"96229","Mosla_dianthera",110.871148,30.222233
"96230","Mosla_dianthera",109.815677,32.089392
"96231","Mosla_dianthera",114.963104,29.326488
"96232","Mosla_dianthera",114.447552,28.10455
"132680","Mosla_dianthera",127.7895,34.70277
"132681","Mosla_dianthera",126.90153,36.74408
"136034","Mosla_dianthera",139.4437,35.5903
"136081","Mosla_dianthera",139.282984,35.618756
"151112","Mosla_dianthera",108.736,30.6661
"152432","Mosla_dianthera",124.07,40.45
"152496","Mosla_dianthera",115.18,23.63
"152625","Mosla_dianthera",110.57,24.13
"152640","Mosla_dianthera",105.83,23.42
"152653","Mosla_dianthera",114.22,22.55
"153876","Mosla_dianthera",138.261437,36.222214
"153905","Mosla_dianthera",138.312403,36.495636
"153930","Mosla_dianthera",138.281858,36.289022
"153953","Mosla_dianthera",138.286533,36.256656
"154963","Mosla_dianthera",98.626111,28.011389
"155034","Mosla_dianthera",98.276703,27.689699
"155198","Mosla_dianthera",139.46481,35.61556
"155209","Mosla_dianthera",139.56351,35.58344
"155210","Mosla_dianthera",139.559299,35.610934
"155221","Mosla_dianthera",139.56482,35.62431
"155235","Mosla_dianthera",139.52226,35.58615
"155242","Mosla_dianthera",139.45747,35.61422
"155312","Mosla_dianthera",139.56378,35.62077
"155326","Mosla_dianthera",139.5623,35.60096
"172440","Mosla_dianthera",114.27,26.72
"172483","Mosla_dianthera",117.02,30.1
"172520","Mosla_dianthera",114.12,32.1
"172567","Mosla_dianthera",114.28,23.18
"177679","Mosla_dianthera",-83.76835,33.196483
"177793","Mosla_dianthera",-83.776067,33.192233
"177919","Mosla_dianthera",-83.769183,33.202783
"178099","Mosla_dianthera",116.21,40.02
"178108","Mosla_dianthera",114.05,22.54
"178114","Mosla_dianthera",114.41,29.01
"184102","Mosla_dianthera",98.663086,27.744303
"184354","Mosla_dianthera",98.666389,25.527781
"184422","Mosla_dianthera",98.620865,28.001444
"184474","Mosla_dianthera",98.69416,25.01667
"191215","Mosla_dianthera",136.96365,36.553085
"191231","Mosla_dianthera",137.216667,36.566667
"191240","Mosla_dianthera",137.133333,36.683333
"191243","Mosla_dianthera",137.083333,36.65
"191261","Mosla_dianthera",137.583333,36.866667
"191277","Mosla_dianthera",137.083333,36.633333
"191280","Mosla_dianthera",137.416667,36.566667
"191304","Mosla_dianthera",137.083333,36.616667
"191316","Mosla_dianthera",130.56439,31.23322
"191317","Mosla_dianthera",136.816667,36.483333
"191334","Mosla_dianthera",137.066667,36.616667
"191335","Mosla_dianthera",137.383333,36.65
"191339","Mosla_dianthera",136.816667,36.683333
"191354","Mosla_dianthera",137.433333,36.566667
"191370","Mosla_dianthera",137.1,36.65
"191375","Mosla_dianthera",137.166667,36.55
"191395","Mosla_dianthera",137.083333,36.683333
"191409","Mosla_dianthera",137.316667,36.55
"191411","Mosla_dianthera",137.06708,36.73572
"191417","Mosla_dianthera",137.35,36.6
"191418","Mosla_dianthera",136.816667,36.533333
"191444","Mosla_dianthera",136.85,36.55
"191445","Mosla_dianthera",137.466667,36.733333
"191451","Mosla_dianthera",137.2,36.533333
"191475","Mosla_dianthera",136.983333,36.533333
"191504","Mosla_dianthera",136.95,36.75
"191521","Mosla_dianthera",136.883333,36.833333
"191561","Mosla_dianthera",136.966667,36.45
"191569","Mosla_dianthera",137.15,36.5
"191573","Mosla_dianthera",137.25,36.65
"191584","Mosla_dianthera",137.016667,36.666667
"191605","Mosla_dianthera",137.366667,36.683333
"191675","Mosla_dianthera",137.228869,36.476894
"191706","Mosla_dianthera",137.033333,36.766667
"191719","Mosla_dianthera",137.016667,36.466667
"191735","Mosla_dianthera",136.883333,36.583333
"191746","Mosla_dianthera",137.3,36.6
"191750","Mosla_dianthera",137.066667,36.466667
"191751","Mosla_dianthera",137.616667,36.966667
"191758","Mosla_dianthera",137.033333,36.616667
"206883","Mosla_dianthera",103.68,19.99
"209786","Mosla_dianthera",139.153078,35.315772
"209832","Mosla_dianthera",140.12381,39.15396
"209852","Mosla_dianthera",139.115584,35.282443
"209899","Mosla_dianthera",137.5,35.45
"209902","Mosla_dianthera",139.128074,35.64073
"209908","Mosla_dianthera",139.660638,36.398424
"209917","Mosla_dianthera",133.215675,33.272172
"209926","Mosla_dianthera",139.49128,35.382662
"209927","Mosla_dianthera",138.944582,34.846563
"209936","Mosla_dianthera",136.03967,35.51344
"209946","Mosla_dianthera",139.278064,35.565745
"209953","Mosla_dianthera",139.390554,35.357438
"209962","Mosla_dianthera",139.178074,35.365766
"209997","Mosla_dianthera",138.978101,35.232444
"210007","Mosla_dianthera",137.928211,34.707484
"210040","Mosla_dianthera",139.078084,35.349098
"210052","Mosla_dianthera",139.799167,36.7
"210056","Mosla_dianthera",139.076835,35.329656
"210066","Mosla_dianthera",138.990594,35.407423
"210081","Mosla_dianthera",140.327977,35.407447
"210134","Mosla_dianthera",140.21549,35.207473
"210150","Mosla_dianthera",139.128084,35.257447
"210195","Mosla_dianthera",139.07545,35.221338
"210208","Mosla_dianthera",140.118664,36.229598
"210276","Mosla_dianthera",139.990508,35.2408
"210284","Mosla_dianthera",137.890688,35.674031
"210374","Mosla_dianthera",140.87285,38.23555
"210389","Mosla_dianthera",139.140578,35.332436
"210427","Mosla_dianthera",139.165571,35.615734
"210442","Mosla_dianthera",139.178074,35.424092
"210453","Mosla_dianthera",139.140574,35.590737
"210461","Mosla_dianthera",139.653143,36.240665
"210472","Mosla_dianthera",140.106746,36.225368
"210474","Mosla_dianthera",133.187509,33.234255
