"","species","lon","lat"
"1","Myriophyllum_spicatum",10.9154,53.6485
"2","Myriophyllum_spicatum",10.9154,53.5485
"3","Myriophyllum_spicatum",11.7486,53.7485
"4","Myriophyllum_spicatum",12.9151,53.2485
"5","Myriophyllum_spicatum",12.2485,53.6485
"6","Myriophyllum_spicatum",11.582,53.3485
"7","Myriophyllum_spicatum",11.4153,53.4485
"8","Myriophyllum_spicatum",-123.387733,46.173967
"9","Myriophyllum_spicatum",-123.142102,45.613072
"10","Myriophyllum_spicatum",-124.001497,44.001058
"11","Myriophyllum_spicatum",-119.987565,46.957181
"12","Myriophyllum_spicatum",-123.18285,46.128733
"13","Myriophyllum_spicatum",-123.175133,46.133333
"14","Myriophyllum_spicatum",-122.76065,45.808133
"15","Myriophyllum_spicatum",-123.2074,46.128517
"16","Myriophyllum_spicatum",-122.492033,45.555383
"17","Myriophyllum_spicatum",10.85,48.13
"18","Myriophyllum_spicatum",17.12,61.72
"19","Myriophyllum_spicatum",18.32,59.8
"20","Myriophyllum_spicatum",12.7917,48.075
"21","Myriophyllum_spicatum",12.67833,52.52222
"22","Myriophyllum_spicatum",13.22083,52.59444
"23","Myriophyllum_spicatum",9.66,47.55944
"24","Myriophyllum_spicatum",139.38125,35.5375
"25","Myriophyllum_spicatum",24.851942,60.211602
"26","Myriophyllum_spicatum",23.642703,60.086473
"27","Myriophyllum_spicatum",-112.06392,34.90297
"28","Myriophyllum_spicatum",-121.488889,39.347778
"29","Myriophyllum_spicatum",-120.50414,35.33543
"30","Myriophyllum_spicatum",-120.51258,35.34811
"31","Myriophyllum_spicatum",98.915556,8.927222
"32","Myriophyllum_spicatum",-85.5833,30.3119
"33","Myriophyllum_spicatum",44.73472,41.83666
"34","Myriophyllum_spicatum",11.4283,59.0653
"35","Myriophyllum_spicatum",5.6235171,58.796363
"36","Myriophyllum_spicatum",10.4653291,59.8197522
"37","Myriophyllum_spicatum",10.3671,59.8098
"38","Myriophyllum_spicatum",-3.99,38.16
"39","Myriophyllum_spicatum",98.632778,25.363333
"40","Myriophyllum_spicatum",-85.565189,30.328437
"41","Myriophyllum_spicatum",-88.42861,47.25833
"42","Myriophyllum_spicatum",-89.28368,46.22581
"43","Myriophyllum_spicatum",10.37,47.62
"44","Myriophyllum_spicatum",12.29,48.97
"45","Myriophyllum_spicatum",10.12,50.07
"46","Myriophyllum_spicatum",-79.02309,44.587186
"47","Myriophyllum_spicatum",20.79611,41.11167
"48","Myriophyllum_spicatum",13.73778,45.3575
"49","Myriophyllum_spicatum",13.88111,47.63806
"50","Myriophyllum_spicatum",13.82889,45.35222
"51","Myriophyllum_spicatum",22.27417,41.84833
"52","Myriophyllum_spicatum",20.94306,40.93694
"53","Myriophyllum_spicatum",13.44111,46.62333
"54","Myriophyllum_spicatum",44.15361,40.13972
"55","Myriophyllum_spicatum",16.35361,48.295
"56","Myriophyllum_spicatum",13.86194,46.28556
"57","Myriophyllum_spicatum",13.67583,47.55389
"58","Myriophyllum_spicatum",14.02417,45.08278
"59","Myriophyllum_spicatum",16.43056,48.13167
"60","Myriophyllum_spicatum",16.71806,48.26639
"61","Myriophyllum_spicatum",44.32778,41.04167
"62","Myriophyllum_spicatum",10.7,48.84
"63","Myriophyllum_spicatum",10.29,47.52
"64","Myriophyllum_spicatum",10.29,47.87
"65","Myriophyllum_spicatum",10.78,48.66
"66","Myriophyllum_spicatum",12.12,48.82
"67","Myriophyllum_spicatum",10.37,47.67
"68","Myriophyllum_spicatum",10.46,48.07
"69","Myriophyllum_spicatum",138.6047,35.4906
"70","Myriophyllum_spicatum",136.193,35.446
"71","Myriophyllum_spicatum",138.9912,36.2336
"72","Myriophyllum_spicatum",139.8,35.8
"73","Myriophyllum_spicatum",135.2914,34.0906
"74","Myriophyllum_spicatum",141.3312,40.7287
"75","Myriophyllum_spicatum",141.304,40.8012
"76","Myriophyllum_spicatum",20.533333,39.25
"77","Myriophyllum_spicatum",15.73372,56.18396
"78","Myriophyllum_spicatum",13.95407,58.55871
"79","Myriophyllum_spicatum",-122.644167,49.271528
"80","Myriophyllum_spicatum",-118.996667,50.839444
"81","Myriophyllum_spicatum",142.724067,54.0613
"82","Myriophyllum_spicatum",-123.111111,49.106944
"83","Myriophyllum_spicatum",-123.10183,49.27788
"84","Myriophyllum_spicatum",15.73371,56.18395
"85","Myriophyllum_spicatum",-74.316667,45.516667
"86","Myriophyllum_spicatum",-72.25,45.166667
"87","Myriophyllum_spicatum",-121.492561,39.344339
"88","Myriophyllum_spicatum",-116.9306,32.9172
"89","Myriophyllum_spicatum",-123.57057,42.25837
"90","Myriophyllum_spicatum",-123.147,45.611
"91","Myriophyllum_spicatum",15.385,67.4141
"92","Myriophyllum_spicatum",13.6263,66.7529
"93","Myriophyllum_spicatum",8.81506,61.47892
"94","Myriophyllum_spicatum",41.69186,42.11081
"95","Myriophyllum_spicatum",15.254,50.41872
"96","Myriophyllum_spicatum",13.20164,50.20139
"97","Myriophyllum_spicatum",13.24483,50.27019
"98","Myriophyllum_spicatum",13.34844,50.23206
"99","Myriophyllum_spicatum",13.05401,50.33889
"100","Myriophyllum_spicatum",10.8949,45.94889
"101","Myriophyllum_spicatum",14.29845,49.11861
"102","Myriophyllum_spicatum",8.66707,52.18639
"103","Myriophyllum_spicatum",4.65195,51.33889
"104","Myriophyllum_spicatum",10.44252,52.18639
"105","Myriophyllum_spicatum",4.56313,51.28806
"106","Myriophyllum_spicatum",4.99228,51.35583
"107","Myriophyllum_spicatum",5.16576,51.22028
"108","Myriophyllum_spicatum",14.22029,49.06778
"109","Myriophyllum_spicatum",15.46516,48.96583
"110","Myriophyllum_spicatum",14.44385,49.20333
"111","Myriophyllum_spicatum",23.58184,54.11861
"112","Myriophyllum_spicatum",23.45631,54.11861
"113","Myriophyllum_spicatum",20.09243,47.74556
"114","Myriophyllum_spicatum",18.54386,63.10167
"115","Myriophyllum_spicatum",16.03058,50.1525
"116","Myriophyllum_spicatum",12.24537,47.89806
"117","Myriophyllum_spicatum",16.05409,50.1525
"118","Myriophyllum_spicatum",11.47006,47.84722
"119","Myriophyllum_spicatum",11.64544,47.84722
"120","Myriophyllum_spicatum",11.31946,47.79639
"121","Myriophyllum_spicatum",11.32212,47.79639
"122","Myriophyllum_spicatum",11.19592,48.06778
"123","Myriophyllum_spicatum",11.26643,47.84722
"124","Myriophyllum_spicatum",12.44584,47.96583
"125","Myriophyllum_spicatum",22.38324,53.83028
"126","Myriophyllum_spicatum",18.87806,49.16944
"127","Myriophyllum_spicatum",14.07519,50.52528
"128","Myriophyllum_spicatum",19.42662,49.96583
"129","Myriophyllum_spicatum",17.04361,48.79361
"130","Myriophyllum_spicatum",17.4,48.2
"131","Myriophyllum_spicatum",13.3781,49.79639
"132","Myriophyllum_spicatum",15.08925,50.1525
"133","Myriophyllum_spicatum",13.30458,48.38972
"134","Myriophyllum_spicatum",22.38261,53.93194
"135","Myriophyllum_spicatum",23.62725,54.37278
"136","Myriophyllum_spicatum",21.8288,53.98278
"137","Myriophyllum_spicatum",21.02432,52.4575
"138","Myriophyllum_spicatum",23.10284,54.06778
"139","Myriophyllum_spicatum",17.21444,49.57639
"140","Myriophyllum_spicatum",13.94553,50.10167
"141","Myriophyllum_spicatum",14.72269,50.61
"142","Myriophyllum_spicatum",14.13364,49.94889
"143","Myriophyllum_spicatum",14.17465,49.7625
"144","Myriophyllum_spicatum",14.75124,50.61
"145","Myriophyllum_spicatum",14.73639,50.57611
"146","Myriophyllum_spicatum",13.80643,47.915
"147","Myriophyllum_spicatum",13.23237,48.27111
"148","Myriophyllum_spicatum",13.26618,48.28806
"149","Myriophyllum_spicatum",13.1728,48.20333
"150","Myriophyllum_spicatum",13.16188,48.27111
"151","Myriophyllum_spicatum",13.20667,47.93194
"152","Myriophyllum_spicatum",13.12092,48
"153","Myriophyllum_spicatum",13.44987,47.81333
"154","Myriophyllum_spicatum",16.89777,49.06778
"155","Myriophyllum_spicatum",15.96433,50.18639
"156","Myriophyllum_spicatum",15.71778,50.10167
"157","Myriophyllum_spicatum",13.38131,49.79639
"158","Myriophyllum_spicatum",-3.82353,55.57611
"159","Myriophyllum_spicatum",-4.20191,55.86417
"160","Myriophyllum_spicatum",22.00897,48.81333
"161","Myriophyllum_spicatum",14.29358,49.89806
"162","Myriophyllum_spicatum",15.54222,50.15972
"163","Myriophyllum_spicatum",15.37194,50.48278
"164","Myriophyllum_spicatum",16.33111,49.67056
"165","Myriophyllum_spicatum",14.23417,49.80694
"166","Myriophyllum_spicatum",15.04556,50.10278
"167","Myriophyllum_spicatum",17.01667,48.4
"168","Myriophyllum_spicatum",18.06667,47.78333
"169","Myriophyllum_spicatum",17.18333,48.18333
"170","Myriophyllum_spicatum",17.86667,48.06667
"171","Myriophyllum_spicatum",16.95,48.48333
"172","Myriophyllum_spicatum",18.00611,47.84222
"173","Myriophyllum_spicatum",18.54917,49.83694
"174","Myriophyllum_spicatum",14.47639,50.32833
"175","Myriophyllum_spicatum",18.54556,49.83917
"176","Myriophyllum_spicatum",14.00889,50.12639
"177","Myriophyllum_spicatum",14.47639,50.32861
"178","Myriophyllum_spicatum",16.05583,49.08028
"179","Myriophyllum_spicatum",14.4025,50.00306
"180","Myriophyllum_spicatum",14.61444,50.09861
