"","species","lon","lat"
"84149","Mysis_relicta",26.879683,62.487706
"134633","Mysis_relicta",37.8253,60.4365
"134634","Mysis_relicta",37.8227,60.4338
"169111","Mysis_relicta",18.14248,59.31476
"169113","Mysis_relicta",18.1678,59.326
"169118","Mysis_relicta",17.68432,59.05541
"169129","Mysis_relicta",17.6833,59.05565
"169136","Mysis_relicta",17.72548,58.95619
"169139","Mysis_relicta",18.16387,59.32489
"169144","Mysis_relicta",18.1622,59.32615
"169150","Mysis_relicta",18.09844,59.38706
"169151","Mysis_relicta",18.14496,59.31976
"169153","Mysis_relicta",17.7362,59.0491
"214193","Mysis_relicta",-88.842,48.054
"216173","Mysis_relicta",17.44578,60.84567
"216175","Mysis_relicta",17.35217,61.072
"216183","Mysis_relicta",17.28943,60.95017
"216202","Mysis_relicta",22.43187,65.7759
"216365","Mysis_relicta",26.066666,55.283333
"216367","Mysis_relicta",26.066666,55.333333
"216368","Mysis_relicta",25.5228,65.0222
"216369","Mysis_relicta",52.756944,67.929444
"216370","Mysis_relicta",33.966666,62.183333
"216371","Mysis_relicta",52.822777,67.944722
"216372","Mysis_relicta",53.545555,68.326666
"216374","Mysis_relicta",38.25,62
"216376","Mysis_relicta",25.45,61.14
"216377","Mysis_relicta",23.345434,59.908457
"216378","Mysis_relicta",27.22,67.06
"216379","Mysis_relicta",33.816666,62.233333
"216380","Mysis_relicta",30.78,61.6
"216381","Mysis_relicta",30.95,61.39
"216394","Mysis_relicta",10.95,63.23
"257668","Mysis_relicta",10.989453,63.241094
"257669","Mysis_relicta",10.548733,63.387501
"257683","Mysis_relicta",11.890844,64.171568
"257692","Mysis_relicta",12.166212,64.217589
"257693","Mysis_relicta",11.607408,64.111147
"257698","Mysis_relicta",10.915861,63.238217
"257715","Mysis_relicta",10.585793,63.370039
"257720","Mysis_relicta",11.722369,64.131492
"305364","Mysis_relicta",11.045273,63.245896
"305368","Mysis_relicta",11.072622,63.268423
"305398","Mysis_relicta",11.075264,63.243882
"305412","Mysis_relicta",11.078074,63.254436
"404252","Mysis_relicta",11.01347,63.22189
"404253","Mysis_relicta",11.05152,63.20165
"405168","Mysis_relicta",17.234,61.16839
"405169","Mysis_relicta",18.13733,59.32083
"405173","Mysis_relicta",17.42352,62.4885
"405176","Mysis_relicta",17.85707,62.91823
"405177","Mysis_relicta",18.7065,63.15433
"405178","Mysis_relicta",18.4208,63.04233
"405179","Mysis_relicta",18.2925,63.0035
"405183","Mysis_relicta",18.50733,63.06567
"405184","Mysis_relicta",18.64783,63.17067
"405185","Mysis_relicta",18.48355,63.0407
"405189","Mysis_relicta",16.51383,57.98867
"405190","Mysis_relicta",17.1403,61.39253
"405191","Mysis_relicta",18.66362,63.15433
"405195","Mysis_relicta",21.10233,64.82255
"405196","Mysis_relicta",18.51828,63.07405
"405198","Mysis_relicta",18.43127,63.0468
"405199","Mysis_relicta",17.62871,62.39985
"405200","Mysis_relicta",17.19737,61.62423
"405201","Mysis_relicta",18.61483,63.1725
"405208","Mysis_relicta",17.277,60.70533
"405209","Mysis_relicta",17.44878,62.49519
"405210","Mysis_relicta",17.44849,62.48349
"405212","Mysis_relicta",18.64533,63.12933
"405216","Mysis_relicta",16.59383,57.95
"405217","Mysis_relicta",17.39147,62.45191
"405221","Mysis_relicta",21.0765,64.8254
"405224","Mysis_relicta",18.34027,63.03463
"405226","Mysis_relicta",16.53767,57.96483
"405227","Mysis_relicta",17.83312,62.93761
"405229","Mysis_relicta",21.26923,64.64148
"405230","Mysis_relicta",18.70023,63.23678
"405232","Mysis_relicta",17.40759,62.35083
"405233","Mysis_relicta",17.26605,61.18777
"405235","Mysis_relicta",21.26958,64.64145
"405236","Mysis_relicta",17.17013,61.46405
"405238","Mysis_relicta",17.43315,62.48261
"405239","Mysis_relicta",17.17003,61.46405
"405241","Mysis_relicta",17.82673,62.9373
"405247","Mysis_relicta",17.11718,61.38998
"405249","Mysis_relicta",17.22397,61.19107
"405250","Mysis_relicta",17.19737,61.62424
"405252","Mysis_relicta",17.14012,61.3925
"405254","Mysis_relicta",17.82736,62.93741
"405255","Mysis_relicta",18.60198,63.15442
"405259","Mysis_relicta",18.53414,63.10939
"405260","Mysis_relicta",17.1877,61.207
"405261","Mysis_relicta",17.85156,62.93956
"405263","Mysis_relicta",18.34553,63.02283
"405266","Mysis_relicta",17.26606,61.18776
"405267","Mysis_relicta",17.3969,62.34763
"405268","Mysis_relicta",17.82674,62.93731
"405269","Mysis_relicta",17.85706,62.91823
"405270","Mysis_relicta",21.0394,64.82893
"405271","Mysis_relicta",17.27927,61.14352
"405273","Mysis_relicta",17.64187,62.40498
"405274","Mysis_relicta",17.82735,62.93742
"405278","Mysis_relicta",17.14012,61.39253
"405279","Mysis_relicta",17.35501,62.48671
"405280","Mysis_relicta",17.38542,62.35001
"405281","Mysis_relicta",17.83312,62.93762
"405285","Mysis_relicta",18.4409,63.02648
"405288","Mysis_relicta",18.181,59.33783
"405289","Mysis_relicta",17.4392,62.49876
"405290","Mysis_relicta",17.234,61.16838
"405293","Mysis_relicta",17.15158,61.20548
"405294","Mysis_relicta",17.62341,62.39758
"405295","Mysis_relicta",17.40561,62.39982
"405299","Mysis_relicta",18.60787,63.14532
"405302","Mysis_relicta",17.11713,61.39005
"405303","Mysis_relicta",17.14787,61.41063
"405304","Mysis_relicta",21.27345,64.67792
"405305","Mysis_relicta",18.63018,63.17523
"405307","Mysis_relicta",18.65987,63.23212
