"","species","lon","lat"
"1","Najas_marina",13.415,53.2485
"2","Najas_marina",12.0819,53.6485
"3","Najas_marina",12.9151,53.4485
"4","Najas_marina",12.4152,53.5485
"5","Najas_marina",12.2485,53.7485
"6","Najas_marina",12.2485,53.6485
"7","Najas_marina",12.9151,53.2485
"8","Najas_marina",12.5818,53.5485
"9","Najas_marina",13.0817,53.3485
"10","Najas_marina",12.4152,53.6485
"11","Najas_marina",13.125,47.925
"12","Najas_marina",11.13556,47.94083
"13","Najas_marina",116.66755,-31.4102
"14","Najas_marina",116.646889,-23.780472
"15","Najas_marina",-121.74444,37.61528
"16","Najas_marina",-121.036375,35.655174
"17","Najas_marina",-120.48944,35.32806
"18","Najas_marina",-120.8743,35.4498
"19","Najas_marina",-121.3968,36.8215
"20","Najas_marina",11.0142759,59.0426274
"21","Najas_marina",11.16,47.7
"22","Najas_marina",10.33,48.52
"23","Najas_marina",10.2,50.01
"24","Najas_marina",16.35361,48.295
"25","Najas_marina",20.76667,40.92472
"26","Najas_marina",20.94306,40.93694
"27","Najas_marina",16.62972,48.135
"28","Najas_marina",16.12056,48.18278
"29","Najas_marina",14.2525,46.61917
"30","Najas_marina",14.33444,48.32167
"31","Najas_marina",54.14,17.00639
"32","Najas_marina",55.626667,24.088333
"33","Najas_marina",10.46,49.01
"34","Najas_marina",10.2,49.97
"35","Najas_marina",141.3211,40.7738
"36","Najas_marina",141.2845,40.7379
"37","Najas_marina",141.2935,40.7283
"38","Najas_marina",141.2795,40.7417
"39","Najas_marina",141.3173,40.7748
"40","Najas_marina",141.304,40.8012
"41","Najas_marina",138.7476,35.5233
"42","Najas_marina",141.3509,40.8145
"43","Najas_marina",141.3083,40.8299
"44","Najas_marina",141.3471,40.8011
"45","Najas_marina",136.2,35.5
"46","Najas_marina",140.2,37.1
"47","Najas_marina",136.6875,35.125
"48","Najas_marina",141.2936,40.7213
"49","Najas_marina",141.3085,40.7914
"50","Najas_marina",141.3034,40.7173
"51","Najas_marina",141.2878,40.7512
"52","Najas_marina",141.326,40.7591
"53","Najas_marina",141.3465,40.7223
"54","Najas_marina",141.3722,40.7558
"55","Najas_marina",138.7495,35.5231
"56","Najas_marina",141.2906,40.7253
"57","Najas_marina",141.3502,40.8128
"58","Najas_marina",141.3295,40.7331
"59","Najas_marina",141.3664,40.8322
"60","Najas_marina",141.329,40.7282
"61","Najas_marina",141.2915,40.7261
"62","Najas_marina",141.3527,40.8317
"63","Najas_marina",141.3074,40.7914
"64","Najas_marina",141.3432,40.8017
"65","Najas_marina",141.318,40.7488
"66","Najas_marina",141.3101,40.8287
"67","Najas_marina",141.3286,40.7589
"68","Najas_marina",136.1,35.2
"69","Najas_marina",141.3312,40.7287
"70","Najas_marina",135.8,35
"71","Najas_marina",4.22583,48.10528
"72","Najas_marina",152.676051,-25.248411
"73","Najas_marina",-120.874306,35.449806
"74","Najas_marina",22.655902,63.70587
"75","Najas_marina",43.668889,-21.87
"76","Najas_marina",14.33083,50.44694
"77","Najas_marina",17.23339,49.65125
"78","Najas_marina",14.71478,49.07472
"79","Najas_marina",14.72056,49.06825
"80","Najas_marina",16.56722,48.89694
"81","Najas_marina",-100.071667,20.446111
"82","Najas_marina",-2.176,41.3847
"83","Najas_marina",-3.519,40.2965
"84","Najas_marina",-2.8628,38.937
"85","Najas_marina",-2.5482,42.8908
"86","Najas_marina",-0.4103,38.8002
"87","Najas_marina",23.697783,64.194825
"88","Najas_marina",23.064121,59.979876
"89","Najas_marina",23.704434,64.186705
"90","Najas_marina",25.217585,60.259951
"91","Najas_marina",23.699105,64.194792
"92","Najas_marina",21.459138,61.19964
"93","Najas_marina",-99.329128,18.732511
"94","Najas_marina",25.182971,60.232549
"95","Najas_marina",21.460712,61.190708
"96","Najas_marina",21.390834,60.823795
"97","Najas_marina",21.819666,63.291445
"98","Najas_marina",27.189199,60.546983
"99","Najas_marina",-114.905,32.035
"100","Najas_marina",12.4,55.73
"101","Najas_marina",-114.514858,34.764607
"102","Najas_marina",-114.429866,36.172459
"103","Najas_marina",18.12018,60.4286
"104","Najas_marina",-88.44552,44.67355
"105","Najas_marina",134.85001,34.849998
"106","Najas_marina",134.5,34.783298
"107","Najas_marina",134.83299,34.883301
"108","Najas_marina",134.883,34.916698
"109","Najas_marina",134.983,34.900002
"110","Najas_marina",134.867,34.916698
"111","Najas_marina",134.817,34.950001
"112","Najas_marina",-113.020614,31.943406
"113","Najas_marina",-0.06,38.86
"114","Najas_marina",-3.51,40.3
"115","Najas_marina",-2.47,43.03
"116","Najas_marina",11.29,47.84
"117","Najas_marina",12.955833,48.071667
"118","Najas_marina",13.088056,48.274723
"119","Najas_marina",13.200833,48.293335
"120","Najas_marina",13.360278,48.3425
"121","Najas_marina",13.109167,47.97111
"122","Najas_marina",11.34,47.95
"123","Najas_marina",41.783333,55.816667
"124","Najas_marina",43.39243,52.37864
"125","Najas_marina",39.319268,51.162089
"126","Najas_marina",44.264387,54.025848
"127","Najas_marina",42.540906,56.018391
"128","Najas_marina",43.831848,54.578807
"129","Najas_marina",42.2416,55.669817
"130","Najas_marina",31.789911,55.516138
"131","Najas_marina",4.81115,44.09904
"132","Najas_marina",5.394452,51.809124
"133","Najas_marina",5.598757,51.234276
"134","Najas_marina",99.9325,12.244167
"135","Najas_marina",100.15,7.733333
"136","Najas_marina",100.167778,7.785833
"137","Najas_marina",-114.905,32.035
"138","Najas_marina",8.26271,47.15052
"139","Najas_marina",116.170278,-21.738333
"140","Najas_marina",116.253611,-21.732778
"141","Najas_marina",116.57999,-31.30106
"142","Najas_marina",114.959718,-24.889553
"143","Najas_marina",-91.304481,18.465481
"144","Najas_marina",-3.337,36.6743
"145","Najas_marina",-5.873,36.8654
"146","Najas_marina",44.333,-23.55603
"147","Najas_marina",38.840472,55.069833
"148","Najas_marina",31.666667,55.5
"149","Najas_marina",37.871667,55.607517
"150","Najas_marina",37.805418,55.645401
"151","Najas_marina",31.666667,55.483333
"152","Najas_marina",37.670313,55.653952
"153","Najas_marina",37.594274,54.837561
"154","Najas_marina",37.6745,55.6509
"155","Najas_marina",37.777465,54.833062
"156","Najas_marina",82.133333,53.45
"157","Najas_marina",40.912009,54.168745
"158","Najas_marina",37.802149,44.680797
"159","Najas_marina",26.242044,54.873305
"160","Najas_marina",36.268507,51.898864
"161","Najas_marina",47.517519,46.191039
"162","Najas_marina",37.412691,52.354264
"163","Najas_marina",43.81642,54.14727
"164","Najas_marina",37.783267,55.6326
"165","Najas_marina",34.780412,51.475415
"166","Najas_marina",47.658878,46.302444
"167","Najas_marina",33.680556,44.522222
"168","Najas_marina",27.365733,60.499736
"169","Najas_marina",43.626111,-21.944444
"170","Najas_marina",5.611,51.949
"171","Najas_marina",42.272365,51.778518
"172","Najas_marina",42.055556,55.613889
"173","Najas_marina",37.671944,55.652222
"174","Najas_marina",42.110762,54.040137
"175","Najas_marina",33.633333,44.575
"176","Najas_marina",37.272406,45.24282
"177","Najas_marina",-88.00105,42.36705
"178","Najas_marina",-89.00041,43.00355
"179","Najas_marina",-41.5449,-22.22653
"180","Najas_marina",-94.53944,45.44527
"181","Najas_marina",-117.0525,33.16655
"182","Najas_marina",-114.48197,32.98991
"183","Najas_marina",-95.05805,45.25083
"184","Najas_marina",-111.03394,32.28572
"185","Najas_marina",-85.37527,42.29305
"186","Najas_marina",-111.00958,32.1805
"187","Najas_marina",-83.28722,42.75555
"188","Najas_marina",-111.53697,33.57383
"189","Najas_marina",-122.0126,37.57304
"190","Najas_marina",-95.0695,47.63961
"191","Najas_marina",-121.83827,37.66838
"192","Najas_marina",-109.70447,32.75466
"193","Najas_marina",-84.16502,44.29186
"194","Najas_marina",-41.52569,-22.22525
"195","Najas_marina",-114.37305,35.29722
"196","Najas_marina",-85.35675,42.31283
"197","Najas_marina",-41.62008,-22.21958
"198","Najas_marina",-113.36777,39.85805
"199","Najas_marina",-95.45402,45.64447
"200","Najas_marina",27.228498,60.549904
"201","Najas_marina",32.572211,46.598993
"202","Najas_marina",25.164932,60.232301
"203","Najas_marina",-116.8105,33.0519
"204","Najas_marina",-111.55,25.68333
"205","Najas_marina",-115.83167,33.50067
"206","Najas_marina",-114.90083,32.03639
"207","Najas_marina",-112.29083,26.63722
"208","Najas_marina",-117.01255,33.0073
"209","Najas_marina",-112.58333,26.33333
"210","Najas_marina",-117.05049,33.17929
"211","Najas_marina",-116.77472,32.78333
"212","Najas_marina",-116.65097,32.68803
"213","Najas_marina",-88.931442,43.0646
"214","Najas_marina",13.22,48.3
"215","Najas_marina",-101.80943,30.45915
"216","Najas_marina",-101.80836,30.45978
"217","Najas_marina",-101.79483,30.46656
"218","Najas_marina",23.714257,64.182904
"219","Najas_marina",21.513815,60.671093
"220","Najas_marina",150.115,-36.0933
"221","Najas_marina",132.6756,-23.6886
"222","Najas_marina",25.200026,60.250737
"223","Najas_marina",21.479218,61.191464
"224","Najas_marina",21.437467,61.216742
"225","Najas_marina",132.906667,-24.305833
"226","Najas_marina",132.6774,-23.7087
"227","Najas_marina",133.278889,-24.533889
"228","Najas_marina",132.344167,-24.261389
"229","Najas_marina",21.430149,60.730608
"230","Najas_marina",21.51845,60.660039
"231","Najas_marina",26.860534,60.478273
"232","Najas_marina",8.80149,47.59518
"233","Najas_marina",22.898672,63.847769
"234","Najas_marina",21.588164,60.665132
"235","Najas_marina",23.712133,64.200815
"236","Najas_marina",25.218072,60.25098
"237","Najas_marina",25.236122,60.251221
"238","Najas_marina",150.11565,-36.090105
"239","Najas_marina",5.607183,51.230467
"240","Najas_marina",4.329747,52.134457
"241","Najas_marina",13.12,47.99
"242","Najas_marina",13.14,47.99
"243","Najas_marina",13.1,47.97
"244","Najas_marina",13.09,47.98
"245","Najas_marina",13.14,47.98
"246","Najas_marina",12.87,47.99
"247","Najas_marina",13.11,48
"248","Najas_marina",13.12,47.98
"249","Najas_marina",13.2,47.93
"250","Najas_marina",13.08,47.95
"251","Najas_marina",13.15,47.99
"252","Najas_marina",13.1,47.99
"253","Najas_marina",13.07,47.95
"254","Najas_marina",13.1,47.98
"255","Najas_marina",13.15,47.91
"256","Najas_marina",13.07,47.94
"257","Najas_marina",13.08,47.98
"258","Najas_marina",13.09,47.95
"259","Najas_marina",12.88,47.98
"260","Najas_marina",13.17,47.92
"261","Najas_marina",-58.03333,-28.7
"262","Najas_marina",-115.83167,33.50056
"263","Najas_marina",-120.48944,35.32806
"264","Najas_marina",-114.1625,34.30083
"265","Najas_marina",13.2484,53.2485
"266","Najas_marina",11.582,53.3485
"267","Najas_marina",-38.281944,-7.945
"268","Najas_marina",39.37957,52.166408
"269","Najas_marina",34.147222,44.926111
"270","Najas_marina",37.09774,45.298196
"271","Najas_marina",37.191542,54.740636
"272","Najas_marina",77.583333,54.666667
"273","Najas_marina",41.485369,54.794802
"274","Najas_marina",50.275972,53.5445
"275","Najas_marina",31.816667,-25.876667
"276","Najas_marina",-114.1625,34.300833
"277","Najas_marina",10.18,49.97
"278","Najas_marina",10.24,50.01
"279","Najas_marina",-81.82633,38.414976
"280","Najas_marina",150.115833,-36.0925
"281","Najas_marina",-84.001917,42.363778
"282","Najas_marina",5.551333,45.465167
"283","Najas_marina",-41.593889,-22.254444
"284","Najas_marina",-37.611555,-8.07025
"285","Najas_marina",-103.720069,25.466956
"286","Najas_marina",25.024412,60.167436
"287","Najas_marina",23.696181,64.194438
"288","Najas_marina",22.871827,63.891927
"289","Najas_marina",16.433333,-28.566667
"290","Najas_marina",115.88,38.88
"291","Najas_marina",4.868197,52.176494
"292","Najas_marina",4.685414,51.718606
"293","Najas_marina",23.583333,58.55
"294","Najas_marina",26.416667,58.15
"295","Najas_marina",23.75,58.55
"296","Najas_marina",24.416667,58.25
"297","Najas_marina",24.416667,58.05
"298","Najas_marina",23.583333,58.95
"299","Najas_marina",4.771805,51.744592
"300","Najas_marina",13.329259,37.407538
"301","Najas_marina",30.746104,48.486962
"302","Najas_marina",-88.57038,42.77876
"303","Najas_marina",-85.79444,41.2781
"304","Najas_marina",-88.20911,43.22034
"305","Najas_marina",-88.91708,42.778
"306","Najas_marina",-88.22968,43.36814
"307","Najas_marina",-89.23956,44.62011
"308","Najas_marina",-88.43838,43.05342
"309","Najas_marina",-88.27167,42.70777
"310","Najas_marina",-85.77899,41.28232
"311","Najas_marina",-88.40091,44.80384
"312","Najas_marina",-88.56361,42.76254
"313","Najas_marina",-88.43524,43.08246
"314","Najas_marina",-88.56979,42.77002
"315","Najas_marina",8.541834,47.336711
"316","Najas_marina",8.500088,47.434489
