"","species","lon","lat"
"35024","Neogobius_fluviatilis",46.1528,48.0676
"44733","Neogobius_fluviatilis",47.970001,46.459999
"44760","Neogobius_fluviatilis",49.380001,55.290001
"60459","Neogobius_fluviatilis",17.493601,46.7192
"70881","Neogobius_fluviatilis",46.150002,50.279999
"81583","Neogobius_fluviatilis",47.9747,46.3022
"93777","Neogobius_fluviatilis",6.348,51.766
"94326","Neogobius_fluviatilis",46.1496,50.2773
"96895","Neogobius_fluviatilis",22.596808,44.6209
"96918","Neogobius_fluviatilis",20.110242,45.569897
"96968","Neogobius_fluviatilis",22.407942,44.689314
"96969","Neogobius_fluviatilis",21.317264,44.832844
"96972","Neogobius_fluviatilis",18.930064,45.543614
"96973","Neogobius_fluviatilis",19.081644,45.527133
"96989","Neogobius_fluviatilis",20.706386,44.724614
"97000","Neogobius_fluviatilis",20.413694,44.788083
"97036","Neogobius_fluviatilis",21.529914,44.756139
"97047","Neogobius_fluviatilis",22.22655,43.812664
"97052","Neogobius_fluviatilis",21.331056,43.977861
"97057","Neogobius_fluviatilis",20.059428,44.688736
"97129","Neogobius_fluviatilis",20.264639,44.660556
"97204","Neogobius_fluviatilis",19.709172,44.762694
"97213","Neogobius_fluviatilis",20.219006,44.653403
"97222","Neogobius_fluviatilis",19.1951,45.55755
"137536","Neogobius_fluviatilis",44.66,48.869999
"152013","Neogobius_fluviatilis",18.848,47.819
"153591","Neogobius_fluviatilis",47.939999,52.130001
"153602","Neogobius_fluviatilis",46.150002,48.07
"158268","Neogobius_fluviatilis",6.35,51.77
"169631","Neogobius_fluviatilis",47.970001,46.299999
"191891","Neogobius_fluviatilis",6.34777,51.7661
"213887","Neogobius_fluviatilis",30.217436,50.39652
"213888","Neogobius_fluviatilis",31.424461,49.641679
"213889","Neogobius_fluviatilis",31.290839,49.411768
"213890","Neogobius_fluviatilis",31.27187,49.41272
"213891","Neogobius_fluviatilis",30.057332,49.80384
"213892","Neogobius_fluviatilis",30.463894,49.660908
"213893","Neogobius_fluviatilis",30.59312,49.649103
"213894","Neogobius_fluviatilis",31.444213,49.616682
"213895","Neogobius_fluviatilis",31.289181,49.703297
"213896","Neogobius_fluviatilis",29.951959,49.763173
"213897","Neogobius_fluviatilis",30.023667,49.778162
"213898","Neogobius_fluviatilis",30.067802,49.808716
"213905","Neogobius_fluviatilis",30.339533,50.712861
"213906","Neogobius_fluviatilis",29.619377,45.405058
"213910","Neogobius_fluviatilis",29.587458,50.712505
"213911","Neogobius_fluviatilis",29.910157,50.622886
"213912","Neogobius_fluviatilis",30.754045,50.754148
