"","species","lon","lat"
"12494","Nothoscordum_bivalve",-83.604,32.8431
"12530","Nothoscordum_bivalve",-83.504937,33.817602
"12561","Nothoscordum_bivalve",-81.503598,32.937533
"12574","Nothoscordum_bivalve",-91.860951,32.748455
"12589","Nothoscordum_bivalve",-79.9898,33.5614
"12794","Nothoscordum_bivalve",-80.861166,33.23172
"12850","Nothoscordum_bivalve",-80.5318,34.5395
"12921","Nothoscordum_bivalve",-81.197973,34.058927
"13040","Nothoscordum_bivalve",-80.5416,34.6734
"13121","Nothoscordum_bivalve",-82.8022,34.9463
"13483","Nothoscordum_bivalve",-97.58958,16.89775
"19530","Nothoscordum_bivalve",-83.0583,30.4333
"19823","Nothoscordum_bivalve",-91.365192,38.772225
"27350","Nothoscordum_bivalve",-81.863333,33.309722
"27467","Nothoscordum_bivalve",-91.115,36.60666
"27475","Nothoscordum_bivalve",-91.445833,37.3225
"27504","Nothoscordum_bivalve",-90.703214,37.683274
"27557","Nothoscordum_bivalve",-90.8214,38.6267
"27954","Nothoscordum_bivalve",-94.186506,30.179378
"27987","Nothoscordum_bivalve",-110.9022,33.8978
"35199","Nothoscordum_bivalve",-90.28444,37.02666
"35476","Nothoscordum_bivalve",-94.1909,32.6908
"35522","Nothoscordum_bivalve",-90.829178,38.461898
"37140","Nothoscordum_bivalve",-92.314142,34.916068
"39023","Nothoscordum_bivalve",-97.566667,16.833333
"39064","Nothoscordum_bivalve",-90.146944,38.026945
"39117","Nothoscordum_bivalve",-93.30222,36.66555
"39241","Nothoscordum_bivalve",-90.142308,38.023453
"39279","Nothoscordum_bivalve",-94.2881,36.6272
"39283","Nothoscordum_bivalve",-82.7239,29.4016
"39421","Nothoscordum_bivalve",-90.636111,38.5325
"39475","Nothoscordum_bivalve",-92.22277,37.11
"39599","Nothoscordum_bivalve",-84.9408,30.7528
"40165","Nothoscordum_bivalve",-94.110679,34.744699
"40166","Nothoscordum_bivalve",-94.646522,37.183307
"44911","Nothoscordum_bivalve",-49.544722,-28.276944
"44915","Nothoscordum_bivalve",-55.569722,-30.74
"44927","Nothoscordum_bivalve",-51.907778,-26.368333
"44928","Nothoscordum_bivalve",-51.982778,-26.385556
"44930","Nothoscordum_bivalve",-51.585556,-26.513056
"49615","Nothoscordum_bivalve",-94.434,29.674
"53334","Nothoscordum_bivalve",-97.553,19.9409
"53719","Nothoscordum_bivalve",-111.493222,33.912194
"54761","Nothoscordum_bivalve",-81.863333,33.309722
"54762","Nothoscordum_bivalve",-80.851944,32.666944
"54766","Nothoscordum_bivalve",-82.820006,34.959358
"61809","Nothoscordum_bivalve",-103.8875,29.666667
"61810","Nothoscordum_bivalve",-104.797222,31.911111
"61915","Nothoscordum_bivalve",-104.6965,32.1999
"61953","Nothoscordum_bivalve",-99.017308,29.717904
"64152","Nothoscordum_bivalve",-85.3433,32.969917
"64153","Nothoscordum_bivalve",-85.240417,31.713972
"64154","Nothoscordum_bivalve",-85.658607,31.454721
"64155","Nothoscordum_bivalve",-86.711388,33.021389
"64156","Nothoscordum_bivalve",-85.498967,32.526483
"64157","Nothoscordum_bivalve",-86.71552,31.18407
"64158","Nothoscordum_bivalve",-86.646307,34.65965
"64159","Nothoscordum_bivalve",-86.70395,31.18666
"64160","Nothoscordum_bivalve",-86.68125,31.1957
"64161","Nothoscordum_bivalve",-85.496307,32.536972
"64162","Nothoscordum_bivalve",-86.7159,31.18498
"70347","Nothoscordum_bivalve",-51.110556,-30.177778
"71499","Nothoscordum_bivalve",-97.9249,29.4962
"71500","Nothoscordum_bivalve",-97.924908,29.494543
"71508","Nothoscordum_bivalve",-98.17095,29.644083
"71546","Nothoscordum_bivalve",-97.98319,29.5705
"71550","Nothoscordum_bivalve",-97.976667,29.576067
"71568","Nothoscordum_bivalve",-97.97588,29.57394
"71575","Nothoscordum_bivalve",-97.92378,29.49546
"71597","Nothoscordum_bivalve",-98.128667,29.633833
"71598","Nothoscordum_bivalve",-97.92352,29.49623
"71649","Nothoscordum_bivalve",-97.936567,29.588533
"71658","Nothoscordum_bivalve",-97.93475,29.590733
"71659","Nothoscordum_bivalve",-97.986933,29.587867
"71669","Nothoscordum_bivalve",-97.82783,29.57251
"71672","Nothoscordum_bivalve",-97.978265,29.57181
"71711","Nothoscordum_bivalve",-97.975283,29.572867
"71738","Nothoscordum_bivalve",-98.17456,29.64271
"71764","Nothoscordum_bivalve",-97.98521,29.41439
"71955","Nothoscordum_bivalve",-51.158056,-30.09
"71959","Nothoscordum_bivalve",-51.023056,-30.066389
"72039","Nothoscordum_bivalve",-51.073333,-30.093889
"72069","Nothoscordum_bivalve",-50.003056,-28.835278
"76757","Nothoscordum_bivalve",-110.868,33.8491
"76867","Nothoscordum_bivalve",-110.92,33.9354
"76971","Nothoscordum_bivalve",-110.92,33.7629
"77107","Nothoscordum_bivalve",-111.442,33.9172
"77191","Nothoscordum_bivalve",-111.85,33.9625
"77193","Nothoscordum_bivalve",-98.8138,29.4843
"77450","Nothoscordum_bivalve",-110.90224,31.58394
"77856","Nothoscordum_bivalve",-111.022,33.7485
"77883","Nothoscordum_bivalve",-111.836,33.9617
"77994","Nothoscordum_bivalve",-111.866,33.9711
"79136","Nothoscordum_bivalve",-97.237893,32.861883
"79161","Nothoscordum_bivalve",-97.618639,30.188931
"83920","Nothoscordum_bivalve",-100.374267,25.083333
"83992","Nothoscordum_bivalve",-99.765167,24.162956
"84041","Nothoscordum_bivalve",-98.25245,23.078875
"84074","Nothoscordum_bivalve",-99.860114,24.11595
"84091","Nothoscordum_bivalve",-100.943817,25.349656
"89516","Nothoscordum_bivalve",-113.01556,27.59389
"91285","Nothoscordum_bivalve",-110,23.65
"91440","Nothoscordum_bivalve",-112.43639,26.89778
