"","species","lon","lat"
"19551","Nymphaea_lotus",47.147222,-24.769722
"19850","Nymphaea_lotus",9.496973,-0.617691
"20874","Nymphaea_lotus",9.866667,-1.95
"20926","Nymphaea_lotus",9.65,4.966667
"20966","Nymphaea_lotus",-8.770333,5.418167
"27542","Nymphaea_lotus",48.248889,-18.451111
"34502","Nymphaea_lotus",2.707167,6.474667
"34627","Nymphaea_lotus",10.416667,1.541667
"34969","Nymphaea_lotus",-11.351833,6.873667
"34972","Nymphaea_lotus",10.527778,-0.834167
"35290","Nymphaea_lotus",-85.569444,12.526945
"37008","Nymphaea_lotus",-73.845167,7.16475
"37637","Nymphaea_lotus",2.25,7.033333
"39133","Nymphaea_lotus",10.501243,-0.81417
"39170","Nymphaea_lotus",48.685556,-13.590278
"39445","Nymphaea_lotus",-14.45475,10.224861
"39616","Nymphaea_lotus",46.856389,-19.825278
"39926","Nymphaea_lotus",45.013611,-20.403611
"50075","Nymphaea_lotus",46.856389,-19.825278
"50153","Nymphaea_lotus",10.501243,-0.81417
"50223","Nymphaea_lotus",10.16174,-0.8483
"55431","Nymphaea_lotus",-85.544,10.811
"55668","Nymphaea_lotus",0.982972,10.706349
"55675","Nymphaea_lotus",2.285263,7.188391
"55688","Nymphaea_lotus",2.148395,7.226411
"55705","Nymphaea_lotus",1.549412,11.0164
"55735","Nymphaea_lotus",1.236302,10.806376
"55747","Nymphaea_lotus",1.446415,10.930116
"55748","Nymphaea_lotus",1.229435,10.847179
"55788","Nymphaea_lotus",1.271707,10.707192
"55849","Nymphaea_lotus",0.97948,10.707709
"56067","Nymphaea_lotus",1.422425,11.147946
"56096","Nymphaea_lotus",1.037904,11.017895
"56414","Nymphaea_lotus",-0.283,14.35
"56421","Nymphaea_lotus",-12.25,12.533
"56422","Nymphaea_lotus",-0.283,14.366
"56423","Nymphaea_lotus",-16.266,16.383
"56424","Nymphaea_lotus",-12.966,13.283
"56425","Nymphaea_lotus",-13.016,13.3
"56426","Nymphaea_lotus",-16.083,16.3
"57068","Nymphaea_lotus",9.7286,1.7783
"65241","Nymphaea_lotus",-48.283333,-1.283333
"65416","Nymphaea_lotus",-40.226667,-12.222222
"65441","Nymphaea_lotus",-35.078611,-8.072222
"65449","Nymphaea_lotus",-40.563056,-4.556667
"67902","Nymphaea_lotus",-14.168367,13.31235
"67995","Nymphaea_lotus",9.338333,-0.376667
"68090","Nymphaea_lotus",9.368056,-1.999167
"68955","Nymphaea_lotus",-8.769999,5.418333
"69004","Nymphaea_lotus",23.725899,1.247799
"71010","Nymphaea_lotus",-5.033333,7.683333
"73289","Nymphaea_lotus",9.650833,4.951389
"93919","Nymphaea_lotus",9.496944,-0.617777
"93962","Nymphaea_lotus",2.4,6.716667
"117988","Nymphaea_lotus",-91.385784,30.867513
"122336","Nymphaea_lotus",-85.540001,10.81
"134881","Nymphaea_lotus",11.428333,3.879833
"134905","Nymphaea_lotus",9.370194,0.509306
"136352","Nymphaea_lotus",9.496973,-0.617691
"136412","Nymphaea_lotus",45.473611,-19.7075
"137338","Nymphaea_lotus",-38.283333,-12.516667
"143340","Nymphaea_lotus",12.61137,0.30076
"150466","Nymphaea_lotus",9.866667,-1.95
"155709","Nymphaea_lotus",12.4,7.483333
"157727","Nymphaea_lotus",146.6917,-19.3194
"161253","Nymphaea_lotus",47.089722,-20.196111
"161256","Nymphaea_lotus",-11.192459,6.650747
"161659","Nymphaea_lotus",44.318056,-23.565278
"161892","Nymphaea_lotus",48.296944,-18.867778
"165042","Nymphaea_lotus",-48.166667,-21.75
"172191","Nymphaea_lotus",2.6666,6.5333
"172192","Nymphaea_lotus",2.6166,9.35
"172194","Nymphaea_lotus",2.6166,6.3833
"172195","Nymphaea_lotus",2.7166,9.85
"172196","Nymphaea_lotus",2.5666,9.4166
"172198","Nymphaea_lotus",3.3833,11.8666
"176656","Nymphaea_lotus",12.61137,0.30076
"177065","Nymphaea_lotus",10.498567,-0.813933
"178032","Nymphaea_lotus",11.58,3.63
"183087","Nymphaea_lotus",-90.4092,30.23601
"183781","Nymphaea_lotus",-38.283333,-12.516667
"192037","Nymphaea_lotus",3.25,11.5
"192051","Nymphaea_lotus",3.25,11.1
"192054","Nymphaea_lotus",1.208545,10.54308
"192208","Nymphaea_lotus",3.250861,11.50338
"192217","Nymphaea_lotus",3.250623,11.10049
"192227","Nymphaea_lotus",1.2085,10.5423
"198502","Nymphaea_lotus",146.76,-19.3086
"203443","Nymphaea_lotus",-90.64364,30.23079
"206973","Nymphaea_lotus",9.85,-1.9
"232938","Nymphaea_lotus",-48.69,-27.81
"250281","Nymphaea_lotus",-14.45472,10.22472
"255985","Nymphaea_lotus",-10.484666,6.177166
"256006","Nymphaea_lotus",18.8,-5.033333
"263734","Nymphaea_lotus",14.9,0.6333
"264064","Nymphaea_lotus",-11.334999,6.698888
"283327","Nymphaea_lotus",3.375914,6.539792
"283381","Nymphaea_lotus",3.438929,6.978858
