"","species","lon","lat"
"176","Nymphaea_tetragona",26.403876,61.93179
"784","Nymphaea_tetragona",29.458523,64.683852
"1433","Nymphaea_tetragona",28.001115,63.229588
"1617","Nymphaea_tetragona",28.785922,62.728316
"1674","Nymphaea_tetragona",27.246075,60.962754
"2154","Nymphaea_tetragona",24.59341,61.857241
"2190","Nymphaea_tetragona",24.327221,61.421339
"3840","Nymphaea_tetragona",28.479521,64.409783
"3925","Nymphaea_tetragona",30.519075,62.659628
"4099","Nymphaea_tetragona",26.194823,61.651598
"4325","Nymphaea_tetragona",24.014609,60.570646
"4670","Nymphaea_tetragona",25.058281,63.50703
"4738","Nymphaea_tetragona",28.706629,61.688209
"5063","Nymphaea_tetragona",24.553179,61.407633
"5441","Nymphaea_tetragona",24.820374,61.349784
"5679","Nymphaea_tetragona",28.962986,62.743903
"6014","Nymphaea_tetragona",28.412695,61.458205
"6320","Nymphaea_tetragona",25.983457,61.766855
"6345","Nymphaea_tetragona",29.342923,62.845796
"6676","Nymphaea_tetragona",26.080286,61.695746
"6983","Nymphaea_tetragona",25.097566,62.991087
"7306","Nymphaea_tetragona",24.493392,61.918298
"8042","Nymphaea_tetragona",29.96734,62.609544
"8865","Nymphaea_tetragona",27.044662,62.138508
"10536","Nymphaea_tetragona",26.09772,62.036417
"10537","Nymphaea_tetragona",29.523755,64.934053
"10625","Nymphaea_tetragona",26.224773,62.710608
"12000","Nymphaea_tetragona",30.104202,62.426979
"15998","Nymphaea_tetragona",27.189102,60.69361
"16331","Nymphaea_tetragona",26.588158,63.277369
"16460","Nymphaea_tetragona",29.589982,62.751696
"18909","Nymphaea_tetragona",26.943024,65.161685
"19092","Nymphaea_tetragona",24.983193,63.147009
"19095","Nymphaea_tetragona",24.570491,61.4259
"19259","Nymphaea_tetragona",30.744188,63.118662
"28082","Nymphaea_tetragona",29.139578,63.558066
"28347","Nymphaea_tetragona",29.141033,63.845231
"28491","Nymphaea_tetragona",29.293309,62.460633
"28496","Nymphaea_tetragona",28.081437,61.640724
"28934","Nymphaea_tetragona",29.056374,62.679739
"29399","Nymphaea_tetragona",26.851462,66.273697
"29682","Nymphaea_tetragona",30.664855,62.575045
"29825","Nymphaea_tetragona",30.073319,63.442327
"29851","Nymphaea_tetragona",27.486931,61.621693
"30891","Nymphaea_tetragona",29.934848,64.523007
"31043","Nymphaea_tetragona",29.949507,64.764648
"31661","Nymphaea_tetragona",27.448526,61.508308
"32302","Nymphaea_tetragona",26.28195,63.572216
"32486","Nymphaea_tetragona",27.16149,60.662233
"33066","Nymphaea_tetragona",25.078354,63.5073
"34047","Nymphaea_tetragona",28.59075,62.371692
"34263","Nymphaea_tetragona",24.038815,62.088862
"34412","Nymphaea_tetragona",29.54233,64.906812
"34439","Nymphaea_tetragona",25.915452,62.618829
"36862","Nymphaea_tetragona",25.779833,60.473479
"36912","Nymphaea_tetragona",28.595386,63.565141
"55502","Nymphaea_tetragona",-140.694,62.24
"64644","Nymphaea_tetragona",104.658,51.4344
"64709","Nymphaea_tetragona",83.1905,53.5529
"64712","Nymphaea_tetragona",74.85,62.2166
"64774","Nymphaea_tetragona",97.28,50.42
"64800","Nymphaea_tetragona",81.0666,54.0666
"64829","Nymphaea_tetragona",82.1409,51.3548
"68382","Nymphaea_tetragona",126.316667,37.866667
"68824","Nymphaea_tetragona",-150.42593,60.99565
"68837","Nymphaea_tetragona",-150.435617,60.989681
"68852","Nymphaea_tetragona",-150.966,61.2416
"68877","Nymphaea_tetragona",-151.497507,66.885146
"74469","Nymphaea_tetragona",121.52,50.78
"74759","Nymphaea_tetragona",123.72,50.58
"75044","Nymphaea_tetragona",87.027146,54.756904
"75045","Nymphaea_tetragona",87.945194,55.874972
"75047","Nymphaea_tetragona",86.2159,56.5086
"78194","Nymphaea_tetragona",31.946111,61.657222
"78199","Nymphaea_tetragona",143.128889,51.835833
"78387","Nymphaea_tetragona",64.783333,59.883333
"78457","Nymphaea_tetragona",31.988333,61.655
"78463","Nymphaea_tetragona",130.801111,42.601389
"78650","Nymphaea_tetragona",150.607222,62.793889
"78651","Nymphaea_tetragona",89.022222,62.317222
"78716","Nymphaea_tetragona",56.9811,65.969067
"78720","Nymphaea_tetragona",129.727215,49.39952
"78808","Nymphaea_tetragona",34.880967,66.686767
"84104","Nymphaea_tetragona",28.620538,63.565754
"84130","Nymphaea_tetragona",27.592338,63.073223
"84170","Nymphaea_tetragona",25.909244,61.399818
"84213","Nymphaea_tetragona",28.383164,61.782516
"90182","Nymphaea_tetragona",-150.96645,61.24162
"93276","Nymphaea_tetragona",139.197222,36.915833
"93299","Nymphaea_tetragona",138.856944,36.668333
"93372","Nymphaea_tetragona",138.94,36.725556
"93713","Nymphaea_tetragona",138.9,36.3
"93757","Nymphaea_tetragona",139.213056,36.931389
"94012","Nymphaea_tetragona",27.429338,61.615157
"94019","Nymphaea_tetragona",27.584734,62.905547
"97291","Nymphaea_tetragona",27.369924,64.651329
"97333","Nymphaea_tetragona",25.059314,63.506596
"97384","Nymphaea_tetragona",27.439083,66.713458
"97493","Nymphaea_tetragona",29.139238,66.534919
"97544","Nymphaea_tetragona",27.59207,63.653534
"97592","Nymphaea_tetragona",29.141409,66.533992
"97672","Nymphaea_tetragona",29.000041,66.455121
"97748","Nymphaea_tetragona",29.142363,64.621914
"97759","Nymphaea_tetragona",29.062558,66.56017
"97802","Nymphaea_tetragona",27.797641,64.608379
"97835","Nymphaea_tetragona",24.208783,61.603488
"97845","Nymphaea_tetragona",29.948529,64.75569
"98069","Nymphaea_tetragona",27.162158,64.549449
"98092","Nymphaea_tetragona",29.139083,66.533127
"98134","Nymphaea_tetragona",26.139895,66.280803
"98231","Nymphaea_tetragona",24.236511,61.599113
"98238","Nymphaea_tetragona",24.745435,64.147293
"98348","Nymphaea_tetragona",29.138844,64.61703
"98399","Nymphaea_tetragona",25.098427,63.507569
"98411","Nymphaea_tetragona",29.13916,66.534023
"98496","Nymphaea_tetragona",26.109659,61.987588
"98513","Nymphaea_tetragona",24.21689,61.607694
