"","species","lon","lat"
"27059","Ophrys_insectifera",-2.5512287,42.6888786
"36134","Ophrys_insectifera",15.81357,47.53653
"36263","Ophrys_insectifera",13.655,47.41694
"36376","Ophrys_insectifera",14.06056,47.54222
"50318","Ophrys_insectifera",14.1162,67.1406
"54840","Ophrys_insectifera",10.79,47.77
"54887","Ophrys_insectifera",10.29,47.37
"54970","Ophrys_insectifera",10.37,47.47
"54984","Ophrys_insectifera",9.64,49.84
"55004","Ophrys_insectifera",10.71,47.72
"55147","Ophrys_insectifera",10.29,47.42
"55255","Ophrys_insectifera",10.46,47.62
"55272","Ophrys_insectifera",10.46,47.47
"55311","Ophrys_insectifera",9.96,47.62
"55596","Ophrys_insectifera",8.516353,47.285064
"57217","Ophrys_insectifera",-2.5202,40.1074
"57811","Ophrys_insectifera",2.22,41.86
"58118","Ophrys_insectifera",1.28,42.31
"58369","Ophrys_insectifera",0.99,42.48
"60663","Ophrys_insectifera",10.46,47.42
"60761","Ophrys_insectifera",10.29,47.52
"60909","Ophrys_insectifera",10.62,47.57
"61009","Ophrys_insectifera",10.28,50.48
"68420","Ophrys_insectifera",11.24,50.07
"68457","Ophrys_insectifera",11.62,49.6
"69039","Ophrys_insectifera",10.79,47.72
"69115","Ophrys_insectifera",10.54,47.62
"73854","Ophrys_insectifera",11.31,47.54
"73881","Ophrys_insectifera",11.52,49.44
"80933","Ophrys_insectifera",14.116667,47.866665
"81276","Ophrys_insectifera",14.17,47.85
"85152","Ophrys_insectifera",4.90051,46.5671
"86945","Ophrys_insectifera",-1.77,40.31
"87559","Ophrys_insectifera",-1.89,40.43
"87679","Ophrys_insectifera",-1.95,40.66
"94368","Ophrys_insectifera",13.912062,45.599718
"133740","Ophrys_insectifera",-0.919523,51.558905
"140281","Ophrys_insectifera",11.65,49.38
"140340","Ophrys_insectifera",10.37,47.52
"140663","Ophrys_insectifera",10.22,50.47
"144959","Ophrys_insectifera",13.23,47.28
"145738","Ophrys_insectifera",11.19,47.33
"146304","Ophrys_insectifera",13.21,47.88
"146763","Ophrys_insectifera",13.54,47.14
"147249","Ophrys_insectifera",13.51,47.38
"147395","Ophrys_insectifera",12.79,47.52
"147452","Ophrys_insectifera",13.09,47.39
"147793","Ophrys_insectifera",14.24,47.61
"147978","Ophrys_insectifera",13.36,47.51
"148896","Ophrys_insectifera",13.76847,46.44142
"150715","Ophrys_insectifera",15.33461,63.45729
"156948","Ophrys_insectifera",14.5703,67.0515
"157036","Ophrys_insectifera",14.0220163,67.0410849
"157208","Ophrys_insectifera",14.7071,67.2478
"161794","Ophrys_insectifera",14.1162,67.1406
"162807","Ophrys_insectifera",10.985,47.326
"166632","Ophrys_insectifera",10.71,47.67
"166727","Ophrys_insectifera",10.11,50.19
"166788","Ophrys_insectifera",10.87,48.12
"169325","Ophrys_insectifera",10.54,47.67
"169443","Ophrys_insectifera",10.24,50.41
"169517","Ophrys_insectifera",12.54,48.67
"171824","Ophrys_insectifera",12.81,47.05
"172393","Ophrys_insectifera",11.61,49.61
"172675","Ophrys_insectifera",23.75,58.95
"180856","Ophrys_insectifera",10.96,48.29
"180857","Ophrys_insectifera",12.5,47.79
"180862","Ophrys_insectifera",10.96,48.28
"181472","Ophrys_insectifera",14.7259,67.2808
"181483","Ophrys_insectifera",11.181,64.8146
"181635","Ophrys_insectifera",11.2155,64.7326
"181839","Ophrys_insectifera",11.8031,64.1681
"182735","Ophrys_insectifera",23.583333,58.65
"182739","Ophrys_insectifera",23.416667,59.05
"192264","Ophrys_insectifera",10.87,47.77
"192343","Ophrys_insectifera",10.12,50.12
"198101","Ophrys_insectifera",10.54,47.57
"198104","Ophrys_insectifera",10.21,47.62
"198139","Ophrys_insectifera",10.96,47.92
"198152","Ophrys_insectifera",10.54,47.77
"198210","Ophrys_insectifera",10.87,47.87
"204897","Ophrys_insectifera",11.05,47.73
"204906","Ophrys_insectifera",12.51,47.8
"213617","Ophrys_insectifera",10.37,47.37
"213628","Ophrys_insectifera",11.52,50.06
"227848","Ophrys_insectifera",10.646394,43.455687
"228157","Ophrys_insectifera",11.095567,43.934604
"228361","Ophrys_insectifera",11.47093,43.5194
"228443","Ophrys_insectifera",11.103552,43.942612
"228654","Ophrys_insectifera",12.274472,43.749235
"228691","Ophrys_insectifera",11.546825,44.108831
"228738","Ophrys_insectifera",11.341209,43.636776
"228976","Ophrys_insectifera",11.425273,44.149328
"228977","Ophrys_insectifera",11.424881,44.146741
"228980","Ophrys_insectifera",11.432583,44.121361
"229026","Ophrys_insectifera",11.112742,43.916938
"229310","Ophrys_insectifera",11.595979,43.780405
"230065","Ophrys_insectifera",11.48833,44.1498
"230115","Ophrys_insectifera",11.168726,43.894235
"230393","Ophrys_insectifera",12.287254,43.756282
"230684","Ophrys_insectifera",12.169468,43.734908
"230754","Ophrys_insectifera",11.201621,43.878069
"231136","Ophrys_insectifera",11.55824,42.92883
"231171","Ophrys_insectifera",11.837562,43.75613
"231205","Ophrys_insectifera",11.396629,44.220403
"231462","Ophrys_insectifera",11.786189,43.80803
"231532","Ophrys_insectifera",10.949922,43.161434
"232013","Ophrys_insectifera",10.785429,44.053549
"232137","Ophrys_insectifera",11.811569,43.008696
"232306","Ophrys_insectifera",10.371326,44.091859
"232526","Ophrys_insectifera",11.338514,43.80421
"249879","Ophrys_insectifera",11.23,50.07
"253413","Ophrys_insectifera",8.99786,44.78045
"253459","Ophrys_insectifera",12.364072,43.916764
"253464","Ophrys_insectifera",8.171746,44.95583
"253527","Ophrys_insectifera",8.078578,44.398395
"253570","Ophrys_insectifera",10.66842,45.986962
"253607","Ophrys_insectifera",8.255354,44.509534
"253618","Ophrys_insectifera",13.122559,43.124794
"253702","Ophrys_insectifera",6.933339,44.467902
"253834","Ophrys_insectifera",12.636505,43.726245
"253874","Ophrys_insectifera",9.05046,44.70655
"253877","Ophrys_insectifera",8.89026,44.70819
"253921","Ophrys_insectifera",8.311362,44.450211
"253973","Ophrys_insectifera",8.254764,44.516805
"254003","Ophrys_insectifera",9.028,44.6778
"254179","Ophrys_insectifera",11.990871,46.528863
"254268","Ophrys_insectifera",12.222958,43.858141
"254378","Ophrys_insectifera",9.04575,44.71811
"254379","Ophrys_insectifera",9.06446,44.78633
"254397","Ophrys_insectifera",7.941244,45.130544
"254457","Ophrys_insectifera",7.953389,45.09479
"254562","Ophrys_insectifera",9.10686,44.79625
"254576","Ophrys_insectifera",12.779174,42.547509
"254608","Ophrys_insectifera",12.29114,43.75999
"254673","Ophrys_insectifera",10.70308,45.609859
"254750","Ophrys_insectifera",8.360863,45.052507
"254760","Ophrys_insectifera",8.94346,44.72945
"260701","Ophrys_insectifera",13.33,47.21
"261496","Ophrys_insectifera",11.5,47.47
"264139","Ophrys_insectifera",11.02,50.09
"288505","Ophrys_insectifera",13.415,53.9485
"288747","Ophrys_insectifera",5.94722,48.72278
"290725","Ophrys_insectifera",9.6701318,59.0723154
"291247","Ophrys_insectifera",14.7088336,67.2502003
"291593","Ophrys_insectifera",14.0903125,67.1522904
"291752","Ophrys_insectifera",13.954315,67.0137831
"294036","Ophrys_insectifera",9.82,50.12
"294061","Ophrys_insectifera",10.29,47.32
"294066","Ophrys_insectifera",10.37,47.42
"300663","Ophrys_insectifera",-5.1726,42.9096
"300690","Ophrys_insectifera",-4.706,43.255
"301266","Ophrys_insectifera",-5.50683,42.97795
"301729","Ophrys_insectifera",-4.23503,42.75525
"301966","Ophrys_insectifera",-4.076909,42.694567
"302110","Ophrys_insectifera",-5.172992,42.909476
"302215","Ophrys_insectifera",-3.63604,43.007951
"302219","Ophrys_insectifera",-5.63,42.92
"302227","Ophrys_insectifera",-5.54779,42.93712
"302509","Ophrys_insectifera",-5.54622,42.9371
"311909","Ophrys_insectifera",10.3689,59.4998
"327998","Ophrys_insectifera",10.21,47.77
"328002","Ophrys_insectifera",9.82,50.11
"328107","Ophrys_insectifera",9.6,49.84
"328114","Ophrys_insectifera",9.79,47.57
"364975","Ophrys_insectifera",7.80246,47.33279
"365163","Ophrys_insectifera",7.455307,46.337777
"371760","Ophrys_insectifera",11.4325,44.12139
"379584","Ophrys_insectifera",13.11,47.41
"379623","Ophrys_insectifera",12.78,47.67
"379684","Ophrys_insectifera",13.13,47.49
"379832","Ophrys_insectifera",13.21,47.77
"380152","Ophrys_insectifera",12.91,47.44
"380382","Ophrys_insectifera",13.43,47.76
"384930","Ophrys_insectifera",12.76,46.7275
"404380","Ophrys_insectifera",-9.035103,52.996889
"405447","Ophrys_insectifera",-1.25,42.74
"405488","Ophrys_insectifera",-1.23,42.77
"405498","Ophrys_insectifera",-1.15,42.76
"405848","Ophrys_insectifera",5.29591,48.7646
"406243","Ophrys_insectifera",6.5259,48.81606
"406398","Ophrys_insectifera",5.7561,48.52667
"406597","Ophrys_insectifera",6.25039,48.78083
"406799","Ophrys_insectifera",5.19088,49.30723
"406952","Ophrys_insectifera",5.88814,48.4776
"407182","Ophrys_insectifera",5.60909,48.35099
"407433","Ophrys_insectifera",5.20659,49.57681
"407442","Ophrys_insectifera",5.19349,49.35216
"407566","Ophrys_insectifera",5.13749,49.5785
"408255","Ophrys_insectifera",5.1961,49.39709
"408461","Ophrys_insectifera",5.34201,49.52838
"408533","Ophrys_insectifera",5.99175,48.96948
"408777","Ophrys_insectifera",5.85531,48.97376
"409084","Ophrys_insectifera",5.27298,49.53015
"409378","Ophrys_insectifera",5.44303,48.9407
"409461","Ophrys_insectifera",6.08031,49.23673
"409693","Ophrys_insectifera",5.20396,49.53188
"409950","Ophrys_insectifera",5.92354,48.97164
"410455","Ophrys_insectifera",6.1009,48.60579
"410549","Ophrys_insectifera",5.47716,49.47979
"411043","Ophrys_insectifera",5.68848,48.52869
"411225","Ophrys_insectifera",5.26493,49.39537
"411652","Ophrys_insectifera",5.45716,49.16532
"412299","Ophrys_insectifera",14.48,47.69
"412339","Ophrys_insectifera",10.75,47.4
"413014","Ophrys_insectifera",13.38,47.77
"413333","Ophrys_insectifera",13.1,47.4
"422314","Ophrys_insectifera",10.165,59.7352
"422623","Ophrys_insectifera",9.9753,59.7255
"422760","Ophrys_insectifera",11.3,47.54
"422761","Ophrys_insectifera",10.95,48.86
"423648","Ophrys_insectifera",16.31167,47.99083
"424098","Ophrys_insectifera",16.52833,47.96444
"425180","Ophrys_insectifera",10.29,47.67
"425202","Ophrys_insectifera",10.21,50.12
"425439","Ophrys_insectifera",75.378,49.398
"437119","Ophrys_insectifera",40.884287,57.230017
"437976","Ophrys_insectifera",38.266667,59.866667
"439642","Ophrys_insectifera",10.2,50.41
"439656","Ophrys_insectifera",10.62,47.62
"441154","Ophrys_insectifera",-0.54,42.53
"441221","Ophrys_insectifera",0.05,42.54
"441254","Ophrys_insectifera",-0.2,42.61
"441367","Ophrys_insectifera",-0.55,42.51
"445578","Ophrys_insectifera",13.59,47.29
"445741","Ophrys_insectifera",12.77,47.67
"446112","Ophrys_insectifera",13.21,47.76
"446966","Ophrys_insectifera",28.351083,54.7987
"449178","Ophrys_insectifera",-2.76,42.79
"449266","Ophrys_insectifera",-2.76,42.92
"449342","Ophrys_insectifera",-2.43,42.69
"449422","Ophrys_insectifera",-3.2,43.1
"449440","Ophrys_insectifera",-2.7,42.82
"449466","Ophrys_insectifera",-2.59,42.92
"449676","Ophrys_insectifera",-2.56,42.81
"449847","Ophrys_insectifera",-3.06,42.77
"449869","Ophrys_insectifera",-1.84,42.67
"449940","Ophrys_insectifera",-2.65,42.72
"465262","Ophrys_insectifera",-3.5449,42.0259
"470173","Ophrys_insectifera",-1.72778,42.86806
"470910","Ophrys_insectifera",16.52778,47.91278
"471303","Ophrys_insectifera",-1.73722,42.86999
"478701","Ophrys_insectifera",12.94,48.79
"478723","Ophrys_insectifera",12.93,48.8
"478731","Ophrys_insectifera",12.92,48.78
"482649","Ophrys_insectifera",6.76083,50.59722
"483246","Ophrys_insectifera",11.76028,51.20306
"485596","Ophrys_insectifera",14.65662,58.24621
