"","species","lon","lat"
"1","Opsariichthys_uncirostris",134.92,34.93
"2","Opsariichthys_uncirostris",113.62,24.83
"3","Opsariichthys_uncirostris",105.95,18.116667
"4","Opsariichthys_uncirostris",104.716667,19.05
"5","Opsariichthys_uncirostris",105.216667,18.366667
"6","Opsariichthys_uncirostris",127.41524,36.41005
"7","Opsariichthys_uncirostris",127.32509,36.25316
"8","Opsariichthys_uncirostris",127.39308,36.44762
"9","Opsariichthys_uncirostris",127.36011,36.30471
"10","Opsariichthys_uncirostris",126.96558,36.22284
"11","Opsariichthys_uncirostris",126.91955,37.98538
"12","Opsariichthys_uncirostris",126.99383,36.51282
"13","Opsariichthys_uncirostris",127.01592,36.17235
"14","Opsariichthys_uncirostris",127.71797,36.51306
"15","Opsariichthys_uncirostris",127.59958,36.49021
"16","Opsariichthys_uncirostris",127.44762,36.67697
"17","Opsariichthys_uncirostris",127.54195,36.38514
"18","Opsariichthys_uncirostris",127.47511,36.71747
"19","Opsariichthys_uncirostris",127.87669,36.66211
"20","Opsariichthys_uncirostris",127.36473,36.51813
"21","Opsariichthys_uncirostris",127.43464,36.68438
"22","Opsariichthys_uncirostris",127.43737,35.8724
"23","Opsariichthys_uncirostris",127.72203,36.22968
"24","Opsariichthys_uncirostris",128.16859,36.99339
"25","Opsariichthys_uncirostris",127.7785,36.67473
"26","Opsariichthys_uncirostris",127.75919,36.31965
"27","Opsariichthys_uncirostris",127.2362,36.13613
"28","Opsariichthys_uncirostris",127.76462,36.33042
"29","Opsariichthys_uncirostris",127.55874,36.56399
"30","Opsariichthys_uncirostris",127.74489,36.65598
"31","Opsariichthys_uncirostris",127.54195,36.99339
"32","Opsariichthys_uncirostris",127.51849,35.80217
"33","Opsariichthys_uncirostris",127.07533,35.90346
"34","Opsariichthys_uncirostris",130.733333,32.75
"35","Opsariichthys_uncirostris",128.229361,36.188111
"36","Opsariichthys_uncirostris",128.131886,36.124306
"37","Opsariichthys_uncirostris",127.41524,36.41005
"38","Opsariichthys_uncirostris",127.32509,36.25316
"39","Opsariichthys_uncirostris",127.40887,36.37888
"40","Opsariichthys_uncirostris",127.39308,36.44762
"41","Opsariichthys_uncirostris",127.36011,36.30471
"42","Opsariichthys_uncirostris",128.38136,35.85293
"43","Opsariichthys_uncirostris",126.92046,36.30432
"44","Opsariichthys_uncirostris",127.36011,36.30471
"45","Opsariichthys_uncirostris",128.33613,35.67883
"46","Opsariichthys_uncirostris",128.229361,36.188111
"47","Opsariichthys_uncirostris",128.131886,36.124306
"48","Opsariichthys_uncirostris",128.38136,35.85293
"49","Opsariichthys_uncirostris",127.36011,36.30471
"50","Opsariichthys_uncirostris",126.92046,36.30432
"51","Opsariichthys_uncirostris",128.33613,35.67883
