"","species","lon","lat"
"12632","Opuntia_macrorhiza",-80.987918,33.992283
"13453","Opuntia_macrorhiza",-108.498531,28.437179
"19726","Opuntia_macrorhiza",-100.51406,22.64165
"27522","Opuntia_macrorhiza",-104.349167,38.243611
"39810","Opuntia_macrorhiza",-94.344167,36.590278
"42947","Opuntia_macrorhiza",-105.145744,40.540057
"42948","Opuntia_macrorhiza",-102.611543,38.505666
"42987","Opuntia_macrorhiza",-103.17385,40.50177
"42988","Opuntia_macrorhiza",-105.218889,39.872503
"42990","Opuntia_macrorhiza",-104.32548,39.5323
"43215","Opuntia_macrorhiza",-102.66056,38.29639
"43301","Opuntia_macrorhiza",-105.287494,39.98433
"43353","Opuntia_macrorhiza",-102.945326,37.119724
"43354","Opuntia_macrorhiza",-103.43028,38.92306
"43397","Opuntia_macrorhiza",-102.99972,38.82306
"43428","Opuntia_macrorhiza",-103.615141,37.087048
"43536","Opuntia_macrorhiza",-102.98444,39.28472
"43576","Opuntia_macrorhiza",-103.71234,39.26062
"43625","Opuntia_macrorhiza",-105.166462,40.053568
"43647","Opuntia_macrorhiza",-102.36806,39.51861
"43721","Opuntia_macrorhiza",-102.47361,39.76277
"53864","Opuntia_macrorhiza",-112.443333,34.78
"54063","Opuntia_macrorhiza",-104.951667,33.626667
"61818","Opuntia_macrorhiza",-105.62673,33.37847
"61862","Opuntia_macrorhiza",-106.855996,32.283842
"61897","Opuntia_macrorhiza",-106.5345,31.82431
"61919","Opuntia_macrorhiza",-108.442255,31.771085
"62042","Opuntia_macrorhiza",-108.425762,31.72784
"62104","Opuntia_macrorhiza",-107.624976,32.064695
"62146","Opuntia_macrorhiza",-108.70869,32.382375
"62189","Opuntia_macrorhiza",-112.970183,34.784264
"62300","Opuntia_macrorhiza",-109.867138,32.272676
"76848","Opuntia_macrorhiza",-99.1041,35.4826
"76866","Opuntia_macrorhiza",-110.883,32.3734
"76945","Opuntia_macrorhiza",-101.9402504,35.5500219
"76969","Opuntia_macrorhiza",-110.589,31.7903
"77030","Opuntia_macrorhiza",-112.898595,34.981428
"77075","Opuntia_macrorhiza",-110.225,31.8617
"77083","Opuntia_macrorhiza",-112.96,35.5667
"77132","Opuntia_macrorhiza",-108.94,28.37583
"77167","Opuntia_macrorhiza",-105.5555,32.7021
"77183","Opuntia_macrorhiza",-108.61,32.47
"77196","Opuntia_macrorhiza",-105.793,31.2419
"77236","Opuntia_macrorhiza",-103.86,33.44
"77265","Opuntia_macrorhiza",-101.9455506,35.5596216
"77307","Opuntia_macrorhiza",-106.667,40.1333
"77332","Opuntia_macrorhiza",-112.98,34.79
"77370","Opuntia_macrorhiza",-110.313,34.3271
"77382","Opuntia_macrorhiza",-112.521,35.0514
"77413","Opuntia_macrorhiza",-108.498,28.4367
"77504","Opuntia_macrorhiza",-110.705,32.4303
"77623","Opuntia_macrorhiza",-113.191,36.3602
"77765","Opuntia_macrorhiza",-112.168,34.7244
