"","species","lon","lat"
"20431","Orobanche_hederae",8.115658,44.111347
"20432","Orobanche_hederae",8.039902,44.086212
"20551","Orobanche_hederae",9.15807,44.33698
"22150","Orobanche_hederae",21.09667,39.35944
"23392","Orobanche_hederae",22.16222,37.93306
"24979","Orobanche_hederae",21.47333,38.6675
"24980","Orobanche_hederae",21.52056,38.42194
"26322","Orobanche_hederae",-1.5912119,42.8188918
"26577","Orobanche_hederae",-2.4412352,43.1288899
"26588","Orobanche_hederae",-2.3912346,43.1488909
"27083","Orobanche_hederae",6.55679,46.65531
"36333","Orobanche_hederae",16.22697,48.01161
"43769","Orobanche_hederae",-0.048611,51.803263
"55553","Orobanche_hederae",7.987778,46.33
"57117","Orobanche_hederae",-5.5902,36.1239
"58095","Orobanche_hederae",0.33,40.76
"62603","Orobanche_hederae",13.212939,38.022802
"62617","Orobanche_hederae",14.01797,37.98654
"63240","Orobanche_hederae",13.394718,37.856101
"68040","Orobanche_hederae",26.883333,37.783333
"85843","Orobanche_hederae",-0.94,39.57
"85881","Orobanche_hederae",-0.25,39.85
"85908","Orobanche_hederae",-0.12,40.12
"86139","Orobanche_hederae",-1,39.89
"86248","Orobanche_hederae",-0.91,40.8
"86376","Orobanche_hederae",-0.48,39.95
"86487","Orobanche_hederae",-1.3,40.05
"86518","Orobanche_hederae",-0.09,38.72
"86720","Orobanche_hederae",-1.27,40.01
"86907","Orobanche_hederae",-0.16,38.78
"87212","Orobanche_hederae",-1.08,39.72
"87381","Orobanche_hederae",-0.5,39.52
"87723","Orobanche_hederae",-0.11,40.39
"87724","Orobanche_hederae",-3.81,37.59
"87840","Orobanche_hederae",-0.51,39.52
"88341","Orobanche_hederae",-2.13,40.54
"88458","Orobanche_hederae",-0.87,42.27
"88946","Orobanche_hederae",0.11,40.57
"88959","Orobanche_hederae",-1.88,41.19
"134914","Orobanche_hederae",4.608533,52.395283
"137237","Orobanche_hederae",-9.02255,38.97918
"156456","Orobanche_hederae",-2.44,42.7
"163905","Orobanche_hederae",2.1,41.41
"164032","Orobanche_hederae",2.22,41.32
"164521","Orobanche_hederae",1.891,41.524
"164635","Orobanche_hederae",-3.63056,43.03708
"166179","Orobanche_hederae",4.515,51.882
"169306","Orobanche_hederae",9.77,49.96
"206244","Orobanche_hederae",7.723611,50.1525
"206907","Orobanche_hederae",2.454,42.178
"227278","Orobanche_hederae",11.508386,42.74064
"227379","Orobanche_hederae",11.157338,43.96659
"227439","Orobanche_hederae",10.830005,43.878075
"227516","Orobanche_hederae",11.059971,43.838938
"227563","Orobanche_hederae",11.168866,42.899181
"227663","Orobanche_hederae",11.149001,43.924799
"227721","Orobanche_hederae",10.868103,43.849836
"227851","Orobanche_hederae",11.189327,43.969887
"227942","Orobanche_hederae",11.164831,44.001953
"228004","Orobanche_hederae",10.909194,43.828846
"228301","Orobanche_hederae",11.018077,43.113089
"228306","Orobanche_hederae",11.008753,43.752336
"228444","Orobanche_hederae",11.103552,43.942612
"228543","Orobanche_hederae",11.26268,43.88151
"228604","Orobanche_hederae",10.850522,43.887981
"228605","Orobanche_hederae",10.99472,43.780197
"228741","Orobanche_hederae",11.094046,43.085071
"228810","Orobanche_hederae",10.429241,43.404732
"229028","Orobanche_hederae",11.888871,42.953225
"229221","Orobanche_hederae",11.513001,43.482233
"229311","Orobanche_hederae",11.868945,42.9473
"229453","Orobanche_hederae",11.048502,42.89367
"229462","Orobanche_hederae",11.695246,42.663948
"229579","Orobanche_hederae",10.536313,43.756417
"229838","Orobanche_hederae",11.244596,43.099825
"230116","Orobanche_hederae",10.748933,43.222324
"230117","Orobanche_hederae",11.168726,43.894235
"230262","Orobanche_hederae",10.848028,43.748579
"230540","Orobanche_hederae",10.944997,43.79569
"230559","Orobanche_hederae",10.602919,44.054868
"230686","Orobanche_hederae",10.949922,43.161434
"230770","Orobanche_hederae",11.201621,43.878069
"230830","Orobanche_hederae",10.941745,43.82875
"230831","Orobanche_hederae",11.034756,43.808382
"230980","Orobanche_hederae",11.753703,42.682601
"231066","Orobanche_hederae",11.23397,43.87897
"232053","Orobanche_hederae",11.493647,42.738497
"232262","Orobanche_hederae",11.338514,43.80421
"232270","Orobanche_hederae",11.04467,43.82105
"246235","Orobanche_hederae",-1.91,38.11
"246269","Orobanche_hederae",-2.41,38.31
"246275","Orobanche_hederae",-2.41,38.41
"254114","Orobanche_hederae",13.539199,43.474448
"254446","Orobanche_hederae",10.767502,43.47049
"254639","Orobanche_hederae",10.182517,44.008381
"256345","Orobanche_hederae",33.780556,44.5
"257419","Orobanche_hederae",-8.07138,43.65327
"288587","Orobanche_hederae",12.0819,54.0484
"296539","Orobanche_hederae",-3.99335,36.9195
"296552","Orobanche_hederae",-3.949,36.921
"296687","Orobanche_hederae",-4.932,36.72
"296884","Orobanche_hederae",-5.113,36.798
"297317","Orobanche_hederae",-5.262,36.543
"297324","Orobanche_hederae",-5.262,36.525
"297526","Orobanche_hederae",-5.218,36.561
"300886","Orobanche_hederae",-5.06816,43.15236
"301756","Orobanche_hederae",-5.05954,43.14639
"302511","Orobanche_hederae",-4.914,43.188
"310356","Orobanche_hederae",17.3413,40.706361
"313885","Orobanche_hederae",8.93333,41.65
"313923","Orobanche_hederae",9.01667,41.66667
"313938","Orobanche_hederae",9.26667,42.6
"314018","Orobanche_hederae",9.31667,42.21667
"314083","Orobanche_hederae",9.35,42.86667
"314104","Orobanche_hederae",9.36667,42.86667
"314152","Orobanche_hederae",9.43333,42.75
"347255","Orobanche_hederae",-2.94,37.03
"347280","Orobanche_hederae",-4.54,36.95
"347791","Orobanche_hederae",-0.75,39.94
"347882","Orobanche_hederae",-0.06,38.66
"348966","Orobanche_hederae",-0.31,38.66
"349010","Orobanche_hederae",-0.29,38.71
"349050","Orobanche_hederae",-0.48,38.76
"353146","Orobanche_hederae",5.65389,43.335
"362317","Orobanche_hederae",44.6833,41.9769
"367585","Orobanche_hederae",33.798694,44.403083
"367966","Orobanche_hederae",39.791,43.545
"368621","Orobanche_hederae",12.826688,55.868218
"371645","Orobanche_hederae",10.62389,43.10694
"371681","Orobanche_hederae",15.55528,40.92556
"371716","Orobanche_hederae",9.96444,44.11306
"371717","Orobanche_hederae",10.40611,43.40083
"389231","Orobanche_hederae",-5.1,43.4
"392634","Orobanche_hederae",9.2167,40
"400985","Orobanche_hederae",12.83159,55.87577
"403280","Orobanche_hederae",-5.57,36.14
"403285","Orobanche_hederae",-3.65,40.42
"403316","Orobanche_hederae",-5.34,36.62
"403425","Orobanche_hederae",-6.03,43.2
"403430","Orobanche_hederae",-5.45,36.13
"403436","Orobanche_hederae",-3.61,43.43
"403449","Orobanche_hederae",-4.36,37.5
"403451","Orobanche_hederae",-4.18,40.64
"403466","Orobanche_hederae",-3.84,37.75
"403532","Orobanche_hederae",-4.88,37.94
"403562","Orobanche_hederae",-3.63,43.04
"403637","Orobanche_hederae",-2.5,43.07
"403686","Orobanche_hederae",0.09,42.51
"403699","Orobanche_hederae",-4.37,37.48
"403725","Orobanche_hederae",-1.79,41.8
"403726","Orobanche_hederae",-3.66,43.04
"403732","Orobanche_hederae",-1.74,41.77
"403851","Orobanche_hederae",-2.94,43.4
"403941","Orobanche_hederae",-4.1,43.38
"403974","Orobanche_hederae",-2.34,41.69
"403987","Orobanche_hederae",-3.19,37.35
"404011","Orobanche_hederae",-4,37
"413468","Orobanche_hederae",27.16,37.68
"418540","Orobanche_hederae",7.763817,50.087683
"418670","Orobanche_hederae",3.860283,45.070833
"418948","Orobanche_hederae",7.7307,50.139617
"423607","Orobanche_hederae",46.26722,41.84194
"423707","Orobanche_hederae",16.21028,48.0025
"423969","Orobanche_hederae",16.21,48.00278
"424054","Orobanche_hederae",16.23944,48.00472
"424284","Orobanche_hederae",12.83236,55.87624
"436955","Orobanche_hederae",33.786111,44.402778
"436956","Orobanche_hederae",33.770833,44.506111
"446011","Orobanche_hederae",10.94,45.97
"449094","Orobanche_hederae",-2.73,42.88
"449442","Orobanche_hederae",-2.94,43.26
"449640","Orobanche_hederae",-2.63,42.91
"449797","Orobanche_hederae",-2.44,42.7
"451561","Orobanche_hederae",8.680458,40.235585
"451680","Orobanche_hederae",9.057788,40.442245
"451776","Orobanche_hederae",8.914472,40.354508
"451777","Orobanche_hederae",8.569209,39.555106
"451823","Orobanche_hederae",8.570318,39.558417
"465827","Orobanche_hederae",-2.0545,40.6902
"470181","Orobanche_hederae",16.22697,48.01161
"482642","Orobanche_hederae",7.0225,49.9825
