"","species","lon","lat"
"2","Oxychilus_cellarius",-79.12,43.79
"3","Oxychilus_cellarius",-79.66,43.75
"44552","Oxychilus_cellarius",151.26832,-33.91
"44809","Oxychilus_cellarius",-79.669998,43.759998
"63903","Oxychilus_cellarius",-79.90833,40.45
"63904","Oxychilus_cellarius",-79.906944,40.483333
"63905","Oxychilus_cellarius",-70.6222,41.55668
"63906","Oxychilus_cellarius",-81.0173,37.4134
"63908","Oxychilus_cellarius",-79.918003,40.43949
"63909","Oxychilus_cellarius",-79.90694,40.44583
"63911","Oxychilus_cellarius",-79.919444,40.486111
"63912","Oxychilus_cellarius",-79.29617,40.27344
"63913","Oxychilus_cellarius",-78.2155916,40.5613675
"66018","Oxychilus_cellarius",-79.146,43.804
"66025","Oxychilus_cellarius",-79.124,43.795
"66030","Oxychilus_cellarius",-88.3024,41.88723
"66033","Oxychilus_cellarius",-75.561446,39.749
"66035","Oxychilus_cellarius",-75.511874,39.738057
"66036","Oxychilus_cellarius",-74.25054,40.82605
"66037","Oxychilus_cellarius",-75.548317,39.749928
"66038","Oxychilus_cellarius",-75.550208,39.760039
"71820","Oxychilus_cellarius",9.4044,51.5044
"71821","Oxychilus_cellarius",9.4033,51.5061
"71822","Oxychilus_cellarius",9.395,51.5239
"71826","Oxychilus_cellarius",8.3325,49.5833
"71827","Oxychilus_cellarius",8.3189,49.7061
"71830","Oxychilus_cellarius",8.45,49.75
"71831","Oxychilus_cellarius",8.4578,49.3953
"71832","Oxychilus_cellarius",8.4431,49.7339
"71833","Oxychilus_cellarius",6.9281,49.3731
"71834","Oxychilus_cellarius",7.5736,49.1422
"71835","Oxychilus_cellarius",7.1667,49.2442
"71836","Oxychilus_cellarius",6.6336,49.4461
"71837","Oxychilus_cellarius",7.4667,49.2167
"71838","Oxychilus_cellarius",6.0833,49.7167
"71839","Oxychilus_cellarius",6.0167,49.45
"71840","Oxychilus_cellarius",7.2922,49.3147
"71841","Oxychilus_cellarius",5.8167,50
"71842","Oxychilus_cellarius",8.1108,49.3519
"71843","Oxychilus_cellarius",8.1767,49.5044
"71844","Oxychilus_cellarius",6.1,49.7333
"71845","Oxychilus_cellarius",7.5167,49.1167
"71846","Oxychilus_cellarius",7.8744,49.1967
"71847","Oxychilus_cellarius",7.5858,49.1572
"71848","Oxychilus_cellarius",7.8803,49.2097
"71849","Oxychilus_cellarius",7.2092,49.2839
"71850","Oxychilus_cellarius",6.4428,49.6631
"71851","Oxychilus_cellarius",6.0167,50.15
"71852","Oxychilus_cellarius",7.1,49.5667
"71853","Oxychilus_cellarius",7.9997,49.2164
"71854","Oxychilus_cellarius",6.6,49.3333
"71855","Oxychilus_cellarius",6.0058,49.4681
"71856","Oxychilus_cellarius",7.1667,50.55
"71857","Oxychilus_cellarius",6.5311,49.6456
"71858","Oxychilus_cellarius",6.5453,49.6753
"71860","Oxychilus_cellarius",11.7422,51.5514
"71861","Oxychilus_cellarius",6.5028,49.7203
"71862","Oxychilus_cellarius",6.5269,49.7953
"71863","Oxychilus_cellarius",7.5769,49.1114
"74091","Oxychilus_cellarius",14.19171,56.01316
"79746","Oxychilus_cellarius",13.583333,48.383335
"80076","Oxychilus_cellarius",13.631389,48.545834
"80392","Oxychilus_cellarius",12.834723,48.156944
"80702","Oxychilus_cellarius",13.64,48.38
"80938","Oxychilus_cellarius",13.071944,48.225277
"81284","Oxychilus_cellarius",14.156944,48.530834
"81285","Oxychilus_cellarius",14.319167,48.275555
"93225","Oxychilus_cellarius",15.221944,48.397778
"94268","Oxychilus_cellarius",-79.146,43.804
"97244","Oxychilus_cellarius",6.27199,44.26541
"132670","Oxychilus_cellarius",3.549087,48.604897
"132671","Oxychilus_cellarius",6.474842,43.393551
"132672","Oxychilus_cellarius",3.558271,48.62006
"132673","Oxychilus_cellarius",6.460303,43.39101
"132674","Oxychilus_cellarius",5.737376,44.649212
"132675","Oxychilus_cellarius",2.98726,47.543758
"132676","Oxychilus_cellarius",6.493474,43.384186
"132677","Oxychilus_cellarius",3.558941,48.625549
"132678","Oxychilus_cellarius",6.466612,43.399734
"132679","Oxychilus_cellarius",3.558206,48.619217
"133723","Oxychilus_cellarius",12.0755,57.77889
"133746","Oxychilus_cellarius",12.09405,57.78977
"136758","Oxychilus_cellarius",10.600537,59.89545
"136761","Oxychilus_cellarius",10.750573,59.995033
"136763","Oxychilus_cellarius",10.510954,59.951103
"136764","Oxychilus_cellarius",10.735701,59.907903
"136765","Oxychilus_cellarius",9.624466,59.192713
"136768","Oxychilus_cellarius",10.436211,59.85693
"136769","Oxychilus_cellarius",10.532723,59.936671
"136770","Oxychilus_cellarius",10.456901,59.880951
"136771","Oxychilus_cellarius",10.735344,59.907576
"136772","Oxychilus_cellarius",10.736379,59.888342
"136773","Oxychilus_cellarius",11.247179,60.550746
"136775","Oxychilus_cellarius",-4.922774,51.605827
"136779","Oxychilus_cellarius",11.36101,59.121306
"136780","Oxychilus_cellarius",10.758101,59.866498
"136784","Oxychilus_cellarius",6.177203,62.477002
"136785","Oxychilus_cellarius",10.771682,59.819612
"136786","Oxychilus_cellarius",-2.078509,51.865228
"136787","Oxychilus_cellarius",10.463216,59.862021
"136788","Oxychilus_cellarius",10.649702,59.443971
"136789","Oxychilus_cellarius",10.739607,59.546097
"136790","Oxychilus_cellarius",11.392252,59.085695
"136792","Oxychilus_cellarius",5.808301,58.789926
"136793","Oxychilus_cellarius",10.735733,59.906457
"136796","Oxychilus_cellarius",10.492891,59.423448
"137655","Oxychilus_cellarius",4.337291,51.865453
"137656","Oxychilus_cellarius",4.336976,51.866203
"141746","Oxychilus_cellarius",14.64891,58.33638
"141762","Oxychilus_cellarius",13.25437,55.58048
"145270","Oxychilus_cellarius",13.1,47.79
"147193","Oxychilus_cellarius",13.09,47.77
"149219","Oxychilus_cellarius",149.97721,-33.35361
"149271","Oxychilus_cellarius",149.97777,-33.34888
"149725","Oxychilus_cellarius",14.5445,58.11082
"149751","Oxychilus_cellarius",13.21871,55.37896
"149837","Oxychilus_cellarius",13.18606,55.38494
"149868","Oxychilus_cellarius",13.2927,55.49211
"149879","Oxychilus_cellarius",13.21924,55.51504
"150755","Oxychilus_cellarius",13.17167,55.74117
"150794","Oxychilus_cellarius",12.06454,57.7969
"150864","Oxychilus_cellarius",14.13793,56.05591
"150921","Oxychilus_cellarius",14.15457,57.82176
"150990","Oxychilus_cellarius",14.55665,56.07055
