"","species","lon","lat"
"42428","Paeonia_mascula",9.25861,42.44194
"50506","Paeonia_mascula",9.25,40.15
"50565","Paeonia_mascula",15.5,40.34
"51656","Paeonia_mascula",35.42,32.95
"51658","Paeonia_mascula",35.41,32.95
"56862","Paeonia_mascula",-4.6744,43.1676
"57161","Paeonia_mascula",9.305,40.0239
"57337","Paeonia_mascula",-2.9179,41.1444
"57739","Paeonia_mascula",-4.5772,43.214
"62620","Paeonia_mascula",14.01797,37.98654
"62622","Paeonia_mascula",13.210146,38.025756
"62623","Paeonia_mascula",13.263006,37.992612
"62658","Paeonia_mascula",13.733567,37.944449
"62686","Paeonia_mascula",12.66788,38.106331
"62727","Paeonia_mascula",13.604819,37.621676
"62817","Paeonia_mascula",15.125107,37.85351
"63000","Paeonia_mascula",14.031246,37.894786
"63099","Paeonia_mascula",13.999856,37.885434
"63100","Paeonia_mascula",14.788031,37.274734
"63178","Paeonia_mascula",15,37.13
"63244","Paeonia_mascula",14.660003,37.880832
"63253","Paeonia_mascula",12.583309,38.033379
"63254","Paeonia_mascula",13.999888,37.850169
"63256","Paeonia_mascula",13.416651,37.650021
"63275","Paeonia_mascula",13.597726,37.615847
"63297","Paeonia_mascula",13.548628,37.979723
"81875","Paeonia_mascula",15.81028,41.78722
"81910","Paeonia_mascula",4.81111,47.09667
"86587","Paeonia_mascula",-1.96,41.73
"86772","Paeonia_mascula",-2.46,41.96
"86897","Paeonia_mascula",-4.12,39.83
"87394","Paeonia_mascula",13.38,37.65
"87856","Paeonia_mascula",9.3,40.02
"88675","Paeonia_mascula",-1.98,41.77
"139874","Paeonia_mascula",44.777222,41.885278
"150415","Paeonia_mascula",2.49056,41.94778
"152095","Paeonia_mascula",28.45417,43.79833
"161162","Paeonia_mascula",9.133333,41.6
"161703","Paeonia_mascula",8.666667,42.366667
"177519","Paeonia_mascula",14.030833,37.879722
"191866","Paeonia_mascula",5.03111,47.45361
"255048","Paeonia_mascula",8.733333,42.333333
"288756","Paeonia_mascula",5.15556,48.30083
"292234","Paeonia_mascula",-2.916594,41.13728
"297594","Paeonia_mascula",-4.128,39.83
"300911","Paeonia_mascula",-5.163529,42.817851
"301940","Paeonia_mascula",9.305,40.0239
"301976","Paeonia_mascula",-5.174,42.887
"345186","Paeonia_mascula",39.373611,40.645278
"392614","Paeonia_mascula",-2.7124,41.8106
"393726","Paeonia_mascula",9.2167,40
"399187","Paeonia_mascula",14.616667,46.2
"399515","Paeonia_mascula",4.76139,47.8
"418535","Paeonia_mascula",14.04035,37.854633
"449311","Paeonia_mascula",-5.86,40.26
"451436","Paeonia_mascula",8.463111,39.413528
"451500","Paeonia_mascula",8.958857,40.327833
"451581","Paeonia_mascula",9.19087,39.946011
"463323","Paeonia_mascula",-2.9131,41.1545
"465433","Paeonia_mascula",-1.9673,41.7253
"469792","Paeonia_mascula",39.8575,39.28417
"470341","Paeonia_mascula",39.78472,39.39083
"470631","Paeonia_mascula",39.20833,39.28361
"486865","Paeonia_mascula",15.833333,40.55
"486920","Paeonia_mascula",9.431945,40.251111
