"","species","lon","lat"
"12578","Parietaria_pensylvanica",-78.45,40.25
"12581","Parietaria_pensylvanica",-80.861861,37.368556
"13017","Parietaria_pensylvanica",-81.028584,33.954001
"13051","Parietaria_pensylvanica",-82.002617,33.522553
"13764","Parietaria_pensylvanica",-101.51556,19.42611
"27526","Parietaria_pensylvanica",-94.14416,36.62722
"27937","Parietaria_pensylvanica",-117.71036,43.51033
"35228","Parietaria_pensylvanica",-92.066111,36.903056
"35384","Parietaria_pensylvanica",-93.7225,37.180556
"37165","Parietaria_pensylvanica",-91.360312,35.29296
"37263","Parietaria_pensylvanica",-81.623713,42.955436
"37295","Parietaria_pensylvanica",-73.6375,45.531667
"37329","Parietaria_pensylvanica",-73.319444,45.541667
"39363","Parietaria_pensylvanica",-90.5686,38.5339
"39526","Parietaria_pensylvanica",-94.343611,36.832222
"40242","Parietaria_pensylvanica",-99.31028,38.524723
"40243","Parietaria_pensylvanica",-91.729804,33.918049
"42378","Parietaria_pensylvanica",-97.625833,51.184444
"42383","Parietaria_pensylvanica",-99.712167,49.577861
"42957","Parietaria_pensylvanica",-105.161079,40.053287
"42965","Parietaria_pensylvanica",-105.194172,39.911056
"43015","Parietaria_pensylvanica",-103.17285,37.14454
"43052","Parietaria_pensylvanica",-113.294,36.1723
"43085","Parietaria_pensylvanica",-105.196296,39.752519
"43189","Parietaria_pensylvanica",-104.765492,39.340779
"43231","Parietaria_pensylvanica",-105.27027,38.42044
"43274","Parietaria_pensylvanica",-103.719,37.23369
"43328","Parietaria_pensylvanica",-104.47054,37.59628
"43375","Parietaria_pensylvanica",-107.74507,38.57506
"43441","Parietaria_pensylvanica",-105.300747,40.01521
"43475","Parietaria_pensylvanica",-107.69083,39.71692
"43519","Parietaria_pensylvanica",-103.79078,37.40814
"43553","Parietaria_pensylvanica",-105.09852,38.463957
"43599","Parietaria_pensylvanica",-107.215604,37.448614
"43633","Parietaria_pensylvanica",-103.082751,37.14365
"43699","Parietaria_pensylvanica",-113.942676,36.404473
"43736","Parietaria_pensylvanica",-105.232107,43.686936
"43737","Parietaria_pensylvanica",-111.39411,36.19761
"44627","Parietaria_pensylvanica",-113.85,36.21
"44663","Parietaria_pensylvanica",-111.7675,41.73272
"49536","Parietaria_pensylvanica",-87.42757,44.87668
"49537","Parietaria_pensylvanica",-88.55583,43.67467
"50508","Parietaria_pensylvanica",-100.56,42.81
"54564","Parietaria_pensylvanica",-79.398155,40.246233
"54565","Parietaria_pensylvanica",-96.460593,39.064234
"55485","Parietaria_pensylvanica",-100.765,48.326
"61798","Parietaria_pensylvanica",-104.707692,32.261808
"61830","Parietaria_pensylvanica",-97.296376,32.774757
"61859","Parietaria_pensylvanica",-87.020278,32.406111
"61868","Parietaria_pensylvanica",-105.353667,31.126
"61894","Parietaria_pensylvanica",-105.106874,32.067777
"62019","Parietaria_pensylvanica",-108.940218,31.884883
"62033","Parietaria_pensylvanica",-105.0125,30.794444
"62117","Parietaria_pensylvanica",-108.426595,31.869491
"62192","Parietaria_pensylvanica",-104.717833,32.255683
"62203","Parietaria_pensylvanica",-105.908317,32.781433
"62228","Parietaria_pensylvanica",-104.354717,32.28805
"62234","Parietaria_pensylvanica",-106.156944,31.9
"62290","Parietaria_pensylvanica",-107.018572,31.871248
"62319","Parietaria_pensylvanica",-97.792333,30.475667
"62323","Parietaria_pensylvanica",-104.108333,29.491667
"62337","Parietaria_pensylvanica",-106.604154,32.221784
"62356","Parietaria_pensylvanica",-108.384333,31.66682
"64060","Parietaria_pensylvanica",-106.4273,45.3435
"64061","Parietaria_pensylvanica",-106.8199,47.7911
"64062","Parietaria_pensylvanica",-108.8785,47.8067
"64063","Parietaria_pensylvanica",-87.013611,32.413887
"64064","Parietaria_pensylvanica",-85.673055,34.281997
"64065","Parietaria_pensylvanica",-106.0025,45.6057
"64066","Parietaria_pensylvanica",-87.020279,32.406113
"70289","Parietaria_pensylvanica",-118.836,34.2378
"70553","Parietaria_pensylvanica",-104.842,49.5917
"71502","Parietaria_pensylvanica",-98.171122,29.643649
"71511","Parietaria_pensylvanica",-98.14604,29.63214
"71514","Parietaria_pensylvanica",-97.98089,29.57174
"71531","Parietaria_pensylvanica",-98.1973,29.6162
"71548","Parietaria_pensylvanica",-98.17556,29.64191
"71551","Parietaria_pensylvanica",-98.148367,29.635567
"71556","Parietaria_pensylvanica",-98.143033,29.640483
"71565","Parietaria_pensylvanica",-98.174167,29.649444
"71572","Parietaria_pensylvanica",-98.148611,29.635833
"71573","Parietaria_pensylvanica",-98.17546,29.64172
"71580","Parietaria_pensylvanica",-98.142333,29.632
"71581","Parietaria_pensylvanica",-98.1315,29.632333
"71583","Parietaria_pensylvanica",-98.144333,29.637667
"71601","Parietaria_pensylvanica",-97.967817,29.769183
"71618","Parietaria_pensylvanica",-97.988267,29.41325
"71632","Parietaria_pensylvanica",-98.141111,29.640278
"71636","Parietaria_pensylvanica",-98.175567,29.643617
"71641","Parietaria_pensylvanica",-98.175567,29.63995
"71642","Parietaria_pensylvanica",-97.977333,29.5731
"71650","Parietaria_pensylvanica",-98.14865,29.633117
"71660","Parietaria_pensylvanica",-98.17385,29.64262
"71661","Parietaria_pensylvanica",-98.055833,29.6215
"71674","Parietaria_pensylvanica",-97.9865,29.4122
"71677","Parietaria_pensylvanica",-97.98437,29.41518
"71709","Parietaria_pensylvanica",-97.9225,29.496517
"71734","Parietaria_pensylvanica",-97.988917,29.413333
"71739","Parietaria_pensylvanica",-97.986017,29.4141
"71745","Parietaria_pensylvanica",-98.145017,29.639783
"71760","Parietaria_pensylvanica",-97.98235,29.41564
"71763","Parietaria_pensylvanica",-98.17541,29.64281
"71766","Parietaria_pensylvanica",-98.196233,29.616583
"71774","Parietaria_pensylvanica",-97.958082,29.56754
"71780","Parietaria_pensylvanica",-98.1748,29.64255
"71783","Parietaria_pensylvanica",-98.17305,29.64055
"71786","Parietaria_pensylvanica",-97.98575,29.41419
"71800","Parietaria_pensylvanica",-97.845367,29.733133
"72701","Parietaria_pensylvanica",-116.9756,33.1013
"76812","Parietaria_pensylvanica",-112.83,34.17
"76897","Parietaria_pensylvanica",-111.315,33.9149
"76902","Parietaria_pensylvanica",-112.007,34.75
"76934","Parietaria_pensylvanica",-111.654152,36.088027
"76953","Parietaria_pensylvanica",-109.863,33.1786
"76964","Parietaria_pensylvanica",-110.176,31.6384
"77006","Parietaria_pensylvanica",-111.32,33.9381
"77069","Parietaria_pensylvanica",-110.90267,31.59542
"77190","Parietaria_pensylvanica",-110.834,33.7629
"77203","Parietaria_pensylvanica",-111.674,33.8125
"77279","Parietaria_pensylvanica",-111.767,36.6333
"77288","Parietaria_pensylvanica",-111.643,33.8125
"77321","Parietaria_pensylvanica",-112.366,33.3828
"77381","Parietaria_pensylvanica",-109.072,31.5901
"77440","Parietaria_pensylvanica",-111.73,33.98
